uniprot_accession,protein_name,pathway,compound,cid
O15254,Peroxisomal acyl-coenzyme A oxidase 3,Reactome_R-HSA-1430728,caffeine,2519
O15269,Serine palmitoyltransferase 1,Reactome_R-HSA-1430728,caffeine,2519
O15270,Serine palmitoyltransferase 2,Reactome_R-HSA-1430728,caffeine,2519
O15296,Polyunsaturated fatty acid lipoxygenase ALOX15B,Reactome_R-HSA-1430728,caffeine,2519
O15379,Histone deacetylase 3,Reactome_R-HSA-1430728,caffeine,2519
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O15438,ATP-binding cassette sub-family C member 3,Reactome_R-HSA-1430728,caffeine,2519
O15440,ATP-binding cassette sub-family C member 5,Reactome_R-HSA-1430728,caffeine,2519
O15466,"Alpha-2,8-sialyltransferase 8E",Reactome_R-HSA-1430728,caffeine,2519
O15488,Glycogenin-2,Reactome_R-HSA-1430728,caffeine,2519
O15496,Group 10 secretory phospholipase A2,Reactome_R-HSA-1430728,caffeine,2519
O15504,Nucleoporin NUP42,Reactome_R-HSA-1430728,caffeine,2519
O15516,Circadian locomoter output cycles protein kaput,Reactome_R-HSA-1430728,caffeine,2519
O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O43169,Cytochrome b5 type B,Reactome_R-HSA-1430728,caffeine,2519
O43175,D-3-phosphoglycerate dehydrogenase,Reactome_R-HSA-1430728,caffeine,2519
O43181,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O43272,"Proline dehydrogenase 1, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O43286,"Beta-1,4-galactosyltransferase 5",Reactome_R-HSA-1430728,caffeine,2519
O43324,Eukaryotic translation elongation factor 1 epsilon-1,Reactome_R-HSA-1430728,caffeine,2519
O43462,Membrane-bound transcription factor site-2 protease,Reactome_R-HSA-1430728,caffeine,2519
O43488,Aflatoxin B1 aldehyde reductase member 2,Reactome_R-HSA-1430728,caffeine,2519
O43513,Mediator of RNA polymerase II transcription subunit 7,Reactome_R-HSA-1430728,caffeine,2519
O43598,5-hydroxymethyl-dUMP N-hydrolase,Reactome_R-HSA-1430728,caffeine,2519
O43674,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O43676,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,Reactome_R-HSA-1430728,caffeine,2519
O43677,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O43678,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,Reactome_R-HSA-1430728,caffeine,2519
O43704,Sulfotransferase 1B1,Reactome_R-HSA-1430728,caffeine,2519
O43708,Maleylacetoacetate isomerase,Reactome_R-HSA-1430728,caffeine,2519
O43741,5'-AMP-activated protein kinase subunit beta-2,Reactome_R-HSA-1430728,caffeine,2519
O43772,Mitochondrial carnitine/acylcarnitine carrier protein,Reactome_R-HSA-1430728,caffeine,2519
O43808,Peroxisomal membrane protein PMP34,Reactome_R-HSA-1430728,caffeine,2519
O43819,Cytochrome c oxidase assembly factor SCO2,Reactome_R-HSA-1430728,caffeine,2519
O43826,Glucose-6-phosphate exchanger SLC37A4,Reactome_R-HSA-1430728,caffeine,2519
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O43865,S-adenosylhomocysteine hydrolase-like protein 1,Reactome_R-HSA-1430728,caffeine,2519
O43909,Exostosin-like 3,Reactome_R-HSA-1430728,caffeine,2519
O43916,Carbohydrate sulfotransferase 1,Reactome_R-HSA-1430728,caffeine,2519
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,Reactome_R-HSA-1430728,caffeine,2519
O60240,Perilipin-1,Reactome_R-HSA-1430728,caffeine,2519
O60244,Mediator of RNA polymerase II transcription subunit 14,Reactome_R-HSA-1430728,caffeine,2519
O60427,Acyl-CoA (8-3)-desaturase,Reactome_R-HSA-1430728,caffeine,2519
O60494,Cubilin,Reactome_R-HSA-1430728,caffeine,2519
O60512,"Beta-1,4-galactosyltransferase 3",Reactome_R-HSA-1430728,caffeine,2519
O60513,"Beta-1,4-galactosyltransferase 4",Reactome_R-HSA-1430728,caffeine,2519
O60543,Lipid transferase CIDEA,Reactome_R-HSA-1430728,caffeine,2519
O60656,UDP-glucuronosyltransferase 1A9,Reactome_R-HSA-1430728,caffeine,2519
O60664,Perilipin-3,Reactome_R-HSA-1430728,caffeine,2519
O60701,UDP-glucose 6-dehydrogenase,Reactome_R-HSA-1430728,caffeine,2519
O60733,85/88 kDa calcium-independent phospholipase A2,Reactome_R-HSA-1430728,caffeine,2519
O60760,Hematopoietic prostaglandin D synthase,Reactome_R-HSA-1430728,caffeine,2519
O60825,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",Reactome_R-HSA-1430728,caffeine,2519
O60907,F-box-like/WD repeat-containing protein TBL1X,Reactome_R-HSA-1430728,caffeine,2519
O60909,"Beta-1,4-galactosyltransferase 2",Reactome_R-HSA-1430728,caffeine,2519
O75027,"Iron-sulfur clusters transporter ABCB7, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75038,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",Reactome_R-HSA-1430728,caffeine,2519
O75063,Glycosaminoglycan xylosylkinase,Reactome_R-HSA-1430728,caffeine,2519
O75106,Amine oxidase [copper-containing] 2,Reactome_R-HSA-1430728,caffeine,2519
O75191,Xylulose kinase,Reactome_R-HSA-1430728,caffeine,2519
O75192,Peroxisomal membrane protein 11A,Reactome_R-HSA-1430728,caffeine,2519
O75208,"Ubiquinone biosynthesis protein COQ9, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75223,Gamma-glutamylcyclotransferase,Reactome_R-HSA-1430728,caffeine,2519
O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75342,"Arachidonate 12-lipoxygenase, 12R-type",Reactome_R-HSA-1430728,caffeine,2519
O75354,Ectonucleoside triphosphate diphosphohydrolase 6,Reactome_R-HSA-1430728,caffeine,2519
O75355,Ectonucleoside triphosphate diphosphohydrolase 3,Reactome_R-HSA-1430728,caffeine,2519
O75356,Nucleoside diphosphate phosphatase ENTPD5,Reactome_R-HSA-1430728,caffeine,2519
O75376,Nuclear receptor corepressor 1,Reactome_R-HSA-1430728,caffeine,2519
O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75390,"Citrate synthase, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75438,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,Reactome_R-HSA-1430728,caffeine,2519
O75448,Mediator of RNA polymerase II transcription subunit 24,Reactome_R-HSA-1430728,caffeine,2519
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75509,Tumor necrosis factor receptor superfamily member 21,Reactome_R-HSA-1430728,caffeine,2519
O75521-2,"Enoyl-CoA delta isomerase 2, isoform 2",Reactome_R-HSA-1430728,caffeine,2519
O75586,Mediator of RNA polymerase II transcription subunit 6,Reactome_R-HSA-1430728,caffeine,2519
O75608,Acyl-protein thioesterase 1,Reactome_R-HSA-1430728,caffeine,2519
O75694,Nuclear pore complex protein Nup155,Reactome_R-HSA-1430728,caffeine,2519
O75746,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O75752,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",Reactome_R-HSA-1430728,caffeine,2519
O75828,Carbonyl reductase [NADPH] 3,Reactome_R-HSA-1430728,caffeine,2519
O75845,Lathosterol oxidase,Reactome_R-HSA-1430728,caffeine,2519
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,Reactome_R-HSA-1430728,caffeine,2519
O75880,Cytochrome c oxidase assembly factor SCO1,Reactome_R-HSA-1430728,caffeine,2519
O75891,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Reactome_R-HSA-1430728,caffeine,2519
O75897,Sulfotransferase 1C4,Reactome_R-HSA-1430728,caffeine,2519
O75907,Diacylglycerol O-acyltransferase 1,Reactome_R-HSA-1430728,caffeine,2519
O75936,Gamma-butyrobetaine dioxygenase,Reactome_R-HSA-1430728,caffeine,2519
