normalized_target,gene_symbol_mygene,score,notfound
mitogen activated protein kinase 15,MAPK15,,False
solute carrier organic anion transporter family member 1b3,SLCO1B3,,False
alpha 1d adrenergic receptor,,,True
alpha 1 adrenergic receptor,,,True
alpha 1b adrenergic receptor,,,True
alpha 1a adrenergic receptor,,,True
alpha 2a adrenergic receptor,,,True
alpha 2 adrenergic receptor,,,True
alpha 2b adrenergic receptor,,,True
alpha 2c adrenergic receptor,,,True
aldehyde oxidase,AOX1,,False
voltage dependent n type calcium channel subunit alpha 1b,,,True
d dopamine receptor,LOC101060524,,False
histamine h1 receptor,HRH1,,False
histamine h2 receptor,HRH2,,False
5 hydroxytryptamine receptor 2a,HTR2A,,False
5 hydroxytryptamine receptor 2b,HTR2B,,False
5 hydroxytryptamine receptor 2c,HTR2C,,False
5 hydroxytryptamine receptor 6,HTR6,,False
5 hydroxytryptamine receptor 7,HTR7,,False
alpha 1 acid glycoprotein 1,,,True
sodium dependent noradrenaline transporter,,,True
norepinephrine transporter,,,True
sodium dependent dopamine transporter,,,True
sodium dependent serotonin transporter,,,True
atp binding cassette sub family g member 2,,,True
kir3 4,,,True
g protein activated inward rectifier potassium channel 2,,,True
kir3 2,,,True
transient receptor potential cation channel subfamily m member 3,TRPM3,,False
cytochrome p450 2a6,,,True
serum paraoxonase arylesterase 1,,,True
muscarinic acetylcholine receptor dm1,,,True
