uniprot_accession,interaction_count,n_compounds,compounds,symbol,geneid,pathway_count,n_pathways,pathways,pathway_compounds,total_count,source,n_go_terms,go_ids,go_names,go_bp_ids,go_bp_names,go_mf_ids,go_mf_names,go_cc_ids,go_cc_names
Q13698,1,1,Rosuvastatin,CACNA1S,779,0,0,,,1,interaction_predominant,22,GO:0005216;GO:0005245;GO:0005515;GO:0005737;GO:0005886;GO:0005891;GO:0006811;GO:0006816;GO:0006936;GO:0008331;GO:0016020;GO:0030315;GO:0031674;GO:0036094;GO:0045933;GO:0051209;GO:0055085;GO:0070588;GO:0071313;GO:0098703;GO:0140677;GO:1990454,I band;L-type voltage-gated calcium channel complex;T-tubule;calcium ion import across plasma membrane;calcium ion transmembrane transport;calcium ion transport;cellular response to caffeine;cytoplasm;high voltage-gated calcium channel activity;membrane;molecular function activator activity;monoatomic ion channel activity;monoatomic ion transport;muscle contraction;plasma membrane;positive regulation of muscle contraction;protein binding;release of sequestered calcium ion into cytosol;small molecule binding;transmembrane transport;voltage-gated calcium channel activity;voltage-gated calcium channel complex,GO:0006811;GO:0006816;GO:0006936;GO:0045933;GO:0051209;GO:0055085;GO:0070588;GO:0071313;GO:0098703,calcium ion import across plasma membrane;calcium ion transmembrane transport;calcium ion transport;cellular response to caffeine;monoatomic ion transport;muscle contraction;positive regulation of muscle contraction;release of sequestered calcium ion into cytosol;transmembrane transport,GO:0005216;GO:0005245;GO:0005515;GO:0008331;GO:0036094;GO:0140677,high voltage-gated calcium channel activity;molecular function activator activity;monoatomic ion channel activity;protein binding;small molecule binding;voltage-gated calcium channel activity,GO:0005737;GO:0005886;GO:0005891;GO:0016020;GO:0030315;GO:0031674;GO:1990454,I band;L-type voltage-gated calcium channel complex;T-tubule;cytoplasm;membrane;plasma membrane;voltage-gated calcium channel complex
Q14973,1,1,Rosuvastatin,SLC10A1,6554,0,0,,,1,interaction_predominant,11,GO:0005515;GO:0005886;GO:0008508;GO:0015125;GO:0015721;GO:0016020;GO:0016323;GO:0031667;GO:0043627;GO:0045471;GO:0071466,basolateral plasma membrane;bile acid and bile salt transport;bile acid transmembrane transporter activity;bile acid:sodium symporter activity;cellular response to xenobiotic stimulus;membrane;plasma membrane;protein binding;response to estrogen;response to ethanol;response to nutrient levels,GO:0015721;GO:0031667;GO:0043627;GO:0045471;GO:0071466,bile acid and bile salt transport;cellular response to xenobiotic stimulus;response to estrogen;response to ethanol;response to nutrient levels,GO:0005515;GO:0008508;GO:0015125,bile acid transmembrane transporter activity;bile acid:sodium symporter activity;protein binding,GO:0005886;GO:0016020;GO:0016323,basolateral plasma membrane;membrane;plasma membrane
Q14994,1,1,atorvastatin,NR1I3,9970,0,0,,,1,interaction_predominant,23,GO:0000122;GO:0000785;GO:0000977;GO:0000978;GO:0000981;GO:0001228;GO:0001649;GO:0003677;GO:0003700;GO:0004879;GO:0005515;GO:0005634;GO:0005654;GO:0005737;GO:0005856;GO:0006355;GO:0007165;GO:0008270;GO:0030154;GO:0030522;GO:0043565;GO:0045944;GO:1990837,"DNA binding;DNA-binding transcription activator activity, RNA polymerase II-specific;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;RNA polymerase II transcription regulatory region sequence-specific DNA binding;cell differentiation;chromatin;cytoplasm;cytoskeleton;intracellular receptor signaling pathway;negative regulation of transcription by RNA polymerase II;nuclear receptor activity;nucleoplasm;nucleus;osteoblast differentiation;positive regulation of transcription by RNA polymerase II;protein binding;regulation of DNA-templated transcription;sequence-specific DNA binding;sequence-specific double-stranded DNA binding;signal transduction;zinc ion binding",GO:0000122;GO:0001649;GO:0006355;GO:0007165;GO:0030154;GO:0030522;GO:0045944,cell differentiation;intracellular receptor signaling pathway;negative regulation of transcription by RNA polymerase II;osteoblast differentiation;positive regulation of transcription by RNA polymerase II;regulation of DNA-templated transcription;signal transduction,GO:0000977;GO:0000978;GO:0000981;GO:0001228;GO:0003677;GO:0003700;GO:0004879;GO:0005515;GO:0008270;GO:0043565;GO:1990837,"DNA binding;DNA-binding transcription activator activity, RNA polymerase II-specific;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;RNA polymerase II transcription regulatory region sequence-specific DNA binding;nuclear receptor activity;protein binding;sequence-specific DNA binding;sequence-specific double-stranded DNA binding;zinc ion binding",GO:0000785;GO:0005634;GO:0005654;GO:0005737;GO:0005856,chromatin;cytoplasm;cytoskeleton;nucleoplasm;nucleus
Q1W675,1,1,atorvastatin,HMGCR,100144446,0,0,,,1,interaction_predominant,9,GO:0004420;GO:0005778;GO:0005783;GO:0005789;GO:0008299;GO:0015936;GO:0016126;GO:0016616;GO:0050661,"NADP binding;coenzyme A metabolic process;endoplasmic reticulum;endoplasmic reticulum membrane;hydroxymethylglutaryl-CoA reductase (NADPH) activity;isoprenoid biosynthetic process;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;peroxisomal membrane;sterol biosynthetic process",GO:0008299;GO:0015936;GO:0016126,coenzyme A metabolic process;isoprenoid biosynthetic process;sterol biosynthetic process,GO:0004420;GO:0016616;GO:0050661,"NADP binding;hydroxymethylglutaryl-CoA reductase (NADPH) activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0005778;GO:0005783;GO:0005789,endoplasmic reticulum;endoplasmic reticulum membrane;peroxisomal membrane
Q6Q788,1,1,Rosuvastatin,APOA5,116519,0,0,,,1,interaction_predominant,40,GO:0005515;GO:0005543;GO:0005576;GO:0005769;GO:0005770;GO:0005788;GO:0005794;GO:0006641;GO:0006869;GO:0008201;GO:0008203;GO:0008289;GO:0010898;GO:0010902;GO:0019433;GO:0019899;GO:0031210;GO:0033344;GO:0033700;GO:0034361;GO:0034362;GO:0034364;GO:0034447;GO:0035473;GO:0042157;GO:0042246;GO:0042627;GO:0042632;GO:0045723;GO:0048260;GO:0050750;GO:0050996;GO:0055090;GO:0060228;GO:0060229;GO:0060230;GO:0070325;GO:0070328;GO:0120020;GO:1903561,Golgi apparatus;acylglycerol homeostasis;cholesterol efflux;cholesterol homeostasis;cholesterol metabolic process;cholesterol transfer activity;chylomicron;early endosome;endoplasmic reticulum lumen;enzyme binding;extracellular region;extracellular vesicle;heparin binding;high-density lipoprotein particle;late endosome;lipase activator activity;lipase binding;lipid binding;lipid transport;lipoprotein lipase activator activity;lipoprotein metabolic process;lipoprotein particle receptor binding;low-density lipoprotein particle;low-density lipoprotein particle receptor binding;phosphatidylcholine binding;phosphatidylcholine-sterol O-acyltransferase activator activity;phospholipid binding;phospholipid efflux;positive regulation of fatty acid biosynthetic process;positive regulation of lipid catabolic process;positive regulation of receptor-mediated endocytosis;positive regulation of triglyceride catabolic process;positive regulation of very-low-density lipoprotein particle remodeling;protein binding;tissue regeneration;triglyceride catabolic process;triglyceride homeostasis;triglyceride metabolic process;very-low-density lipoprotein particle;very-low-density lipoprotein particle clearance,GO:0006641;GO:0006869;GO:0008203;GO:0010898;GO:0010902;GO:0019433;GO:0033344;GO:0033700;GO:0034447;GO:0042157;GO:0042246;GO:0042632;GO:0045723;GO:0048260;GO:0050996;GO:0055090;GO:0070328,acylglycerol homeostasis;cholesterol efflux;cholesterol homeostasis;cholesterol metabolic process;lipid transport;lipoprotein metabolic process;phospholipid efflux;positive regulation of fatty acid biosynthetic process;positive regulation of lipid catabolic process;positive regulation of receptor-mediated endocytosis;positive regulation of triglyceride catabolic process;positive regulation of very-low-density lipoprotein particle remodeling;tissue regeneration;triglyceride catabolic process;triglyceride homeostasis;triglyceride metabolic process;very-low-density lipoprotein particle clearance,GO:0005515;GO:0005543;GO:0008201;GO:0008289;GO:0019899;GO:0031210;GO:0035473;GO:0050750;GO:0060228;GO:0060229;GO:0060230;GO:0070325;GO:0120020,cholesterol transfer activity;enzyme binding;heparin binding;lipase activator activity;lipase binding;lipid binding;lipoprotein lipase activator activity;lipoprotein particle receptor binding;low-density lipoprotein particle receptor binding;phosphatidylcholine binding;phosphatidylcholine-sterol O-acyltransferase activator activity;phospholipid binding;protein binding,GO:0005576;GO:0005769;GO:0005770;GO:0005788;GO:0005794;GO:0034361;GO:0034362;GO:0034364;GO:0042627;GO:1903561,Golgi apparatus;chylomicron;early endosome;endoplasmic reticulum lumen;extracellular region;extracellular vesicle;high-density lipoprotein particle;late endosome;low-density lipoprotein particle;very-low-density lipoprotein particle
Q6ZMV9,1,1,Rosuvastatin,KIF6,221458,0,0,,,1,interaction_predominant,10,GO:0003777;GO:0005515;GO:0005524;GO:0005737;GO:0005856;GO:0005871;GO:0005874;GO:0007018;GO:0008017;GO:0016887,ATP binding;ATP hydrolysis activity;cytoplasm;cytoskeleton;kinesin complex;microtubule;microtubule binding;microtubule motor activity;microtubule-based movement;protein binding,GO:0007018,microtubule-based movement,GO:0003777;GO:0005515;GO:0005524;GO:0008017;GO:0016887,ATP binding;ATP hydrolysis activity;microtubule binding;microtubule motor activity;protein binding,GO:0005737;GO:0005856;GO:0005871;GO:0005874,cytoplasm;cytoskeleton;kinesin complex;microtubule
Q8TCC7,1,1,Rosuvastatin,SLC22A8,9376,0,0,,,1,interaction_predominant,15,GO:0005452;GO:0005886;GO:0009925;GO:0015132;GO:0015297;GO:0015732;GO:0016020;GO:0016323;GO:0016324;GO:0022857;GO:0042908;GO:0042910;GO:0055085;GO:0070062;GO:0150104,antiporter activity;apical plasma membrane;basal plasma membrane;basolateral plasma membrane;extracellular exosome;membrane;plasma membrane;prostaglandin transmembrane transporter activity;prostaglandin transport;solute:inorganic anion antiporter activity;transmembrane transport;transmembrane transporter activity;transport across blood-brain barrier;xenobiotic transmembrane transporter activity;xenobiotic transport,GO:0015732;GO:0042908;GO:0055085;GO:0150104,prostaglandin transport;transmembrane transport;transport across blood-brain barrier;xenobiotic transport,GO:0005452;GO:0015132;GO:0015297;GO:0022857;GO:0042910,antiporter activity;prostaglandin transmembrane transporter activity;solute:inorganic anion antiporter activity;transmembrane transporter activity;xenobiotic transmembrane transporter activity,GO:0005886;GO:0009925;GO:0016020;GO:0016323;GO:0016324;GO:0070062,apical plasma membrane;basal plasma membrane;basolateral plasma membrane;extracellular exosome;membrane;plasma membrane
Q92769,1,1,atorvastatin,HDAC2,3066,0,0,,,1,interaction_predominant,55,GO:0000118;GO:0000122;GO:0000781;GO:0000785;GO:0001221;GO:0003682;GO:0003723;GO:0004407;GO:0005515;GO:0005634;GO:0005654;GO:0005737;GO:0006338;GO:0008284;GO:0009913;GO:0010977;GO:0016358;GO:0016581;GO:0016811;GO:0019899;GO:0030336;GO:0030512;GO:0031492;GO:0031507;GO:0032922;GO:0032991;GO:0033148;GO:0033558;GO:0035098;GO:0042393;GO:0042475;GO:0042659;GO:0042733;GO:0042826;GO:0043066;GO:0045862;GO:0045892;GO:0045893;GO:0045944;GO:0045995;GO:0050847;GO:0051059;GO:0060789;GO:0061029;GO:0061198;GO:0061629;GO:0070822;GO:0141221;GO:0160008;GO:0160009;GO:0160010;GO:0160216;GO:1902455;GO:1902459;GO:2000736,"ESC/E(Z) complex;NF-kappaB binding;NuRD complex;RNA binding;RNA polymerase II-specific DNA-binding transcription factor binding;Sin3-type complex;chromatin;chromatin binding;chromatin remodeling;chromosome, telomeric region;circadian regulation of gene expression;cytoplasm;dendrite development;embryonic digit morphogenesis;enzyme binding;epidermal cell differentiation;eyelid development in camera-type eye;fungiform papilla formation;hair follicle placode formation;heterochromatin formation;histone binding;histone deacetylase activity;histone deacetylase activity, hydrolytic mechanism;histone deacetylase binding;histone deacetylase complex;histone decrotonylase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides;negative regulation of DNA-templated transcription;negative regulation of apoptotic process;negative regulation of cell migration;negative regulation of neuron projection development;negative regulation of stem cell population maintenance;negative regulation of transcription by RNA polymerase II;negative regulation of transforming growth factor beta receptor signaling pathway;nucleoplasm;nucleosomal DNA binding;nucleus;odontogenesis of dentin-containing tooth;positive regulation of DNA-templated transcription;positive regulation of cell population proliferation;positive regulation of intracellular estrogen receptor signaling pathway;positive regulation of proteolysis;positive regulation of stem cell population maintenance;positive regulation of transcription by RNA polymerase II;progesterone receptor signaling pathway;protein binding;protein de-2-hydroxyisobutyrylase activity;protein decrotonylase activity;protein lysine deacetylase activity;protein lysine delactylase activity;protein-containing complex;regulation of cell fate specification;regulation of embryonic development;regulation of stem cell differentiation;transcription coregulator binding",GO:0000122;GO:0006338;GO:0008284;GO:0009913;GO:0010977;GO:0016358;GO:0030336;GO:0030512;GO:0031507;GO:0032922;GO:0033148;GO:0042475;GO:0042659;GO:0042733;GO:0043066;GO:0045862;GO:0045892;GO:0045893;GO:0045944;GO:0045995;GO:0050847;GO:0060789;GO:0061029;GO:0061198;GO:1902455;GO:1902459;GO:2000736,chromatin remodeling;circadian regulation of gene expression;dendrite development;embryonic digit morphogenesis;epidermal cell differentiation;eyelid development in camera-type eye;fungiform papilla formation;hair follicle placode formation;heterochromatin formation;negative regulation of DNA-templated transcription;negative regulation of apoptotic process;negative regulation of cell migration;negative regulation of neuron projection development;negative regulation of stem cell population maintenance;negative regulation of transcription by RNA polymerase II;negative regulation of transforming growth factor beta receptor signaling pathway;odontogenesis of dentin-containing tooth;positive regulation of DNA-templated transcription;positive regulation of cell population proliferation;positive regulation of intracellular estrogen receptor signaling pathway;positive regulation of proteolysis;positive regulation of stem cell population maintenance;positive regulation of transcription by RNA polymerase II;progesterone receptor signaling pathway;regulation of cell fate specification;regulation of embryonic development;regulation of stem cell differentiation,GO:0001221;GO:0003682;GO:0003723;GO:0004407;GO:0005515;GO:0016811;GO:0019899;GO:0031492;GO:0033558;GO:0042393;GO:0042826;GO:0051059;GO:0061629;GO:0141221;GO:0160008;GO:0160009;GO:0160010;GO:0160216,"NF-kappaB binding;RNA binding;RNA polymerase II-specific DNA-binding transcription factor binding;chromatin binding;enzyme binding;histone binding;histone deacetylase activity;histone deacetylase activity, hydrolytic mechanism;histone deacetylase binding;histone decrotonylase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides;nucleosomal DNA binding;protein binding;protein de-2-hydroxyisobutyrylase activity;protein decrotonylase activity;protein lysine deacetylase activity;protein lysine delactylase activity;transcription coregulator binding",GO:0000118;GO:0000781;GO:0000785;GO:0005634;GO:0005654;GO:0005737;GO:0016581;GO:0032991;GO:0035098;GO:0070822,"ESC/E(Z) complex;NuRD complex;Sin3-type complex;chromatin;chromosome, telomeric region;cytoplasm;histone deacetylase complex;nucleoplasm;nucleus;protein-containing complex"
Q9UBN7,1,1,atorvastatin,HDAC6,10013,0,0,,,1,interaction_predominant,95,GO:0000118;GO:0000153;GO:0000978;GO:0001222;GO:0004407;GO:0005515;GO:0005634;GO:0005737;GO:0005771;GO:0005813;GO:0005829;GO:0005856;GO:0005874;GO:0005875;GO:0005901;GO:0005929;GO:0006476;GO:0006515;GO:0006886;GO:0006950;GO:0007173;GO:0008013;GO:0008017;GO:0008270;GO:0010506;GO:0010634;GO:0010727;GO:0015630;GO:0016234;GO:0016235;GO:0016236;GO:0016241;GO:0016567;GO:0019213;GO:0019896;GO:0019899;GO:0030424;GO:0030425;GO:0031252;GO:0031333;GO:0031593;GO:0031625;GO:0031647;GO:0031648;GO:0032418;GO:0032461;GO:0032886;GO:0032991;GO:0033148;GO:0033558;GO:0034605;GO:0035967;GO:0036064;GO:0036479;GO:0042030;GO:0042826;GO:0042903;GO:0043005;GO:0043014;GO:0043130;GO:0043204;GO:0043242;GO:0044297;GO:0045814;GO:0045861;GO:0045892;GO:0047611;GO:0048156;GO:0048471;GO:0048487;GO:0051129;GO:0051130;GO:0051646;GO:0051787;GO:0051788;GO:0051879;GO:0060271;GO:0060632;GO:0060765;GO:0061523;GO:0061630;GO:0061734;GO:0070301;GO:0070840;GO:0070842;GO:0070845;GO:0090042;GO:0098732;GO:0106047;GO:0106048;GO:0120025;GO:1903146;GO:1904115;GO:1905091;GO:1905336,"ATPase inhibitor activity;Hsp90 protein binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;acetylspermidine deacetylase activity;aggresome;aggresome assembly;alpha-tubulin binding;axon;axon cytoplasm;axonal transport of mitochondrion;beta-catenin binding;beta-tubulin binding;caveola;cell body;cell leading edge;cellular response to heat;cellular response to hydrogen peroxide;cellular response to topologically incorrect protein;centrosome;ciliary basal body;cilium;cilium assembly;cilium disassembly;cytoplasm;cytoplasmic ubiquitin ligase complex;cytoskeleton;cytosol;deacetylase activity;dendrite;dynein complex binding;enzyme binding;epidermal growth factor receptor signaling pathway;histone deacetylase activity;histone deacetylase binding;histone deacetylase complex;inclusion body;intracellular protein transport;lysosome localization;macroautophagy;macromolecule deacylation;microtubule;microtubule associated complex;microtubule binding;microtubule cytoskeleton;misfolded protein binding;mitochondrion localization;multivesicular body;negative regulation of DNA-templated transcription;negative regulation of aggrephagy;negative regulation of cellular component organization;negative regulation of gene expression, epigenetic;negative regulation of hydrogen peroxide metabolic process;negative regulation of protein-containing complex assembly;negative regulation of protein-containing complex disassembly;negative regulation of proteolysis;neuron projection;nucleus;obsolete polyamine deacetylation;obsolete spermidine deacetylation;perikaryon;perinuclear region of cytoplasm;peroxidase inhibitor activity;plasma membrane bounded cell projection;polyubiquitin modification-dependent protein binding;polyubiquitinated misfolded protein transport;positive regulation of cellular component organization;positive regulation of epithelial cell migration;positive regulation of intracellular estrogen receptor signaling pathway;positive regulation of protein oligomerization;positive regulation of type 2 mitophagy;protein binding;protein deacetylation;protein destabilization;protein lysine deacetylase activity;protein quality control for misfolded or incompletely synthesized proteins;protein ubiquitination;protein-containing complex;regulation of androgen receptor signaling pathway;regulation of autophagy;regulation of autophagy of mitochondrion;regulation of macroautophagy;regulation of microtubule-based movement;regulation of microtubule-based process;regulation of protein stability;response to misfolded protein;response to stress;tau protein binding;transcription corepressor binding;tubulin deacetylase activity;tubulin deacetylation;type 2 mitophagy;ubiquitin binding;ubiquitin protein ligase activity;ubiquitin protein ligase binding;zinc ion binding",GO:0006476;GO:0006515;GO:0006886;GO:0006950;GO:0007173;GO:0010506;GO:0010634;GO:0010727;GO:0016236;GO:0016241;GO:0016567;GO:0019896;GO:0031333;GO:0031647;GO:0031648;GO:0032418;GO:0032461;GO:0032886;GO:0033148;GO:0034605;GO:0035967;GO:0043242;GO:0045814;GO:0045861;GO:0045892;GO:0051129;GO:0051130;GO:0051646;GO:0051788;GO:0060271;GO:0060632;GO:0060765;GO:0061523;GO:0061734;GO:0070301;GO:0070842;GO:0070845;GO:0090042;GO:0098732;GO:0106047;GO:0106048;GO:1903146;GO:1905091;GO:1905336,"aggresome assembly;axonal transport of mitochondrion;cellular response to heat;cellular response to hydrogen peroxide;cellular response to topologically incorrect protein;cilium assembly;cilium disassembly;epidermal growth factor receptor signaling pathway;intracellular protein transport;lysosome localization;macroautophagy;macromolecule deacylation;mitochondrion localization;negative regulation of DNA-templated transcription;negative regulation of aggrephagy;negative regulation of cellular component organization;negative regulation of gene expression, epigenetic;negative regulation of hydrogen peroxide metabolic process;negative regulation of protein-containing complex assembly;negative regulation of protein-containing complex disassembly;negative regulation of proteolysis;obsolete polyamine deacetylation;obsolete spermidine deacetylation;polyubiquitinated misfolded protein transport;positive regulation of cellular component organization;positive regulation of epithelial cell migration;positive regulation of intracellular estrogen receptor signaling pathway;positive regulation of protein oligomerization;positive regulation of type 2 mitophagy;protein deacetylation;protein destabilization;protein quality control for misfolded or incompletely synthesized proteins;protein ubiquitination;regulation of androgen receptor signaling pathway;regulation of autophagy;regulation of autophagy of mitochondrion;regulation of macroautophagy;regulation of microtubule-based movement;regulation of microtubule-based process;regulation of protein stability;response to misfolded protein;response to stress;tubulin deacetylation;type 2 mitophagy",GO:0000978;GO:0001222;GO:0004407;GO:0005515;GO:0008013;GO:0008017;GO:0008270;GO:0019213;GO:0019899;GO:0031593;GO:0031625;GO:0033558;GO:0036479;GO:0042030;GO:0042826;GO:0042903;GO:0043014;GO:0043130;GO:0047611;GO:0048156;GO:0048487;GO:0051787;GO:0051879;GO:0061630;GO:0070840,ATPase inhibitor activity;Hsp90 protein binding;RNA polymerase II cis-regulatory region sequence-specific DNA binding;acetylspermidine deacetylase activity;alpha-tubulin binding;beta-catenin binding;beta-tubulin binding;deacetylase activity;dynein complex binding;enzyme binding;histone deacetylase activity;histone deacetylase binding;microtubule binding;misfolded protein binding;peroxidase inhibitor activity;polyubiquitin modification-dependent protein binding;protein binding;protein lysine deacetylase activity;tau protein binding;transcription corepressor binding;tubulin deacetylase activity;ubiquitin binding;ubiquitin protein ligase activity;ubiquitin protein ligase binding;zinc ion binding,GO:0000118;GO:0000153;GO:0005634;GO:0005737;GO:0005771;GO:0005813;GO:0005829;GO:0005856;GO:0005874;GO:0005875;GO:0005901;GO:0005929;GO:0015630;GO:0016234;GO:0016235;GO:0030424;GO:0030425;GO:0031252;GO:0032991;GO:0036064;GO:0043005;GO:0043204;GO:0044297;GO:0048471;GO:0120025;GO:1904115,aggresome;axon;axon cytoplasm;caveola;cell body;cell leading edge;centrosome;ciliary basal body;cilium;cytoplasm;cytoplasmic ubiquitin ligase complex;cytoskeleton;cytosol;dendrite;histone deacetylase complex;inclusion body;microtubule;microtubule associated complex;microtubule cytoskeleton;multivesicular body;neuron projection;nucleus;perikaryon;perinuclear region of cytoplasm;plasma membrane bounded cell projection;protein-containing complex
Q9UPU5,1,1,Rosuvastatin,USP24,23358,0,0,,,1,interaction_predominant,7,GO:0004843;GO:0005515;GO:0005634;GO:0005654;GO:0005829;GO:0016579;GO:0031647,cysteine-type deubiquitinase activity;cytosol;nucleoplasm;nucleus;protein binding;protein deubiquitination;regulation of protein stability,GO:0016579;GO:0031647,protein deubiquitination;regulation of protein stability,GO:0004843;GO:0005515,cysteine-type deubiquitinase activity;protein binding,GO:0005634;GO:0005654;GO:0005829,cytosol;nucleoplasm;nucleus
Q9UPY5,1,1,Rosuvastatin,SLC7A11,23657,0,0,,,1,interaction_predominant,26,GO:0003333;GO:0005515;GO:0005765;GO:0005886;GO:0006865;GO:0009636;GO:0009986;GO:0015252;GO:0015327;GO:0015811;GO:0015813;GO:0016020;GO:0022840;GO:0022857;GO:0031526;GO:0031528;GO:0035752;GO:0043067;GO:0045177;GO:0055085;GO:0089718;GO:0097449;GO:0110076;GO:0140924;GO:0140926;GO:1902600,L-cystine transport;L-glutamate transmembrane transport;L-kynurenine transmembrane transport;L-kynurenine transmembrane transporter activity;amino acid import across plasma membrane;amino acid transmembrane transport;amino acid transport;apical part of cell;astrocyte projection;brush border membrane;cell surface;cystine:glutamate antiporter activity;leak channel activity;lysosomal lumen pH elevation;lysosomal membrane;membrane;microvillus membrane;negative regulation of ferroptosis;plasma membrane;protein binding;proton channel activity;proton transmembrane transport;regulation of programmed cell death;response to toxic substance;transmembrane transport;transmembrane transporter activity,GO:0003333;GO:0006865;GO:0009636;GO:0015811;GO:0015813;GO:0035752;GO:0043067;GO:0055085;GO:0089718;GO:0110076;GO:0140924;GO:1902600,L-cystine transport;L-glutamate transmembrane transport;L-kynurenine transmembrane transport;amino acid import across plasma membrane;amino acid transmembrane transport;amino acid transport;lysosomal lumen pH elevation;negative regulation of ferroptosis;proton transmembrane transport;regulation of programmed cell death;response to toxic substance;transmembrane transport,GO:0005515;GO:0015252;GO:0015327;GO:0022840;GO:0022857;GO:0140926,L-kynurenine transmembrane transporter activity;cystine:glutamate antiporter activity;leak channel activity;protein binding;proton channel activity;transmembrane transporter activity,GO:0005765;GO:0005886;GO:0009986;GO:0016020;GO:0031526;GO:0031528;GO:0045177;GO:0097449,apical part of cell;astrocyte projection;brush border membrane;cell surface;lysosomal membrane;membrane;microvillus membrane;plasma membrane
P04035,2,2,Rosuvastatin;atorvastatin,HMGCR,3156,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,4,interaction_and_pathway,24,GO:0004420;GO:0005515;GO:0005778;GO:0005783;GO:0005789;GO:0006695;GO:0008299;GO:0010142;GO:0015936;GO:0016126;GO:0016616;GO:0019287;GO:0030695;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0042177;GO:0050661;GO:0050709;GO:0070402;GO:0098554;GO:0120225;GO:1900222,"GTPase regulator activity;NADP binding;NADPH binding;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;coenzyme A binding;coenzyme A metabolic process;cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum;endoplasmic reticulum membrane;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;hydroxymethylglutaryl-CoA reductase (NADPH) activity;isopentenyl diphosphate biosynthetic process, mevalonate pathway;isoprenoid biosynthetic process;negative regulation of amyloid-beta clearance;negative regulation of protein catabolic process;negative regulation of protein secretion;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;peroxisomal membrane;protein binding;sterol biosynthetic process;zymosterol biosynthetic process",GO:0006695;GO:0008299;GO:0010142;GO:0015936;GO:0016126;GO:0019287;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0042177;GO:0050709;GO:1900222,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;coenzyme A metabolic process;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, mevalonate pathway;isoprenoid biosynthetic process;negative regulation of amyloid-beta clearance;negative regulation of protein catabolic process;negative regulation of protein secretion;sterol biosynthetic process;zymosterol biosynthetic process",GO:0004420;GO:0005515;GO:0016616;GO:0030695;GO:0050661;GO:0070402;GO:0120225,"GTPase regulator activity;NADP binding;NADPH binding;coenzyme A binding;hydroxymethylglutaryl-CoA reductase (NADPH) activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;protein binding",GO:0005778;GO:0005783;GO:0005789;GO:0098554,cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum;endoplasmic reticulum membrane;peroxisomal membrane
