canonical_target,total_count,n_compounds,compounds
CAMSAP3,1,1,caffeine
CAMTA2,1,1,caffeine
CAPN2,1,1,caffeine
CARD9,1,1,caffeine
CARMIL2,1,1,caffeine
CASP1,1,1,Ginsenoside rb1
CAST,1,1,caffeine
CAVIN4A,1,1,caffeine
CBARP,1,1,caffeine
CBLB,1,1,caffeine
CBX1,1,1,caffeine
CBX6,1,1,caffeine
CBX8,1,1,caffeine
CCDC117,1,1,caffeine
CCDC120,1,1,caffeine
CCDC138,1,1,caffeine
CCDC174,1,1,caffeine
CCDC61,1,1,caffeine
CCDC85C,1,1,caffeine
CCDC88C,1,1,caffeine
CCDC9,1,1,caffeine
CCNE1,1,1,caffeine
CCNH,1,1,caffeine
CCNK,1,1,caffeine
CCNL1,1,1,caffeine
CCNT2,1,1,caffeine
CCNY,1,1,caffeine
CCNYL1,1,1,caffeine
CCT3,1,1,caffeine
CCT4,1,1,caffeine
CCT6A,1,1,caffeine
CCT8,1,1,caffeine
CCZ1,1,1,caffeine
CD2BP2,1,1,caffeine
CD59,1,1,caffeine
CD74,1,1,caffeine
CD99,1,1,caffeine
CDC16,1,1,caffeine
CDC37L1,1,1,caffeine
CDC42EP1,1,1,caffeine
CDC42EP4,1,1,caffeine
CDC5L,1,1,caffeine
CDC6,1,1,caffeine
CDCA2,1,1,caffeine
CDCA5,1,1,caffeine
CDK11B,1,1,caffeine
CDK12,1,1,caffeine
CDK13,1,1,caffeine
CDK18,1,1,caffeine
CDK6,1,1,caffeine
CDKN2AIP,1,1,caffeine
CDR2,1,1,caffeine
CDT1,1,1,caffeine
CDV3,1,1,caffeine
CDX4,1,1,caffeine
CELF3A,1,1,Ethanolamine
CENPB,1,1,caffeine
CENPF,1,1,caffeine
CENPU,1,1,caffeine
CENPV,1,1,caffeine
CEP164,1,1,caffeine
CEP170,1,1,caffeine
CEP250,1,1,caffeine
CEP350,1,1,caffeine
CEP68,1,1,caffeine
CEP78,1,1,caffeine
CERS4,1,1,caffeine
CERT1,1,1,caffeine
CETN3,1,1,caffeine
CFAP410,1,1,caffeine
CFAP54,1,1,caffeine
CFAP97,1,1,caffeine
CFD,1,1,caffeine
CFL1,1,1,caffeine
CGN,1,1,caffeine
CHAF1B,1,1,caffeine
CHAMP1,1,1,caffeine
CHD1,1,1,caffeine
CHD4,1,1,caffeine
CHD7,1,1,caffeine
CHD8,1,1,caffeine
CHERP,1,1,caffeine
CHMP5,1,1,caffeine
CHMP6,1,1,caffeine
CHTF18,1,1,caffeine
CIAPIN1,1,1,caffeine
CKMA,1,1,caffeine
CLASP2,1,1,caffeine
CLCC1,1,1,caffeine
CLCN7,1,1,Ginsenoside rb1
CLDN23,1,1,caffeine
CLINT1,1,1,caffeine
CLN3,1,1,caffeine
CLOCK,1,1,caffeine
CLSTN1,1,1,caffeine
CMIP,1,1,caffeine
CMTM4,1,1,caffeine
CNDP2,1,1,caffeine
CNKSR1,1,1,caffeine
CNN2,1,1,caffeine
CNNM2,1,1,caffeine
CNOT2,1,1,caffeine
COBLL1,1,1,caffeine
COIL,1,1,caffeine
COL2A1,1,1,caffeine
COPG1,1,1,caffeine
COPS3,1,1,caffeine
COQ8A,1,1,caffeine
COX7C,1,1,caffeine
CPEB2,1,1,caffeine
CPSF2,1,1,caffeine
CPSF3,1,1,caffeine
CPSF7,1,1,caffeine
CREB3L2,1,1,caffeine
CREM,1,1,caffeine
CRIPT,1,1,caffeine
CRK,1,1,caffeine
CRYBG3,1,1,caffeine
CRYGMX,1,1,caffeine
CSK,1,1,caffeine
CSNK1D,1,1,caffeine
CSNK2A2,1,1,caffeine
CSTF2,1,1,caffeine
CSTF3,1,1,caffeine
CTCF,1,1,caffeine
CTDP1,1,1,caffeine
CTH,1,1,caffeine
CTNNA1,1,1,caffeine
CTNNAL1,1,1,caffeine
CTNNBIP1,1,1,caffeine
CTNND1,1,1,caffeine
CTPS1,1,1,caffeine
CTPS2,1,1,caffeine
CUEDC2,1,1,caffeine
CUL4A,1,1,caffeine
CUX1,1,1,caffeine
CWC25,1,1,caffeine
CWF19L2,1,1,caffeine
CX3CL1,1,1,caffeine
CXCL16,1,1,caffeine
CYB5B,1,1,caffeine
CYFIP1,1,1,caffeine
CYP11B2,1,1,caffeine
CYP19A1,1,1,caffeine
CYP19A1B,1,1,caffeine
CYP1A,1,1,caffeine
CYP21A1,1,1,caffeine
CYP2A4,1,1,caffeine
CYP4AE1,1,1,caffeine
CYP4D14,1,1,caffeine
CYP4E2,1,1,caffeine
CYP6A2,1,1,caffeine
CYP6A21,1,1,caffeine
CYP6A8,1,1,caffeine
CYP6D4,1,1,caffeine
CYP6D5,1,1,caffeine
CYP6G1,1,1,caffeine
CYP6W1,1,1,caffeine
CYP7B1,1,1,caffeine
DAAM1,1,1,caffeine
DAB2IP,1,1,caffeine
DAGLB,1,1,caffeine
DALRD3,1,1,caffeine
DAZAP1,1,1,caffeine
DBF4,1,1,caffeine
DBNL,1,1,caffeine
DCAF1,1,1,caffeine
DCAF10,1,1,caffeine
DCAF12,1,1,caffeine
DCAF15,1,1,caffeine
DCAF5,1,1,caffeine
DCAF6,1,1,caffeine
DCBLD1,1,1,caffeine
DCBLD2,1,1,caffeine
DCDC2,1,1,caffeine
DCLRE1A,1,1,caffeine
DCP1A,1,1,caffeine
DCP1B,1,1,caffeine
DCTN2,1,1,caffeine
DCTN4,1,1,caffeine
DCTPP1,1,1,caffeine
DCXR,1,1,caffeine
DDHD1,1,1,caffeine
DDI2,1,1,caffeine
DDRGK1,1,1,caffeine
DDX17,1,1,caffeine
DDX18,1,1,caffeine
DDX19A,1,1,caffeine
DDX20,1,1,caffeine
DDX21,1,1,caffeine
DDX24,1,1,caffeine
DDX31,1,1,caffeine
DDX39B,1,1,caffeine
DDX41,1,1,caffeine
DDX42,1,1,caffeine
DDX46,1,1,caffeine
DDX47,1,1,caffeine
DDX51,1,1,caffeine
DDX54,1,1,caffeine
DDX55,1,1,caffeine
DDX59,1,1,caffeine
DEAF1,1,1,caffeine
DEK,1,1,caffeine
DENND1A,1,1,caffeine
DENND2B,1,1,caffeine
DENND4A,1,1,caffeine
DENND4C,1,1,caffeine
DENND5B,1,1,caffeine
DENND6A,1,1,caffeine
DEPDC5,1,1,caffeine
DGAT1,1,1,caffeine
DGCR8,1,1,caffeine
DGKK,1,1,caffeine
DGKZ,1,1,caffeine
DHX16,1,1,caffeine
DHX29,1,1,caffeine
DHX30,1,1,caffeine
DHX36,1,1,caffeine
DIAPH3,1,1,caffeine
DICER1,1,1,caffeine
DIDO1,1,1,caffeine
DIP2A,1,1,caffeine
DIP2B,1,1,caffeine
DIS3L2,1,1,caffeine
DLC1,1,1,caffeine
DLG5,1,1,caffeine
DLGAP4,1,1,caffeine
DLGAP5,1,1,caffeine
DMAP1,1,1,caffeine
DMXL2,1,1,caffeine
DNAJB13,1,1,caffeine
DNAJB6,1,1,caffeine
DNAJB9,1,1,caffeine
DNAJC12,1,1,caffeine
DNAJC16,1,1,caffeine
DNAJC2,1,1,caffeine
DNAJC5,1,1,caffeine
DNMBP,1,1,caffeine
DNTTIP2,1,1,caffeine
DOCK4,1,1,caffeine
DOCK5,1,1,caffeine
DOCK7,1,1,caffeine
DOK4,1,1,caffeine
DONSON,1,1,caffeine
DOP1A,1,1,caffeine
DOP1B,1,1,caffeine
DOT1L,1,1,caffeine
DPF2,1,1,caffeine
DPM1,1,1,caffeine
DPP9,1,1,caffeine
DTD1,1,1,caffeine
DTL,1,1,caffeine
DTNBP1,1,1,caffeine
DTX3L,1,1,caffeine
DTX4,1,1,caffeine
DUS3L,1,1,caffeine
DUSP11,1,1,caffeine
DUSP9,1,1,caffeine
DVL3,1,1,caffeine
DYNC1I2,1,1,caffeine
DYNC1LI1,1,1,caffeine
DYNC1LI2,1,1,caffeine
DZIP3,1,1,caffeine
E2F1,1,1,caffeine
E2F8,1,1,caffeine
EAF2,1,1,caffeine
EBP,1,1,caffeine
ECD,1,1,caffeine
ECE2,1,1,caffeine
ECI1,1,1,caffeine
ECI2,1,1,caffeine
ECM1,1,1,caffeine
EDC4,1,1,caffeine
EDN1,1,1,caffeine
EEA1,1,1,caffeine
EEF1AKMT1,1,1,caffeine
EEF1G,1,1,caffeine
EEF2K,1,1,caffeine
EFEMP2A,1,1,caffeine
EFNB3,1,1,caffeine
EFR3A,1,1,caffeine
EGF,1,1,Ethanolamine
EGFL7,1,1,caffeine
EHBP1,1,1,caffeine
EHBP1L1,1,1,caffeine
EHD2,1,1,caffeine
EI24,1,1,caffeine
EIF1B,1,1,caffeine
EIF2AK1,1,1,caffeine
EIF2AK4,1,1,caffeine
EIF2S2,1,1,caffeine
EIF3B,1,1,caffeine
EIF3F,1,1,caffeine
EIF3H,1,1,caffeine
EIF3K,1,1,caffeine
EIF3M,1,1,caffeine
EIF4EBP2,1,1,caffeine
EIF4ENIF1,1,1,caffeine
EIF4G1,1,1,caffeine
EIF4H,1,1,caffeine
EIF5A,1,1,caffeine
EIF5B,1,1,caffeine
EIF6,1,1,caffeine
EIPR1,1,1,caffeine
ELF1,1,1,caffeine
ELF4,1,1,caffeine
ELL,1,1,caffeine
ELL2,1,1,caffeine
ELOA,1,1,caffeine
ELP3,1,1,caffeine
EMC6,1,1,caffeine
EMD,1,1,caffeine
EMG1,1,1,caffeine
EML4,1,1,caffeine
ENPP1,1,1,caffeine
EP300,1,1,caffeine
EP400,1,1,caffeine
EPB41,1,1,caffeine
EPB41L2,1,1,caffeine
EPB41L4B,1,1,caffeine
EPC1,1,1,caffeine
EPD,1,1,caffeine
EPHA2,1,1,caffeine
EPRS1,1,1,caffeine
EPS8L3,1,1,caffeine
EPYC,1,1,caffeine
ERBB3,1,1,caffeine
ERBIN,1,1,caffeine
ERC1,1,1,caffeine
ERCC4,1,1,caffeine
ERCC6,1,1,caffeine
ERCC6L,1,1,caffeine
ERN1,1,1,caffeine
ERP44,1,1,caffeine
ES2,1,1,caffeine
ESCO2,1,1,caffeine
ESD,1,1,caffeine
ESF1,1,1,caffeine
ESPN,1,1,caffeine
ESRRA,1,1,caffeine
ESS2,1,1,caffeine
ETFA,1,1,caffeine
ETV4,1,1,caffeine
ETV6,1,1,caffeine
EVA1A,1,1,caffeine
EXOC1,1,1,caffeine
EXOC4,1,1,caffeine
EXOC7,1,1,caffeine
EYA2,1,1,caffeine
F11R,1,1,caffeine
FADD,1,1,caffeine
FAM107B,1,1,caffeine
FAM117A,1,1,caffeine
FAM117B,1,1,caffeine
FAM120A,1,1,caffeine
FAM168A,1,1,caffeine
FAM168B,1,1,caffeine
FAM169A,1,1,caffeine
FAM177A1,1,1,caffeine
FAM184A,1,1,caffeine
FAM193A,1,1,caffeine
FAM219B,1,1,caffeine
FAM53C,1,1,caffeine
FAM76A,1,1,caffeine
FAM76B,1,1,caffeine
FAM83G,1,1,caffeine
FAM83H,1,1,caffeine
FAM8A1,1,1,caffeine
FANCE,1,1,caffeine
FANCI,1,1,caffeine
FANCM,1,1,caffeine
FARP1,1,1,caffeine
FASTKD2,1,1,caffeine
FBH1,1,1,caffeine
FBLN2,1,1,caffeine
FBRS,1,1,caffeine
FBXL12,1,1,caffeine
FBXL13,1,1,caffeine
FBXL19,1,1,caffeine
FBXL20,1,1,caffeine
FBXO11,1,1,caffeine
FBXO5,1,1,caffeine
FBXW11,1,1,caffeine
FCHO2,1,1,caffeine
FCRL3,1,1,caffeine
FCSK,1,1,caffeine
FERMT2,1,1,caffeine
FGD6,1,1,caffeine
FGF1,1,1,Ethanolamine
FGF17,1,1,caffeine
FHIP1B,1,1,caffeine
FHIP2B,1,1,caffeine
FILIP1L,1,1,caffeine
FIP1L1,1,1,caffeine
FKBP15,1,1,caffeine
FKBP3,1,1,caffeine
FLYWCH1,1,1,caffeine
FLYWCH2,1,1,caffeine
FMNL2,1,1,caffeine
FNBP4,1,1,caffeine
FNDC3A,1,1,caffeine
FNIP1,1,1,caffeine
FNIP2,1,1,caffeine
FOXJ2,1,1,caffeine
FOXO3,1,1,caffeine
FOXP4,1,1,caffeine
FRA10AC1,1,1,caffeine
FRAS1,1,1,caffeine
FRK,1,1,caffeine
FRMD6,1,1,caffeine
FRMD8,1,1,caffeine
FRMPD3,1,1,caffeine
FRY,1,1,caffeine
FRYL,1,1,caffeine
FTSJ1,1,1,caffeine
FTSJ3,1,1,caffeine
FUBP1,1,1,caffeine
FUBP3,1,1,caffeine
FXR1,1,1,caffeine
FXR2,1,1,caffeine
FXYD1,1,1,caffeine
FXYD3,1,1,caffeine
FYTTD1,1,1,caffeine
FZD5,1,1,caffeine
FZD6,1,1,caffeine
G3BP1,1,1,caffeine
G3BP2,1,1,caffeine
GAB2,1,1,caffeine
GANAB,1,1,caffeine
GAPVD1,1,1,caffeine
GAREM1,1,1,caffeine
GARNL3,1,1,caffeine
GARRE1,1,1,caffeine
GAS2L1,1,1,caffeine
GASK1B,1,1,caffeine
GATAD2A,1,1,caffeine
GATAD2B,1,1,caffeine
GBF1,1,1,caffeine
GCFC2,1,1,caffeine
GCH2,1,1,caffeine
GDA,1,1,caffeine
GDI2,1,1,caffeine
GEMIN5,1,1,caffeine
GEMIN6,1,1,caffeine
GGNBP2,1,1,caffeine
GGT7,1,1,caffeine
GHITM,1,1,caffeine
GIGYF2,1,1,caffeine
GINS2,1,1,caffeine
GIT2,1,1,caffeine
GJA5,1,1,caffeine
GLCCI1,1,1,caffeine
GLP1R,1,1,forskolin
GLRX,1,1,caffeine
GLT8D1,1,1,caffeine
GMPS,1,1,caffeine
GNAI2,1,1,caffeine
GNAL,1,1,caffeine
GNB1,1,1,caffeine
GNL1,1,1,caffeine
GNPAT,1,1,caffeine
GOLGA2,1,1,caffeine
GOLGA3,1,1,caffeine
GON4L,1,1,caffeine
GOPC,1,1,caffeine
GOSR1,1,1,caffeine
GPATCH2,1,1,caffeine
GPATCH2L,1,1,caffeine
GPBAR1,1,1,forskolin
GPBP1,1,1,caffeine
GPBP1L1,1,1,caffeine
GPC3,1,1,caffeine
GPX4,1,1,caffeine
GRAMD2B,1,1,caffeine
GRB7,1,1,caffeine
GRHL1,1,1,caffeine
GRID2,1,1,caffeine
GRIN2B,1,1,caffeine
GRK6,1,1,caffeine
GRPR,1,1,caffeine
GRWD1,1,1,caffeine
GSDMD,1,1,Ginsenoside rb1
GSDME,1,1,caffeine
GSE1,1,1,caffeine
GSTD7,1,1,caffeine
GSTM6,1,1,caffeine
GSTO1,1,1,caffeine
GSTP1,1,1,caffeine
GTF2B,1,1,caffeine
GTF2I,1,1,caffeine
GTF2IRD1,1,1,caffeine
GTF3C2,1,1,caffeine
GTF3C5,1,1,caffeine
GTPBP1,1,1,caffeine
GZF1,1,1,caffeine
H1F0,1,1,caffeine
H2BC9,1,1,caffeine
H3C15,1,1,caffeine
HACD1,1,1,caffeine
HACE1,1,1,caffeine
HADHA,1,1,caffeine
HAUS6,1,1,caffeine
HAUS8,1,1,caffeine
HCFC1,1,1,caffeine
HEATR6,1,1,caffeine
HEBP2,1,1,caffeine
HELB,1,1,caffeine
HELZ,1,1,caffeine
HEPACAM,1,1,caffeine
HERC1,1,1,caffeine
HEXIM2,1,1,caffeine
HGS,1,1,caffeine
HHIPL2,1,1,caffeine
HIC2,1,1,caffeine
HIRA,1,1,caffeine
HJURP,1,1,caffeine
HMGA2,1,1,caffeine
HMGCRA,1,1,Ethanolamine
HMGXB4,1,1,caffeine
HNF1A,1,1,caffeine
HNF4A,1,1,forskolin
HNRNPA2B1,1,1,caffeine
HNRNPA3,1,1,caffeine
HNRNPDL,1,1,caffeine
HNRNPLL,1,1,caffeine
HNRNPR,1,1,caffeine
HNRNPUL2,1,1,caffeine
HOMER3,1,1,caffeine
HOOK3,1,1,caffeine
HPS4,1,1,caffeine
HRH2,1,1,maprotiline
HS1BP3,1,1,caffeine
HSD11B1,1,1,caffeine
HSF1,1,1,caffeine
HSP70L,1,1,caffeine
HSP90AA2P,1,1,caffeine
HSP90AB2P,1,1,caffeine
HSP90AB4P,1,1,caffeine
HSP90B1,1,1,caffeine
HSP90B2P,1,1,caffeine
HSPA4L,1,1,caffeine
HSPA9,1,1,caffeine
HSPB6,1,1,caffeine
HSPBP1,1,1,caffeine
HSPE1,1,1,caffeine
HSPH1,1,1,caffeine
HTATSF1,1,1,caffeine
HTR2B,1,1,maprotiline
HTR3A,1,1,caffeine
HTR6,1,1,maprotiline
HUWE1,1,1,caffeine
HYCC1,1,1,caffeine
IBTK,1,1,caffeine
ICE1,1,1,caffeine
ICE2,1,1,caffeine
IDI1,1,1,caffeine
IFITM2,1,1,caffeine
IFRD1,1,1,caffeine
IFT74,1,1,caffeine
IGF2BP1,1,1,caffeine
IGFBP1,1,1,caffeine
IKBKB,1,1,caffeine
IKZF4,1,1,caffeine
IL18,1,1,Ginsenoside rb1
IL1RL1,1,1,caffeine
IL22RA1,1,1,caffeine
IL3,1,1,caffeine
ILKAP,1,1,caffeine
INAVA,1,1,caffeine
INF2,1,1,caffeine
ING5,1,1,caffeine
INO80,1,1,caffeine
INO80B,1,1,caffeine
INO80C,1,1,caffeine
INO80D,1,1,caffeine
INPP5F,1,1,caffeine
INS1,1,1,caffeine
INTS1,1,1,caffeine
INTS12,1,1,caffeine
INTS13,1,1,caffeine
INTS3,1,1,caffeine
INTS7,1,1,caffeine
IQGAP2,1,1,caffeine
IQGAP3,1,1,caffeine
IQSEC1,1,1,caffeine
IRF2BP1,1,1,caffeine
IRF2BP2,1,1,caffeine
IRF2BPL,1,1,caffeine
IRX3,1,1,caffeine
ISLR2,1,1,caffeine
ISYNA1,1,1,caffeine
ITGB2,1,1,Ginsenoside rb1
ITM2B,1,1,caffeine
ITPRID2,1,1,caffeine
ITSN1,1,1,caffeine
ITSN2,1,1,caffeine
IVNS1ABP,1,1,caffeine
IWS1,1,1,caffeine
JADE2,1,1,caffeine
JADE3,1,1,caffeine
JHEH1,1,1,caffeine
JMJD1C,1,1,caffeine
JMY,1,1,caffeine
JOSD1,1,1,caffeine
JRK,1,1,caffeine
KALRN,1,1,caffeine
KANK1,1,1,caffeine
KANK2,1,1,caffeine
KANSL1,1,1,caffeine
KAT6A,1,1,caffeine
KAT6B,1,1,caffeine
KAT7,1,1,caffeine
KAT8,1,1,caffeine
KATNA1,1,1,caffeine
KATNIP,1,1,caffeine
KAZN,1,1,caffeine
KBTBD7,1,1,caffeine
KCMF1,1,1,caffeine
KCNAB2,1,1,caffeine
KCNE1,1,1,Ginsenoside rb1
KCNMB1,1,1,forskolin
KCNMB2,1,1,forskolin
KCNMB3,1,1,forskolin
KCNMB4,1,1,forskolin
KCTD14,1,1,caffeine
KCTD3,1,1,caffeine
KDM2A,1,1,caffeine
KDM2B,1,1,caffeine
KDM3A,1,1,caffeine
KDM3B,1,1,caffeine
KDM4A,1,1,caffeine
KDM4C,1,1,caffeine
KDM5C,1,1,caffeine
KGD4,1,1,caffeine
KHDC4,1,1,caffeine
KHDRBS1,1,1,caffeine
KIAA0232,1,1,caffeine
KIAA0319L,1,1,caffeine
KIAA0586,1,1,caffeine
KIAA0753,1,1,caffeine
KIAA0930,1,1,caffeine
KIAA1143,1,1,caffeine
KIAA1217,1,1,caffeine
KIAA1328,1,1,caffeine
KIAA1671,1,1,caffeine
KIF13A,1,1,caffeine
KIF15,1,1,caffeine
KIF16B,1,1,caffeine
KIF18A,1,1,caffeine
KIF18B,1,1,caffeine
KIF1B,1,1,caffeine
KIF20A,1,1,caffeine
KIF20B,1,1,caffeine
KIF21A,1,1,caffeine
KIF23,1,1,caffeine
KIF2C,1,1,caffeine
KIF3B,1,1,caffeine
KIF4A,1,1,caffeine
KIFBP,1,1,caffeine
KIN,1,1,caffeine
KIZ,1,1,caffeine
KLC2,1,1,caffeine
KLC4,1,1,caffeine
KLF16,1,1,caffeine
KLF3,1,1,caffeine
KLHDC4,1,1,caffeine
KLHL14,1,1,caffeine
KLHL22,1,1,caffeine
KLHL32,1,1,caffeine
KLHL9,1,1,caffeine
KMT2A,1,1,caffeine
KMT2B,1,1,caffeine
KMT2C,1,1,caffeine
KMT2D,1,1,caffeine
KNL1,1,1,caffeine
KNOP1,1,1,caffeine
KNTC1,1,1,caffeine
KPNA6,1,1,caffeine
KRABD3,1,1,caffeine
KRT36,1,1,caffeine
KSR1,1,1,caffeine
KTI12,1,1,caffeine
LAMP1,1,1,Ginsenoside rb1
LAMTOR1,1,1,caffeine
LARP1,1,1,caffeine
LARP1B,1,1,caffeine
LARP4,1,1,caffeine
LARP4B,1,1,caffeine
LARP7,1,1,caffeine
LARS1,1,1,caffeine
LAS1L,1,1,caffeine
LATS1,1,1,caffeine
LATS2,1,1,caffeine
LCOR,1,1,caffeine
LEMD2,1,1,caffeine
LEMD3,1,1,caffeine
LENG1,1,1,caffeine
LEO1,1,1,caffeine
LGALSL,1,1,caffeine
LGR5,1,1,caffeine
LIMA1,1,1,caffeine
LIMD1,1,1,caffeine
LIME1,1,1,caffeine
LIN28B,1,1,caffeine
LIN54,1,1,caffeine
LIN7B,1,1,caffeine
LIN9,1,1,caffeine
LINC00308,1,1,caffeine
LMNB2,1,1,caffeine
LMTK2,1,1,caffeine
LOC124903407,1,1,forskolin
LONP2,1,1,caffeine
LPAR2,1,1,caffeine
LPIN1,1,1,caffeine
LPIN2,1,1,caffeine
LPIN3,1,1,caffeine
LRCH1,1,1,caffeine
LRIF1,1,1,caffeine
LRRC41,1,1,caffeine
LRRC45,1,1,caffeine
LRRC47,1,1,caffeine
LRRC8A,1,1,caffeine
LRRFIP1,1,1,caffeine
LRRFIP2,1,1,caffeine
LRRN1,1,1,caffeine
LRSAM1,1,1,caffeine
LRWD1,1,1,caffeine
LSG1,1,1,caffeine
LSM12,1,1,caffeine
LSM14A,1,1,caffeine
LSM14B,1,1,caffeine
LSR,1,1,caffeine
LTV1,1,1,caffeine
LUC7L,1,1,caffeine
LUC7L2,1,1,caffeine
LUC7L3,1,1,caffeine
LUZP1,1,1,caffeine
LYSMD2,1,1,caffeine
LYSMD3,1,1,caffeine
LZTS2,1,1,caffeine
MACF1,1,1,caffeine
MACO1,1,1,caffeine
MACROH2A1,1,1,caffeine
MAEL,1,1,caffeine
MAF1,1,1,caffeine
MAFF,1,1,caffeine
MAFK,1,1,caffeine
MAGED2,1,1,caffeine
MAGED4,1,1,caffeine
MAGI1,1,1,caffeine
MAGI2,1,1,caffeine
MAGI3,1,1,caffeine
MAL2,1,1,caffeine
MALT1,1,1,caffeine
MAML1,1,1,caffeine
MAML2,1,1,caffeine
MAN2A1,1,1,caffeine
MAOA,1,1,caffeine
MAP1B,1,1,caffeine
MAP1S,1,1,caffeine
MAP2,1,1,Ginsenoside rb1
MAP2K2,1,1,caffeine
MAP2K4,1,1,caffeine
MAP3K1,1,1,caffeine
MAP3K11,1,1,caffeine
MAP3K12,1,1,caffeine
MAP3K2,1,1,caffeine
MAP3K20,1,1,caffeine
MAP3K3,1,1,caffeine
MAP3K4,1,1,caffeine
MAP3K9,1,1,caffeine
MAP4,1,1,caffeine
MAP4K2,1,1,caffeine
MAP4K4,1,1,caffeine
MAP4K5,1,1,caffeine
MAP7D1,1,1,caffeine
MAP7D2,1,1,caffeine
MAP9,1,1,caffeine
MAPK1IP1L,1,1,caffeine
MAPK4,1,1,forskolin
MAPK6,1,1,forskolin
MAPK8IP3,1,1,caffeine
MAPK9,1,1,caffeine
MAPKAP1,1,1,caffeine
MAPKAPK3,1,1,caffeine
MAPRE1,1,1,caffeine
MAPRE2,1,1,caffeine
MARCHF11,1,1,caffeine
MARCKSL1,1,1,caffeine
MARF1,1,1,caffeine
MARK3,1,1,caffeine
MARK4,1,1,caffeine
MARVELD2,1,1,caffeine
MAST2,1,1,caffeine
MAST3,1,1,caffeine
MAST4,1,1,caffeine
MASTL,1,1,caffeine
MATR3,1,1,caffeine
MAVS,1,1,caffeine
MB21D2,1,1,caffeine
MBD1,1,1,caffeine
MBD2,1,1,caffeine
MBD4,1,1,caffeine
MBD5,1,1,caffeine
MBD6,1,1,caffeine
MBIP,1,1,caffeine
MC2R,1,1,caffeine
MCC,1,1,caffeine
MCCC1,1,1,caffeine
MCL1,1,1,caffeine
MCM10,1,1,caffeine
MCM2,1,1,caffeine
MCM3,1,1,caffeine
MCM4,1,1,caffeine
MCM6,1,1,caffeine
MCM8,1,1,caffeine
MCM9,1,1,caffeine
MCMBP,1,1,caffeine
MCPH1,1,1,caffeine
MCRIP2,1,1,caffeine
MCRS1,1,1,caffeine
MCTP2,1,1,caffeine
MDC1,1,1,caffeine
MDH2,1,1,caffeine
MDM2,1,1,caffeine
MDN1,1,1,caffeine
MED1,1,1,caffeine
MED12,1,1,caffeine
MED13,1,1,caffeine
MED13L,1,1,caffeine
MED15,1,1,caffeine
MED17,1,1,caffeine
MED19,1,1,caffeine
MED24,1,1,caffeine
MED26,1,1,caffeine
MEF2A,1,1,caffeine
MEF2C,1,1,caffeine
MEIS2,1,1,caffeine
MELK,1,1,caffeine
MEN1,1,1,caffeine
MEPCE,1,1,caffeine
MERTK,1,1,caffeine
MET,1,1,caffeine
METTL1,1,1,caffeine
METTL21A,1,1,caffeine
METTL22,1,1,caffeine
METTL25,1,1,caffeine
METTL2B,1,1,caffeine
METTL3,1,1,caffeine
MEX3C,1,1,caffeine
MEX3D,1,1,caffeine
MFAP1,1,1,caffeine
MFF,1,1,caffeine
MFHAS1,1,1,caffeine
MFN1,1,1,caffeine
MFN2,1,1,caffeine
MFSD6,1,1,caffeine
MGA,1,1,caffeine
MGME1,1,1,caffeine
MGRN1,1,1,caffeine
MGST1,1,1,caffeine
MIA2,1,1,caffeine
MIA3,1,1,caffeine
MICA,1,1,caffeine
MICAL1,1,1,caffeine
MICALL1,1,1,caffeine
MICALL2,1,1,caffeine
MICB,1,1,caffeine
MIDEAS,1,1,caffeine
MIER1,1,1,caffeine
MIER2,1,1,caffeine
MIF,1,1,caffeine
MIGA2,1,1,caffeine
MIIP,1,1,caffeine
MINDY1,1,1,caffeine
MINDY2,1,1,caffeine
MINK1,1,1,caffeine
MIPB,1,1,caffeine
MIR101A,1,1,caffeine
MIR122,1,1,caffeine
MIR192,1,1,caffeine
MIR421,1,1,caffeine
MIS18BP1,1,1,caffeine
MISP,1,1,caffeine
MLF2,1,1,caffeine
MLLT3,1,1,caffeine
MLLT6,1,1,caffeine
MMAA,1,1,caffeine
MMGT1,1,1,caffeine
MMP15,1,1,caffeine
MMP7,1,1,caffeine
MNDA,1,1,caffeine
MOCOS,1,1,caffeine
MOGAT1,1,1,caffeine
MON1A,1,1,caffeine
MON1B,1,1,caffeine
MON2,1,1,caffeine
MORC2,1,1,caffeine
MORC3,1,1,caffeine
MOS,1,1,caffeine
MOV10,1,1,caffeine
MPG,1,1,caffeine
MPHOSPH8,1,1,caffeine
MPHOSPH9,1,1,caffeine
MPLKIP,1,1,caffeine
MPRIP,1,1,caffeine
MPZL1,1,1,caffeine
MRE11,1,1,caffeine
MRGBP,1,1,caffeine
MRM3,1,1,caffeine
MRNIP,1,1,caffeine
MRPL19,1,1,caffeine
MRPL20,1,1,caffeine
MRPL4,1,1,caffeine
MRPL9,1,1,caffeine
MRPS17,1,1,caffeine
MRPS5,1,1,caffeine
MRTFA,1,1,caffeine
MRTFB,1,1,caffeine
MSANTD3,1,1,caffeine
MSH2,1,1,caffeine
MSL1,1,1,caffeine
MSL3,1,1,caffeine
MSRB3,1,1,caffeine
MSTO1,1,1,caffeine
MT1G,1,1,caffeine
MT2,1,1,caffeine
MTA1,1,1,caffeine
MTA2,1,1,caffeine
MTA3,1,1,caffeine
MTBP,1,1,caffeine
MTCH1,1,1,caffeine
MTCL1,1,1,caffeine
MTCL2,1,1,caffeine
MTDH,1,1,caffeine
MTF2,1,1,caffeine
MTFR1L,1,1,caffeine
