uniprot_accession,total_count,n_compounds,compounds,symbol,geneid,n_pathways,pathways
P00813,4.0,1.0,caffeine,ADA,100,1.0,Reactome_R-HSA-1430728
P02452,4.0,1.0,caffeine,COL1A1,1277,0.0,
P02647,4.0,1.0,caffeine,APOA1,335,1.0,Reactome_R-HSA-1430728
P02652,4.0,1.0,caffeine,APOA2,336,1.0,Reactome_R-HSA-1430728
P02654,4.0,1.0,caffeine,APOC1,341,0.0,
P02655,4.0,1.0,caffeine,APOC2,344,1.0,Reactome_R-HSA-1430728
P02768,4.0,1.0,caffeine,ALB,213,1.0,Reactome_R-HSA-1430728
P04075,4.0,1.0,caffeine,ALDOA,226,1.0,Reactome_R-HSA-1430728
P04406,4.0,1.0,caffeine,GAPDH,2597,1.0,Reactome_R-HSA-1430728
P05362,4.0,1.0,caffeine,ICAM1,3383,0.0,
P06730,4.0,1.0,caffeine,EIF4E,1977,0.0,
P06733,4.0,1.0,caffeine,ENO1,2023,1.0,Reactome_R-HSA-1430728
P06744,4.0,1.0,caffeine,GPI,2821,1.0,Reactome_R-HSA-1430728
P07900,4.0,1.0,caffeine,HSP90AA1,3320,1.0,Reactome_R-HSA-1430728
P07910,4.0,1.0,caffeine,HNRNPC,3183,0.0,
P09525,4.0,1.0,caffeine,ANXA4,307,0.0,
P09651,4.0,1.0,caffeine,HNRNPA1,3178,0.0,
P0DP23,4.0,1.0,caffeine,CALM1,801,1.0,Reactome_R-HSA-1430728
P10145,4.0,1.0,caffeine,CXCL8,3576,0.0,
P10412,4.0,1.0,caffeine,H1-4,3008,0.0,
P11802,4.0,1.0,caffeine,CDK4,1019,0.0,
P12830,4.0,1.0,caffeine,CDH1,999,0.0,
P13639,4.0,1.0,caffeine,EEF2,1938,0.0,
P16112,4.0,1.0,caffeine,ACAN,176,0.0,
P16401,4.0,1.0,caffeine,H1-5,3009,0.0,
P16949,4.0,1.0,caffeine,STMN1,3925,0.0,
P17096,4.0,1.0,caffeine,HMGA1,3159,0.0,
P17302,4.0,1.0,caffeine,GJA1,2697,0.0,
P17676,4.0,1.0,caffeine,CEBPB,1051,0.0,
P18146,4.0,1.0,caffeine,EGR1,1958,0.0,
P23560,4.0,1.0,caffeine,BDNF,627,0.0,
P26358,4.0,1.0,caffeine,DNMT1,1786,0.0,
P27708,4.0,1.0,caffeine,CAD,790,1.0,Reactome_R-HSA-1430728
P29692,4.0,1.0,caffeine,EEF1D,1936,0.0,
P30305,4.0,1.0,caffeine,CDC25B,994,0.0,
P30543,4.0,1.0,caffeine,ADORA2A,25369,0.0,
P31689,4.0,1.0,caffeine,DNAJA1,3301,0.0,
P31943,4.0,1.0,caffeine,HNRNPH1,3187,0.0,
P34932,4.0,1.0,caffeine,HSPA4,3308,0.0,
P35348,4.0,1.0,maprotiline,ADRA1A,148,0.0,
