uniprot_accession,total_count,n_compounds,compounds,symbol,geneid,n_pathways,pathways
Q6P1X5,1.0,1.0,caffeine,TAF2,6873,0.0,
Q6P2E9,1.0,1.0,caffeine,EDC4,23644,0.0,
Q6P444,1.0,1.0,caffeine,MTFR2,113115,0.0,
Q6P4A7,1.0,1.0,caffeine,SFXN4,119559,1.0,Reactome_R-HSA-1430728
Q6P4E1,1.0,1.0,caffeine,GOLM2,113201,0.0,
Q6P4F7,1.0,1.0,caffeine,ARHGAP11A,9824,0.0,
Q6P4R8,1.0,1.0,caffeine,NFRKB,4798,0.0,
Q6P6C2,1.0,1.0,caffeine,ALKBH5,54890,0.0,
Q6P996,1.0,1.0,caffeine,PDXDC1,23042,0.0,
Q6P9G9,1.0,1.0,caffeine,ZNF449,203523,0.0,
Q6P9H4,1.0,1.0,caffeine,CNKSR3,154043,0.0,
Q6PCT2,1.0,1.0,caffeine,FBXL19,54620,0.0,
Q6PFW1,1.0,1.0,caffeine,PPIP5K1,9677,0.0,
Q6PGQ7,1.0,1.0,caffeine,BORA,79866,0.0,
Q6PH56,1.0,1.0,caffeine,HSP70.3,30671,0.0,
Q6PHR2,1.0,1.0,caffeine,ULK3,25989,0.0,
Q6PII3,1.0,1.0,caffeine,CCDC174,51244,0.0,
Q6PIJ6,1.0,1.0,caffeine,FBXO38,81545,0.0,
Q6PJI9,1.0,1.0,caffeine,WDR59,79726,0.0,
Q6PJP8,1.0,1.0,caffeine,DCLRE1A,9937,0.0,
Q6PJT7,1.0,1.0,caffeine,ZC3H14,79882,0.0,
Q6PKG0,1.0,1.0,caffeine,LARP1,23367,0.0,
Q6PL18,1.0,1.0,caffeine,ATAD2,29028,0.0,
Q6PL24,1.0,1.0,caffeine,TMED8,283578,0.0,
Q6Q0C0,1.0,1.0,caffeine,TRAF7,84231,0.0,
Q6SPF0,1.0,1.0,caffeine,SAMD1,90378,0.0,
Q6UB35,1.0,1.0,caffeine,MTHFD1L,25902,1.0,Reactome_R-HSA-1430728
Q6UB98,1.0,1.0,caffeine,ANKRD12,23253,0.0,
Q6UB99,1.0,1.0,caffeine,ANKRD11,29123,0.0,
Q6ULP2,1.0,1.0,caffeine,AFTPH,54812,0.0,
Q6UN15,1.0,1.0,caffeine,FIP1L1,81608,0.0,
Q6UUV7,1.0,1.0,caffeine,CRTC3,64784,0.0,
Q6UUV9,1.0,1.0,caffeine,CRTC1,23373,0.0,
Q6UWH4,1.0,1.0,caffeine,GASK1B,51313,0.0,
Q6UWX4,1.0,1.0,caffeine,HHIPL2,79802,0.0,
Q6UWZ7,1.0,1.0,caffeine,ABRAXAS1,84142,0.0,
Q6UX68,1.0,1.0,caffeine,XKR5,389610,0.0,
Q6UXD5,1.0,1.0,caffeine,SEZ6L2,26470,0.0,
Q6UXV4,1.0,1.0,caffeine,APOOL,139322,0.0,
Q6UXY1,1.0,1.0,caffeine,BAIAP2L2,80115,0.0,
Q6VMQ6,1.0,1.0,caffeine,ATF7IP,55729,0.0,
Q6VY07,1.0,1.0,caffeine,PACS1,55690,0.0,
Q6W2J9,1.0,1.0,caffeine,BCOR,54880,0.0,
Q6XYQ8,1.0,1.0,caffeine,SYT10,341359,0.0,
Q6XZF7,1.0,1.0,caffeine,DNMBP,23268,0.0,
Q6Y7W6,1.0,1.0,caffeine,GIGYF2,26058,0.0,
Q6ZMQ8,1.0,1.0,caffeine,AATK,9625,0.0,
Q6ZN18,1.0,1.0,caffeine,AEBP2,121536,0.0,
Q6ZNJ1,1.0,1.0,caffeine,NBEAL2,23218,0.0,
Q6ZQN7,1.0,1.0,caffeine,SLCO4C1,353189,0.0,
Q6ZRI6,1.0,1.0,caffeine,C15ORF39,56905,0.0,
Q6ZRS2,1.0,1.0,caffeine,SRCAP,10847,0.0,
Q6ZRV2,1.0,1.0,caffeine,SACK1H,286077,0.0,
Q6ZS30,1.0,1.0,caffeine,NBEAL1,65065,0.0,
Q6ZSB9,1.0,1.0,caffeine,ZBTB49,166793,0.0,
Q6ZSZ5,1.0,1.0,caffeine,ARHGEF18,23370,0.0,
Q6ZU80,1.0,1.0,caffeine,CEP128,145508,0.0,
Q6ZUT9,1.0,1.0,caffeine,DENND5B,160518,0.0,
Q6ZV73,1.0,1.0,caffeine,FGD6,55785,0.0,
Q6ZV89,1.0,1.0,caffeine,SH2D5,400745,0.0,
Q6ZVD7,1.0,1.0,caffeine,STOX1,219736,0.0,
Q6ZVM7,1.0,1.0,caffeine,TOM1L2,146691,0.0,
Q6ZWJ1,1.0,1.0,caffeine,STXBP4,252983,0.0,
Q709C8,1.0,1.0,caffeine,VPS13C,54832,0.0,
Q70CQ2,1.0,1.0,caffeine,USP34,9736,0.0,
Q70CQ4,1.0,1.0,caffeine,USP31,57478,0.0,
Q70EL1,1.0,1.0,caffeine,USP54,159195,0.0,
Q70EL4,1.0,1.0,caffeine,USP43,124739,0.0,
Q70SY1,1.0,1.0,caffeine,CREB3L2,64764,0.0,
Q70Z53,1.0,1.0,caffeine,FRA10AC1,118924,0.0,
Q71DI3,1.0,1.0,caffeine,H3C15,333932,0.0,
Q71F23,1.0,1.0,caffeine,CENPU,79682,0.0,
Q71RG4,1.0,1.0,caffeine,TMUB2,79089,0.0,
Q765P7,1.0,1.0,caffeine,MTSS2,92154,0.0,
Q76FK4,1.0,1.0,caffeine,NOL8,55035,0.0,
Q76I76,1.0,1.0,caffeine,SSH2,85464,0.0,
Q76L83,1.0,1.0,caffeine,ASXL2,55252,0.0,
Q76N32,1.0,1.0,caffeine,CEP68,23177,0.0,
Q7JRC3,1.0,1.0,caffeine,JHEH1,251984,0.0,
Q7JVG2,1.0,1.0,caffeine,APS,39226,0.0,
Q7KK90,1.0,1.0,caffeine,GSTE1,37106,0.0,
Q7KR10,1.0,1.0,caffeine,CYP12D1-D,2768720,0.0,
Q7KTX7,1.0,1.0,Ginsenoside rb1,PARK,40336,0.0,
Q7KZ85,1.0,1.0,caffeine,SUPT6H,6830,0.0,
Q7KZF4,1.0,1.0,caffeine,SND1,27044,0.0,
Q7KZI7,1.0,1.0,caffeine,MARK2,2011,0.0,
Q7L014,1.0,1.0,caffeine,DDX46,9879,0.0,
Q7L2E3,1.0,1.0,caffeine,DHX30,22907,0.0,
Q7L2H7,1.0,1.0,caffeine,EIF3M,10480,0.0,
Q7L3B6,1.0,1.0,caffeine,CDC37L1,55664,0.0,
Q7L576,1.0,1.0,caffeine,CYFIP1,23191,0.0,
Q7L7X3,1.0,1.0,caffeine,TAOK1,57551,0.0,
Q7L9B9,1.0,1.0,caffeine,EEPD1,80820,0.0,
Q7RTU3,1.0,1.0,caffeine,OLIG3,167826,0.0,
Q7Z2T5,1.0,1.0,caffeine,TRMT1L,81627,0.0,
Q7Z2W4,1.0,1.0,caffeine,ZC3HAV1,56829,0.0,
Q7Z2Z1,1.0,1.0,caffeine,TICRR,90381,0.0,
Q7Z309,1.0,1.0,caffeine,PABIR2,159090,0.0,
Q7Z333,1.0,1.0,caffeine,SETX,23064,0.0,
Q7Z3C6,1.0,1.0,caffeine,ATG9A,79065,0.0,
Q7Z3D4,1.0,1.0,caffeine,LYSMD3,116068,0.0,
Q7Z3T8,1.0,1.0,caffeine,ZFYVE16,9765,0.0,
Q7Z3U7,1.0,1.0,caffeine,MON2,23041,0.0,
Q7Z3V4,1.0,1.0,caffeine,UBE3B,89910,0.0,
Q7Z401,1.0,1.0,caffeine,DENND4A,10260,0.0,
Q7Z402,1.0,1.0,caffeine,TMC7,79905,0.0,
Q7Z403,1.0,1.0,caffeine,TMC6,11322,0.0,
Q7Z417,1.0,1.0,caffeine,NUFIP2,57532,0.0,
Q7Z422,1.0,1.0,caffeine,SZRD1,26099,0.0,
Q7Z460,1.0,1.0,caffeine,CLASP1,23332,0.0,
Q7Z478,1.0,1.0,caffeine,DHX29,54505,0.0,
Q7Z4H3,1.0,1.0,caffeine,HDDC2,51020,0.0,
Q7Z4H7,1.0,1.0,caffeine,HAUS6,54801,0.0,
Q7Z4Q2,1.0,1.0,caffeine,HEATR3,55027,0.0,
Q7Z4V5,1.0,1.0,caffeine,HDGFL2,84717,0.0,
Q7Z4W1,1.0,1.0,caffeine,DCXR,51181,1.0,Reactome_R-HSA-1430728
Q7Z569,1.0,1.0,caffeine,BRAP,8315,0.0,
Q7Z589,1.0,1.0,caffeine,EMSY,56946,0.0,
Q7Z591,1.0,1.0,caffeine,AKNA,80709,0.0,
Q7Z5K2,1.0,1.0,caffeine,WAPL,23063,0.0,
Q7Z5Q1,1.0,1.0,caffeine,CPEB2,132864,0.0,
Q7Z698,1.0,1.0,caffeine,SPRED2,200734,0.0,
Q7Z699,1.0,1.0,caffeine,SPRED1,161742,0.0,
Q7Z6B7,1.0,1.0,caffeine,SRGAP1,57522,0.0,
Q7Z6J9,1.0,1.0,caffeine,TSEN54,283989,0.0,
Q7Z6Z7,1.0,1.0,caffeine,HUWE1,10075,0.0,
Q7Z713,1.0,1.0,caffeine,ANKRD37,353322,0.0,
Q7Z7G8,1.0,1.0,caffeine,VPS13B,157680,0.0,
Q7Z7J9,1.0,1.0,caffeine,CAMK2N1,55450,0.0,
Q7Z7K6,1.0,1.0,caffeine,CENPV,201161,0.0,
Q86SE8,1.0,1.0,caffeine,NPM2,10361,0.0,
Q86SQ4,1.0,1.0,caffeine,ADGRG6,57211,0.0,
Q86T82,1.0,1.0,caffeine,USP37,57695,0.0,
Q86TI2,1.0,1.0,caffeine,DPP9,91039,0.0,
Q86TU7,1.0,1.0,caffeine,SETD3,84193,0.0,
Q86TX2,1.0,1.0,caffeine,ACOT1,641371,0.0,
Q86U86,1.0,1.0,caffeine,PBRM1,55193,0.0,
Q86U90,1.0,1.0,caffeine,YRDC,79693,0.0,
Q86UD5,1.0,1.0,caffeine,SLC9B2,133308,0.0,
Q86UE4,1.0,1.0,caffeine,MTDH,92140,0.0,
Q86UE8,1.0,1.0,caffeine,TLK2,11011,0.0,
Q86UK7,1.0,1.0,caffeine,ZNF598,90850,0.0,
Q86UQ4,1.0,1.0,caffeine,ABCA13,154664,0.0,
Q86UU0,1.0,1.0,caffeine,BCL9L,283149,0.0,
Q86UW2,1.0,1.0,caffeine,SLC51B,123264,1.0,Reactome_R-HSA-1430728
Q86UX6,1.0,1.0,caffeine,STK32C,282974,0.0,
Q86V24,1.0,1.0,caffeine,ADIPOR2,79602,1.0,Reactome_R-HSA-1430728
Q86V81,1.0,1.0,caffeine,ALYREF,10189,0.0,
Q86V87,1.0,1.0,caffeine,FHIP2B,64760,0.0,
Q86VI3,1.0,1.0,caffeine,IQGAP3,128239,0.0,
Q86VL8,1.0,1.0,caffeine,SLC47A2,146802,0.0,
Q86VM9,1.0,1.0,caffeine,ZC3H18,124245,0.0,
Q86VP3,1.0,1.0,caffeine,PACS2,23241,0.0,
Q86VQ1,1.0,1.0,caffeine,GLCCI1,113263,0.0,
Q86VS8,1.0,1.0,caffeine,HOOK3,84376,0.0,
Q86VZ1,1.0,1.0,caffeine,P2RY8,286530,0.0,
Q86W33,1.0,1.0,caffeine,TPRA1,131601,0.0,
Q86W42,1.0,1.0,caffeine,THOC6,79228,0.0,
Q86W47,1.0,1.0,forskolin,KCNMB4,27345,0.0,
Q86W56,1.0,1.0,caffeine,PARG,8505,0.0,
Q86W92,1.0,1.0,caffeine,PPFIBP1,8496,0.0,
Q86WB0,1.0,1.0,caffeine,ZC3HC1,51530,0.0,
Q86WC4,1.0,1.0,caffeine,OSTM1,28962,0.0,
Q86WJ1,1.0,1.0,caffeine,CHD1L,9557,0.0,
Q86WP2,1.0,1.0,caffeine,GPBP1,65056,0.0,
Q86X29,1.0,1.0,caffeine,LSR,51599,0.0,
Q86XK2,1.0,1.0,caffeine,FBXO11,80204,0.0,
Q86XL3,1.0,1.0,caffeine,ANKLE2,23141,0.0,
Q86XP3,1.0,1.0,caffeine,DDX42,11325,0.0,
Q86XX4,1.0,1.0,caffeine,FRAS1,80144,0.0,
Q86Y13,1.0,1.0,caffeine,DZIP3,9666,0.0,
Q86Y82,1.0,1.0,caffeine,STX12,23673,0.0,
Q86YA3,1.0,1.0,caffeine,ZGRF1,55345,0.0,
Q86YC2,1.0,1.0,caffeine,PALB2,79728,0.0,
Q86YH2,1.0,1.0,caffeine,ZNF280B,140883,0.0,
Q86YM7,1.0,1.0,caffeine,HOMER1,9456,0.0,
Q86YP4,1.0,1.0,caffeine,GATAD2A,54815,0.0,
Q8CE64,1.0,1.0,caffeine,ZFP276,57247,0.0,
Q8IU81,1.0,1.0,caffeine,IRF2BP1,26145,0.0,
Q8IUD2,1.0,1.0,caffeine,ERC1,23085,0.0,
Q8IUD6,1.0,1.0,caffeine,RNF135,84282,0.0,
Q8IUW5,1.0,1.0,caffeine,RELL1,768211,0.0,
Q8IV31,1.0,1.0,caffeine,TMEM139,135932,0.0,
Q8IV63,1.0,1.0,caffeine,VRK3,51231,0.0,
Q8IVH2,1.0,1.0,caffeine,FOXP4,116113,0.0,
Q8IVL1,1.0,1.0,caffeine,NAV2,89797,0.0,
Q8IVL6,1.0,1.0,caffeine,P3H3,10536,0.0,
Q8IVM0,1.0,1.0,caffeine,CCDC50,152137,0.0,
Q8IVW6,1.0,1.0,caffeine,ARID3B,10620,0.0,
Q8IWB7,1.0,1.0,caffeine,WDFY1,57590,0.0,
Q8IWB9,1.0,1.0,caffeine,TEX2,55852,0.0,
Q8IWD4,1.0,1.0,caffeine,CCDC117,150275,0.0,
Q8IWF6,1.0,1.0,caffeine,DENND6A,201627,0.0,
Q8IWR0,1.0,1.0,caffeine,ZC3H7A,29066,0.0,
Q8IWU2,1.0,1.0,caffeine,LMTK2,22853,0.0,
Q8IWV7,1.0,1.0,caffeine,UBR1,197131,0.0,
Q8IWV8,1.0,1.0,caffeine,UBR2,23304,0.0,
Q8IWW6,1.0,1.0,caffeine,ARHGAP12,94134,0.0,
Q8IWX8,1.0,1.0,caffeine,CHERP,10523,0.0,
Q8IWY9,1.0,1.0,caffeine,CDAN1,146059,0.0,
Q8IWZ3,1.0,1.0,caffeine,ANKHD1,54882,0.0,
Q8IX01,1.0,1.0,caffeine,SUGP2,10147,0.0,
Q8IX03,1.0,1.0,caffeine,WWC1,23286,0.0,
Q8IX07,1.0,1.0,caffeine,ZFPM1,161882,0.0,
Q8IX12,1.0,1.0,caffeine,CCAR1,55749,0.0,
Q8IX21,1.0,1.0,caffeine,SLF2,55719,0.0,
Q8IXJ6,1.0,1.0,Ethanolamine,SIRT2,22933,0.0,
Q8IXJ9,1.0,1.0,caffeine,ASXL1,171023,0.0,
Q8IXS8,1.0,1.0,caffeine,HYCC2,285172,0.0,
Q8IXZ2,1.0,1.0,caffeine,ZC3H3,23144,0.0,
Q8IY18,1.0,1.0,caffeine,SMC5,23137,0.0,
Q8IY22,1.0,1.0,caffeine,CMIP,80790,0.0,
Q8IY42,1.0,1.0,caffeine,PGCKA1,55286,0.0,
Q8IY57,1.0,1.0,caffeine,YAF2,10138,0.0,
Q8IY81,1.0,1.0,caffeine,FTSJ3,117246,0.0,
Q8IY92,1.0,1.0,caffeine,SLX4,84464,0.0,
Q8IYB3,1.0,1.0,caffeine,SRRM1,10250,0.0,
Q8IYB7,1.0,1.0,caffeine,DIS3L2,129563,0.0,
Q8IYD8,1.0,1.0,caffeine,FANCM,57697,0.0,
Q8IYI0,1.0,1.0,caffeine,SHLD1,149840,0.0,
Q8IYJ3,1.0,1.0,caffeine,SYTL1,84958,0.0,
Q8IYL3,1.0,1.0,caffeine,C1ORF174,339448,0.0,
Q8IYP9,1.0,1.0,caffeine,ZDHHC23,254887,0.0,
Q8IYU2,1.0,1.0,caffeine,HACE1,57531,0.0,
Q8IZ07,1.0,1.0,caffeine,ANKRD13A,88455,0.0,
Q8IZ21,1.0,1.0,caffeine,PHACTR4,65979,0.0,
Q8IZD4,1.0,1.0,caffeine,DCP1B,196513,0.0,
Q8IZL2,1.0,1.0,caffeine,MAML2,84441,0.0,
Q8IZP0,1.0,1.0,caffeine,ABI1,10006,0.0,
Q8IZR5,1.0,1.0,caffeine,CMTM4,146223,0.0,
Q8IZT6,1.0,1.0,caffeine,ASPM,259266,0.0,
Q8N0W3,1.0,1.0,caffeine,FCSK,197258,0.0,
Q8N0X7,1.0,1.0,caffeine,SPART,23111,0.0,
Q8N0Z3,1.0,1.0,caffeine,SPICE1,152185,0.0,
Q8N128,1.0,1.0,caffeine,FAM177A1,283635,0.0,
Q8N163,1.0,1.0,caffeine,CCAR2,57805,0.0,
Q8N1F7,1.0,1.0,caffeine,NUP93,9688,1.0,Reactome_R-HSA-1430728
Q8N1F8,1.0,1.0,caffeine,STK11IP,114790,0.0,
Q8N1G0,1.0,1.0,caffeine,ZNF687,57592,0.0,
Q8N1G1,1.0,1.0,caffeine,REXO1,57455,0.0,
Q8N1G2,1.0,1.0,caffeine,CMTR1,23070,0.0,
Q8N1I0,1.0,1.0,caffeine,DOCK4,9732,0.0,
Q8N1S5,1.0,1.0,caffeine,SLC39A11,201266,0.0,
Q8N1W1,1.0,1.0,caffeine,ARHGEF28,64283,0.0,
Q8N2C7,1.0,1.0,caffeine,UNC80,285175,0.0,
Q8N300,1.0,1.0,caffeine,SVBP,374969,0.0,
Q8N302,1.0,1.0,caffeine,AGGF1,55109,0.0,
Q8N328,1.0,1.0,caffeine,PGBD3,267004,0.0,
Q8N350,1.0,1.0,caffeine,CBARP,255057,0.0,
Q8N357,1.0,1.0,caffeine,SLC35F6,54978,0.0,
Q8N370,1.0,1.0,caffeine,SLC43A2,124935,0.0,
Q8N392,1.0,1.0,caffeine,ARHGAP18,93663,0.0,
Q8N3D4,1.0,1.0,caffeine,EHBP1L1,254102,0.0,
Q8N3U4,1.0,1.0,caffeine,STAG2,10735,0.0,
Q8N3V7,1.0,1.0,caffeine,SYNPO,11346,0.0,
Q8N3X1,1.0,1.0,caffeine,FNBP4,23360,0.0,
Q8N4C6,1.0,1.0,caffeine,NIN,51199,0.0,
Q8N4S9,1.0,1.0,caffeine,MARVELD2,153562,0.0,
Q8N4V1,1.0,1.0,caffeine,MMGT1,93380,0.0,
Q8N5A5,1.0,1.0,caffeine,ZGPAT,84619,0.0,
Q8N5C6,1.0,1.0,caffeine,SRBD1,55133,0.0,
Q8N612,1.0,1.0,caffeine,FHIP1B,84067,0.0,
Q8N680,1.0,1.0,caffeine,ZBTB2,57621,0.0,
Q8N684,1.0,1.0,caffeine,CPSF7,79869,0.0,
Q8N695,1.0,1.0,caffeine,SLC5A8,160728,1.0,Reactome_R-HSA-1430728
Q8N6H7,1.0,1.0,caffeine,ARFGAP2,84364,0.0,
Q8N6P7,1.0,1.0,caffeine,IL22RA1,58985,0.0,
Q8N6Q1,1.0,1.0,caffeine,TMCO5A,145942,0.0,
Q8N6S5,1.0,1.0,caffeine,ARL6IP6,151188,0.0,
Q8N6T3,1.0,1.0,caffeine,ARFGAP1,55738,0.0,
Q8N720,1.0,1.0,caffeine,ZNF655,79027,0.0,
Q8N7R7,1.0,1.0,caffeine,CCNYL1,151195,0.0,
Q8N806,1.0,1.0,caffeine,UBR7,55148,0.0,
Q8N8A6,1.0,1.0,caffeine,DDX51,317781,0.0,
Q8N8E2,1.0,1.0,caffeine,ZNF513,130557,0.0,
Q8N8Z6,1.0,1.0,caffeine,DCBLD1,285761,0.0,
Q8N961,1.0,1.0,caffeine,ABTB2,25841,0.0,
Q8N9M1,1.0,1.0,caffeine,C19ORF47,126526,0.0,
Q8N9M5,1.0,1.0,caffeine,TMEM102,284114,0.0,
Q8N9Q2,1.0,1.0,caffeine,SREK1IP1,285672,0.0,
Q8NAF0,1.0,1.0,caffeine,ZNF579,163033,0.0,
Q8NAP3,1.0,1.0,caffeine,ZBTB38,253461,0.0,
Q8NB25,1.0,1.0,caffeine,FAM184A,79632,0.0,
Q8NB66,1.0,1.0,caffeine,UNC13C,440279,0.0,
Q8NBD8,1.0,1.0,caffeine,TMEM229B,161145,0.0,
Q8NBU5,1.0,1.0,caffeine,ATAD1,84896,0.0,
Q8NBV4,1.0,1.0,caffeine,PLPP7,84814,0.0,
Q8NBX0,1.0,1.0,caffeine,SCCPDH,51097,0.0,
Q8NC51,1.0,1.0,caffeine,SERBP1,26135,0.0,
Q8NCA9,1.0,1.0,caffeine,ZNF784,147808,0.0,
Q8NCD3,1.0,1.0,caffeine,HJURP,55355,0.0,
Q8NCE0,1.0,1.0,caffeine,TSEN2,80746,0.0,
Q8NCE2,1.0,1.0,caffeine,MTMR14,64419,0.0,
Q8NCF5,1.0,1.0,caffeine,NFATC2IP,84901,0.0,
Q8NCG7,1.0,1.0,caffeine,DAGLB,221955,0.0,
Q8NCJ5,1.0,1.0,caffeine,SPRYD3,84926,0.0,
Q8NCP5,1.0,1.0,caffeine,ZBTB44,29068,0.0,
Q8ND04,1.0,1.0,caffeine,SMG8,55181,0.0,
Q8ND76,1.0,1.0,caffeine,CCNY,219771,0.0,
Q8ND82,1.0,1.0,caffeine,ZNF280C,55609,0.0,
Q8NDV7,1.0,1.0,caffeine,TNRC6A,27327,0.0,
Q8NDX5,1.0,1.0,caffeine,PHC3,80012,0.0,
Q8NE01,1.0,1.0,caffeine,CNNM3,26505,0.0,
Q8NEE6,1.0,1.0,caffeine,FBXL13,222235,0.0,
Q8NEF9,1.0,1.0,caffeine,SRFBP1,153443,0.0,
Q8NEJ9,1.0,1.0,caffeine,NGDN,25983,0.0,
Q8NEL9,1.0,1.0,caffeine,DDHD1,80821,1.0,Reactome_R-HSA-1430728
Q8NEM7,1.0,1.0,caffeine,SUPT20H,55578,0.0,
Q8NEN9,1.0,1.0,caffeine,PDZD8,118987,0.0,
Q8NEQ6,1.0,1.0,caffeine,SRARP,149563,0.0,
Q8NET4,1.0,1.0,caffeine,RTL9,57529,0.0,
Q8NEW0,1.0,1.0,caffeine,SLC30A7,148867,0.0,
Q8NF91,1.0,1.0,caffeine,SYNE1,23345,0.0,
Q8NFA0,1.0,1.0,caffeine,USP32,84669,0.0,
Q8NFC6,1.0,1.0,caffeine,BOD1L1,259282,0.0,
Q8NFD5,1.0,1.0,caffeine,ARID1B,57492,0.0,
Q8NFG4,1.0,1.0,caffeine,FLCN,201163,0.0,
Q8NFH5,1.0,1.0,caffeine,NUP35,129401,1.0,Reactome_R-HSA-1430728
Q8NFM4,1.0,1.0,forskolin,ADCY4,196883,0.0,
Q8NFQ8,1.0,1.0,caffeine,TOR1AIP2,163590,0.0,
Q8NFZ0,1.0,1.0,caffeine,FBH1,84893,0.0,
Q8NFZ5,1.0,1.0,caffeine,TNIP2,79155,0.0,
Q8NG08,1.0,1.0,caffeine,HELB,92797,0.0,
Q8NG11,1.0,1.0,caffeine,TSPAN14,81619,0.0,
Q8NHG8,1.0,1.0,caffeine,ZNRF2,223082,0.0,
Q8NHH9,1.0,1.0,caffeine,ATL2,64225,0.0,
Q8NHQ9,1.0,1.0,caffeine,DDX55,57696,0.0,
Q8NHU6,1.0,1.0,caffeine,TDRD7,23424,0.0,
Q8NHV4,1.0,1.0,caffeine,NEDD1,121441,0.0,
Q8NHZ8,1.0,1.0,caffeine,CDC26,246184,0.0,
Q8NI08,1.0,1.0,caffeine,NCOA7,135112,0.0,
Q8NI27,1.0,1.0,caffeine,THOC2,57187,0.0,
Q8NI35,1.0,1.0,caffeine,PATJ,10207,0.0,
Q8NI60,1.0,1.0,caffeine,COQ8A,56997,0.0,
Q8TAA9,1.0,1.0,caffeine,VANGL1,81839,0.0,
Q8TAD8,1.0,1.0,caffeine,SNIP1,79753,0.0,
Q8TAF3,1.0,1.0,caffeine,WDR48,57599,0.0,
Q8TAI7,1.0,1.0,caffeine,RHEBL1,121268,0.0,
Q8TAP9,1.0,1.0,caffeine,MPLKIP,136647,0.0,
Q8TAQ2,1.0,1.0,caffeine,SMARCC2,6601,0.0,
Q8TAV0,1.0,1.0,caffeine,FAM76A,199870,0.0,
Q8TBE7,1.0,1.0,caffeine,SLC35G2,80723,0.0,
Q8TBF4,1.0,1.0,caffeine,ZCRB1,85437,0.0,
Q8TBK6,1.0,1.0,caffeine,ZCCHC10,54819,0.0,
Q8TBP0,1.0,1.0,caffeine,TBC1D16,125058,0.0,
Q8TBZ3,1.0,1.0,caffeine,WDR20,91833,0.0,
Q8TBZ5,1.0,1.0,caffeine,ZNF502,91392,0.0,
Q8TC71,1.0,1.0,caffeine,SPATA18,132671,0.0,
Q8TCJ2,1.0,1.0,caffeine,STT3B,201595,0.0,
Q8TCN5,1.0,1.0,caffeine,ZNF507,22847,0.0,
Q8TD08,1.0,1.0,forskolin,MAPK15,225689,0.0,
Q8TD16,1.0,1.0,caffeine,BICD2,23299,0.0,
Q8TD19,1.0,1.0,caffeine,NEK9,91754,0.0,
Q8TD26,1.0,1.0,caffeine,CHD6,84181,0.0,
Q8TD55,1.0,1.0,caffeine,PLEKHO2,80301,0.0,
Q8TDB6,1.0,1.0,caffeine,DTX3L,151636,0.0,
Q8TDD1,1.0,1.0,caffeine,DDX54,79039,0.0,
Q8TDJ6,1.0,1.0,caffeine,DMXL2,23312,0.0,
Q8TDM6,1.0,1.0,caffeine,DLG5,9231,0.0,
Q8TDN4,1.0,1.0,caffeine,CABLES1,91768,0.0,
Q8TDY4,1.0,1.0,caffeine,ASAP3,55616,0.0,
Q8TE67,1.0,1.0,caffeine,EPS8L3,79574,0.0,
Q8TEA8,1.0,1.0,caffeine,DTD1,92675,0.0,
Q8TEH3,1.0,1.0,caffeine,DENND1A,57706,0.0,
Q8TEK3,1.0,1.0,caffeine,DOT1L,84444,0.0,
Q8TEM1,1.0,1.0,caffeine,NUP210,23225,1.0,Reactome_R-HSA-1430728
Q8TEP8,1.0,1.0,caffeine,CEP192,55125,0.0,
Q8TEQ6,1.0,1.0,caffeine,GEMIN5,25929,0.0,
Q8TER5,1.0,1.0,caffeine,ARHGEF40,55701,0.0,
Q8TEV9,1.0,1.0,caffeine,SMCR8,140775,0.0,
Q8TEW0,1.0,1.0,caffeine,PARD3,56288,0.0,
Q8TEW6,1.0,1.0,caffeine,DOK4,55715,0.0,
Q8TF30,1.0,1.0,caffeine,WHAMM,123720,0.0,
Q8TF40,1.0,1.0,caffeine,FNIP1,96459,0.0,
Q8TF65,1.0,1.0,caffeine,GIPC2,54810,0.0,
Q8UW07,1.0,1.0,caffeine,CYP1A,140634,0.0,
Q8WTT2,1.0,1.0,caffeine,NOC3L,64318,0.0,
Q8WTU2,1.0,1.0,caffeine,SSC4D,136853,0.0,
Q8WTV1,1.0,1.0,caffeine,THAP3,90326,0.0,
Q8WU20,1.0,1.0,caffeine,FRS2,10818,0.0,
Q8WU90,1.0,1.0,caffeine,ZC3H15,55854,0.0,
Q8WUA7,1.0,1.0,caffeine,TBC1D22A,25771,0.0,
Q8WUB8,1.0,1.0,caffeine,PHF10,55274,0.0,
Q8WUG5,1.0,1.0,caffeine,SLC22A17,51310,0.0,
Q8WUM0,1.0,1.0,caffeine,NUP133,55746,1.0,Reactome_R-HSA-1430728
Q8WUX9,1.0,1.0,caffeine,CHMP7,91782,0.0,
Q8WUZ0,1.0,1.0,caffeine,BCL7C,9274,0.0,
Q8WV41,1.0,1.0,caffeine,SNX33,257364,0.0,
Q8WV99,1.0,1.0,caffeine,ZFAND2B,130617,0.0,
Q8WVB6,1.0,1.0,caffeine,CHTF18,63922,0.0,
Q8WVC0,1.0,1.0,caffeine,LEO1,123169,0.0,
Q8WVE0,1.0,1.0,caffeine,EEF1AKMT1,221143,0.0,
Q8WVM7,1.0,1.0,caffeine,STAG1,10274,0.0,
Q8WVR3,1.0,1.0,caffeine,TRAPPC14,55262,0.0,
Q8WVT3,1.0,1.0,caffeine,TRAPPC12,51112,0.0,
Q8WVV4,1.0,1.0,caffeine,POF1B,79983,0.0,
