uniprot_accession,total_count,n_compounds,compounds,symbol,geneid,n_pathways,pathways,n_go_terms,go_ids,go_names,evidence_code
P05177,48.0,2.0,caffeine;maprotiline,CYP1A2,1544.0,7.0,PathBank_SMP0000028;Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945;Reactome_R-HSA-211957;Reactome_R-HSA-211981,40,GO:0004497;GO:0005506;GO:0005515;GO:0005739;GO:0005789;GO:0006706;GO:0006805;GO:0008202;GO:0008203;GO:0008210;GO:0008395;GO:0009055;GO:0009403;GO:0009404;GO:0009820;GO:0016098;GO:0016491;GO:0016705;GO:0016712;GO:0019369;GO:0019373;GO:0019899;GO:0020037;GO:0032259;GO:0032451;GO:0032787;GO:0034308;GO:0034875;GO:0042178;GO:0042445;GO:0042572;GO:0042759;GO:0043231;GO:0046222;GO:0070989;GO:0097267;GO:0101020;GO:0101021;GO:0106256;GO:0120254,"aflatoxin metabolic process;alkaloid metabolic process;arachidonate metabolic process;caffeine oxidase activity;cholesterol metabolic process;demethylase activity;electron transfer activity;endoplasmic reticulum membrane;enzyme binding;epoxygenase P450 pathway;estrogen 16-alpha-hydroxylase activity;estrogen 2-hydroxylase activity;estrogen metabolic process;heme binding;hormone metabolic process;hydroperoxy icosatetraenoate dehydratase activity;intracellular membrane-bounded organelle;iron ion binding;long-chain fatty acid biosynthetic process;methylation;mitochondrion;monocarboxylic acid metabolic process;monooxygenase activity;monoterpenoid metabolic process;olefinic compound metabolic process;omega-hydroxylase P450 pathway;oxidative demethylation;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;primary alcohol metabolic process;protein binding;retinol metabolic process;steroid catabolic process;steroid hydroxylase activity;steroid metabolic process;toxin biosynthetic process;toxin metabolic process;xenobiotic catabolic process;xenobiotic metabolic process",IBA;IDA;IEA;IMP;IPI;TAS
P29274,42.0,1.0,caffeine,ADORA2A,135.0,0.0,,67,GO:0001609;GO:0001963;GO:0001973;GO:0004930;GO:0005515;GO:0005516;GO:0005882;GO:0005886;GO:0006355;GO:0006909;GO:0006915;GO:0006954;GO:0006968;GO:0007186;GO:0007188;GO:0007189;GO:0007200;GO:0007267;GO:0007271;GO:0007417;GO:0007596;GO:0007600;GO:0007626;GO:0008015;GO:0008285;GO:0008289;GO:0009410;GO:0014049;GO:0014057;GO:0014061;GO:0014074;GO:0016020;GO:0019899;GO:0030424;GO:0030425;GO:0030673;GO:0031000;GO:0031802;GO:0032279;GO:0035249;GO:0035810;GO:0042311;GO:0042734;GO:0042755;GO:0042802;GO:0043025;GO:0043116;GO:0043279;GO:0043524;GO:0044877;GO:0045211;GO:0045938;GO:0048143;GO:0048786;GO:0048812;GO:0050714;GO:0051393;GO:0051881;GO:0051899;GO:0051924;GO:0051968;GO:0060079;GO:0060134;GO:0070374;GO:0098978;GO:0099171;GO:1900273,"G protein-coupled adenosine receptor activity;G protein-coupled adenosine receptor signaling pathway;G protein-coupled receptor activity;G protein-coupled receptor signaling pathway;adenylate cyclase-activating G protein-coupled receptor signaling pathway;adenylate cyclase-modulating G protein-coupled receptor signaling pathway;alpha-actinin binding;apoptotic process;astrocyte activation;asymmetric synapse;axolemma;axon;blood circulation;blood coagulation;calmodulin binding;cell-cell signaling;cellular defense response;central nervous system development;dendrite;eating behavior;enzyme binding;excitatory postsynaptic potential;glutamatergic synapse;identical protein binding;inflammatory response;intermediate filament;lipid binding;locomotory behavior;membrane;membrane depolarization;negative regulation of cell population proliferation;negative regulation of neuron apoptotic process;negative regulation of vascular permeability;neuron projection morphogenesis;neuronal cell body;phagocytosis;phospholipase C-activating G protein-coupled receptor signaling pathway;plasma membrane;positive regulation of ERK1 and ERK2 cascade;positive regulation of acetylcholine secretion, neurotransmission;positive regulation of circadian sleep/wake cycle, sleep;positive regulation of glutamate secretion;positive regulation of long-term synaptic potentiation;positive regulation of protein secretion;positive regulation of synaptic transmission, glutamatergic;positive regulation of urine volume;postsynaptic membrane;prepulse inhibition;presynaptic active zone;presynaptic membrane;presynaptic modulation of chemical synaptic transmission;protein binding;protein-containing complex binding;regulation of DNA-templated transcription;regulation of calcium ion transport;regulation of mitochondrial membrane potential;regulation of norepinephrine secretion;response to alkaloid;response to caffeine;response to purine-containing compound;response to xenobiotic stimulus;sensory perception;synaptic transmission, cholinergic;synaptic transmission, dopaminergic;synaptic transmission, glutamatergic;type 5 metabotropic glutamate receptor binding;vasodilation",EXP;IBA;IDA;IEA;IMP;IPI;TAS
P30542,40.0,1.0,caffeine,ADORA1,134.0,0.0,,77,GO:0001609;GO:0001659;GO:0001664;GO:0001666;GO:0001883;GO:0001973;GO:0002087;GO:0002674;GO:0002793;GO:0003084;GO:0003085;GO:0004930;GO:0005515;GO:0005886;GO:0006612;GO:0006909;GO:0006954;GO:0007165;GO:0007173;GO:0007186;GO:0007193;GO:0007267;GO:0007399;GO:0008285;GO:0014050;GO:0014074;GO:0016020;GO:0016042;GO:0016323;GO:0030425;GO:0030673;GO:0031072;GO:0031683;GO:0032229;GO:0032244;GO:0032279;GO:0032795;GO:0032900;GO:0035306;GO:0035589;GO:0042311;GO:0042321;GO:0042323;GO:0042734;GO:0043025;GO:0043066;GO:0043195;GO:0043197;GO:0043268;GO:0043410;GO:0044297;GO:0044305;GO:0044877;GO:0045202;GO:0045211;GO:0045745;GO:0045776;GO:0045777;GO:0046888;GO:0046982;GO:0048786;GO:0050890;GO:0050965;GO:0050995;GO:0050996;GO:0051897;GO:0051930;GO:0051967;GO:0055089;GO:0055117;GO:0060079;GO:0070328;GO:0086004;GO:0097190;GO:0099509;GO:0140535;GO:1900272,"G protein-coupled adenosine receptor activity;G protein-coupled adenosine receptor signaling pathway;G protein-coupled purinergic nucleotide receptor signaling pathway;G protein-coupled receptor activity;G protein-coupled receptor binding;G protein-coupled receptor signaling pathway;G-protein beta/gamma-subunit complex binding;adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway;apoptotic signaling pathway;asymmetric synapse;axolemma;basolateral plasma membrane;calyx of Held;cell body;cell-cell signaling;cognition;dendrite;dendritic spine;detection of temperature stimulus involved in sensory perception of pain;epidermal growth factor receptor signaling pathway;excitatory postsynaptic potential;fatty acid homeostasis;heat shock protein binding;heterotrimeric G-protein binding;inflammatory response;intracellular protein-containing complex;lipid catabolic process;membrane;negative regulation of acute inflammatory response;negative regulation of apoptotic process;negative regulation of blood pressure;negative regulation of cell population proliferation;negative regulation of circadian sleep/wake cycle, non-REM sleep;negative regulation of circadian sleep/wake cycle, sleep;negative regulation of glutamate secretion;negative regulation of hormone secretion;negative regulation of lipid catabolic process;negative regulation of long-term synaptic potentiation;negative regulation of neurotrophin production;negative regulation of synaptic transmission, GABAergic;negative regulation of synaptic transmission, glutamatergic;negative regulation of systemic arterial blood pressure;nervous system development;neuronal cell body;phagocytosis;plasma membrane;positive regulation of G protein-coupled receptor signaling pathway;positive regulation of MAPK cascade;positive regulation of blood pressure;positive regulation of dephosphorylation;positive regulation of lipid catabolic process;positive regulation of nucleoside transport;positive regulation of peptide secretion;positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction;positive regulation of potassium ion transport;positive regulation of systemic arterial blood pressure;postsynaptic membrane;presynaptic active zone;presynaptic membrane;protein binding;protein heterodimerization activity;protein targeting to membrane;protein-containing complex binding;purine nucleoside binding;regulation of cardiac muscle cell contraction;regulation of cardiac muscle contraction;regulation of presynaptic cytosolic calcium ion concentration;regulation of respiratory gaseous exchange by nervous system process;regulation of sensory perception of pain;response to hypoxia;response to purine-containing compound;signal transduction;synapse;temperature homeostasis;terminal bouton;triglyceride homeostasis;vasodilation",IBA;IDA;IEA;IPI;ISS;TAS
Q13315,34.0,1.0,caffeine,ATM,472.0,0.0,,82,GO:0000077;GO:0000425;GO:0000723;GO:0000724;GO:0000729;GO:0000781;GO:0002331;GO:0004672;GO:0004674;GO:0004677;GO:0005515;GO:0005634;GO:0005654;GO:0005694;GO:0005730;GO:0005737;GO:0005782;GO:0005813;GO:0005819;GO:0005829;GO:0006281;GO:0006302;GO:0006303;GO:0006338;GO:0006974;GO:0007094;GO:0007095;GO:0007127;GO:0007131;GO:0007165;GO:0008630;GO:0010212;GO:0010468;GO:0010506;GO:0010628;GO:0016301;GO:0016303;GO:0030330;GO:0030335;GO:0030889;GO:0031410;GO:0032210;GO:0032212;GO:0033554;GO:0034614;GO:0035861;GO:0035979;GO:0036092;GO:0036289;GO:0042770;GO:0042802;GO:0042981;GO:0043065;GO:0043517;GO:0044877;GO:0045785;GO:0045944;GO:0046777;GO:0050821;GO:0051726;GO:0071044;GO:0071300;GO:0071480;GO:0071481;GO:0071500;GO:0080135;GO:0090398;GO:0090399;GO:0097694;GO:0097695;GO:0098850;GO:0106310;GO:1900034;GO:1901701;GO:1901796;GO:1904262;GO:1904354;GO:1904358;GO:1904884;GO:1990391;GO:2000781;GO:2000785,"1-phosphatidylinositol-3-kinase activity;DNA damage checkpoint signaling;DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA double-strand break processing;DNA repair;DNA repair complex;DNA-dependent protein kinase activity;cellular response to X-ray;cellular response to gamma radiation;cellular response to nitrosative stress;cellular response to oxygen-containing compound;cellular response to reactive oxygen species;cellular response to retinoic acid;cellular response to stress;cellular senescence;centrosome;chromatin remodeling;chromosome;chromosome, telomeric region;cytoplasm;cytoplasmic vesicle;cytosol;double-strand break repair;double-strand break repair via homologous recombination;double-strand break repair via nonhomologous end joining;establishment of RNA localization to telomere;establishment of protein-containing complex localization to telomere;extrinsic component of synaptic vesicle membrane;histone H2AXS139 kinase activity;histone mRNA catabolic process;identical protein binding;intrinsic apoptotic signaling pathway in response to DNA damage;kinase activity;meiosis I;mitotic G2 DNA damage checkpoint signaling;mitotic spindle assembly checkpoint signaling;negative regulation of B cell proliferation;negative regulation of TORC1 signaling;negative regulation of telomere capping;nucleolus;nucleoplasm;nucleus;peptidyl-serine autophosphorylation;peroxisomal matrix;pexophagy;phosphatidylinositol-3-phosphate biosynthetic process;positive regulation of DNA damage response, signal transduction by p53 class mediator;positive regulation of apoptotic process;positive regulation of cell adhesion;positive regulation of cell migration;positive regulation of double-strand break repair;positive regulation of gene expression;positive regulation of telomerase catalytic core complex assembly;positive regulation of telomere maintenance via telomerase;positive regulation of telomere maintenance via telomere lengthening;positive regulation of transcription by RNA polymerase II;pre-B cell allelic exclusion;protein autophosphorylation;protein binding;protein kinase activity;protein serine kinase activity;protein serine/threonine kinase activity;protein stabilization;protein-containing complex binding;reciprocal meiotic recombination;regulation of apoptotic process;regulation of autophagosome assembly;regulation of autophagy;regulation of cell cycle;regulation of cellular response to heat;regulation of cellular response to stress;regulation of gene expression;regulation of signal transduction by p53 class mediator;regulation of telomere maintenance via telomerase;replicative senescence;response to ionizing radiation;signal transduction;signal transduction in response to DNA damage;site of double-strand break;spindle;telomere maintenance",IBA;IC;IDA;IEA;IGI;IMP;IPI;ISS;TAS
P42574,31.0,2.0,Ginsenoside rb1;caffeine,CASP3,836.0,0.0,,72,GO:0001554;GO:0001666;GO:0001818;GO:0002020;GO:0004175;GO:0004190;GO:0004197;GO:0004861;GO:0005123;GO:0005515;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0006508;GO:0006915;GO:0007413;GO:0007611;GO:0008047;GO:0008233;GO:0008234;GO:0008627;GO:0009410;GO:0009749;GO:0010038;GO:0010165;GO:0014069;GO:0016005;GO:0016241;GO:0016485;GO:0021766;GO:0030163;GO:0030182;GO:0030216;GO:0030218;GO:0030220;GO:0031264;GO:0031647;GO:0032025;GO:0032355;GO:0032496;GO:0032880;GO:0034349;GO:0034612;GO:0035094;GO:0035556;GO:0036269;GO:0042542;GO:0043025;GO:0043065;GO:0043200;GO:0043523;GO:0043525;GO:0044877;GO:0045471;GO:0048011;GO:0051146;GO:0051384;GO:0051604;GO:0070269;GO:0071887;GO:0072347;GO:0072734;GO:0097190;GO:0097193;GO:0097194;GO:0098693;GO:0098883;GO:0098978;GO:0140639;GO:1902004;GO:1990418,apoptotic process;apoptotic signaling pathway;aspartic-type endopeptidase activity;axonal fasciculation;cellular response to staurosporine;cyclin-dependent protein serine/threonine kinase inhibitor activity;cysteine-type endopeptidase activity;cysteine-type peptidase activity;cytoplasm;cytosol;death receptor binding;death-inducing signaling complex;endopeptidase activity;enzyme activator activity;erythrocyte differentiation;execution phase of apoptosis;glial cell apoptotic process;glutamatergic synapse;hippocampus development;intracellular signal transduction;intrinsic apoptotic signaling pathway;intrinsic apoptotic signaling pathway in response to osmotic stress;keratinocyte differentiation;learning or memory;leukocyte apoptotic process;luteolysis;negative regulation of cytokine production;neuron differentiation;neuronal cell body;neurotrophin TRK receptor signaling pathway;nucleoplasm;nucleus;peptidase activity;phospholipase A2 activator activity;platelet formation;positive regulation of amyloid-beta formation;positive regulation of apoptotic process;positive regulation of neuron apoptotic process;positive regulation of pyroptotic inflammatory response;postsynaptic density;protease binding;protein binding;protein catabolic process;protein maturation;protein processing;protein-containing complex binding;proteolysis;pyroptotic inflammatory response;regulation of macroautophagy;regulation of neuron apoptotic process;regulation of protein localization;regulation of protein stability;regulation of synaptic vesicle cycle;response to X-ray;response to amino acid;response to anesthetic;response to cobalt ion;response to estradiol;response to ethanol;response to glucocorticoid;response to glucose;response to hydrogen peroxide;response to hypoxia;response to insulin-like growth factor stimulus;response to lipopolysaccharide;response to metal ion;response to nicotine;response to tumor necrosis factor;response to xenobiotic stimulus;striated muscle cell differentiation;swimming behavior;synapse pruning,IBA;IDA;IEA;IGI;IMP;IPI;ISS;TAS
P31749,19.0,2.0,Ginsenoside rb1;caffeine,AKT1,207.0,1.0,Reactome_R-HSA-1430728,141,GO:0001649;GO:0001938;GO:0002042;GO:0002430;GO:0003376;GO:0004672;GO:0004674;GO:0004712;GO:0005515;GO:0005516;GO:0005524;GO:0005547;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005758;GO:0005819;GO:0005829;GO:0005886;GO:0005911;GO:0005938;GO:0005979;GO:0006468;GO:0006809;GO:0006924;GO:0006979;GO:0007165;GO:0007173;GO:0007186;GO:0008283;GO:0008286;GO:0009408;GO:0009725;GO:0010507;GO:0010595;GO:0010628;GO:0010629;GO:0010748;GO:0010761;GO:0010907;GO:0010975;GO:0016020;GO:0016242;GO:0016301;GO:0018105;GO:0018107;GO:0019221;GO:0019899;GO:0019900;GO:0019901;GO:0030027;GO:0030154;GO:0030235;GO:0030291;GO:0030307;GO:0030334;GO:0030335;GO:0031295;GO:0031397;GO:0031929;GO:0031982;GO:0031999;GO:0032079;GO:0032436;GO:0032869;GO:0032991;GO:0033138;GO:0033554;GO:0034405;GO:0035556;GO:0035655;GO:0036064;GO:0042307;GO:0042802;GO:0042803;GO:0042981;GO:0043066;GO:0043276;GO:0043325;GO:0043488;GO:0043491;GO:0043536;GO:0045429;GO:0045600;GO:0045725;GO:0045746;GO:0045861;GO:0045944;GO:0046209;GO:0046326;GO:0046889;GO:0048009;GO:0048266;GO:0048661;GO:0051247;GO:0051897;GO:0060079;GO:0060416;GO:0060644;GO:0070141;GO:0070585;GO:0070848;GO:0071364;GO:0071889;GO:0072656;GO:0072752;GO:0090201;GO:0097700;GO:0098794;GO:0098978;GO:0099104;GO:0099175;GO:0106310;GO:0110002;GO:0140052;GO:0150033;GO:0160049;GO:0160213;GO:1900087;GO:1900182;GO:1901796;GO:1902018;GO:1902176;GO:1903038;GO:1903078;GO:1903318;GO:1903384;GO:1903898;GO:1904263;GO:1904515;GO:1904841;GO:1905552;GO:1905786;GO:1990090;GO:1990418;GO:2000010;GO:2000074;GO:2000402;GO:2001240;GO:2001243,"14-3-3 protein binding;ATP binding;G protein-coupled receptor signaling pathway;T cell costimulation;TOR signaling;TORC2 complex binding;activation-induced cell death of T cells;anoikis;behavioral response to pain;beta-arrestin-dependent dopamine receptor signaling pathway;calmodulin binding;cell cortex;cell differentiation;cell migration involved in sprouting angiogenesis;cell population proliferation;cell-cell junction;cellular response to epidermal growth factor stimulus;cellular response to insulin stimulus;cellular response to nerve growth factor stimulus;cellular response to oxidised low-density lipoprotein particle stimulus;cellular response to rapamycin;cellular response to stress;ciliary basal body;complement receptor mediated signaling pathway;cytokine-mediated signaling pathway;cytoplasm;cytosol;enzyme binding;epidermal growth factor receptor signaling pathway;excitatory postsynaptic potential;fibroblast migration;glutamatergic synapse;identical protein binding;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;interleukin-18-mediated signaling pathway;intracellular signal transduction;kinase activity;kinase binding;lamellipodium;maintenance of protein location in mitochondrion;mammary gland epithelial cell differentiation;membrane;mitochondrial intermembrane space;mitochondrion;negative regulation of Notch signaling pathway;negative regulation of PERK-mediated unfolded protein response;negative regulation of apoptotic process;negative regulation of autophagy;negative regulation of cGAS/STING signaling pathway;negative regulation of cilium assembly;negative regulation of extrinsic apoptotic signaling pathway in absence of ligand;negative regulation of fatty acid beta-oxidation;negative regulation of gene expression;negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway;negative regulation of intrinsic apoptotic signaling pathway;negative regulation of leukocyte cell-cell adhesion;negative regulation of long-chain fatty acid import across plasma membrane;negative regulation of lymphocyte migration;negative regulation of macroautophagy;negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway;negative regulation of protein localization to lysosome;negative regulation of protein maturation;negative regulation of protein ubiquitination;negative regulation of proteolysis;negative regulation of release of cytochrome c from mitochondria;nitric oxide biosynthetic process;nitric oxide metabolic process;nitric-oxide synthase regulator activity;nucleoplasm;nucleus;osteoblast differentiation;peptidyl-serine phosphorylation;peptidyl-threonine phosphorylation;phosphatidylinositol 3-kinase/protein kinase B signal transduction;phosphatidylinositol-3,4,5-trisphosphate binding;phosphatidylinositol-3,4-bisphosphate binding;plasma membrane;positive regulation of D-glucose import across plasma membrane;positive regulation of G1/S transition of mitotic cell cycle;positive regulation of TORC1 signaling;positive regulation of TORC2 signaling;positive regulation of anaphase-promoting complex-dependent catabolic process;positive regulation of blood vessel endothelial cell migration;positive regulation of cell growth;positive regulation of cell migration;positive regulation of endodeoxyribonuclease activity;positive regulation of endothelial cell migration;positive regulation of endothelial cell proliferation;positive regulation of fat cell differentiation;positive regulation of gene expression;positive regulation of glucose metabolic process;positive regulation of glycogen biosynthetic process;positive regulation of lipid biosynthetic process;positive regulation of nitric oxide biosynthetic process;positive regulation of peptidyl-serine phosphorylation;positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;positive regulation of protein import into nucleus;positive regulation of protein localization to cell surface;positive regulation of protein localization to endoplasmic reticulum;positive regulation of protein localization to nucleus;positive regulation of protein localization to plasma membrane;positive regulation of protein metabolic process;positive regulation of smooth muscle cell proliferation;positive regulation of transcription by RNA polymerase II;postsynapse;potassium channel activator activity;protein binding;protein homodimerization activity;protein kinase activity;protein kinase binding;protein localization to mitochondrion;protein phosphorylation;protein serine kinase activity;protein serine/threonine kinase activity;protein serine/threonine kinase inhibitor activity;protein serine/threonine/tyrosine kinase activity;protein-containing complex;regulation of apoptotic process;regulation of cell migration;regulation of glycogen biosynthetic process;regulation of mRNA stability;regulation of neuron projection development;regulation of postsynapse organization;regulation of signal transduction by p53 class mediator;regulation of tRNA methylation;regulation of type B pancreatic cell development;response to UV-A;response to fluid shear stress;response to growth factor;response to growth hormone;response to heat;response to hormone;response to insulin-like growth factor stimulus;response to oxidative stress;signal transduction;sphingosine-1-phosphate receptor signaling pathway;spindle;vascular endothelial cell response to laminar fluid shear stress;vesicle",EXP;IBA;IC;IDA;IEA;IMP;IPI;ISS;NAS;TAS
P04637,16.0,1.0,caffeine,TP53,7157.0,1.0,Reactome_R-HSA-1430728,126,GO:0000122;GO:0000785;GO:0000976;GO:0000978;GO:0000981;GO:0000987;GO:0001046;GO:0001094;GO:0001223;GO:0001227;GO:0001228;GO:0002020;GO:0002039;GO:0002244;GO:0003677;GO:0003682;GO:0003700;GO:0003730;GO:0005507;GO:0005515;GO:0005634;GO:0005654;GO:0005667;GO:0005730;GO:0005737;GO:0005739;GO:0005759;GO:0005783;GO:0005813;GO:0005829;GO:0006289;GO:0006355;GO:0006357;GO:0006914;GO:0006915;GO:0006974;GO:0006979;GO:0006983;GO:0007265;GO:0007623;GO:0008104;GO:0008270;GO:0008285;GO:0008340;GO:0009299;GO:0009410;GO:0009411;GO:0010212;GO:0010332;GO:0010628;GO:0016032;GO:0016363;GO:0016604;GO:0016605;GO:0019899;GO:0030308;GO:0030330;GO:0030971;GO:0031571;GO:0031625;GO:0032211;GO:0032991;GO:0033209;GO:0034644;GO:0036310;GO:0042149;GO:0042771;GO:0042802;GO:0042826;GO:0042981;GO:0043065;GO:0043066;GO:0043153;GO:0045815;GO:0045892;GO:0045893;GO:0045899;GO:0045944;GO:0046677;GO:0046982;GO:0048147;GO:0048512;GO:0048539;GO:0051053;GO:0051087;GO:0051097;GO:0051262;GO:0051721;GO:0051726;GO:0060218;GO:0060333;GO:0061629;GO:0062100;GO:0065003;GO:0070059;GO:0070245;GO:0071456;GO:0071466;GO:0071479;GO:0071480;GO:0071889;GO:0072331;GO:0072332;GO:0072717;GO:0090200;GO:0090398;GO:0090399;GO:0090403;GO:0097190;GO:0097193;GO:0097252;GO:0097371;GO:0097718;GO:0140296;GO:0140677;GO:0140693;GO:1900119;GO:1902749;GO:1902895;GO:1903451;GO:1905856;GO:1990841;GO:2000379;GO:2000774;GO:2001242;GO:2001244,"14-3-3 protein binding;ATP-dependent DNA/DNA annealing activity;DNA binding;DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA-binding transcription activator activity, RNA polymerase II-specific;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription repressor activity, RNA polymerase II-specific;ER overload response;MDM2/MDM4 family protein binding;PML body;RNA polymerase II cis-regulatory region sequence-specific DNA binding;RNA polymerase II-specific DNA-binding transcription factor binding;Ras protein signal transduction;TFIID-class transcription factor complex binding;apoptotic process;apoptotic signaling pathway;autophagy;bone marrow development;cellular response to UV;cellular response to actinomycin D;cellular response to gamma radiation;cellular response to glucose starvation;cellular response to hypoxia;cellular response to ionizing radiation;cellular response to xenobiotic stimulus;cellular senescence;centrosome;chromatin;chromatin binding;circadian behavior;circadian rhythm;cis-regulatory region sequence-specific DNA binding;copper ion binding;core promoter sequence-specific DNA binding;cytoplasm;cytosol;determination of adult lifespan;disordered domain specific binding;endoplasmic reticulum;entrainment of circadian clock by photoperiod;enzyme binding;general transcription initiation factor binding;hematopoietic progenitor cell differentiation;hematopoietic stem cell differentiation;histone deacetylase binding;identical protein binding;intracellular protein localization;intrinsic apoptotic signaling pathway;intrinsic apoptotic signaling pathway by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress;mRNA 3'-UTR binding;mRNA transcription;mitochondrial matrix;mitochondrion;mitotic G1 DNA damage checkpoint signaling;molecular condensate scaffold activity;molecular function activator activity;negative regulation of DNA metabolic process;negative regulation of DNA-templated transcription;negative regulation of G1 to G0 transition;negative regulation of apoptotic process;negative regulation of cell growth;negative regulation of cell population proliferation;negative regulation of fibroblast proliferation;negative regulation of helicase activity;negative regulation of pentose-phosphate shunt;negative regulation of telomere maintenance via telomerase;negative regulation of transcription by RNA polymerase II;nuclear body;nuclear matrix;nucleolus;nucleoplasm;nucleotide-excision repair;nucleus;oligodendrocyte apoptotic process;oxidative stress-induced premature senescence;p53 binding;positive regulation of DNA-templated transcription;positive regulation of RNA polymerase II transcription preinitiation complex assembly;positive regulation of apoptotic process;positive regulation of cellular senescence;positive regulation of execution phase of apoptosis;positive regulation of gene expression;positive regulation of intrinsic apoptotic signaling pathway;positive regulation of miRNA transcription;positive regulation of programmed necrotic cell death;positive regulation of reactive oxygen species metabolic process;positive regulation of release of cytochrome c from mitochondria;positive regulation of thymocyte apoptotic process;positive regulation of transcription by RNA polymerase II;promoter-specific chromatin binding;protease binding;protein binding;protein heterodimerization activity;protein phosphatase 2A binding;protein tetramerization;protein-containing complex;protein-containing complex assembly;protein-folding chaperone binding;receptor tyrosine kinase binding;regulation of DNA-templated transcription;regulation of apoptotic process;regulation of cell cycle;regulation of cell cycle G2/M phase transition;regulation of intrinsic apoptotic signaling pathway;regulation of transcription by RNA polymerase II;replicative senescence;response to UV;response to antibiotic;response to gamma radiation;response to ionizing radiation;response to oxidative stress;response to xenobiotic stimulus;signal transduction by p53 class mediator;transcription cis-regulatory region binding;transcription coactivator binding;transcription initiation-coupled chromatin remodeling;transcription regulator complex;tumor necrosis factor-mediated signaling pathway;type II interferon-mediated signaling pathway;ubiquitin protein ligase binding;viral process;zinc ion binding",EXP;IBA;IDA;IEA;IEP;IGI;IMP;IPI;ISA;ISS;NAS;TAS
P38936,16.0,1.0,caffeine,CDKN1A,1026.0,0.0,,59,GO:0000082;GO:0000307;GO:0001933;GO:0001934;GO:0004860;GO:0004861;GO:0005515;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005829;GO:0006974;GO:0007095;GO:0007265;GO:0007346;GO:0007507;GO:0008284;GO:0008285;GO:0010389;GO:0016604;GO:0019901;GO:0030308;GO:0030330;GO:0030332;GO:0031571;GO:0031625;GO:0032991;GO:0034198;GO:0042060;GO:0042246;GO:0044877;GO:0045740;GO:0045860;GO:0045926;GO:0048146;GO:0051170;GO:0051726;GO:0070557;GO:0071460;GO:0071479;GO:0071493;GO:0072331;GO:0090398;GO:0090399;GO:0090400;GO:0097193;GO:0120283;GO:0140311;GO:0140677;GO:0140678;GO:1902806;GO:1904706;GO:1905179;GO:2000045;GO:2000134;GO:2000278;GO:2000279;GO:2000379,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;G1/S transition of mitotic cell cycle;PCNA-p21 complex;Ras protein signal transduction;cellular response to UV-B;cellular response to amino acid starvation;cellular response to cell-matrix adhesion;cellular response to ionizing radiation;cellular senescence;cyclin binding;cyclin-dependent protein kinase holoenzyme complex;cyclin-dependent protein serine/threonine kinase inhibitor activity;cytoplasm;cytosol;heart development;import into nucleus;intrinsic apoptotic signaling pathway;mitotic G1 DNA damage checkpoint signaling;mitotic G2 DNA damage checkpoint signaling;molecular function activator activity;molecular function inhibitor activity;negative regulation of DNA biosynthetic process;negative regulation of G1/S transition of mitotic cell cycle;negative regulation of cardiac muscle tissue regeneration;negative regulation of cell growth;negative regulation of cell population proliferation;negative regulation of growth;negative regulation of protein phosphorylation;negative regulation of vascular associated smooth muscle cell proliferation;nuclear body;nucleolus;nucleoplasm;nucleus;positive regulation of DNA replication;positive regulation of cell population proliferation;positive regulation of fibroblast proliferation;positive regulation of protein kinase activity;positive regulation of protein phosphorylation;positive regulation of reactive oxygen species metabolic process;protein binding;protein kinase binding;protein kinase inhibitor activity;protein sequestering activity;protein serine/threonine kinase binding;protein-containing complex;protein-containing complex binding;regulation of DNA biosynthetic process;regulation of G1/S transition of mitotic cell cycle;regulation of G2/M transition of mitotic cell cycle;regulation of cell cycle;regulation of cell cycle G1/S phase transition;regulation of mitotic cell cycle;replicative senescence;signal transduction by p53 class mediator;stress-induced premature senescence;tissue regeneration;ubiquitin protein ligase binding;wound healing",EXP;IBA;IDA;IEA;IEP;IGI;IMP;IPI;ISS;TAS
