uniprot_accession,total_count,n_compounds,compounds,symbol,geneid
P33240,2,1,caffeine,CSTF2,1478
P33151,2,1,caffeine,CDH5,1003
O00763,2,1,caffeine,ACACB,32
Q92805,2,1,caffeine,GOLGA1,2800
Q93088,2,1,caffeine,BHMT,635
Q92997,2,1,caffeine,DVL3,1857
Q92994,2,1,caffeine,BRF1,2972
Q9HB96,2,1,caffeine,FANCE,2178
Q96CW1,2,1,caffeine,AP2M1,1173
Q96CT7,2,1,caffeine,CCDC124,115098
Q96QE3,2,2,caffeine;forskolin,ATAD5,79915
Q96PG8,2,1,caffeine,BBC3,27113
Q99259,2,1,caffeine,GAD1,2571
Q99607,2,1,caffeine,ELF4,2000
Q99502,2,1,caffeine,EYA1,2138
O00148,2,1,caffeine,DDX39A,10212
P14625,2,1,caffeine,HSP90B1,7184
P13987,2,1,caffeine,CD59,966
P13984,2,1,caffeine,GTF2F2,2963
P29459,2,1,caffeine,IL12A,3592
P31751,2,1,caffeine,AKT2,208
P31645,2,1,maprotiline,SLC6A4,6532
P31629,2,1,caffeine,HIVEP2,3097
P30740,2,1,caffeine,SERPINB1,1992
P30566,2,1,caffeine,ADSL,158
P30550,2,1,caffeine,GRPR,2925
P13688,2,1,caffeine,CEACAM1,634
P13637,2,1,caffeine,ATP1A3,478
P13611,2,1,caffeine,VCAN,1462
P13584,2,1,caffeine,CYP4B1,1580
P13498,2,1,caffeine,CYBA,1535
P34947,2,1,caffeine,GRK5,2869
P30101,2,1,caffeine,PDIA3,2923
P29966,2,1,caffeine,MARCKS,4082
P29754,2,1,caffeine,AGTR1A,11607
P29460,2,1,caffeine,IL12B,3593
P13807,2,1,caffeine,GYS1,2997
P13804,2,1,caffeine,ETFA,2108
P13798,2,1,caffeine,APEH,327
P15924,2,1,caffeine,DSP,1832
P15822,2,1,caffeine,HIVEP1,3096
Q9HCR9,2,1,caffeine,PDE11A,50940
P15538,2,1,caffeine,CYP11B1,1584
P15311,2,1,caffeine,EZR,7430
P15260,2,1,caffeine,IFNGR1,3459
P13010,2,1,caffeine,XRCC5,7520
P12956,2,1,caffeine,XRCC6,2547
P14866,2,1,caffeine,HNRNPL,3191
Q99459,2,1,caffeine,CDC5L,988
Q99439,2,1,caffeine,CNN2,1265
Q99426,2,1,caffeine,TBCB,1155
Q99741,2,1,caffeine,CDC6,990
Q99729,2,1,caffeine,HNRNPAB,3182
Q99728,2,1,caffeine,BARD1,580
Q99704,2,1,caffeine,DOK1,1796
Q99645,2,1,caffeine,EPYC,1833
Q9BQ67,2,1,caffeine,GRWD1,83743
Q99956,2,1,caffeine,DUSP9,1852
Q99856,2,1,caffeine,ARID3A,1820
Q99808,2,1,caffeine,SLC29A1,2030
Q9BWD1,2,1,caffeine,ACAT2,39
O00230,2,1,caffeine,CORT,1325
O00192,2,1,caffeine,ARVCF,421
P30260,2,1,caffeine,CDC27,996
P26641,2,1,caffeine,EEF1G,1937
P29317,2,1,caffeine,EPHA2,1969
P29276,2,1,caffeine,ADORA2B,29316
P29083,2,1,caffeine,GTF2E1,2960
P28845,2,1,caffeine,HSD11B1,3290
P28715,2,1,caffeine,ERCC5,2073
Q9HCF6,2,1,maprotiline,TRPM3,80036
P15090,2,1,caffeine,FABP4,2167
P15056,2,1,caffeine,BRAF,673
P16671,2,1,caffeine,CD36,948
P16615,2,1,caffeine,ATP2A2,488
P16591,2,1,caffeine,FER,2241
P16382,2,1,caffeine,IL4RA,16190
Q9NPD5,2,1,Ginsenoside rb1,SLCO1B3,28234
Q9NRY4,2,1,caffeine,ARHGAP35,2909
O00329,2,1,caffeine,PIK3CD,5293
P27815,2,1,caffeine,PDE4A,5141
P27797,2,1,caffeine,CALR,811
P27707,2,1,caffeine,DCK,1633
P27695,2,1,caffeine,APEX1,328
P27487,2,1,caffeine,DPP4,1803
P27449,2,1,caffeine,ATP6V0C,527
P27361,2,2,caffeine;forskolin,MAPK3,5595
P27338,2,2,caffeine;maprotiline,MAOB,4129
P19484,2,1,Ginsenoside rb1,TFEB,7942
P19338,2,1,caffeine,NCL,4691
P19099,2,1,caffeine,CYP11B2,1585
Q9NRA2,2,1,caffeine,SLC17A5,26503
P15954,2,1,caffeine,COX7C,1350
P17812,2,1,caffeine,CTPS1,1503
P17655,2,1,caffeine,CAPN2,824
P17275,2,1,caffeine,JUNB,3726
P25054,2,1,caffeine,APC,324
Q9UBM7,2,1,caffeine,DHCR7,1717
P17987,2,1,caffeine,TCP1,6950
P17844,2,1,caffeine,DDX5,1655
Q9UBK8,2,1,caffeine,MTRR,4552
P21127,2,1,caffeine,CDK11B,984
P20827,2,1,caffeine,EFNA1,1942
P20810,2,1,caffeine,CAST,831
P20749,2,1,caffeine,BCL3,602
P20700,2,1,caffeine,LMNB1,4001
P20290,2,1,caffeine,BTF3,689
P20020,2,1,caffeine,ATP2B1,490
P19838,2,1,caffeine,NFKB1,4790
P24864,2,1,caffeine,CCNE1,898
P24534,2,1,caffeine,EEF1B2,1933
P27824,2,1,caffeine,CANX,821
P22626,2,1,caffeine,HNRNPA2B1,3181
A0FGR8,2,1,caffeine,ESYT2,57488
Q9Y6M4,2,1,caffeine,CSNK1G3,1456
P22314,2,1,caffeine,UBA1,7317
P19823,2,1,caffeine,ITIH2,3698
P19784,2,1,caffeine,CSNK2A2,1459
P22301,2,1,caffeine,IL10,3586
P21964,2,1,caffeine,COMT,1312
P21926,2,1,caffeine,CD9,928
P21860,2,1,caffeine,ERBB3,2065
P21815,2,1,caffeine,IBSP,3381
P21709,2,1,caffeine,EPHA1,2041
P21589,2,1,caffeine,NT5E,4907
P26232,2,1,caffeine,CTNNA2,1496
Q13409,2,1,caffeine,DYNC1I2,1781
Q9Y285,2,1,caffeine,FARSA,2193
O00167,2,1,caffeine,EYA2,2139
P22607,2,1,caffeine,FGFR3,2261
P22492,2,1,caffeine,H1-6,3010
P22455,2,1,caffeine,FGFR4,2264
P22352,2,1,caffeine,GPX3,2878
Q9UER7,2,1,caffeine,DAXX,1616
Q9UEY8,2,1,caffeine,ADD3,120
Q9UJ14,2,1,caffeine,GGT7,2686
Q9UKV5,2,1,caffeine,AMFR,267
Q9UKV3,2,1,caffeine,ACIN1,22985
Q9UKK3,2,1,caffeine,PARP4,143
Q9Y281,2,1,caffeine,CFL2,1073
Q9Y261,2,1,caffeine,FOXA2,3170
Q9Y2I1,2,1,caffeine,NISCH,11188
Q9Y2G1,2,1,caffeine,MYRF,745
Q9Y4D2,2,1,caffeine,DAGLA,747
A0A8M9PU70,1,1,caffeine,SLCO1D1,326845
Q9Y6Y8,1,1,caffeine,SEC23IP,11196
A0A2R8RK22,1,1,caffeine,ATP2A1L,494489
A0A804HJX8,1,1,caffeine,HECTD4,283450
Q9Y6G9,1,1,caffeine,DYNC1LI1,51143
Q9Y6E2,1,1,caffeine,BZW2,28969
Q9Y6D6,1,1,caffeine,ARFGEF1,10565
Q9Y6D5,1,1,caffeine,ARFGEF2,10564
Q9Y6A5,1,1,caffeine,TACC3,10460
Q9Y691,1,1,forskolin,KCNMB2,10242
Q9Y678,1,1,caffeine,COPG1,22820
Q9Y675,1,1,caffeine,SNURF,8926
Q9Y624,1,1,caffeine,F11R,50848
Q9Y618,1,1,caffeine,NCOR2,9612
Q9Y5J1,1,1,caffeine,UTP18,51096
A6NCI4,1,1,caffeine,VWA3A,146177
A6NCS6,1,1,caffeine,C2ORF72,257407
A6ND36,1,1,caffeine,SACK1G,644815
A6NDB9,1,1,caffeine,PALM3,342979
A6NFI3,1,1,caffeine,ZNF316,100131017
A6NGG8,1,1,caffeine,PCARE,388939
A6NHL2,1,1,caffeine,TUBAL3,79861
A6NJT0,1,1,caffeine,UNCX,340260
A6NKD9,1,1,caffeine,CCDC85C,317762
A7E2K5,1,1,caffeine,CRYBB1L2,560055
A7KAX9,1,1,caffeine,ARHGAP32,9743
A7XYQ1,1,1,caffeine,SOBP,55084
A8MTL9,1,1,caffeine,HMSD,284293
Q9Y5Y0,1,1,caffeine,FLVCR1,28982
Q9Y5Z4,1,1,caffeine,HEBP2,23593
P22059,1,1,caffeine,OSBP,5007
P19652,1,1,caffeine,ORM2,5005
P22392,1,1,caffeine,NME2,4831
P22413,1,1,caffeine,ENPP1,5167
P22695,1,1,caffeine,UQCRC2,7385
P22760,1,1,bethanechol,AADAC,13
P23193,1,1,caffeine,TCEA1,6917
P21359,1,1,caffeine,NF1,4763
P21439,1,1,caffeine,ABCB4,5244
P23508,1,1,caffeine,MCC,4163
P23510,1,1,caffeine,TNFSF4,7292
P23511,1,1,caffeine,NFYA,4800
P23527,1,1,caffeine,H2BC17,8348
P23677,1,1,caffeine,ITPKA,3706
P22307,1,1,caffeine,SCP2,6342
P22309,1,1,caffeine,UGT1A1,54658
P20042,1,1,caffeine,EIF2S2,8894
P20823,1,1,caffeine,HNF1A,6927
P20929,1,1,caffeine,NEB,4703
P25021,1,1,maprotiline,HRH2,3274
P25440,1,1,caffeine,BRD2,6046
P25963,1,1,caffeine,NFKBIA,4792
P26368,1,1,caffeine,U2AF2,11338
P26373,1,1,caffeine,RPL13,6137
P26639,1,1,caffeine,TARS1,6897
P23396,1,1,caffeine,RPS3,6188
P23443,1,1,caffeine,RPS6KB1,6198
P23497,1,1,caffeine,SP100,6672
P21580,1,1,caffeine,TNFAIP3,7128
P21728,1,1,maprotiline,DRD1,1812
P21796,1,1,caffeine,VDAC1,7416
P21918,1,1,maprotiline,DRD5,1816
P17600,1,1,caffeine,SYN1,6853
P17612,1,1,caffeine,PRKACA,5566
P18206,1,1,caffeine,VCL,7414
P18583,1,1,caffeine,SON,6651
P18615,1,1,caffeine,NELFE,7936
P18858,1,1,caffeine,LIG1,3978
P18887,1,1,caffeine,XRCC1,7515
P19532,1,1,caffeine,TFE3,7030
P19544,1,1,caffeine,WT1,7490
P19623,1,1,caffeine,SRM,6723
P16989,1,1,caffeine,YBX3,8531
P17028,1,1,caffeine,ZNF24,7572
P17029,1,1,caffeine,ZKSCAN1,7586
P27169,1,1,pilocarpine,PON1,5444
P27348,1,1,caffeine,YWHAQ,10971
P27448,1,1,caffeine,MARK3,4140
P16395,1,1,pilocarpine,MACHR-A,37892
P16499,1,1,caffeine,PDE6A,5145
P16860,1,1,caffeine,NPPB,4879
P14923,1,1,caffeine,JUP,3728
P28336,1,1,caffeine,NMBR,4829
P28370,1,1,caffeine,SMARCA1,6594
P28647,1,1,caffeine,ADORA3,100911796
P28702,1,1,forskolin,RXRB,6257
P29144,1,1,caffeine,TPP2,7174
P26640,1,1,caffeine,VARS1,7407
P26651,1,1,caffeine,ZFP36,7538
P17032,1,1,caffeine,ZNF37A,7587
P17098,1,1,caffeine,ZNF8,7554
P17535,1,1,caffeine,JUND,3727
P17544,1,1,caffeine,ATF7,11016
P17561,1,1,caffeine,EPD,30199
P12931,1,1,caffeine,SRC,6714
P15382,1,1,Ginsenoside rb1,KCNE1,3753
P15392,1,1,caffeine,CYP2A4,13086
P15407,1,1,caffeine,FOSL1,8061
P15622,1,1,caffeine,ZNF250,58500
P15923,1,1,caffeine,TCF3,6929
P15927,1,1,caffeine,RPA2,6118
P29466,1,1,Ginsenoside rb1,CASP1,834
P29474,1,1,caffeine,NOS3,4846
P30038,1,1,caffeine,ALDH4A1,8659
P30086,1,1,caffeine,PEBP1,5037
P30275,1,1,caffeine,CKMT1,12716
P28190,1,1,caffeine,ADORA1,282133
P16144,1,1,caffeine,ITGB4,3691
P16333,1,1,caffeine,NCK1,4690
P16383,1,1,caffeine,GCFC2,6936
P13640,1,1,caffeine,MT1G,4495
P13667,1,1,caffeine,PDIA4,9601
P13797,1,1,caffeine,PLS3,5358
P11831,1,1,caffeine,SRF,6722
P12004,1,1,caffeine,PCNA,5111
P30622,1,1,caffeine,CLIP1,6249
P31152,1,1,forskolin,MAPK4,5596
P31321,1,1,caffeine,PRKAR1B,5575
P31930,1,1,caffeine,UQCRC1,7384
P29374,1,1,caffeine,ARID4A,5926
P29401,1,1,caffeine,TKT,7086
P13994,1,1,caffeine,YJU2B,81576
P14209,1,1,caffeine,CD99,4267
P14314,1,1,caffeine,PRKCSH,5589
P14550,1,1,caffeine,AKR1A1,10327
P14649,1,1,caffeine,MYL6B,140465
P12657,1,1,pilocarpine,CHRM1,12669
P12755,1,1,caffeine,SKI,6497
P12757,1,1,caffeine,SKIL,6498
P12883,1,1,caffeine,MYH7,4625
P11217,1,1,caffeine,PYGM,5837
P31946,1,1,caffeine,YWHAB,7529
P31948,1,1,caffeine,STIP1,10963
P33261,1,1,caffeine,CYP2C19,1557
P33270,1,1,caffeine,CYP6A2,35587
P33527,1,1,caffeine,ABCC1,4363
P30414,1,1,caffeine,NKTR,4820
P30419,1,1,caffeine,NMT1,4836
P13051,1,1,caffeine,UNG,7374
P13516,1,1,caffeine,SCD1,20249
P13569,1,1,forskolin,CFTR,1080
P13612,1,1,caffeine,ITGA4,3676
P11166,1,1,caffeine,SLC2A1,6513
P0DJD0,1,1,caffeine,RGPD1,400966
P0DMM9,1,1,caffeine,SULT1A4,445329
P35250,1,1,caffeine,RFC2,5982
P35270,1,1,caffeine,SPR,6697
P35462,1,1,maprotiline,DRD3,1814
P35568,1,1,caffeine,IRS1,3667
P35579,1,1,caffeine,MYH9,4627
P35580,1,1,caffeine,MYH10,4628
P35606,1,1,caffeine,COPB2,9276
P11279,1,1,Ginsenoside rb1,LAMP1,3916
P11388,1,1,caffeine,TOP2A,7153
P11441,1,1,caffeine,UBL4A,8266
P12036,1,1,caffeine,NEFH,4744
P12270,1,1,caffeine,TPR,7175
P12643,1,1,Ginsenoside rb1,BMP2,650
P08651,1,1,caffeine,NFIC,4782
P0DN37,1,1,caffeine,PPIAL4G,644591
P0DPD6,1,1,caffeine,ECE2,9718
P10147,1,1,caffeine,CCL3,6348
P10244,1,1,caffeine,MYBL2,4605
P09327,1,1,caffeine,VIL1,7429
P35659,1,1,caffeine,DEK,7913
P35711,1,1,caffeine,SOX5,6660
P35968,1,1,caffeine,KDR,3791
P36383,1,1,caffeine,GJC1,10052
P36578,1,1,caffeine,RPL4,6124
P36871,1,1,caffeine,PGM1,5236
P36897,1,1,caffeine,TGFBR1,7046
P10746,1,1,caffeine,UROS,7390
P10922,1,1,caffeine,H1F0,14958
P11137,1,1,Ginsenoside rb1,MAP2,4133
P07942,1,1,caffeine,LAMB1,3912
P07947,1,1,caffeine,YES1,7525
P08047,1,1,caffeine,SP1,6667
P37173,1,1,caffeine,TGFBR2,7048
P37198,1,1,caffeine,NUP62,23636
P37231,1,1,forskolin,PPARG,5468
P37275,1,1,caffeine,ZEB1,6935
P38432,1,1,caffeine,COIL,8161
P38606,1,1,Ginsenoside rb1,ATP6V1A,523
P38919,1,1,caffeine,EIF4A3,9775
P09661,1,1,caffeine,SNRPA1,6627
P09936,1,1,caffeine,UCHL1,7345
P0C1Z6,1,1,caffeine,TFPT,29844
P0C7T5,1,1,caffeine,ATXN1L,342371
P0CG47,1,1,caffeine,UBB,7314
P0CG48,1,1,caffeine,UBC,7316
P07737,1,1,caffeine,PFN1,5216
P05387,1,1,caffeine,RPLP2,6181
P08048,1,1,caffeine,ZFY,7544
P08183,1,1,forskolin,ABCB1,5243
P08235,1,1,caffeine,NR3C2,4306
P08237,1,1,caffeine,PFKM,5213
P08483,1,1,pilocarpine,CHRM3,24260
P08485,1,1,pilocarpine,CHRM4,25111
P40145,1,1,forskolin,ADCY8,114
P40222,1,1,caffeine,TXLNA,200081
P40763,1,1,caffeine,STAT3,6774
P40818,1,1,caffeine,USP8,9101
P08910,1,1,caffeine,ABHD2,11057
P08911,1,1,pilocarpine,CHRM5,53949
P09234,1,1,caffeine,SNRPC,6631
P09237,1,1,caffeine,MMP7,4316
P05162,1,1,caffeine,LGALS2,3957
P05230,1,1,Ethanolamine,FGF1,2246
P05455,1,1,caffeine,SSB,6741
P05556,1,1,caffeine,ITGB1,3688
P06239,1,1,caffeine,LCK,3932
P06748,1,1,caffeine,NPM1,4869
P06753,1,1,caffeine,TPM3,7170
P41236,1,1,caffeine,PPP1R2,5504
P41595,1,1,maprotiline,HTR2B,3357
P42166,1,1,caffeine,TMPO,7112
P42224,1,1,caffeine,STAT1,6772
P42226,1,1,caffeine,STAT6,6778
P42336,1,1,caffeine,PIK3CA,5290
P42356,1,1,caffeine,PI4KA,5297
P39023,1,1,caffeine,RPL3,6122
P07205,1,1,caffeine,PGK2,5232
P04818,1,1,caffeine,TYMS,7298
P04844,1,1,caffeine,RPN2,6185
P04920,1,1,caffeine,SLC4A2,6522
P42694,1,1,caffeine,HELZ,9931
P42695,1,1,caffeine,NCAPD3,23310
P43005,1,1,caffeine,SLC1A1,6505
P43140,1,1,maprotiline,ADRA1A,29412
P43220,1,1,forskolin,GLP1R,2740
P45973,1,1,caffeine,CBX5,23468
P45974,1,1,caffeine,USP5,8078
P45984,1,1,caffeine,MAPK9,5601
P46013,1,1,caffeine,MKI67,4288
P41227,1,1,caffeine,NAA10,8260
P41235,1,1,forskolin,HNF4A,3172
P05107,1,1,Ginsenoside rb1,ITGB2,3689
P05121,1,1,forskolin,SERPINE1,5054
P02545,1,1,caffeine,LMNA,4000
P00558,1,1,caffeine,PGK1,5230
P02798,1,1,caffeine,MT2,17750
P04004,1,1,caffeine,VTN,7448
P01133,1,1,Ethanolamine,EGF,1950
P46379,1,1,caffeine,BAG6,7917
P46459,1,1,caffeine,NSF,4905
P46531,1,1,caffeine,NOTCH1,4851
P46616,1,1,caffeine,ADORA2A,100135473
P46937,1,1,caffeine,YAP1,10413
P46939,1,1,caffeine,UTRN,7402
P47745,1,1,caffeine,ADORA1,100135472
P48029,1,1,caffeine,SLC6A8,6535
P48061,1,1,caffeine,CXCL12,6387
P48200,1,1,caffeine,IREB2,3658
P04264,1,1,caffeine,KRT1,3848
P00915,1,1,caffeine,CA1,759
P00918,1,1,caffeine,CA2,760
P01009,1,1,caffeine,SERPINA1,5265
O95817,1,1,caffeine,BAG3,9531
O95870,1,1,caffeine,ABHD16A,7920
O95905,1,1,caffeine,ECD,11319
P48449,1,1,caffeine,LSS,4047
P48545,1,1,maprotiline,KCNJ5,16521
P48552,1,1,caffeine,NRIP1,8204
P48643,1,1,caffeine,CCT5,22948
P48681,1,1,caffeine,NES,10763
P48995,1,1,caffeine,TRPC1,7220
P49116,1,1,caffeine,NR2C2,7182
P46087,1,1,caffeine,NOP2,4839
P01308,1,1,caffeine,INS,3630
P01325,1,1,caffeine,INS1,16333
P49915,1,1,caffeine,GMPS,8833
P49916,1,1,caffeine,LIG3,3980
P49321,1,1,caffeine,NASP,4678
P49368,1,1,caffeine,CCT3,7203
P49458,1,1,caffeine,SRP9,6726
P49585,1,1,caffeine,PCYT1A,5130
P49593,1,1,caffeine,PPM1F,9647
P49711,1,1,caffeine,CTCF,10664
P49736,1,1,caffeine,MCM2,4171
O96018,1,1,caffeine,APBA3,9546
O96028,1,1,caffeine,NSD2,7468
P00439,1,1,caffeine,PAH,5053
P00491,1,1,caffeine,PNP,4860
O95625,1,1,caffeine,ZBTB11,27107
O95639,1,1,caffeine,CPSF4,10898
P00797,1,1,caffeine,REN,5972
O95714,1,1,caffeine,HERC2,8924
O95747,1,1,caffeine,OXSR1,9943
O95757,1,1,caffeine,HSPA4L,22824
O95759,1,1,caffeine,TBC1D8,11138
O95772,1,1,caffeine,STARD3NL,83930
O95785,1,1,caffeine,WIZ,58525
O95793,1,1,caffeine,STAU1,6780
O95801,1,1,caffeine,TTC4,7268
O95810,1,1,caffeine,CAVIN2,8436
O95295,1,1,caffeine,SNAPIN,23557
O95352,1,1,caffeine,ATG7,10533
O95359,1,1,caffeine,TACC2,10579
P49763,1,1,caffeine,PGF,5228
P49795,1,1,caffeine,RGS19,10287
P49815,1,1,caffeine,TSC2,7249
P49848,1,1,caffeine,TAF6,6878
P51692,1,1,caffeine,STAT5B,6777
P51798,1,1,Ginsenoside rb1,CLCN7,1186
P50225,1,1,caffeine,SULT1A1,6817
P50406,1,1,maprotiline,HTR6,3362
P50502,1,1,caffeine,ST13,6767
P50552,1,1,caffeine,VASP,7408
P50748,1,1,caffeine,KNTC1,9735
P50851,1,1,caffeine,LRBA,987
P50990,1,1,caffeine,CCT8,10694
P49750,1,1,caffeine,YLPM1,56252
P49754,1,1,caffeine,VPS41,27072
P49757,1,1,caffeine,NUMB,8650
O95644,1,1,Ginsenoside rb1,NFATC1,4772
O95671,1,1,caffeine,ASMTL,8623
O95684,1,1,caffeine,CEP43,11116
O95696,1,1,caffeine,BRD1,23774
P51843,1,1,forskolin,NR0B1,190
P51956,1,1,caffeine,NEK3,4752
P51957,1,1,caffeine,NEK4,6787
P51991,1,1,caffeine,HNRNPA3,220988
P52272,1,1,caffeine,HNRNPM,4670
P52292,1,1,caffeine,KPNA2,3838
P52333,1,1,caffeine,JAK3,3718
P50991,1,1,caffeine,CCT4,10575
P51003,1,1,caffeine,PAPOLA,10914
P51114,1,1,caffeine,FXR1,8087
P51116,1,1,caffeine,FXR2,9513
P51160,1,1,caffeine,PDE6C,5146
P51449,1,1,Ethanolamine,RORC,6097
P51531,1,1,caffeine,SMARCA2,6595
P51532,1,1,caffeine,SMARCA4,6597
P51617,1,1,caffeine,IRAK1,3654
P51812,1,1,caffeine,RPS6KA3,6197
P51825,1,1,caffeine,AFF1,4299
O95365,1,1,caffeine,ZBTB7A,51341
O95400,1,1,caffeine,CD2BP2,10421
O95425,1,1,caffeine,SVIL,6840
O95429,1,1,caffeine,BAG4,9530
O95445,1,1,caffeine,APOM,55937
O95478,1,1,caffeine,NSA2,10412
O95490,1,1,caffeine,ADGRL2,23266
O95503,1,1,caffeine,CBX6,23466
O95528,1,1,caffeine,SLC2A10,81031
O95544,1,1,caffeine,NADK,65220
O95551,1,1,caffeine,TDP2,51567
O94983,1,1,caffeine,CAMTA2,23125
O94985,1,1,caffeine,CLSTN1,22883
O95049,1,1,caffeine,TJP3,27134
P53814,1,1,caffeine,SMTN,6525
P53985,1,1,caffeine,SLC16A1,6566
P53999,1,1,caffeine,SUB1,10923
P54198,1,1,caffeine,HIRA,7290
P54253,1,1,caffeine,ATXN1,6310
P54317,1,1,Ethanolamine,PNLIPRP2,5408
P54646,1,1,caffeine,PRKAA2,5563
P52735,1,1,caffeine,VAV2,7410
P52746,1,1,caffeine,ZNF142,7701
P52948,1,1,caffeine,NUP98,4928
P53007,1,1,caffeine,SLC25A1,6576
P53350,1,1,caffeine,PLK1,5347
P53365,1,1,caffeine,ARFIP2,23647
P53367,1,1,caffeine,ARFIP1,27236
P53384,1,1,caffeine,NUBP1,4682
P53602,1,1,caffeine,MVD,4597
P53671,1,1,caffeine,LIMK2,3985
O95071,1,1,caffeine,UBR5,51366
O95149,1,1,caffeine,SNUPN,10073
O95155,1,1,caffeine,UBE4B,10277
O95163,1,1,caffeine,ELP1,8518
O95201,1,1,caffeine,ZNF205,7755
O95210,1,1,caffeine,STBD1,8987
O95218,1,1,caffeine,ZRANB2,9406
O95235,1,1,caffeine,KIF20A,10112
O95249,1,1,caffeine,GOSR1,9527
O95260,1,1,caffeine,ATE1,11101
O95263,1,1,caffeine,PDE8B,8622
O94864,1,1,caffeine,SUPT7L,9913
O94868,1,1,caffeine,FCHSD2,9873
O94875,1,1,caffeine,SORBS2,8470
P53801,1,1,caffeine,PTTG1IP,754
O76024,1,1,caffeine,WFS1,7466
P56134,1,1,caffeine,ATP5MF,9551
P56524,1,1,caffeine,HDAC4,9759
P56705,1,1,caffeine,WNT4,54361
P56747,1,1,caffeine,CLDN6,9074
P56749,1,1,caffeine,CLDN12,9069
P56937,1,1,caffeine,HSD17B7,51478
P56945,1,1,caffeine,BCAR1,9564
P56962,1,1,caffeine,STX17,55014
P54750,1,1,caffeine,PDE1A,5136
P55011,1,1,caffeine,SLC12A2,6558
P55055,1,1,forskolin,NR1H2,7376
P55196,1,1,caffeine,AFDN,4301
P55201,1,1,caffeine,BRPF1,7862
P55209,1,1,caffeine,NAP1L1,4673
P53667,1,1,caffeine,LIMK1,3984
P55327,1,1,caffeine,TPD52,7163
P55735,1,1,caffeine,SEC13,6396
O94876,1,1,caffeine,TMCC1,23023
O94880,1,1,caffeine,PHF14,9678
O94885,1,1,caffeine,SASH1,23328
O94887,1,1,caffeine,FARP2,9855
O94888,1,1,caffeine,UBXN7,26043
O94910,1,1,caffeine,ADGRL1,22859
O94913,1,1,caffeine,PCF11,51585
O94915,1,1,caffeine,FRYL,285527
O94916,1,1,caffeine,NFAT5,10725
O94919,1,1,caffeine,ENDOD1,23052
O94964,1,1,caffeine,MTCL2,140710
O94972,1,1,caffeine,TRIM37,4591
O94979,1,1,caffeine,SEC31A,22872
O76013,1,1,caffeine,KRT36,8689
P62837,1,1,caffeine,UBE2D2,7322
P62854,1,1,caffeine,RPS26,6231
P62995,1,1,caffeine,TRA2B,6434
P63104,1,1,caffeine,YWHAZ,7534
P57060,1,1,caffeine,RWDD2B,10069
P57086,1,1,caffeine,SCAND1,51282
P57678,1,1,caffeine,GEMIN4,50628
P57764,1,1,Ginsenoside rb1,GSDMD,79792
P58317,1,1,caffeine,ZNF121,7675
P58753,1,1,caffeine,TIRAP,114609
P59910,1,1,caffeine,DNAJB13,374407
P60174,1,1,caffeine,TPI1,7167
P60468,1,1,caffeine,SEC61B,10952
P60880,1,1,caffeine,SNAP25,6616
P60903,1,1,caffeine,S100A10,6281
P61163,1,1,caffeine,ACTR1A,10121
O76064,1,1,caffeine,RNF8,9025
O76080,1,1,caffeine,ZFAND5,7763
O76083,1,1,caffeine,PDE9A,5152
O76094,1,1,caffeine,SRP72,6731
O94763,1,1,caffeine,URI1,8725
O94768,1,1,caffeine,STK17B,9262
O94782,1,1,caffeine,USP1,7398
O94804,1,1,caffeine,STK10,6793
O94805,1,1,caffeine,ACTL6B,51412
O94826,1,1,caffeine,TOMM70,9868
O94842,1,1,caffeine,TOX4,9878
O75643,1,1,caffeine,SNRNP200,23020
O75665,1,1,caffeine,OFD1,8481
O75683,1,1,caffeine,SURF6,6838
P62280,1,1,caffeine,RPS11,6205
P62805,1,1,caffeine,H4C9,8294
P83731,1,1,caffeine,RPL24,6152
P83916,1,1,caffeine,CBX1,10951
P84157,1,1,caffeine,MXRA7,439921
P67809,1,1,caffeine,YBX1,4904
P68363,1,1,caffeine,TUBA1B,10376
P69849,1,1,caffeine,NOMO3,408050
P70452,1,1,caffeine,STX4A,20909
P78312,1,1,caffeine,FAM193A,8603
P78362,1,1,caffeine,SRPK2,6733
P78371,1,1,caffeine,CCT2,10576
P78415,1,1,caffeine,IRX3,79191
P78417,1,1,caffeine,GSTO1,9446
P78423,1,1,caffeine,CX3CL1,6376
P78504,1,1,caffeine,JAG1,182
P78505,1,1,caffeine,PDE4C,5143
O76061,1,1,caffeine,STC2,8614
O75821,1,1,caffeine,EIF3G,8666
O75822,1,1,caffeine,EIF3J,8669
O75845,1,1,caffeine,SC5D,6309
O75881,1,1,caffeine,CYP7B1,9420
O75882,1,1,caffeine,ATRN,8455
O75907,1,1,caffeine,DGAT1,8694
O75909,1,1,caffeine,CCNK,8812
O75940,1,1,caffeine,SMNDC1,10285
O75962,1,1,caffeine,TRIO,7204
O75439,1,1,caffeine,PMPCB,9512
O75449,1,1,caffeine,KATNA1,11104
P80723,1,1,caffeine,BASP1,10409
P82094,1,1,caffeine,TMF1,7110
P82712,1,1,caffeine,CYP12D1-P,246648
P82909,1,1,caffeine,KGD4,92259
P83436,1,1,caffeine,COG7,91949
Q01196,1,1,caffeine,RUNX1,861
Q01629,1,1,caffeine,IFITM2,10581
P85037,1,1,caffeine,FOXK1,221937
P86452,1,1,caffeine,ZBED6,100381270
P99999,1,1,caffeine,CYCS,54205
Q00059,1,1,caffeine,TFAM,7019
Q00168,1,1,Ginsenoside rb1,CAMKII,43828
