,compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
149,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
150,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
151,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
152,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
153,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
154,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
155,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
156,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
157,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
158,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
159,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
160,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
161,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
162,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
163,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
164,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
165,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
166,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
167,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
168,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
169,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
170,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
171,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
172,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
173,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
174,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
175,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
176,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
177,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
178,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
179,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
180,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
181,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
182,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
183,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
184,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
185,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
186,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
