uniprot_accession,protein_name,pathway,compound
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",WikiPathways_WP2533,Ethanolamine
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",WikiPathways_WP2533,Ethanolamine
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,WikiPathways_WP2533,Ethanolamine
O15228,Dihydroxyacetone phosphate acyltransferase,WikiPathways_WP2533,Ethanolamine
O95674,Phosphatidate cytidylyltransferase 2,WikiPathways_WP2533,Ethanolamine
P14555,"Phospholipase A2, membrane associated",WikiPathways_WP2533,Ethanolamine
P17898,Cholinephosphotransferase 1,WikiPathways_WP2533,Ethanolamine
P21695,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",WikiPathways_WP2533,Ethanolamine
P32189,Glycerol kinase,WikiPathways_WP2533,Ethanolamine
P40471,NADPH-dependent 1-acyldihydroxyacetone phosphate reductase,WikiPathways_WP2533,Ethanolamine
P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",WikiPathways_WP2533,Ethanolamine
P42338,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",WikiPathways_WP2533,Ethanolamine
P48651,Phosphatidylserine synthase 1,WikiPathways_WP2533,Ethanolamine
P48736,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",WikiPathways_WP2533,Ethanolamine
Q14693,Phosphatidate phosphatase LPIN1,WikiPathways_WP2533,Ethanolamine
Q32NB8,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",WikiPathways_WP2533,Ethanolamine
Q53EU6,Glycerol-3-phosphate acyltransferase 3,WikiPathways_WP2533,Ethanolamine
Q6NUI2,"Glycerol-3-phosphate acyltransferase 2, mitochondrial",WikiPathways_WP2533,Ethanolamine
Q86UL3,Glycerol-3-phosphate acyltransferase 4,WikiPathways_WP2533,Ethanolamine
Q86VF5,2-acylglycerol O-acyltransferase 3,WikiPathways_WP2533,Ethanolamine
Q8NFU5,Inositol polyphosphate multikinase,WikiPathways_WP2533,Ethanolamine
Q8WUD6,Cholinephosphotransferase 1,WikiPathways_WP2533,Ethanolamine
Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,WikiPathways_WP2533,Ethanolamine
Q92539,Phosphatidate phosphatase LPIN2,WikiPathways_WP2533,Ethanolamine
Q99447,Ethanolamine-phosphate cytidylyltransferase,WikiPathways_WP2533,Ethanolamine
Q99755,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,WikiPathways_WP2533,Ethanolamine
Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha,WikiPathways_WP2533,Ethanolamine
Q9HCL2,"Glycerol-3-phosphate acyltransferase 1, mitochondrial",WikiPathways_WP2533,Ethanolamine
Q9UBM1,Phosphatidylethanolamine N-methyltransferase,WikiPathways_WP2533,Ethanolamine
Q9UJA2,Cardiolipin synthase (CMP-forming),WikiPathways_WP2533,Ethanolamine
Q9Y259,Choline/ethanolamine kinase,WikiPathways_WP2533,Ethanolamine
Q9Y6K0,Choline/ethanolaminephosphotransferase 1,WikiPathways_WP2533,Ethanolamine
O14494,Phospholipid phosphatase 1,PathBank_SMP0000025,Ethanolamine
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,PathBank_SMP0000025,Ethanolamine
O14939,Phospholipase D2,PathBank_SMP0000025,Ethanolamine
O75608,Acyl-protein thioesterase 1,PathBank_SMP0000025,Ethanolamine
P0C869,Cytosolic phospholipase A2 beta,PathBank_SMP0000025,Ethanolamine
P21695,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",PathBank_SMP0000025,Ethanolamine
P23743,Diacylglycerol kinase alpha,PathBank_SMP0000025,Ethanolamine
P28329,Choline O-acetyltransferase,PathBank_SMP0000025,Ethanolamine
P35790,Choline kinase alpha,PathBank_SMP0000025,Ethanolamine
P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",PathBank_SMP0000025,Ethanolamine
P48651,Phosphatidylserine synthase 1,PathBank_SMP0000025,Ethanolamine
P49585,Choline-phosphate cytidylyltransferase A,PathBank_SMP0000025,Ethanolamine
Q32NB8,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",PathBank_SMP0000025,Ethanolamine
Q8NCC3,Lysosomal phospholipase A and acyltransferase,PathBank_SMP0000025,Ethanolamine
Q8TCT1,Phosphoethanolamine/phosphocholine phosphatase,PathBank_SMP0000025,Ethanolamine
Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,PathBank_SMP0000025,Ethanolamine
Q92903,Phosphatidate cytidylyltransferase 1,PathBank_SMP0000025,Ethanolamine
Q99943,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,PathBank_SMP0000025,Ethanolamine
Q9BVG9,Phosphatidylserine synthase 2,PathBank_SMP0000025,Ethanolamine
Q9HCL2,"Glycerol-3-phosphate acyltransferase 1, mitochondrial",PathBank_SMP0000025,Ethanolamine
Q9NZC3,Glycerophosphodiester phosphodiesterase 1,PathBank_SMP0000025,Ethanolamine
Q9UBM1,Phosphatidylethanolamine N-methyltransferase,PathBank_SMP0000025,Ethanolamine
Q9UG56,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",PathBank_SMP0000025,Ethanolamine
Q9UJA2,Cardiolipin synthase (CMP-forming),PathBank_SMP0000025,Ethanolamine
Q9UNK4,Group IID secretory phospholipase A2,PathBank_SMP0000025,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001489,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001489,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001489,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001489,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001489,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001489,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001489,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001489,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001041,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001041,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001041,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001041,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001041,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001041,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001041,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001041,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001041,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001041,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001041,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001041,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001041,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001042,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001042,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001042,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001042,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001042,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001042,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001042,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001042,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001042,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001042,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001042,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001042,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001042,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001045,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001045,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001045,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001045,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001045,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001045,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001045,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001045,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001045,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001045,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001045,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001046,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001046,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001046,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001046,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001046,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001046,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001046,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001046,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001046,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001046,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001046,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001046,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001046,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001047,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001047,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001047,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001047,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001047,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001047,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001047,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001047,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001047,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001047,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001047,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001047,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001047,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001048,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001048,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001048,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001048,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001048,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001048,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001048,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001048,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001048,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001048,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001048,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001049,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001049,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001049,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001049,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001049,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001049,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001049,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001049,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001049,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001049,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001049,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001049,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001051,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001051,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001051,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001051,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001051,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001051,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001051,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001051,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001051,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001051,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001051,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001051,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001051,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001052,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001052,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001052,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001052,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001052,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001052,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001052,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001052,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001052,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001052,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001052,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001052,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001052,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001053,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001053,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001053,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001053,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001053,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001053,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001053,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001053,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001053,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001053,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001053,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001053,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001053,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001054,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001054,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001054,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001054,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001054,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001054,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001054,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001054,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001054,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001054,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001054,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001054,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001054,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001055,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001055,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001055,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001055,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001055,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001055,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001055,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001055,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001055,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001055,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001055,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001055,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001055,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001056,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001056,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001056,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001056,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001056,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001056,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001056,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001056,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001056,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001056,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001056,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001056,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001056,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001057,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001057,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001057,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001057,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001057,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001057,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001057,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001057,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001057,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001057,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001057,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001057,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001057,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001058,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001058,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001058,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001058,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001058,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001058,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001058,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001058,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001058,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001058,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001058,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001058,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001058,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001059,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001059,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001059,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001059,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001059,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001059,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001059,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001059,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001059,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001059,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001059,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001059,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001059,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001060,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001060,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001060,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001060,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001060,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001060,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001060,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001060,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001060,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001060,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001060,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001060,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001060,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001061,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001061,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001061,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001061,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001061,Ethanolamine
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,PathBank_SMP0001061,Ethanolamine
P0ABG1,Phosphatidate cytidylyltransferase,PathBank_SMP0001061,Ethanolamine
P18200,Phosphatidylglycerophosphatase A,PathBank_SMP0001061,Ethanolamine
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,PathBank_SMP0001061,Ethanolamine
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,PathBank_SMP0001061,Ethanolamine
P75919,Cardiolipin synthase C,PathBank_SMP0001061,Ethanolamine
P0A6A8,Acyl carrier protein,PathBank_SMP0001062,Ethanolamine
P0A6H8,Cardiolipin synthase A,PathBank_SMP0001062,Ethanolamine
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],PathBank_SMP0001062,Ethanolamine
P0A7A7,Glycerol-3-phosphate acyltransferase,PathBank_SMP0001062,Ethanolamine
P0A8K1,Phosphatidylserine decarboxylase proenzyme,PathBank_SMP0001062,Ethanolamine
P0A924,Phosphatidylglycerophosphatase B,PathBank_SMP0001062,Ethanolamine
P0AA84,Cardiolipin synthase B,PathBank_SMP0001062,Ethanolamine
