compound,protein,normalized_target,is_gene
caffeine,JAG1,JAG1,True
caffeine,AGT,AGT,True
caffeine,AGTR2,AGTR2,True
caffeine,AGTR2,AGTR2,True
caffeine,AHCY,AHCY,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT2,AKT2,True
caffeine,ALB,ALB,True
caffeine,ALB,ALB,True
caffeine,ALDH1A1,ALDH1A1,True
caffeine,ALDH1A1,ALDH1A1,True
caffeine,ALDH9A1,ALDH9A1,True
caffeine,ALDH3A2,ALDH3A2,True
caffeine,ALDOA,ALDOA,True
caffeine,ALDOA,ALDOA,True
caffeine,ALDOC,ALDOC,True
caffeine,ALPL,ALPL,True
caffeine,AMFR,AMFR,True
caffeine,AMPD2,AMPD2,True
caffeine,ANG,ANG,True
caffeine,ANGPT1,ANGPT1,True
caffeine,ANGPT2,ANGPT2,True
caffeine,ANK2,ANK2,True
caffeine,ANXA2,ANXA2,True
caffeine,ANXA4,ANXA4,True
caffeine,ANXA4,ANXA4,True
caffeine,ANXA11,ANXA11,True
caffeine,AOX1,AOX1,True
caffeine,APC,APC,True
caffeine,APEH,APEH,True
caffeine,APEX1,APEX1,True
caffeine,BIRC2,BIRC2,True
caffeine,APLP2,APLP2,True
caffeine,APOA1,APOA1,True
caffeine,APOA1,APOA1,True
caffeine,APOA2,APOA2,True
caffeine,APOA2,APOA2,True
caffeine,APOB,APOB,True
caffeine,APOB,APOB,True
caffeine,APOB,APOB,True
caffeine,APOB,APOB,True
caffeine,APOC1,APOC1,True
caffeine,APOC1,APOC1,True
caffeine,APOC2,APOC2,True
caffeine,APOC2,APOC2,True
caffeine,APOC3,APOC3,True
caffeine,APOE,APOE,True
caffeine,FAS,FAS,True
caffeine,FAS,FAS,True
caffeine,FAS,FAS,True
caffeine,SHROOM2,SHROOM2,True
caffeine,AR,AR,True
caffeine,ARAF,ARAF,True
caffeine,ARCN1,ARCN1,True
caffeine,ARF1,ARF1,True
caffeine,ARL4D,ARL4D,True
caffeine,ARHGAP1,ARHGAP1,True
caffeine,ARHGAP5,ARHGAP5,True
caffeine,ARHGDIA,ARHGDIA,True
caffeine,ARRB1,ARRB1,True
caffeine,ARRB2,ARRB2,True
caffeine,ARVCF,ARVCF,True
caffeine,ASGR2,ASGR2,True
caffeine,ASNS,ASNS,True
caffeine,ZFHX3,ZFHX3,True
caffeine,ATIC,ATIC,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,Serine-protein kinase ATM,serine protein kinase atm,False
caffeine,Serine-protein kinase ATM,serine protein kinase atm,False
caffeine,RERE,RERE,True
caffeine,ATP1A1,ATP1A1,True
caffeine,ATP1A3,ATP1A3,True
caffeine,ATP1B3,ATP1B3,True
caffeine,ATP2A2,ATP2A2,True
caffeine,ATP2B1,ATP2B1,True
caffeine,ATP6V1B2,ATP6V1B2,True
caffeine,ATP6V0C,ATP6V0C,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,Serine/threonine-protein kinase ATR,serine threonine protein kinase atr,False
caffeine,ATRX,ATRX,True
caffeine,AUP1,AUP1,True
caffeine,AVPR1A,AVPR1A,True
caffeine,BACH1,BACH1,True
caffeine,BARD1,BARD1,True
caffeine,BAX,BAX,True
caffeine,BAX,BAX,True
caffeine,BAX,BAX,True
caffeine,BAX,BAX,True
caffeine,CCND1,CCND1,True
caffeine,BCL2,BCL2,True
caffeine,BCL2L1,BCL2L1,True
caffeine,BCL3,BCL3,True
caffeine,BCL6,BCL6,True
caffeine,BCL9,BCL9,True
caffeine,BCR,BCR,True
caffeine,BDNF,BDNF,True
caffeine,BDNF,BDNF,True
caffeine,BGLAP,BGLAP,True
caffeine,CEACAM1,CEACAM1,True
caffeine,BHMT,BHMT,True
caffeine,BID,BID,True
caffeine,BLM,BLM,True
caffeine,BMPR1A,BMPR1A,True
caffeine,POLR3D,POLR3D,True
caffeine,BNIP2,BNIP2,True
caffeine,BNIP3,BNIP3,True
caffeine,BNIP3,BNIP3,True
caffeine,BNIP3L,BNIP3L,True
caffeine,DST,DST,True
caffeine,BRCA1,BRCA1,True
caffeine,BRAF,BRAF,True
caffeine,BRCA2,BRCA2,True
caffeine,ZFP36L1,ZFP36L1,True
caffeine,ZFP36L2,ZFP36L2,True
caffeine,BSG,BSG,True
caffeine,BTF3,BTF3,True
caffeine,BUB1,BUB1,True
caffeine,BUB1,BUB1,True
caffeine,BUB1B,BUB1B,True
caffeine,C1QBP,C1QBP,True
caffeine,C1R,C1R,True
caffeine,C1S,C1S,True
caffeine,MYRF,MYRF,True
caffeine,DAGLA,DAGLA,True
caffeine,PTTG1IP,PTTG1IP,True
caffeine,CFAP410,CFAP410,True
caffeine,Carbonic anhydrase 1,carbonic anhydrase 1,False
caffeine,Carbonic anhydrase 2,carbonic anhydrase 2,False
caffeine,CACNA1S,CACNA1S,True
caffeine,DDR1,DDR1,True
caffeine,CAD,CAD,True
caffeine,CAD,CAD,True
caffeine,CALM1,CALM1,True
caffeine,CALM1,CALM1,True
caffeine,CALR,CALR,True
caffeine,CALU,CALU,True
caffeine,CALU,CALU,True
caffeine,CAMK2B,CAMK2B,True
caffeine,CAMK2D,CAMK2D,True
caffeine,CAMK2G,CAMK2G,True
caffeine,CANX,CANX,True
caffeine,CAPN1,CAPN1,True
caffeine,CAPN2,CAPN2,True
caffeine,CAST,CAST,True
caffeine,CARS1,CARS1,True
caffeine,CASP2,CASP2,True
caffeine,CASP2,CASP2,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP8,CASP8,True
caffeine,CASP9,CASP9,True
caffeine,CASP9,CASP9,True
caffeine,CASP9,CASP9,True
caffeine,CASP9,CASP9,True
caffeine,CAT,CAT,True
caffeine,CAT,CAT,True
caffeine,CAT,CAT,True
caffeine,CAT,CAT,True
caffeine,CAV1,CAV1,True
caffeine,CAV3,CAV3,True
caffeine,RUNX2,RUNX2,True
caffeine,RUNX1,RUNX1,True
caffeine,SERPINA6,SERPINA6,True
caffeine,CBLB,CBLB,True
caffeine,CBS,CBS,True
caffeine,CCNB1,CCNB1,True
caffeine,CCNB1,CCNB1,True
caffeine,CCNB1,CCNB1,True
caffeine,CCNB1,CCNB1,True
caffeine,CCNB1,CCNB1,True
caffeine,CCNE1,CCNE1,True
caffeine,CCNF,CCNF,True
caffeine,CCNG1,CCNG1,True
caffeine,CCNG1,CCNG1,True
caffeine,CCNH,CCNH,True
caffeine,CCNT2,CCNT2,True
caffeine,CCT6A,CCT6A,True
caffeine,CD9,CD9,True
caffeine,CD36,CD36,True
caffeine,SCARB1,SCARB1,True
caffeine,SCARB1,SCARB1,True
caffeine,SCARB1,SCARB1,True
caffeine,SCARB1,SCARB1,True
caffeine,SCARB1,SCARB1,True
caffeine,CD59,CD59,True
caffeine,CD74,CD74,True
caffeine,CDK1,CDK1,True
caffeine,CDK1,CDK1,True
caffeine,CDK1,CDK1,True
caffeine,CDK1,CDK1,True
caffeine,CDK1,CDK1,True
caffeine,CDK11B,CDK11B,True
caffeine,LRBA,LRBA,True
caffeine,CDC5L,CDC5L,True
caffeine,SEPTIN7,SEPTIN7,True
caffeine,CDC6,CDC6,True
caffeine,CDC20,CDC20,True
caffeine,CDC25B,CDC25B,True
caffeine,CDC25B,CDC25B,True
caffeine,CDC25C,CDC25C,True
caffeine,CDC25C,CDC25C,True
caffeine,CDC25C,CDC25C,True
caffeine,CDC27,CDC27,True
caffeine,CDH1,CDH1,True
caffeine,CDH1,CDH1,True
caffeine,CDH5,CDH5,True
caffeine,CDH11,CDH11,True
caffeine,CDK2,CDK2,True
caffeine,CDK2,CDK2,True
caffeine,CDK2,CDK2,True
caffeine,CDK4,CDK4,True
caffeine,CDK4,CDK4,True
caffeine,CDK6,CDK6,True
caffeine,CDK7,CDK7,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDR2,CDR2,True
caffeine,CDX4,CDX4,True
caffeine,CEBPA,CEBPA,True
caffeine,CEBPA,CEBPA,True
caffeine,CEBPA,CEBPA,True
caffeine,CEBPB,CEBPB,True
caffeine,CEBPB,CEBPB,True
caffeine,CENPB,CENPB,True
