compound,protein,normalized_target,is_gene
caffeine,GAPDH,GAPDH,True
caffeine,GAPDH,GAPDH,True
caffeine,GAS2,GAS2,True
caffeine,GATA2,GATA2,True
caffeine,GDF10,GDF10,True
caffeine,GDI2,GDI2,True
caffeine,GFAP,GFAP,True
caffeine,GFAP,GFAP,True
caffeine,GFAP,GFAP,True
caffeine,GFER,GFER,True
caffeine,GGT7,GGT7,True
caffeine,GH1,GH1,True
caffeine,GJA1,GJA1,True
caffeine,GJA1,GJA1,True
caffeine,GJA5,GJA5,True
caffeine,GPC3,GPC3,True
caffeine,GCLC,GCLC,True
caffeine,GCLC,GCLC,True
caffeine,GLI3,GLI3,True
caffeine,GLRX,GLRX,True
caffeine,GLUD1,GLUD1,True
caffeine,GMFB,GMFB,True
caffeine,GNAI1,GNAI1,True
caffeine,GNAI2,GNAI2,True
caffeine,GNAL,GNAL,True
caffeine,GNAQ,GNAQ,True
caffeine,GNAS,GNAS,True
caffeine,GNB1,GNB1,True
caffeine,GNG5,GNG5,True
caffeine,GNL1,GNL1,True
caffeine,GOLGA1,GOLGA1,True
caffeine,GOLGA2,GOLGA2,True
caffeine,GOLGA3,GOLGA3,True
caffeine,GOLGA4,GOLGA4,True
caffeine,GOLGB1,GOLGB1,True
caffeine,GOT2,GOT2,True
caffeine,GPI,GPI,True
caffeine,GPI,GPI,True
caffeine,LPAR4,LPAR4,True
caffeine,GRK5,GRK5,True
caffeine,GRK6,GRK6,True
caffeine,GPS1,GPS1,True
caffeine,GPT,GPT,True
caffeine,GPT,GPT,True
caffeine,GPT,GPT,True
caffeine,GPX1,GPX1,True
caffeine,GPX3,GPX3,True
caffeine,GPX4,GPX4,True
caffeine,GRB7,GRB7,True
caffeine,GRB10,GRB10,True
caffeine,GRID2,GRID2,True
caffeine,GRIN1,GRIN1,True
caffeine,GRIN2A,GRIN2A,True
caffeine,GRIN2B,GRIN2B,True
caffeine,NR3C1,NR3C1,True
caffeine,NR3C1,NR3C1,True
caffeine,NR3C1,NR3C1,True
caffeine,ARHGAP35,ARHGAP35,True
caffeine,GRM1,GRM1,True
caffeine,GRM1,GRM1,True
caffeine,PDIA3,PDIA3,True
caffeine,GRPR,GRPR,True
caffeine,GSK3A,GSK3A,True
caffeine,GSK3A,GSK3A,True
caffeine,GSK3B,GSK3B,True
caffeine,GSK3B,GSK3B,True
caffeine,GSR,GSR,True
caffeine,GSTP1,GSTP1,True
caffeine,MSH6,MSH6,True
caffeine,GTF2B,GTF2B,True
caffeine,GTF2E1,GTF2E1,True
caffeine,GTF2F2,GTF2F2,True
caffeine,GTF2I,GTF2I,True
caffeine,BRF1,BRF1,True
caffeine,GTF3C1,GTF3C1,True
caffeine,GTF3C2,GTF3C2,True
caffeine,GYS1,GYS1,True
caffeine,H1-4,h1 4,False
caffeine,H1-4,h1 4,False
caffeine,H1-5,h1 5,False
caffeine,H1-5,h1 5,False
caffeine,H1-6,h1 6,False
caffeine,H2AX,H2AX,True
caffeine,H2AX,H2AX,True
caffeine,H2AX,H2AX,True
caffeine,H2AX,H2AX,True
caffeine,H2AX,H2AX,True
caffeine,H2AX,H2AX,True
caffeine,H2AX,H2AX,True
caffeine,HADHA,HADHA,True
caffeine,HCFC1,HCFC1,True
caffeine,HTT,HTT,True
caffeine,HDAC1,HDAC1,True
caffeine,HDAC2,HDAC2,True
caffeine,HDGF,HDGF,True
caffeine,HDLBP,HDLBP,True
caffeine,HDLBP,HDLBP,True
caffeine,HELLS,HELLS,True
caffeine,HELLS,HELLS,True
caffeine,HELLS,HELLS,True
caffeine,HIF1A,HIF1A,True
caffeine,HIP1,HIP1,True
caffeine,HINT1,HINT1,True
caffeine,HIVEP1,HIVEP1,True
caffeine,HIVEP2,HIVEP2,True
caffeine,ZBTB48,ZBTB48,True
caffeine,HLA-A,hla a,False
caffeine,HLCS,HLCS,True
caffeine,HMGB1,HMGB1,True
caffeine,HMGB1,HMGB1,True
caffeine,HMGB1,HMGB1,True
caffeine,HMGN1,HMGN1,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCS1,HMGCS1,True
caffeine,HMGCS1,HMGCS1,True
caffeine,HMGCS1,HMGCS1,True
caffeine,HMGCS1,HMGCS1,True
caffeine,HMGA1,HMGA1,True
caffeine,HMGA1,HMGA1,True
caffeine,FOXA1,FOXA1,True
caffeine,FOXA2,FOXA2,True
caffeine,HNRNPA1,HNRNPA1,True
caffeine,HNRNPA1,HNRNPA1,True
caffeine,HNRNPA2B1,HNRNPA2B1,True
caffeine,HNRNPAB,HNRNPAB,True
caffeine,HNRNPC,HNRNPC,True
caffeine,HNRNPC,HNRNPC,True
caffeine,HNRNPD,HNRNPD,True
caffeine,HNRNPF,HNRNPF,True
caffeine,HNRNPF,HNRNPF,True
caffeine,HNRNPH1,HNRNPH1,True
caffeine,HNRNPH1,HNRNPH1,True
caffeine,HNRNPH2,HNRNPH2,True
caffeine,HNRNPH3,HNRNPH3,True
caffeine,HNRNPK,HNRNPK,True
caffeine,HNRNPK,HNRNPK,True
caffeine,HNRNPK,HNRNPK,True
caffeine,HNRNPL,HNRNPL,True
caffeine,HNRNPU,HNRNPU,True
caffeine,HOXB7,HOXB7,True
caffeine,HOXD4,HOXD4,True
caffeine,HPD,HPD,True
caffeine,HPRT1,HPRT1,True
caffeine,HRAS,HRAS,True
caffeine,AGFG1,AGFG1,True
caffeine,AGFG2,AGFG2,True
caffeine,HRC,HRC,True
caffeine,HSD3B1,HSD3B1,True
caffeine,HSD3B1,HSD3B1,True
caffeine,HSD3B1,HSD3B1,True
caffeine,HSD11B1,HSD11B1,True
caffeine,HSD11B2,HSD11B2,True
caffeine,HSD11B2,HSD11B2,True
caffeine,HSD17B3,HSD17B3,True
caffeine,HSF1,HSF1,True
caffeine,DNAJA1,DNAJA1,True
caffeine,DNAJA1,DNAJA1,True
caffeine,HSPA1B,HSPA1B,True
caffeine,HSPA4,HSPA4,True
caffeine,HSPA4,HSPA4,True
caffeine,HSPA9,HSPA9,True
caffeine,HSPB1,HSPB1,True
caffeine,HSPB1,HSPB1,True
caffeine,HSPB1,HSPB1,True
caffeine,HSP90AA1,HSP90AA1,True
caffeine,HSP90AA1,HSP90AA1,True
caffeine,HSP90AA2P,HSP90AA2P,True
caffeine,HSP90AB1,HSP90AB1,True
caffeine,HSPD1,HSPD1,True
caffeine,HSPE1,HSPE1,True
caffeine,HSPG2,HSPG2,True
caffeine,HTR3A,HTR3A,True
caffeine,IBSP,IBSP,True
caffeine,ICAM1,ICAM1,True
caffeine,ICAM1,ICAM1,True
caffeine,ID2,ID2,True
caffeine,ID3,ID3,True
caffeine,IDI1,IDI1,True
caffeine,IFNAR2,IFNAR2,True
caffeine,IFNGR1,IFNGR1,True
caffeine,IFRD1,IFRD1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1R,IGF1R,True
caffeine,IGF1R,IGF1R,True
caffeine,IGF1R,IGF1R,True
caffeine,IGF2,IGF2,True
caffeine,IGF2R,IGF2R,True
caffeine,IGFBP1,IGFBP1,True
caffeine,IGLC6,IGLC6,True
caffeine,IGSF1,IGSF1,True
caffeine,IKBKB,IKBKB,True
caffeine,IL1B,IL1B,True
caffeine,IL1B,IL1B,True
caffeine,IL2RA,IL2RA,True
caffeine,IL3,IL3,True
caffeine,IL5,IL5,True
caffeine,IL6,IL6,True
caffeine,IL6,IL6,True
caffeine,IL6,IL6,True
caffeine,IL6,IL6,True
caffeine,IL6ST,IL6ST,True
caffeine,CXCL8,CXCL8,True
caffeine,CXCL8,CXCL8,True
caffeine,IL10,IL10,True
caffeine,IL10RB,IL10RB,True
caffeine,IL10RB,IL10RB,True
caffeine,IL12A,IL12A,True
caffeine,IL12B,IL12B,True
caffeine,FOXK2,FOXK2,True
caffeine,ILF3,ILF3,True
caffeine,ILF3,ILF3,True
caffeine,IMPDH2,IMPDH2,True
caffeine,INCENP,INCENP,True
caffeine,INS,INS,True
caffeine,INPP5D,INPP5D,True
caffeine,INPPL1,INPPL1,True
caffeine,INSIG1,INSIG1,True
caffeine,INSR,INSR,True
caffeine,INSR,INSR,True
caffeine,IRAK1,IRAK1,True
caffeine,IREB2,IREB2,True
caffeine,IRS1,IRS1,True
caffeine,ITGA4,ITGA4,True
caffeine,ITGAM,ITGAM,True
caffeine,ITGB1,ITGB1,True
caffeine,ITGB4,ITGB4,True
caffeine,EIF6,EIF6,True
caffeine,ITIH2,ITIH2,True
caffeine,ITPKA,ITPKA,True
caffeine,ITPR1,ITPR1,True
caffeine,ITPR1,ITPR1,True
caffeine,IP3R1,IP3R1,True
caffeine,"Inositol 1,4,5-trisphosphate receptor",inositol 1 4 5 trisphosphate receptor,False
caffeine,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",inositol 1 4 5 trisphosphate gated calcium channel itpr1,False
caffeine,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR2",inositol 1 4 5 trisphosphate gated calcium channel itpr2,False
caffeine,"Inositol 1,4,5-trisphosphate receptor",inositol 1 4 5 trisphosphate receptor,False
caffeine,ITPR3,ITPR3,True
caffeine,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3",inositol 1 4 5 trisphosphate gated calcium channel itpr3,False
caffeine,"Inositol 1,4,5-trisphosphate receptor",inositol 1 4 5 trisphosphate receptor,False
caffeine,JAK3,JAK3,True
caffeine,JARID2,JARID2,True
caffeine,JUN,JUN,True
caffeine,JUN,JUN,True
caffeine,JUNB,JUNB,True
caffeine,JUND,JUND,True
caffeine,JUP,JUP,True
caffeine,KARS1,KARS1,True
caffeine,Potassium voltage-gated channel subfamily H member 2,potassium voltage gated channel subfamily h member 2,False
caffeine,Potassium channel subfamily K member 2,potassium channel subfamily k member 2,False
caffeine,KDR,KDR,True
caffeine,KIFC3,KIFC3,True
caffeine,KIF22,KIF22,True
caffeine,KPNB1,KPNB1,True
caffeine,KPNA2,KPNA2,True
caffeine,KRT1,KRT1,True
caffeine,KRT18,KRT18,True
caffeine,KRT18,KRT18,True
caffeine,KRT84,KRT84,True
caffeine,KTN1,KTN1,True
caffeine,LAD1,LAD1,True
caffeine,AFF3,AFF3,True
caffeine,LAMB1,LAMB1,True
caffeine,STMN1,STMN1,True
caffeine,STMN1,STMN1,True
caffeine,LASP1,LASP1,True
caffeine,LBR,LBR,True
caffeine,LCK,LCK,True
caffeine,LDHA,LDHA,True
caffeine,LDHA,LDHA,True
caffeine,LDLR,LDLR,True
caffeine,LDLR,LDLR,True
caffeine,LEP,LEP,True
caffeine,LEP,LEP,True
caffeine,LEP,LEP,True
caffeine,LEPR,LEPR,True
caffeine,LEPR,LEPR,True
caffeine,LGALS2,LGALS2,True
caffeine,LIG1,LIG1,True
caffeine,LIG3,LIG3,True
caffeine,ABLIM1,ABLIM1,True
caffeine,LIMK1,LIMK1,True
caffeine,LIMK2,LIMK2,True
caffeine,LLGL2,LLGL2,True
caffeine,LMNA,LMNA,True
caffeine,LMNB1,LMNB1,True
caffeine,LMNB1,LMNB1,True
caffeine,LMO7,LMO7,True
caffeine,LNPEP,LNPEP,True
caffeine,LPL,LPL,True
caffeine,LPL,LPL,True
caffeine,LPP,LPP,True
caffeine,LRCH4,LRCH4,True
caffeine,LRP4,LRP4,True
caffeine,LRP6,LRP6,True
caffeine,LSS,LSS,True
caffeine,BCAM,BCAM,True
caffeine,CAPRIN1,CAPRIN1,True
caffeine,NBR1,NBR1,True
caffeine,MARCKS,MARCKS,True
caffeine,UBA6,UBA6,True
caffeine,UBB,UBB,True
caffeine,UBE2O,UBE2O,True
caffeine,UBIAD1,UBIAD1,True
caffeine,UBR1,UBR1,True
caffeine,FUBP1,FUBP1,True
caffeine,FXR1,FXR1,True
caffeine,UBXN4,UBXN4,True
caffeine,UCK1,UCK1,True
caffeine,FYTTD1,FYTTD1,True
caffeine,G3BP2,G3BP2,True
caffeine,GABPA,GABPA,True
caffeine,UHRF1,UHRF1,True
caffeine,ULBP3,ULBP3,True
caffeine,UNC13C,UNC13C,True
caffeine,GAPDH,GAPDH,True
caffeine,GARRE1,GARRE1,True
caffeine,UNG,UNG,True
caffeine,UPF3B,UPF3B,True
caffeine,UROS,UROS,True
caffeine,GASK1B,GASK1B,True
caffeine,GATAD2B,GATAD2B,True
caffeine,GCLC,GCLC,True
caffeine,USP1,USP1,True
caffeine,USP24,USP24,True
caffeine,USP34,USP34,True
caffeine,ANKIB1,ANKIB1,True
caffeine,ANKRD13A,ANKRD13A,True
caffeine,ANKRD37,ANKRD37,True
caffeine,ANLN,ANLN,True
caffeine,ANXA4,ANXA4,True
caffeine,AP1M1,AP1M1,True
caffeine,APBA3,APBA3,True
caffeine,APLP2,APLP2,True
caffeine,APOA2,APOA2,True
caffeine,APOB,APOB,True
caffeine,APOC2,APOC2,True
caffeine,APOL1,APOL1,True
caffeine,APS,APS,True
caffeine,ARF1,ARF1,True
caffeine,ARFGEF1,ARFGEF1,True
caffeine,ARFIP2,ARFIP2,True
caffeine,ARHGAP12,ARHGAP12,True
caffeine,ARHGAP26,ARHGAP26,True
caffeine,ARHGAP39,ARHGAP39,True
caffeine,ARHGEF1,ARHGEF1,True
caffeine,ARHGEF16,ARHGEF16,True
caffeine,ARHGEF26,ARHGEF26,True
caffeine,ZFP36L1,ZFP36L1,True
caffeine,ARHGEF5,ARHGEF5,True
caffeine,ARID2,ARID2,True
caffeine,ZFPM1,ZFPM1,True
caffeine,ARID4B,ARID4B,True
caffeine,ZFYVE26,ZFYVE26,True
caffeine,ARL4D,ARL4D,True
caffeine,ARMC1,ARMC1,True
caffeine,ARRB2,ARRB2,True
caffeine,ASAP1,ASAP1,True
caffeine,ASGR2,ASGR2,True
caffeine,HELLS,HELLS,True
caffeine,ASPSCR1,ASPSCR1,True
caffeine,ATAD2,ATAD2,True
caffeine,HERC1,HERC1,True
caffeine,ATE1,ATE1,True
caffeine,ATG2B,ATG2B,True
caffeine,ATL2,ATL2,True
caffeine,ATM,ATM,True
caffeine,ATXN2L,ATXN2L,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATP13A3,ATP13A3,True
caffeine,ATP2A1L,ATP2A1L,True
caffeine,ATP6V0A2,ATP6V0A2,True
caffeine,ATPAF1,ATPAF1,True
caffeine,ATR,ATR,True
caffeine,ATRN,ATRN,True
caffeine,ATXN2,ATXN2,True
caffeine,AVEN,AVEN,True
caffeine,BAG3,BAG3,True
caffeine,BAIAP2L1,BAIAP2L1,True
caffeine,BARD1,BARD1,True
caffeine,BAX,BAX,True
caffeine,BAZ1B,BAZ1B,True
caffeine,BBC3,BBC3,True
caffeine,BCAR3,BCAR3,True
caffeine,BCL2A,BCL2A,True
caffeine,BCL6,BCL6,True
caffeine,BCL9L,BCL9L,True
caffeine,BCORL1,BCORL1,True
caffeine,BECN1,BECN1,True
caffeine,BHMT,BHMT,True
caffeine,BIRC2,BIRC2,True
caffeine,BLTP2,BLTP2,True
caffeine,BMP2K,BMP2K,True
caffeine,BNIP3,BNIP3,True
caffeine,BOLA1,BOLA1,True
caffeine,BORCS6,BORCS6,True
caffeine,BRAF,BRAF,True
caffeine,BRD1,BRD1,True
caffeine,BRD7,BRD7,True
caffeine,BRIP1,BRIP1,True
caffeine,BRPF3,BRPF3,True
caffeine,BTAF1,BTAF1,True
caffeine,BUB1B,BUB1B,True
caffeine,ZGPAT,ZGPAT,True
caffeine,C15ORF39,C15ORF39,True
caffeine,C1ORF174,C1ORF174,True
caffeine,ZKSCAN1,ZKSCAN1,True
caffeine,ZMYM3,ZMYM3,True
caffeine,C1R,C1R,True
caffeine,C2CD5,C2CD5,True
caffeine,C8ORF33,C8ORF33,True
caffeine,CABLES1,CABLES1,True
caffeine,CAD,CAD,True
caffeine,CALU,CALU,True
caffeine,CAMK2N1,CAMK2N1,True
caffeine,CAMSAP3,CAMSAP3,True
caffeine,CANX,CANX,True
caffeine,CAPRIN1,CAPRIN1,True
caffeine,CARMIL2,CARMIL2,True
caffeine,CASP2,CASP2,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP9,CASP9,True
caffeine,CAT,CAT,True
caffeine,CAV1,CAV1,True
caffeine,CAVIN4A,CAVIN4A,True
caffeine,HIF1A,HIF1A,True
caffeine,CBS,CBS,True
caffeine,HIRA,HIRA,True
caffeine,HJURP,HJURP,True
caffeine,CBX6,CBX6,True
caffeine,CCDC117,CCDC117,True
caffeine,CCDC138,CCDC138,True
caffeine,CCDC61,CCDC61,True
caffeine,CCDC88C,CCDC88C,True
caffeine,CCNB1,CCNB1,True
caffeine,CCNB1,CCNB1,True
caffeine,CCNF,CCNF,True
caffeine,CCNK,CCNK,True
caffeine,CCNY,CCNY,True
caffeine,CCT3,CCT3,True
caffeine,CCT8,CCT8,True
caffeine,CD2BP2,CD2BP2,True
caffeine,CD9,CD9,True
caffeine,CDC16,CDC16,True
caffeine,CDC25C,CDC25C,True
caffeine,CDC27,CDC27,True
caffeine,CDC42EP1,CDC42EP1,True
caffeine,CDCA2,CDCA2,True
caffeine,CDH11,CDH11,True
caffeine,CDK1,CDK1,True
caffeine,CDK12,CDK12,True
caffeine,CDK18,CDK18,True
caffeine,CDK4,CDK4,True
caffeine,CDK7,CDK7,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDT1,CDT1,True
caffeine,CEACAM1,CEACAM1,True
caffeine,ZNF106,ZNF106,True
caffeine,CEBPB,CEBPB,True
caffeine,ZNF205,ZNF205,True
caffeine,CENPC,CENPC,True
caffeine,ZNF250,ZNF250,True
caffeine,CENPU,CENPU,True
caffeine,CEP164,CEP164,True
caffeine,CEP250,CEP250,True
caffeine,CEP68,CEP68,True
caffeine,CERS4,CERS4,True
caffeine,CFAP54,CFAP54,True
caffeine,CFL2,CFL2,True
caffeine,CHAF1B,CHAF1B,True
caffeine,CHD2,CHD2,True
caffeine,CHD7,CHD7,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK1,CHEK1,True
caffeine,CHEK2,CHEK2,True
caffeine,CHEK2,CHEK2,True
caffeine,CHMP5,CHMP5,True
caffeine,CHTF18,CHTF18,True
caffeine,CKB,CKB,True
caffeine,CLASP2,CLASP2,True
caffeine,CLDN23,CLDN23,True
caffeine,CLIC1,CLIC1,True
caffeine,CLK2,CLK2,True
caffeine,HLCS,HLCS,True
caffeine,CLNS1A,CLNS1A,True
caffeine,HMGA2,HMGA2,True
caffeine,CLSTN1,CLSTN1,True
caffeine,HMGB1,HMGB1,True
caffeine,CMIP,CMIP,True
caffeine,CNDP2,CNDP2,True
caffeine,CNN3,CNN3,True
caffeine,CNOT2,CNOT2,True
caffeine,COBLL1,COBLL1,True
caffeine,COIL,COIL,True
caffeine,COMT,COMT,True
caffeine,COPG1,COPG1,True
caffeine,COQ8A,COQ8A,True
caffeine,CPD,CPD,True
caffeine,CPSF2,CPSF2,True
caffeine,CPSF7,CPSF7,True
caffeine,CREB1,CREB1,True
caffeine,CREB3L2,CREB3L2,True
caffeine,CRIP2,CRIP2,True
caffeine,CRTC2,CRTC2,True
caffeine,CRYBA4,CRYBA4,True
caffeine,CRYBG3,CRYBG3,True
caffeine,CSNK1E,CSNK1E,True
caffeine,CST3,CST3,True
caffeine,CTCF,CTCF,True
caffeine,CTNNA2,CTNNA2,True
caffeine,CTNNB1,CTNNB1,True
caffeine,CTPS2,CTPS2,True
caffeine,CTSL,CTSL,True
caffeine,CUEDC2,CUEDC2,True
caffeine,CWC25,CWC25,True
caffeine,ZNF281,ZNF281,True
caffeine,ZNF326,ZNF326,True
caffeine,ZNF362,ZNF362,True
caffeine,HMGCR,HMGCR,True
caffeine,HMGCS1,HMGCS1,True
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False
caffeine,Adenosine receptor A3,adenosine receptor a3,False
caffeine,HMGXB4,HMGXB4,True
caffeine,HNRNPA1,HNRNPA1,True
caffeine,HNRNPC,HNRNPC,True
caffeine,ZNF446,ZNF446,True
caffeine,ZNF507,ZNF507,True
caffeine,"Glycogen phosphorylase, muscle form",glycogen phosphorylase muscle form,False
caffeine,Adenosine receptor A1,adenosine receptor a1,False
caffeine,Adenosine receptor,adenosine receptor,False
caffeine,Adenosine A2a receptor,adenosine a2a receptor,False
caffeine,HNRNPDL,HNRNPDL,True
caffeine,HNRNPH1,HNRNPH1,True
caffeine,HNRNPK,HNRNPK,True
caffeine,ZNF592,ZNF592,True
caffeine,ZNF623,ZNF623,True
caffeine,ZNF644,ZNF644,True
caffeine,HNRNPLL,HNRNPLL,True
caffeine,HNRNPUL2,HNRNPUL2,True
caffeine,HOXB7,HOXB7,True
caffeine,Chitotriosidase-1,chitotriosidase 1,False
caffeine,Endochitinase B1,endochitinase b1,False
caffeine,ZNF655,ZNF655,True
caffeine,ZNF705G,ZNF705G,True
caffeine,ZNF8,ZNF8,True
caffeine,HOXD4,HOXD4,True
caffeine,HPS4,HPS4,True
caffeine,HS1BP3,HS1BP3,True
caffeine,ZNF827,ZNF827,True
caffeine,ZNRF3,ZNRF3,True
caffeine,ZSWIM5,ZSWIM5,True
caffeine,HSD17B3,HSD17B3,True
caffeine,HSD3B1,HSD3B1,True
caffeine,HSP90AA1,HSP90AA1,True
caffeine,HSP90AB4P,HSP90AB4P,True
caffeine,HSPA1B,HSPA1B,True
caffeine,HSPB1,HSPB1,True
caffeine,HSPD1,HSPD1,True
caffeine,HTATSF1,HTATSF1,True
caffeine,HYCC1,HYCC1,True
caffeine,ICAM1,ICAM1,True
caffeine,ID3,ID3,True
caffeine,IFNGR1,IFNGR1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1,IGF1,True
caffeine,IGF1R,IGF1R,True
caffeine,IGF2BP1,IGF2BP1,True
caffeine,IGF2R,IGF2R,True
caffeine,IGSF1,IGSF1,True
caffeine,IL10RB,IL10RB,True
caffeine,IL12B,IL12B,True
caffeine,IL22RA1,IL22RA1,True
caffeine,IL5,IL5,True
caffeine,ANGPTL4,ANGPTL4,True
caffeine,ANKLE2,ANKLE2,True
caffeine,ANKRD17,ANKRD17,True
caffeine,ANKRD50,ANKRD50,True
caffeine,ANTXR1,ANTXR1,True
caffeine,ANXA4,ANXA4,True
caffeine,AP2M1,AP2M1,True
caffeine,APC,APC,True
caffeine,APOA1,APOA1,True
caffeine,APOB,APOB,True
caffeine,APOBEC3H,APOBEC3H,True
caffeine,APOC2,APOC2,True
caffeine,APOM,APOM,True
caffeine,ARAF,ARAF,True
caffeine,ARFGAP1,ARFGAP1,True
caffeine,ARFGEF2,ARFGEF2,True
caffeine,ARGLU1,ARGLU1,True
caffeine,ARHGAP17,ARHGAP17,True
caffeine,ARHGAP29,ARHGAP29,True
caffeine,ARHGAP45,ARHGAP45,True
caffeine,ARHGEF10L,ARHGEF10L,True
caffeine,ARHGEF17,ARHGEF17,True
caffeine,ZFP36,ZFP36,True
caffeine,ARHGEF28,ARHGEF28,True
caffeine,ARHGEF6,ARHGEF6,True
caffeine,ZFP819,ZFP819,True
caffeine,ZFYVE19,ZFYVE19,True
caffeine,ARID3A,ARID3A,True
caffeine,ARID5A,ARID5A,True
caffeine,ARL6IP1,ARL6IP1,True
caffeine,ARPC1B,ARPC1B,True
caffeine,ARVCF,ARVCF,True
caffeine,ASAP2,ASAP2,True
caffeine,HELLS,HELLS,True
caffeine,ASMTL,ASMTL,True
caffeine,ASXL1,ASXL1,True
caffeine,HEPACAM,HEPACAM,True
caffeine,HGS,HGS,True
caffeine,ATAD2B,ATAD2B,True
caffeine,ATF7,ATF7,True
caffeine,ATG7,ATG7,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATXN7,ATXN7,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATP1A1,ATP1A1,True
caffeine,ATP2A2,ATP2A2,True
caffeine,ATP6V0C,ATP6V0C,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATRX,ATRX,True
caffeine,ATXN7L3,ATXN7L3,True
caffeine,AVPR1A,AVPR1A,True
caffeine,BAG4,BAG4,True
caffeine,BAIAP2L2,BAIAP2L2,True
caffeine,BASP1,BASP1,True
caffeine,BAX,BAX,True
caffeine,BAZ2A,BAZ2A,True
caffeine,BBX,BBX,True
caffeine,BCAS3,BCAS3,True
caffeine,BCL2L1,BCL2L1,True
caffeine,BCL7B,BCL7B,True
caffeine,BCLAF1,BCLAF1,True
caffeine,BCR,BCR,True
caffeine,BEND3,BEND3,True
caffeine,BICD2,BICD2,True
caffeine,BIRC6,BIRC6,True
caffeine,BLTP3A,BLTP3A,True
caffeine,BMPR1A,BMPR1A,True
caffeine,BNIP3,BNIP3,True
caffeine,BOP1,BOP1,True
caffeine,BORCS7,BORCS7,True
caffeine,BRAP,BRAP,True
caffeine,BRD2,BRD2,True
caffeine,BRD8,BRD8,True
caffeine,BRME1,BRME1,True
caffeine,BRWD1,BRWD1,True
caffeine,BTF3,BTF3,True
caffeine,BUD13,BUD13,True
caffeine,C17ORF100,C17ORF100,True
caffeine,ZIC5,ZIC5,True
caffeine,ZMYM2,ZMYM2,True
caffeine,C1ORF226,C1ORF226,True
caffeine,C1S,C1S,True
caffeine,C2CD5,C2CD5,True
caffeine,C9ORF78,C9ORF78,True
caffeine,CACNA2D2,CACNA2D2,True
caffeine,CALM1,CALM1,True
caffeine,CALU,CALU,True
caffeine,CAMKK2,CAMKK2,True
caffeine,CAMTA2,CAMTA2,True
caffeine,CAPN1,CAPN1,True
caffeine,CARD9,CARD9,True
caffeine,CARS1,CARS1,True
caffeine,CASP2,CASP2,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP3,CASP3,True
caffeine,CASP8,CASP8,True
caffeine,CASP9,CASP9,True
caffeine,CAT,CAT,True
caffeine,HIC2,HIC2,True
caffeine,CAV3,CAV3,True
caffeine,HIP1,HIP1,True
caffeine,CBARP,CBARP,True
caffeine,CBX1,CBX1,True
caffeine,HIVEP2,HIVEP2,True
caffeine,CBX8,CBX8,True
caffeine,CCDC120,CCDC120,True
caffeine,CCDC174,CCDC174,True
caffeine,CCDC85C,CCDC85C,True
caffeine,CCDC9,CCDC9,True
caffeine,CCNB1,CCNB1,True
caffeine,CCND1,CCND1,True
caffeine,CCNG1,CCNG1,True
caffeine,CCNL1,CCNL1,True
caffeine,CCNYL1,CCNYL1,True
caffeine,CCT4,CCT4,True
caffeine,CCZ1,CCZ1,True
caffeine,CD36,CD36,True
caffeine,CD99,CD99,True
caffeine,CDC20,CDC20,True
caffeine,CDC25C,CDC25C,True
caffeine,CDC37L1,CDC37L1,True
caffeine,CDC42EP4,CDC42EP4,True
caffeine,CDCA5,CDCA5,True
caffeine,CDH5,CDH5,True
caffeine,CDK1,CDK1,True
caffeine,CDK13,CDK13,True
caffeine,CDK2,CDK2,True
caffeine,CDK4,CDK4,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN1A,CDKN1A,True
caffeine,CDKN2AIP,CDKN2AIP,True
caffeine,CDV3,CDV3,True
caffeine,CEBPA,CEBPA,True
caffeine,ZNF174,ZNF174,True
caffeine,CEBPB,CEBPB,True
caffeine,ZNF24,ZNF24,True
caffeine,CENPE,CENPE,True
caffeine,CENPV,CENPV,True
caffeine,CEP170,CEP170,True
caffeine,CEP350,CEP350,True
caffeine,CEP78,CEP78,True
caffeine,CERT1,CERT1,True
