pathway_id,total_count,n_compounds,compounds
1185743,2,1,Ethanolamine
1185746,2,1,Ethanolamine
1185747,2,1,Ethanolamine
1185750,2,1,Ethanolamine
1185751,2,1,Ethanolamine
1185754,2,1,Ethanolamine
1185755,2,1,Ethanolamine
1185758,2,1,Ethanolamine
1185759,2,1,Ethanolamine
1185762,2,1,Ethanolamine
1185763,2,1,Ethanolamine
1185766,2,1,Ethanolamine
1185767,2,1,Ethanolamine
1185770,2,1,Ethanolamine
1185771,2,1,Ethanolamine
1185774,2,1,Ethanolamine
1185775,2,1,Ethanolamine
1185778,2,1,Ethanolamine
1185779,2,1,Ethanolamine
1185782,2,1,Ethanolamine
1185783,2,1,Ethanolamine
1185786,2,1,Ethanolamine
1185787,2,1,Ethanolamine
1185790,2,1,Ethanolamine
1185791,2,1,Ethanolamine
1185794,2,1,Ethanolamine
1185795,2,1,Ethanolamine
1185798,2,1,Ethanolamine
1185799,2,1,Ethanolamine
1185802,2,1,Ethanolamine
1185803,2,1,Ethanolamine
1185806,2,1,Ethanolamine
1185807,2,1,Ethanolamine
1185810,2,1,Ethanolamine
1185811,2,1,Ethanolamine
1185814,2,1,Ethanolamine
1185815,2,1,Ethanolamine
1185818,2,1,Ethanolamine
1185819,2,1,Ethanolamine
1185822,2,1,Ethanolamine
1185823,2,1,Ethanolamine
1185826,2,1,Ethanolamine
1185827,2,1,Ethanolamine
1185830,2,1,Ethanolamine
1185831,2,1,Ethanolamine
1185834,2,1,Ethanolamine
1185835,2,1,Ethanolamine
1185838,2,1,Ethanolamine
1185839,2,1,Ethanolamine
1185842,2,1,Ethanolamine
1185843,2,1,Ethanolamine
1185846,2,1,Ethanolamine
1185847,2,1,Ethanolamine
1185850,2,1,Ethanolamine
1185851,2,1,Ethanolamine
1185854,2,1,Ethanolamine
1185855,2,1,Ethanolamine
1185858,2,1,Ethanolamine
1185859,2,1,Ethanolamine
1185862,2,1,Ethanolamine
1185863,2,1,Ethanolamine
1185866,2,1,Ethanolamine
1185867,2,1,Ethanolamine
1185870,2,1,Ethanolamine
1185871,2,1,Ethanolamine
1185874,2,1,Ethanolamine
1185875,2,1,Ethanolamine
1185878,2,1,Ethanolamine
1185879,2,1,Ethanolamine
1185882,2,1,Ethanolamine
1185883,2,1,Ethanolamine
1185886,2,1,Ethanolamine
1185887,2,1,Ethanolamine
1185890,2,1,Ethanolamine
1185891,2,1,Ethanolamine
1185894,2,1,Ethanolamine
1185895,2,1,Ethanolamine
1185898,2,1,Ethanolamine
1185899,2,1,Ethanolamine
1185903,2,1,Ethanolamine
1185906,2,1,Ethanolamine
1185907,2,1,Ethanolamine
1185910,2,1,Ethanolamine
1185911,2,1,Ethanolamine
1185914,2,1,Ethanolamine
1185915,2,1,Ethanolamine
1185918,2,1,Ethanolamine
1185919,2,1,Ethanolamine
1185922,2,1,Ethanolamine
1185923,2,1,Ethanolamine
1185926,2,1,Ethanolamine
1185927,2,1,Ethanolamine
1185930,2,1,Ethanolamine
1185931,2,1,Ethanolamine
1185934,2,1,Ethanolamine
1185938,2,1,Ethanolamine
1185939,2,1,Ethanolamine
1185942,2,1,Ethanolamine
1185943,2,1,Ethanolamine
1185946,2,1,Ethanolamine
1185947,2,1,Ethanolamine
1185950,2,1,Ethanolamine
1185951,2,1,Ethanolamine
1185954,2,1,Ethanolamine
1185955,2,1,Ethanolamine
1185958,2,1,Ethanolamine
1185959,2,1,Ethanolamine
1185962,2,1,Ethanolamine
1185963,2,1,Ethanolamine
1185966,2,1,Ethanolamine
1185967,2,1,Ethanolamine
1185970,2,1,Ethanolamine
1185971,2,1,Ethanolamine
1185974,2,1,Ethanolamine
1185975,2,1,Ethanolamine
1185978,2,1,Ethanolamine
1185979,2,1,Ethanolamine
1185982,2,1,Ethanolamine
1185983,2,1,Ethanolamine
1185986,2,1,Ethanolamine
1185987,2,1,Ethanolamine
1185990,2,1,Ethanolamine
1185991,2,1,Ethanolamine
1185994,2,1,Ethanolamine
1185995,2,1,Ethanolamine
1185998,2,1,Ethanolamine
1185999,2,1,Ethanolamine
1186002,2,1,Ethanolamine
1186003,2,1,Ethanolamine
1186006,2,1,Ethanolamine
1186007,2,1,Ethanolamine
1186010,2,1,Ethanolamine
1186011,2,1,Ethanolamine
1186014,2,1,Ethanolamine
