compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
caffeine,3927,LASP1,LIM and SH3 protein 1,Q14847,Q14847;B4DIC4,2519
caffeine,3930,LBR,lamin B receptor,Q14739,Q14739,2519
caffeine,3932,LCK,"LCK proto-oncogene, Src family tyrosine kinase",P06239,P06239;A0A0S2Z3Y8;E9PJ92;E9PKQ8;Q573B4,2519
caffeine,3939,LDHA,lactate dehydrogenase A,P00338,P00338;V9HWB9,2519
caffeine,3949,LDLR,low density lipoprotein receptor,P01130,P01130;H0YMQ3,2519
caffeine,3952,LEP,leptin,P41159,P41159;A4D0Y8,2519
caffeine,3953,LEPR,leptin receptor,P48357,P48357;Q4G138,2519
caffeine,3957,LGALS2,galectin 2,P05162,P05162,2519
caffeine,3978,LIG1,DNA ligase 1,P18858,P18858;A0A8V8TPH8;A0A8V8TQC4;B4DM52;F5GZ28,2519
caffeine,3980,LIG3,DNA ligase 3,P49916,P49916;B7Z6I3,2519
caffeine,3983,ABLIM1,actin binding LIM protein 1,O14639,O14639;A0A9L9PY99;B3KSG3;B4DQA3;B7Z4H1,2519
caffeine,3984,LIMK1,LIM domain kinase 1,P53667,P53667,2519
caffeine,3985,LIMK2,LIM domain kinase 2,P53671,P53671,2519
caffeine,3993,LLGL2,LLGL scribble cell polarity complex component 2,Q6P1M3,Q6P1M3;A0PJJ0;J3QRV5,2519
caffeine,4000,LMNA,lamin A/C,P02545,P02545;A0A384MQX1;H0YAB0;Q5TCI8,2519
caffeine,4001,LMNB1,lamin B1,P20700,P20700;B4DZT3,2519
caffeine,4008,LMO7,LIM domain 7,Q8WWI1,Q8WWI1;A0A0A0MTE2;E9PMT2;F8J2B5;F8WD26,2519
caffeine,4012,LNPEP,leucyl and cystinyl aminopeptidase,Q9UIQ6,Q9UIQ6,2519
caffeine,4023,LPL,lipoprotein lipase,P06858,P06858;A0A1B1RVA9,2519
caffeine,4026,LPP,LIM domain containing preferred translocation partner in lipoma,Q93052,Q93052;B7Z871;B7Z8W0;B7ZLW0,2519
caffeine,4034,LRCH4,leucine rich repeats and calponin homology domain containing 4,O75427,O75427;B4DYF8;H7C5D9,2519
caffeine,4038,LRP4,LDL receptor related protein 4,O75096,O75096,2519
caffeine,4040,LRP6,LDL receptor related protein 6,O75581,O75581;F5H7J9,2519
caffeine,4047,LSS,lanosterol synthase,P48449,P48449;B2R694,2519
caffeine,4059,BCAM,basal cell adhesion molecule (Lutheran blood group),P50895,P50895;A0A087WXM8,2519
caffeine,4076,CAPRIN1,cell cycle associated protein 1,Q14444,Q14444,2519
caffeine,4077,NBR1,NBR1 autophagy cargo receptor,Q14596,Q14596;B7Z5R6,2519
caffeine,4082,MARCKS,myristoylated alanine rich protein kinase C substrate,P29966,P29966;Q6NVI1,2519
caffeine,4086,SMAD1,SMAD family member 1,Q15797,Q15797,2519
caffeine,4087,SMAD2,SMAD family member 2,Q15796,Q15796;B7Z5N5;Q53XR6,2519
caffeine,8208,CHAF1B,chromatin assembly factor 1 subunit B,Q13112,Q13112,2519
caffeine,4212,MEIS2,Meis homeobox 2,O14770,O14770;B3KPD8;B7Z6F6,2519
caffeine,10461,MERTK,"MER proto-oncogene, tyrosine kinase",Q12866,Q12866,2519
caffeine,79091,METTL22,"methyltransferase 22, Kin17 lysine",Q9BUU2,Q9BUU2,2519
caffeine,5546,PRCC,proline rich mitotic checkpoint control factor,Q92733,Q92733;A0A0S2Z456;Q96FT4,2519
caffeine,27166,PRELID1,PRELI domain containing 1,Q9Y255,Q9Y255,2519
caffeine,201973,PRIMPOL,primase and DNA directed polymerase,Q96LW4,Q96LW4;A0A5S6SZ32,2519
caffeine,9782,MATR3,matrin 3,P43243,P43243;A0A0R4J2E8;A8MXP9;B3KM87;B4DF66;Q9H4N1,2519
caffeine,8932,MBD2,methyl-CpG binding domain protein 2,Q9UBB5,Q9UBB5,2519
caffeine,51562,MBIP,MAP3K12 binding inhibitory protein 1,Q9NS73,Q9NS73;B2RCV0,2519
caffeine,145508,CEP128,centrosomal protein 128,Q6ZU80,Q6ZU80;Q86TS1,2519
caffeine,283638,CEP170B,centrosomal protein 170B,Q9Y4F5,Q9Y4F5,2519
caffeine,4137,MAPT,microtubule associated protein tau,P10636,P10636;A0A7I2PJZ2;A0A7I2PLE3;B3KTM0,2519
caffeine,23139,MAST2,microtubule associated serine/threonine kinase 2,Q6P0Q8,Q6P0Q8;A0A669KBJ4,2519
caffeine,55573,CDV3,CDV3 homolog,Q9UKY7,Q9UKY7;A0A8I5KX85;D6R9V8;D6RDN0;D6RFH2,2519
caffeine,5562,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,Q13131,Q13131,2519
caffeine,5566,PRKACA,protein kinase cAMP-activated catalytic subunit alpha,P17612,P17612;A0A8V8TL59;A8K8B9,2519
caffeine,5576,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha,P13861,P13861;A0A024R2W3;A0A0S2Z472;A0A9L9PY56;A8KAH7,2519
caffeine,57680,CHD8,chromodomain helicase DNA binding protein 8,Q9HCK8,Q9HCK8,2519
caffeine,55798,METTL2B,"methyltransferase 2B, tRNA N3-cytidine",Q6P1Q9,Q6P1Q9,2519
caffeine,4236,MFAP1,microfibril associated protein 1,P55081,P55081,2519
caffeine,23269,MGA,MAX dimerization protein MGA,Q8IWI9,Q8IWI9;A0A994J6L2,2519
caffeine,25865,PRKD2,protein kinase D2,Q9BZL6,Q9BZL6,2519
caffeine,5621,PRNP,prion protein (Kanno blood group),P04156,F7VJQ1;P04156;Q53YK7,2519
caffeine,148137,PROSER3,proline and serine rich 3,Q2NL68,Q2NL68;A0A2R8Y8D9;A0A8Q3WKY3;A0A8Q3WKY6;A0A8Q3WKY7,2519
caffeine,11200,CHEK2,checkpoint kinase 2,O96017,O96017;A0A7P0MUT5,2519
caffeine,10523,CHERP,calcium homeostasis endoplasmic reticulum protein,Q8IWX8,Q8IWX8,2519
caffeine,79643,CHMP6,charged multivesicular body protein 6,Q96FZ7,Q96FZ7,2519
caffeine,375056,MIA3,MIA SH3 domain ER export factor 3,Q5JRA6,Q5JRA6,2519
caffeine,79778,MICALL2,MICAL like 2,Q8IY33,Q8IY33,2519
caffeine,54531,MIER2,MIER family member 2,Q8N344,Q8N344,2519
caffeine,55793,MINDY1,MINDY lysine 48 deubiquitinase 1,Q8N5J2,Q8N5J2,2519
caffeine,126353,MISP,mitotic spindle positioning,Q8IVT2,Q8IVT2,2519
caffeine,51085,MLXIPL,MLX interacting protein like,Q9NP71,Q9NP71,2519
caffeine,23152,CIC,capicua transcriptional repressor,Q96RK0,Q96RK0;A0A0A0MQR4;I3L2J0,2519
caffeine,23122,CLASP2,cytoplasmic linker associated protein 2,O75122,O75122;A0A0U1RQI6;A0A804HJG7;E7ERI8;E7EW49;J3KR49,2519
caffeine,137075,CLDN23,claudin 23,Q96B33,Q96B33,2519
caffeine,55660,PRPF40A,pre-mRNA processing factor 40A,O75400,O75400;A0A7N4I394;A0A8Q3SIG7;A0A8V8TM61;F5H578,2519
caffeine,5635,PRPSAP1,phosphoribosyl pyrophosphate synthetase associated protein 1,Q14558,Q14558;B4DP31,2519
caffeine,253143,PRR14L,proline rich 14 like,Q5THK1,Q5THK1,2519
caffeine,4332,MNDA,myeloid cell nuclear differentiation antigen,P41218,P41218;Q5VUU6,2519
caffeine,23041,MON2,MON2 regulator of endosome-to-Golgi trafficking,Q7Z3U7,Q7Z3U7;A0A286YFF8;B7ZM73,2519
caffeine,4343,MOV10,Mov10 RNA helicase,Q9HCE1,Q9HCE1;Q5JR04,2519
caffeine,84726,PRRC2B,proline rich coiled-coil 2B,Q5JSZ5,Q5JSZ5;Q9BU62,2519
caffeine,11168,PSIP1,PC4 and SRSF1 interacting protein 1,O75475,O75475,2519
caffeine,5686,PSMA5,proteasome 20S subunit alpha 5,P28066,P28066;A0A109NGN6,2519
caffeine,136647,MPLKIP,M-phase specific PLK1 interacting protein,Q8TAP9,Q8TAP9;A4D1W6,2519
caffeine,55257,MRGBP,MRG domain binding protein,Q9NV56,Q9NV56,2519
caffeine,64969,MRPS5,mitochondrial ribosomal protein S5,P82675,P82675;A0A8Q3SIP9,2519
caffeine,5707,PSMD1,"proteasome 26S subunit, non-ATPase 1",Q99460,Q99460,2519
caffeine,23198,PSME4,proteasome activator subunit 4,Q14997,Q14997,2519
caffeine,9791,PTDSS1,phosphatidylserine synthase 1,P48651,P48651,2519
caffeine,4495,MT1G,metallothionein 1G,P13640,P13640,2519
caffeine,27085,MTBP,MDM2 binding protein,Q96DY7,Q96DY7,2519
caffeine,5747,PTK2,protein tyrosine kinase 2,Q05397,Q05397;A0A8Q3WLM4;B4DWJ1;E5RFW9;E7ESA6;Q59GM6;Q59GN8,2519
caffeine,5781,PTPN11,protein tyrosine phosphatase non-receptor type 11,Q06124,Q06124,2519
caffeine,11099,PTPN21,protein tyrosine phosphatase non-receptor type 21,Q16825,Q16825,2519
caffeine,146223,CMTM4,CKLF like MARVEL transmembrane domain containing 4,Q8IZR5,Q8IZR5,2519
caffeine,10256,CNKSR1,connector enhancer of kinase suppressor of Ras 1,Q969H4,Q969H4;B4DL25;G3V160;Q53GM7,2519
caffeine,56181,MTFR1L,mitochondrial fission regulator 1 like,Q9H019,Q9H019;A0A0S2Z5H6,2519
caffeine,8776,MTMR1,myotubularin related protein 1,Q13613,Q13613;B7Z3D5;E9PPP8;F8WA39;Q8NEC6,2519
caffeine,8898,MTMR2,myotubularin related protein 2,Q13614,Q13614;A0A6Q8PGS5;A0A6Q8PHL9;A0A6Q8PHS7,2519
caffeine,5780,PTPN9,protein tyrosine phosphatase non-receptor type 9,P43378,P43378;Q6IQ43,2519
caffeine,5797,PTPRM,protein tyrosine phosphatase receptor type M,P28827,P28827,2519
caffeine,9698,PUM1,pumilio RNA binding family member 1,Q14671,Q14671,2519
caffeine,114825,PWWP2A,PWWP domain containing 2A,Q96N64,Q96N64,2519
caffeine,29920,PYCR2,pyrroline-5-carboxylate reductase 2,Q96C36,Q96C36;A0A087WTV6;A0A0S2Z5U6,2519
caffeine,6261,RYR1,ryanodine receptor 1,P21817,P21817;A0A8I5KSR1;M0R014,2519
caffeine,282133,ADORA1,adenosine A1 receptor,P28190,P28190,2519
caffeine,8654,PDE5A,phosphodiesterase 5A,O76074,O76074;G5E9C5,2519
caffeine,5144,PDE4D,phosphodiesterase 4D,Q08499,Q08499;A0A140VJR0;A0A1B0GW84,2519
caffeine,5139,PDE3A,phosphodiesterase 3A,Q14432,Q14432,2519
caffeine,50940,PDE11A,phosphodiesterase 11A,Q9HCR9,Q9HCR9,2519
caffeine,5150,PDE7A,phosphodiesterase 7A,Q13946,Q13946,2519
caffeine,5145,PDE6A,phosphodiesterase 6A,P16499,P16499;F1T0K3,2519
caffeine,5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",P42336,P42336,2519
caffeine,9615,GDA,guanine deaminase,Q9Y2T3,Q9Y2T3,2519
caffeine,5142,PDE4B,phosphodiesterase 4B,Q07343,Q07343;Q59GM8;X5DNX5;X5DR82,2519
caffeine,4650,MYO9B,myosin IXB,Q13459,Q13459;B0I1T6;Q8WVD2,2519
caffeine,7421,VDR,vitamin D receptor,P11473,P11473;A0A5K1VW50;F1D8P8,2519
caffeine,29290,ADORA1,adenosine A1 receptor,P25099,P25099;A6ICB1,2519
caffeine,4842,NOS1,nitric oxide synthase 1,P29475,P29475;A0PJJ7;B3VK56;B4DG68,2519
caffeine,7220,TRPC1,transient receptor potential cation channel subfamily C member 1,P48995,P48995,2519
caffeine,100008972,PYGM,"glycogen phosphorylase, muscle associated",P00489,P00489,2519
caffeine,5140,PDE3B,phosphodiesterase 3B,Q13370,Q13370;A7E2E5,2519
caffeine,5143,PDE4C,phosphodiesterase 4C,P78505,Q08493;O43849;P78505;Q32MM7;Q7KYS4,2519
caffeine,5138,PDE2A,phosphodiesterase 2A,O00408,O00408;Q8IW54,2519
caffeine,5146,PDE6C,phosphodiesterase 6C,P51160,P51160,2519
caffeine,5137,PDE1C,phosphodiesterase 1C,Q14123,Q14123;A0A0A0MS69,2519
caffeine,5152,PDE9A,phosphodiesterase 9A,O76083,O76083;A0A0S2Z475;A0A0S2Z4A3;A0A0S2Z4T6,2519
caffeine,5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",O00329,O00329;A0A2K8FKV1;A0A8V8TM62;A7E2E0;B7ZM44,2519
caffeine,45706,CYP4D14,Cytochrome P450 4d14,O46051,O46051;M9PGI4,2519
caffeine,36666,CYP6A8,Cytochrome P450 6a8,Q27593,Q27593,2519
caffeine,35543,CYP6W1,Cytochrome P450 6w1,Q9V9L1,Q9V9L1;A0A0B4LEU2,2519
caffeine,5141,PDE4A,phosphodiesterase 4A,P27815,P27815,2519
caffeine,25369,ADORA2A,adenosine A2a receptor,P30543,P30543;A6JKL4,2519
caffeine,100911796,ADORA3,adenosine A3 receptor,P28647,P28647;A6HUN6,2519
caffeine,7150,TOP1,DNA topoisomerase I,P11387,P11387;Q9BVT2,2519
caffeine,5153,PDE1B,phosphodiesterase 1B,Q01064,Q01064;B3KX78;B4DK72,2519
caffeine,27115,PDE7B,phosphodiesterase 7B,Q9NP56,Q9NP56,2519
caffeine,5136,PDE1A,phosphodiesterase 1A,P54750,P54750;B7Z226;B7Z3A7;B7Z7A2;Q9Y633,2519
caffeine,5151,PDE8A,phosphodiesterase 8A,O60658,O60658,2519
caffeine,5158,PDE6B,phosphodiesterase 6B,P35913,P35913;B4DHV7,2519
caffeine,5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",P42338,P42338;B4DER4,2519
caffeine,48335,GSTD2,Glutathione S transferase D2,Q9VG98,Q9VG98,2519
caffeine,37108,GSTE3,Glutathione S transferase E3,A1ZB68,A1ZB68,2519
caffeine,121278,TPH2,tryptophan hydroxylase 2,Q8IWU9,Q8IWU9,2519
caffeine,2768720,CYP12D1-D,Cytochrome P450 12d1 distal,Q7KR10,Q7KR10,2519
caffeine,7422,VEGFA,vascular endothelial growth factor A,P15692,P15692;A0A0Y0IMM4;A2A2V4,2519
caffeine,51129,ANGPTL4,angiopoietin like 4,Q9BY76,Q9BY76,2519
caffeine,4790,NFKB1,nuclear factor kappa B subunit 1,P19838,P19838,2519
caffeine,23468,CBX5,chromobox 5,P45973,P45973;V9HWG0,2519
caffeine,5245,PHB1,prohibitin 1,P35232,P35232;A8K401;Q53FV0,2519
caffeine,5279,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,Q92535,Q92535,2519
caffeine,7316,UBC,ubiquitin C,P0CG48,P0CG48,2519
caffeine,5594,MAPK1,mitogen-activated protein kinase 1,P28482,P28482;Q1HBJ4;Q499G7,2519
caffeine,4158,MC2R,melanocortin 2 receptor,Q01718,Q01718,2519
caffeine,10188,TNK2,tyrosine kinase non receptor 2,Q07912,Q07912;A0A499FJ16;A0A5F9ZGX5;A0A5F9ZHJ2;A0A5F9ZHP4;A0A5F9ZI29;B3KXJ4;C9J1X3,2519
caffeine,22059,TRP53,transformation related protein 53,P02340,P02340;Q3UGQ1;Q549C9;Q80ZA1,2519
caffeine,7296,TXNRD1,thioredoxin reductase 1,Q16881,Q16881;B7Z2S5,2519
caffeine,27069,GHITM,growth hormone inducible transmembrane protein,Q9H3K2,Q9H3K2,2519
caffeine,9173,IL1RL1,interleukin 1 receptor like 1,Q01638,Q01638,2519
caffeine,16333,INS1,insulin I,P01325,P01325,2519
caffeine,7037,TFRC,transferrin receptor,P02786,P02786;A0A8V8TM46;A8K6Q8;B7Z2I6;G3V0E5,2519
caffeine,114609,TIRAP,TIR domain containing adaptor protein,P58753,P58753,2519
caffeine,8714,ABCC3,ATP binding cassette subfamily C member 3,O15438,O15438;Q86VN9,2519
caffeine,10327,AKR1A1,aldo-keto reductase family 1 member A1,P14550,P14550;V9HWI0,2519
caffeine,80896,NPL,N-acetylneuraminate pyruvate lyase,Q9BXD5,Q9BXD5;A0A087WZ70,2519
caffeine,5004,ORM1,orosomucoid 1,P02763,P02763,2519
caffeine,7430,EZR,ezrin,P15311,P15311,2519
caffeine,55117,SLC6A15,solute carrier family 6 member 15,Q9H2J7,Q9H2J7;A0A7P0T8I1;Q8IXG2;Q9NW50,2519
caffeine,4088,SMAD3,SMAD family member 3,P84022,P84022;A0AAQ5BHI7;H3BQ00;Q9P0T0,2519
caffeine,81669,CCNL2,cyclin L2,Q96S94,Q96S94,2519
caffeine,5495,PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B",O75688,O75688,2519
caffeine,18812,PRL2C3,"prolactin family 2, subfamily c, member 3",P04768,P04768;A0A0M5HDY5,2519
caffeine,387143,MIR101A,microRNA 101a,,,2519
caffeine,4316,MMP7,matrix metallopeptidase 7,P09237,P09237,2519
caffeine,23787,MTCH1,mitochondrial carrier 1,Q9NZJ7,Q9NZJ7;A0A8Q3WKC8;A8YXX5;H0Y8C3,2519
caffeine,9167,COX7A2L,cytochrome c oxidase subunit 7A2 like,O14548,O14548;Q6FGA0,2519
caffeine,19349,RAB7,"RAB7, member RAS oncogene family",P51150,P51150;Q4FJQ0,2519
caffeine,22821,RASA3,RAS p21 protein activator 3,Q14644,Q14644,2519
caffeine,5970,RELA,"RELA proto-oncogene, NF-kB subunit",Q04206,Q04206;A0A087X0W8,2519
caffeine,6125,RPL5,ribosomal protein L5,P46777,P46777;A2RUM7,2519
caffeine,10284,SAP18,Sin3A associated protein 18,O00422,O00422,2519
caffeine,10963,STIP1,stress induced phosphoprotein 1,P31948,P31948;V9HW72,2519
caffeine,13086,CYP2A4,"cytochrome P450, family 2, subfamily a, polypeptide 4",P15392,P15392,2519
caffeine,436860,LIM2.3,lens intrinsic membrane protein 2.3,Q6DGY5,Q6DGY5,2519
caffeine,553420,MIPB,major intrinsic protein of lens fiber b,Q4ZJI3,Q4ZJI3,2519
caffeine,441549,CDNF,cerebral dopamine neurotrophic factor,Q49AH0,Q49AH0,2519
caffeine,4607,MYBPC3,myosin binding protein C3,Q14896,Q14896;A5YM48,2519
caffeine,494044,EFEMP2A,EGF-like fibulin extracellular matrix protein 2a,Q5PR37,Q5PR37,2519
caffeine,8822,FGF17,fibroblast growth factor 17,O60258,O60258;A0A7U3JVY9,2519
caffeine,560759,OTPA,orthopedia homeobox a,B3DGA5,B3DGA5;F6NUE7,2519
caffeine,6263,RYR3,ryanodine receptor 3,Q15413,Q15413;A0A0U1RRH1,2519
caffeine,560055,CRYBB1L2,"crystallin, beta B1, like 2",A7E2K5,A7E2K5,2519
caffeine,22934,RPIA,ribose 5-phosphate isomerase A,P49247,P49247,2519
caffeine,6309,SC5D,sterol-C5-desaturase,O75845,O75845,2519
caffeine,441061,MARCHF11,membrane associated ring-CH-type finger 11,A6NNE9,A6NNE9,2519
caffeine,9927,MFN2,mitofusin 2,O95140,O95140,2519
caffeine,4322,MMP13,matrix metallopeptidase 13,P45452,P45452;Q53H33,2519
caffeine,5443,POMC,proopiomelanocortin,P01189,P01189,2519
caffeine,100135473,ADORA2A,adenosine A2a receptor,P46616,P46616;H0W732,2519
caffeine,5563,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,P54646,P54646,2519
caffeine,67939,PRORSD1,prolyl-tRNA synthetase domain containing 1,Q9D820,Q9D820;A0A0A0MQH9,2519
caffeine,6307,MSMO1,methylsterol monooxygenase 1,Q15800,Q15800,2519
caffeine,4595,MUTYH,mutY DNA glycosylase,Q9UIF7,Q9UIF7;A0AAQ5BGW7;E5KP25;E5KP26;E5KP27;E5KP28;E9PM53;E9PP34,2519
caffeine,4625,MYH7,myosin heavy chain 7,P12883,P12883,2519
caffeine,81858,SHARPIN,SHANK associated RH domain interactor,Q9H0F6,Q9H0F6;Q6PJD5,2519
caffeine,26503,SLC17A5,solute carrier family 17 member 5,Q9NRA2,Q9NRA2,2519
caffeine,5822,PWP2,PWP2 small subunit processome component,Q15269,Q15269,2519
caffeine,27342,RABGEF1,RAB guanine nucleotide exchange factor 1,Q9UJ41,Q9UJ41;A8K3R3;B3KMF1,2519
caffeine,5972,REN,renin,P00797,P00797,2519
caffeine,80024,SLC8B1,solute carrier family 8 member B1,Q6J4K2,Q6J4K2,2519
caffeine,8724,SNX3,sorting nexin 3,O60493,O60493,2519
caffeine,6662,SOX9,SRY-box transcription factor 9,P48436,P48436,2519
caffeine,255738,PCSK9,proprotein convertase subtilisin/kexin type 9,Q8NBP7,Q8NBP7;A0A669KBG0;A0AAQ5BGX4,2519
caffeine,8050,PDHX,pyruvate dehydrogenase complex component X,O00330,O00330;A0A8C8MSB2,2519
caffeine,5340,PLG,plasminogen,P00747,P00747;Q5TEH5,2519
caffeine,256586,LYSMD2,LysM domain containing 2,Q8IV50,Q8IV50,2519
caffeine,51244,CCDC174,coiled-coil domain containing 174,Q6PII3,Q6PII3;A0A0B4J1R8,2519
caffeine,7490,WT1,WT1 transcription factor,P19544,P19544;A0A481V744;H0Y7K5;Q6PI38,2519
caffeine,74400,ZFP819,zinc finger protein 819,E9Q5X9,E9Q5X9;Q80V81;Q9D4A7,2519
caffeine,84650,EBPL,EBP like,Q9BY08,Q9BY08;A0A0A0MRV2,2519
caffeine,8178,ELL,elongation factor for RNA polymerase II,P55199,P55199;U3KQ90,2519
caffeine,57488,ESYT2,extended synaptotagmin 2,A0FGR8,A0FGR8;A0A499FIX8;H7BXI1,2519
caffeine,126393,HSPB6,heat shock protein family B (small) member 6,O14558,O14558;V9HWB6,2519
caffeine,6817,SULT1A1,sulfotransferase family 1A member 1,P50225,P50225,2519
caffeine,54885,TBC1D8B,TBC1 domain family member 8B,Q0IIM8,Q0IIM8,2519
caffeine,7040,TGFB1,transforming growth factor beta 1,P01137,P01137;A0A499FJK2,2519
caffeine,51249,TMEM69,transmembrane protein 69,Q5SWH9,Q5SWH9,2519
caffeine,55504,TNFRSF19,TNF receptor superfamily member 19,Q9NS68,Q9NS68,2519
caffeine,7298,TYMS,thymidylate synthetase,P04818,P04818;Q53Y97,2519
caffeine,51096,UTP18,UTP18 small subunit processome component,Q9Y5J1,Q9Y5J1,2519
caffeine,11096,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,Q9UNA0,Q9UNA0,2519
caffeine,64794,DDX31,DEAD-box helicase 31,Q9H8H2,Q9H8H2;A0AAK2PNZ4,2519
caffeine,4899,NRF1,nuclear respiratory factor 1,Q16656,Q16656,2519
caffeine,5058,PAK1,p21 (RAC1) activated kinase 1,Q13153,Q13153;B3KNX7;E9PM17,2519
caffeine,197258,FCSK,fucose kinase,Q8N0W3,Q8N0W3,2519
caffeine,4846,NOS3,nitric oxide synthase 3,P29474,P29474;A0S0A6,2519
caffeine,4878,NPPA,natriuretic peptide A,P01160,P01160,2519
caffeine,8878,SQSTM1,sequestosome 1,Q13501,Q13501,2519
caffeine,6770,STAR,steroidogenic acute regulatory protein,P49675,P49675;Q6IBK0,2519
caffeine,9420,CYP7B1,cytochrome P450 family 7 subfamily B member 1,O75881,O75881;Q05C57,2519
caffeine,143884,CWF19L2,CWF19 like cell cycle control factor 2,Q2TBE0,Q2TBE0,2519
caffeine,57715,SEMA4G,semaphorin 4G,Q9NTN9,Q9NTN9;Q9NWU8,2519
caffeine,205564,SENP5,SUMO specific peptidase 5,Q96HI0,Q96HI0;B2R9F5,2519
caffeine,26135,SERBP1,SERPINE1 mRNA binding protein 1,Q8NC51,Q8NC51;Q5VU21,2519
caffeine,6118,RPA2,replication protein A2,P15927,P15927;B4DUL2,2519
caffeine,81537,SGPP1,sphingosine-1-phosphate phosphatase 1,Q9BX95,Q9BX95,2519
caffeine,6262,RYR2,ryanodine receptor 2,Q92736,Q92736,2519
caffeine,10045,SH2D3A,SH2 domain containing 3A,Q9BRG2,Q9BRG2;A8K2M8,2519
caffeine,6455,SH3GL1,"SH3 domain containing GRB2 like 1, endophilin A2",Q99961,Q99961;Q6FGM0,2519
caffeine,55669,MFN1,mitofusin 1,Q8IWA4,Q8IWA4,2519
caffeine,4288,MKI67,marker of proliferation Ki-67,P46013,P46013,2519
caffeine,285590,SH3PXD2B,SH3 and PX domains 2B,A1X283,A1X283;G3V144,2519
caffeine,4860,PNP,purine nucleoside phosphorylase,P00491,P00491,2519
caffeine,6464,SHC1,SHC adaptor protein 1,P29353,P29353,2519
caffeine,10891,PPARGC1A,PPARG coactivator 1 alpha,Q9UBK2,Q9UBK2,2519
caffeine,57698,SHTN1,shootin 1,A0MZ66,A0MZ66,2519
caffeine,6231,RPS26,ribosomal protein S26,P62854,P62854,2519
caffeine,10196,PRMT3,protein arginine methyltransferase 3,O60678,O60678;Q8WUV3,2519
caffeine,4436,MSH2,mutS homolog 2,P43246,P43246;A0A2R8Y6P0;A0A2R8YFH0;A0A2R8YG02;A0AAQ5BH31;E9PHA6,2519
caffeine,6188,RPS3,ribosomal protein S3,P23396,P23396,2519
caffeine,4552,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,Q9UBK8,Q9UBK8,2519
caffeine,6194,RPS6,ribosomal protein S6,P62753,P62753;A2A3R6,2519
caffeine,4609,MYC,"MYC proto-oncogene, bHLH transcription factor",P01106,P01106,2519
caffeine,6319,SCD,stearoyl-CoA desaturase,O00767,O00767,2519
caffeine,6335,SCN9A,sodium voltage-gated channel alpha subunit 9,Q15858,Q15858,2519
caffeine,23242,COBL,cordon-bleu WH2 repeat protein,O75128,O75128,2519
caffeine,6386,SDCBP,syndecan binding protein,O00560,O00560;B4DHN5;G5EA09,2519
caffeine,9919,SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor",O15027,O15027;A0A8I5KPG1;F1T0I1,2519
caffeine,6422,SFRP1,secreted frizzled related protein 1,Q8N474,Q8N474,2519
caffeine,11196,SEC23IP,SEC23 interacting protein,Q9Y6Y8,Q9Y6Y8;A0A994J542,2519
caffeine,11231,SEC63,SEC63 protein translocation regulator,Q9UGP8,Q9UGP8;A0A0S2Z5M1,2519
caffeine,23411,SIRT1,sirtuin 1,Q96EB6,Q96EB6;A8K128;B0QZ35;E9PC49,2519
caffeine,22949,PTGR1,prostaglandin reductase 1,Q14914,Q14914;F2Z3J9,2519
caffeine,27244,SESN1,sestrin 1,Q9Y6P5,Q9Y6P5,2519
caffeine,117177,RAB3IP,RAB3A interacting protein,Q96QF0,Q96QF0,2519
caffeine,84193,SETD3,"SET domain containing 3, actin N3(tau)-histidine methyltransferase",Q86TU7,Q86TU7,2519
caffeine,26470,SEZ6L2,seizure related 6 homolog like 2,Q6UXD5,Q6UXD5;A0A087WYL5;A0A0A8K8P7;B7Z5L4,2519
caffeine,148867,SLC30A7,solute carrier family 30 member 7,Q8NEW0,Q8NEW0,2519
caffeine,23451,SF3B1,splicing factor 3b subunit 1,O75533,O75533;B4DGZ4,2519
caffeine,6616,SNAP25,synaptosome associated protein 25,P60880,P60880,2519
caffeine,6433,SFSWAP,splicing factor SWAP,Q12872,Q12872;Q8IV81,2519
caffeine,6494,SIPA1,signal-induced proliferation-associated 1,Q96FS4,Q96FS4,2519
caffeine,9847,C2CD5,C2 calcium dependent domain containing 5,Q86YS7,Q86YS7;B7ZLK1,2519
caffeine,51804,SIX4,SIX homeobox 4,Q9UIU6,Q9UIU6,2519
caffeine,6498,SKIL,SKI like proto-oncogene,P12757,P12757,2519
caffeine,5111,PCNA,proliferating cell nuclear antigen,P12004,P12004,2519
caffeine,6558,SLC12A2,solute carrier family 12 member 2,P55011,P55011;B7ZM24;Q53ZR1,2519
caffeine,6566,SLC16A1,solute carrier family 16 member 1,P53985,P53985;B4DKS0,2519
caffeine,23236,PLCB1,phospholipase C beta 1,Q9NQ66,Q9NQ66,2519
