uniprot_accession,protein_name,pathway,compound
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,Reactome_R-HSA-1430728,caffeine
A0PJW6,Transmembrane protein 223,Reactome_R-HSA-1430728,caffeine
A1L188,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,Reactome_R-HSA-1430728,caffeine
A1L3X0,Very long chain fatty acid elongase 7,Reactome_R-HSA-1430728,caffeine
A2RU49,Hydroxylysine kinase,Reactome_R-HSA-1430728,caffeine
A5D6W6,Fat storage-inducing transmembrane protein 1,Reactome_R-HSA-1430728,caffeine
A5YM72,Carnosine synthase 1,Reactome_R-HSA-1430728,caffeine
A6NDG6,Glycerol-3-phosphate phosphatase,Reactome_R-HSA-1430728,caffeine
A6NFY7,"Succinate dehydrogenase assembly factor 1, mitochondrial",Reactome_R-HSA-1430728,caffeine
A6NGU5,Putative glutathione hydrolase 3 proenzyme,Reactome_R-HSA-1430728,caffeine
A6NNW6,Enolase 4,Reactome_R-HSA-1430728,caffeine
A8MUP2,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial",Reactome_R-HSA-1430728,caffeine
A8MV81,HIG1 domain family member 1C,Reactome_R-HSA-1430728,caffeine
A8MXV4,Acyl-coenzyme A diphosphatase NUDT19,Reactome_R-HSA-1430728,caffeine
A9YTQ3,Aryl hydrocarbon receptor repressor,Reactome_R-HSA-1430728,caffeine
C9JRZ8,Aldo-keto reductase family 1 member B15,Reactome_R-HSA-1430728,caffeine
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Reactome_R-HSA-1430728,caffeine
O00142,"Thymidine kinase 2, mitochondrial",Reactome_R-HSA-1430728,caffeine
O00170,AH receptor-interacting protein,Reactome_R-HSA-1430728,caffeine
O00204-1,SULT2B1-1,Reactome_R-HSA-1430728,caffeine
O00204-2,SULT2B1-2,Reactome_R-HSA-1430728,caffeine
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",Reactome_R-HSA-1430728,caffeine
O00327,Basic helix-loop-helix ARNT-like protein 1,Reactome_R-HSA-1430728,caffeine
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Reactome_R-HSA-1430728,caffeine
O00330,"Pyruvate dehydrogenase protein X component, mitochondrial",Reactome_R-HSA-1430728,caffeine
O00338,Sulfotransferase 1C2,Reactome_R-HSA-1430728,caffeine
O00401,Actin nucleation-promoting factor WASL,Reactome_R-HSA-1430728,caffeine
O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,Reactome_R-HSA-1430728,caffeine
O00445,Synaptotagmin-5,Reactome_R-HSA-1430728,caffeine
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,Reactome_R-HSA-1430728,caffeine
O00462,Beta-mannosidase,Reactome_R-HSA-1430728,caffeine
O00483,Cytochrome c oxidase subunit FA4,Reactome_R-HSA-1430728,caffeine
O00519,Fatty-acid amide hydrolase 1,Reactome_R-HSA-1430728,caffeine
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,Reactome_R-HSA-1430728,caffeine
O00746,"Nucleoside diphosphate kinase D, mitochondrial",Reactome_R-HSA-1430728,caffeine
O00754,Lysosomal alpha-mannosidase,Reactome_R-HSA-1430728,caffeine
O00757,"Fructose-1,6-bisphosphatase isozyme 2",Reactome_R-HSA-1430728,caffeine
O00763,Acetyl-CoA carboxylase 2,Reactome_R-HSA-1430728,caffeine
O00764,Pyridoxal kinase,Reactome_R-HSA-1430728,caffeine
O00767,Stearoyl-CoA desaturase,Reactome_R-HSA-1430728,caffeine
O14494,Phospholipid phosphatase 1,Reactome_R-HSA-1430728,caffeine
O14521,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",Reactome_R-HSA-1430728,caffeine
O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",Reactome_R-HSA-1430728,caffeine
O14561,"Acyl carrier protein, mitochondrial",Reactome_R-HSA-1430728,caffeine
O14638,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,Reactome_R-HSA-1430728,caffeine
O14678,Lysosomal cobalamin transporter ABCD4,Reactome_R-HSA-1430728,caffeine
O14684,Prostaglandin E synthase,Reactome_R-HSA-1430728,caffeine
O14734,Acyl-coenzyme A thioesterase 8,Reactome_R-HSA-1430728,caffeine
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,Reactome_R-HSA-1430728,caffeine
O14792,Heparan sulfate glucosamine 3-O-sulfotransferase 1,Reactome_R-HSA-1430728,caffeine
O14832,"Phytanoyl-CoA dioxygenase, peroxisomal",Reactome_R-HSA-1430728,caffeine
O14841,5-oxoprolinase,Reactome_R-HSA-1430728,caffeine
O14842,Free fatty acid receptor 1,Reactome_R-HSA-1430728,caffeine
O14874,Branched-chain alpha-ketoacid dehydrogenase kinase,Reactome_R-HSA-1430728,caffeine
O14880,"Glutathione S-transferase 3, mitochondrial",Reactome_R-HSA-1430728,caffeine
O14949,Cytochrome b-c1 complex subunit 8,Reactome_R-HSA-1430728,caffeine
O14957,Cytochrome b-c1 complex subunit 10,Reactome_R-HSA-1430728,caffeine
O14975,Long-chain fatty acid transport protein 2,Reactome_R-HSA-1430728,caffeine
O14977,Antizyme inhibitor 1,Reactome_R-HSA-1430728,caffeine
O15067,Phosphoribosylformylglycinamidine synthase,Reactome_R-HSA-1430728,caffeine
O15121,Sphingolipid delta(4)-desaturase DES1,Reactome_R-HSA-1430728,caffeine
O15217,Glutathione S-transferase A4,Reactome_R-HSA-1430728,caffeine
O15228,Dihydroxyacetone phosphate acyltransferase,Reactome_R-HSA-1430728,caffeine
O15229,Kynurenine 3-monooxygenase,Reactome_R-HSA-1430728,caffeine
O15239,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,Reactome_R-HSA-1430728,caffeine
O15254,Peroxisomal acyl-coenzyme A oxidase 3,Reactome_R-HSA-1430728,caffeine
O15269,Serine palmitoyltransferase 1,Reactome_R-HSA-1430728,caffeine
O15270,Serine palmitoyltransferase 2,Reactome_R-HSA-1430728,caffeine
O15296,Polyunsaturated fatty acid lipoxygenase ALOX15B,Reactome_R-HSA-1430728,caffeine
O15379,Histone deacetylase 3,Reactome_R-HSA-1430728,caffeine
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine
O15438,ATP-binding cassette sub-family C member 3,Reactome_R-HSA-1430728,caffeine
O15440,ATP-binding cassette sub-family C member 5,Reactome_R-HSA-1430728,caffeine
O15466,"Alpha-2,8-sialyltransferase 8E",Reactome_R-HSA-1430728,caffeine
O15488,Glycogenin-2,Reactome_R-HSA-1430728,caffeine
O15496,Group 10 secretory phospholipase A2,Reactome_R-HSA-1430728,caffeine
O15504,Nucleoporin NUP42,Reactome_R-HSA-1430728,caffeine
O15516,Circadian locomoter output cycles protein kaput,Reactome_R-HSA-1430728,caffeine
O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",Reactome_R-HSA-1430728,caffeine
O43169,Cytochrome b5 type B,Reactome_R-HSA-1430728,caffeine
O43175,D-3-phosphoglycerate dehydrogenase,Reactome_R-HSA-1430728,caffeine
O43181,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",Reactome_R-HSA-1430728,caffeine
O43272,"Proline dehydrogenase 1, mitochondrial",Reactome_R-HSA-1430728,caffeine
O43286,"Beta-1,4-galactosyltransferase 5",Reactome_R-HSA-1430728,caffeine
O43324,Eukaryotic translation elongation factor 1 epsilon-1,Reactome_R-HSA-1430728,caffeine
O43462,Membrane-bound transcription factor site-2 protease,Reactome_R-HSA-1430728,caffeine
O43488,Aflatoxin B1 aldehyde reductase member 2,Reactome_R-HSA-1430728,caffeine
O43513,Mediator of RNA polymerase II transcription subunit 7,Reactome_R-HSA-1430728,caffeine
O43598,5-hydroxymethyl-dUMP N-hydrolase,Reactome_R-HSA-1430728,caffeine
O43674,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",Reactome_R-HSA-1430728,caffeine
O43676,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,Reactome_R-HSA-1430728,caffeine
O43677,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",Reactome_R-HSA-1430728,caffeine
O43678,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,Reactome_R-HSA-1430728,caffeine
O43704,Sulfotransferase 1B1,Reactome_R-HSA-1430728,caffeine
O43708,Maleylacetoacetate isomerase,Reactome_R-HSA-1430728,caffeine
O43741,5'-AMP-activated protein kinase subunit beta-2,Reactome_R-HSA-1430728,caffeine
O43772,Mitochondrial carnitine/acylcarnitine carrier protein,Reactome_R-HSA-1430728,caffeine
O43808,Peroxisomal membrane protein PMP34,Reactome_R-HSA-1430728,caffeine
O43819,Cytochrome c oxidase assembly factor SCO2,Reactome_R-HSA-1430728,caffeine
O43826,Glucose-6-phosphate exchanger SLC37A4,Reactome_R-HSA-1430728,caffeine
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",Reactome_R-HSA-1430728,caffeine
O43865,S-adenosylhomocysteine hydrolase-like protein 1,Reactome_R-HSA-1430728,caffeine
O43909,Exostosin-like 3,Reactome_R-HSA-1430728,caffeine
O43916,Carbohydrate sulfotransferase 1,Reactome_R-HSA-1430728,caffeine
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,Reactome_R-HSA-1430728,caffeine
O60240,Perilipin-1,Reactome_R-HSA-1430728,caffeine
O60244,Mediator of RNA polymerase II transcription subunit 14,Reactome_R-HSA-1430728,caffeine
O60427,Acyl-CoA (8-3)-desaturase,Reactome_R-HSA-1430728,caffeine
O60494,Cubilin,Reactome_R-HSA-1430728,caffeine
O60512,"Beta-1,4-galactosyltransferase 3",Reactome_R-HSA-1430728,caffeine
O60513,"Beta-1,4-galactosyltransferase 4",Reactome_R-HSA-1430728,caffeine
O60543,Lipid transferase CIDEA,Reactome_R-HSA-1430728,caffeine
O60656,UDP-glucuronosyltransferase 1A9,Reactome_R-HSA-1430728,caffeine
O60664,Perilipin-3,Reactome_R-HSA-1430728,caffeine
O60701,UDP-glucose 6-dehydrogenase,Reactome_R-HSA-1430728,caffeine
O60733,85/88 kDa calcium-independent phospholipase A2,Reactome_R-HSA-1430728,caffeine
O60760,Hematopoietic prostaglandin D synthase,Reactome_R-HSA-1430728,caffeine
O60825,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",Reactome_R-HSA-1430728,caffeine
O60907,F-box-like/WD repeat-containing protein TBL1X,Reactome_R-HSA-1430728,caffeine
O60909,"Beta-1,4-galactosyltransferase 2",Reactome_R-HSA-1430728,caffeine
O75027,"Iron-sulfur clusters transporter ABCB7, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75038,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",Reactome_R-HSA-1430728,caffeine
O75063,Glycosaminoglycan xylosylkinase,Reactome_R-HSA-1430728,caffeine
O75106,Amine oxidase [copper-containing] 2,Reactome_R-HSA-1430728,caffeine
O75191,Xylulose kinase,Reactome_R-HSA-1430728,caffeine
O75192,Peroxisomal membrane protein 11A,Reactome_R-HSA-1430728,caffeine
O75208,"Ubiquinone biosynthesis protein COQ9, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75223,Gamma-glutamylcyclotransferase,Reactome_R-HSA-1430728,caffeine
O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75306,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75342,"Arachidonate 12-lipoxygenase, 12R-type",Reactome_R-HSA-1430728,caffeine
O75354,Ectonucleoside triphosphate diphosphohydrolase 6,Reactome_R-HSA-1430728,caffeine
O75355,Ectonucleoside triphosphate diphosphohydrolase 3,Reactome_R-HSA-1430728,caffeine
O75356,Nucleoside diphosphate phosphatase ENTPD5,Reactome_R-HSA-1430728,caffeine
O75376,Nuclear receptor corepressor 1,Reactome_R-HSA-1430728,caffeine
O75380,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75390,"Citrate synthase, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75438,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,Reactome_R-HSA-1430728,caffeine
O75448,Mediator of RNA polymerase II transcription subunit 24,Reactome_R-HSA-1430728,caffeine
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75509,Tumor necrosis factor receptor superfamily member 21,Reactome_R-HSA-1430728,caffeine
O75521-2,"Enoyl-CoA delta isomerase 2, isoform 2",Reactome_R-HSA-1430728,caffeine
O75586,Mediator of RNA polymerase II transcription subunit 6,Reactome_R-HSA-1430728,caffeine
O75608,Acyl-protein thioesterase 1,Reactome_R-HSA-1430728,caffeine
O75694,Nuclear pore complex protein Nup155,Reactome_R-HSA-1430728,caffeine
O75746,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75752,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",Reactome_R-HSA-1430728,caffeine
O75828,Carbonyl reductase [NADPH] 3,Reactome_R-HSA-1430728,caffeine
O75845,Lathosterol oxidase,Reactome_R-HSA-1430728,caffeine
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,Reactome_R-HSA-1430728,caffeine
O75880,Cytochrome c oxidase assembly factor SCO1,Reactome_R-HSA-1430728,caffeine
O75891,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Reactome_R-HSA-1430728,caffeine
O75897,Sulfotransferase 1C4,Reactome_R-HSA-1430728,caffeine
O75907,Diacylglycerol O-acyltransferase 1,Reactome_R-HSA-1430728,caffeine
O75936,Gamma-butyrobetaine dioxygenase,Reactome_R-HSA-1430728,caffeine
O75947,"ATP synthase peripheral stalk subunit d, mitochondrial",Reactome_R-HSA-1430728,caffeine
O75964,"ATP synthase F(0) complex subunit g, mitochondrial",Reactome_R-HSA-1430728,caffeine
O76062,Delta(14)-sterol reductase TM7SF2,Reactome_R-HSA-1430728,caffeine
O76071,Probable cytosolic iron-sulfur protein assembly protein CIAO1,Reactome_R-HSA-1430728,caffeine
O76082,Organic cation/carnitine transporter 2,Reactome_R-HSA-1430728,caffeine
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Reactome_R-HSA-1430728,caffeine
O94766,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,Reactome_R-HSA-1430728,caffeine
O94830,Triacylglycerol hydrolase DDHD2,Reactome_R-HSA-1430728,caffeine
O94923,D-glucuronyl C5-epimerase,Reactome_R-HSA-1430728,caffeine
O94925,"Glutaminase kidney isoform, mitochondrial",Reactome_R-HSA-1430728,caffeine
O94956-3,SLCO2B1-3,Reactome_R-HSA-1430728,caffeine
O95050,Indolethylamine N-methyltransferase,Reactome_R-HSA-1430728,caffeine
O95139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,Reactome_R-HSA-1430728,caffeine
O95153,Peripheral-type benzodiazepine receptor-associated protein 1,Reactome_R-HSA-1430728,caffeine
O95154,Aldo-keto reductase family 7 member A3,Reactome_R-HSA-1430728,caffeine
O95167,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,Reactome_R-HSA-1430728,caffeine
O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,Reactome_R-HSA-1430728,caffeine
O95169,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",Reactome_R-HSA-1430728,caffeine
O95178,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",Reactome_R-HSA-1430728,caffeine
O95182,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,Reactome_R-HSA-1430728,caffeine
O95202,Mitochondrial proton/calcium exchanger protein,Reactome_R-HSA-1430728,caffeine
O95237,Lecithin retinol acyltransferase,Reactome_R-HSA-1430728,caffeine
O95248,Myotubularin-related protein 5,Reactome_R-HSA-1430728,caffeine
O95278,Laforin,Reactome_R-HSA-1430728,caffeine
O95298,NADH dehydrogenase [ubiquinone] 1 subunit C2,Reactome_R-HSA-1430728,caffeine
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Reactome_R-HSA-1430728,caffeine
O95336,6-phosphogluconolactonase,Reactome_R-HSA-1430728,caffeine
O95342,Bile salt export pump,Reactome_R-HSA-1430728,caffeine
O95396,Adenylyltransferase and sulfurtransferase MOCS3,Reactome_R-HSA-1430728,caffeine
O95398,Rap guanine nucleotide exchange factor 3,Reactome_R-HSA-1430728,caffeine
O95402,Mediator of RNA polymerase II transcription subunit 26,Reactome_R-HSA-1430728,caffeine
O95445,Apolipoprotein M,Reactome_R-HSA-1430728,caffeine
O95470,Sphingosine-1-phosphate lyase 1,Reactome_R-HSA-1430728,caffeine
O95477,Phospholipid-transporting ATPase ABCA1,Reactome_R-HSA-1430728,caffeine
O95544,NAD kinase,Reactome_R-HSA-1430728,caffeine
O95563,Mitochondrial pyruvate carrier 2,Reactome_R-HSA-1430728,caffeine
O95571,"Persulfide dioxygenase ETHE1, mitochondrial",Reactome_R-HSA-1430728,caffeine
O95674,Phosphatidate cytidylyltransferase 2,Reactome_R-HSA-1430728,caffeine
O95749,Geranylgeranyl pyrophosphate synthase,Reactome_R-HSA-1430728,caffeine
O95822-2,MLYCD,Reactome_R-HSA-1430728,caffeine
O95861,"3'(2'),5'-bisphosphate nucleotidase 1",Reactome_R-HSA-1430728,caffeine
O95864,Acyl-CoA 6-desaturase,Reactome_R-HSA-1430728,caffeine
O95954,Formimidoyltransferase-cyclodeaminase,Reactome_R-HSA-1430728,caffeine
O95989,Diphosphoinositol polyphosphate phosphohydrolase 1,Reactome_R-HSA-1430728,caffeine
O95992,Cholesterol 25-hydroxylase,Reactome_R-HSA-1430728,caffeine
O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Reactome_R-HSA-1430728,caffeine
O96007,Molybdopterin synthase catalytic subunit,Reactome_R-HSA-1430728,caffeine
O96024,"Beta-1,3-galactosyltransferase 4",Reactome_R-HSA-1430728,caffeine
O96033,Molybdopterin synthase sulfur carrier subunit,Reactome_R-HSA-1430728,caffeine
P00156,Cytochrome b,Reactome_R-HSA-1430728,caffeine
P00167,Cytochrome b5,Reactome_R-HSA-1430728,caffeine
P00325,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,Reactome_R-HSA-1430728,caffeine
P00326,Alcohol dehydrogenase 1C,Reactome_R-HSA-1430728,caffeine
P00338,L-lactate dehydrogenase A chain,Reactome_R-HSA-1430728,caffeine
P00352,Aldehyde dehydrogenase 1A1,Reactome_R-HSA-1430728,caffeine
P00374,Dihydrofolate reductase,Reactome_R-HSA-1430728,caffeine
P00387,NADH-cytochrome b5 reductase 3,Reactome_R-HSA-1430728,caffeine
P00390-2,GR,Reactome_R-HSA-1430728,caffeine
P00395,Cytochrome c oxidase subunit 1,Reactome_R-HSA-1430728,caffeine
P00403,Cytochrome c oxidase subunit 2,Reactome_R-HSA-1430728,caffeine
P00414,Cytochrome c oxidase subunit 3,Reactome_R-HSA-1430728,caffeine
P00439,Phenylalanine-4-hydroxylase,Reactome_R-HSA-1430728,caffeine
P00480,"Ornithine transcarbamylase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P00491,Purine nucleoside phosphorylase,Reactome_R-HSA-1430728,caffeine
P00492,Hypoxanthine-guanine phosphoribosyltransferase,Reactome_R-HSA-1430728,caffeine
P00505,"Aspartate aminotransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P00558,Phosphoglycerate kinase 1,Reactome_R-HSA-1430728,caffeine
P00709,Alpha-lactalbumin,Reactome_R-HSA-1430728,caffeine
P00813,Adenosine deaminase,Reactome_R-HSA-1430728,caffeine
P00846,ATP synthase F(0) complex subunit a,Reactome_R-HSA-1430728,caffeine
P00915,Carbonic anhydrase 1,Reactome_R-HSA-1430728,caffeine
P00918,Carbonic anhydrase 2,Reactome_R-HSA-1430728,caffeine
P00966,Argininosuccinate synthase,Reactome_R-HSA-1430728,caffeine
P01019,Angiotensinogen,Reactome_R-HSA-1430728,caffeine
P01130,Low-density lipoprotein receptor,Reactome_R-HSA-1430728,caffeine
P01189,Pro-opiomelanocortin,Reactome_R-HSA-1430728,caffeine
P01215,Glycoprotein hormones alpha chain,Reactome_R-HSA-1430728,caffeine
P01222,Thyrotropin subunit beta,Reactome_R-HSA-1430728,caffeine
P01229,Lutropin subunit beta,Reactome_R-HSA-1430728,caffeine
P01275,Pro-glucagon,Reactome_R-HSA-1430728,caffeine
P01308,Insulin,Reactome_R-HSA-1430728,caffeine
P02647,Apolipoprotein A-I,Reactome_R-HSA-1430728,caffeine
P02649,Apolipoprotein E,Reactome_R-HSA-1430728,caffeine
P02652,Apolipoprotein A-II,Reactome_R-HSA-1430728,caffeine
P02655,Apolipoprotein C-II,Reactome_R-HSA-1430728,caffeine
P02656,Apolipoprotein C-III,Reactome_R-HSA-1430728,caffeine
P02753,Retinol-binding protein 4,Reactome_R-HSA-1430728,caffeine
P02766,Transthyretin,Reactome_R-HSA-1430728,caffeine
P02768,Albumin,Reactome_R-HSA-1430728,caffeine
P02774,Vitamin D-binding protein,Reactome_R-HSA-1430728,caffeine
P03886,NADH-ubiquinone oxidoreductase chain 1,Reactome_R-HSA-1430728,caffeine
P03891,NADH-ubiquinone oxidoreductase chain 2,Reactome_R-HSA-1430728,caffeine
P03897,NADH-ubiquinone oxidoreductase chain 3,Reactome_R-HSA-1430728,caffeine
P03905,NADH-ubiquinone oxidoreductase chain 4,Reactome_R-HSA-1430728,caffeine
P03915,NADH-ubiquinone oxidoreductase chain 5,Reactome_R-HSA-1430728,caffeine
P03923,NADH-ubiquinone oxidoreductase chain 6,Reactome_R-HSA-1430728,caffeine
P03928,ATP synthase F(0) complex subunit 8,Reactome_R-HSA-1430728,caffeine
P04035-1,HMDH_HUMAN,Reactome_R-HSA-1430728,caffeine
P04054,Phospholipase A2,Reactome_R-HSA-1430728,caffeine
P04062,Lysosomal acid glucosylceramidase,Reactome_R-HSA-1430728,caffeine
P04075,Fructose-bisphosphate aldolase A,Reactome_R-HSA-1430728,caffeine
P04114,Apolipoprotein B-100,Reactome_R-HSA-1430728,caffeine
P04118,Colipase,Reactome_R-HSA-1430728,caffeine
P04181,"Ornithine aminotransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P04183,"Thymidine kinase, cytosolic",Reactome_R-HSA-1430728,caffeine
P04406,Glyceraldehyde-3-phosphate dehydrogenase,Reactome_R-HSA-1430728,caffeine
P04424,Argininosuccinate lyase,Reactome_R-HSA-1430728,caffeine
P04637,Cellular tumor antigen p53,Reactome_R-HSA-1430728,caffeine
P04798,Cytochrome P450 1A1,Reactome_R-HSA-1430728,caffeine
P04818,Thymidylate synthase,Reactome_R-HSA-1430728,caffeine
P05062,Fructose-bisphosphate aldolase B,Reactome_R-HSA-1430728,caffeine
P05089,Arginase-1,Reactome_R-HSA-1430728,caffeine
P05091,"Aldehyde dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase",Reactome_R-HSA-1430728,caffeine
P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial",Reactome_R-HSA-1430728,caffeine
P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial",Reactome_R-HSA-1430728,caffeine
P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial",Reactome_R-HSA-1430728,caffeine
P05177,Cytochrome P450 1A2,Reactome_R-HSA-1430728,caffeine
P05181,Cytochrome P450 2E1,Reactome_R-HSA-1430728,caffeine
P06132,Uroporphyrinogen decarboxylase,Reactome_R-HSA-1430728,caffeine
P06280,Alpha-galactosidase A,Reactome_R-HSA-1430728,caffeine
P06576,"ATP synthase F(1) complex subunit beta, mitochondrial",Reactome_R-HSA-1430728,caffeine
P06727,Apolipoprotein A-IV,Reactome_R-HSA-1430728,caffeine
P06732,Creatine kinase M-type,Reactome_R-HSA-1430728,caffeine
P06733,Alpha-enolase,Reactome_R-HSA-1430728,caffeine
P06737,"Glycogen phosphorylase, liver form",Reactome_R-HSA-1430728,caffeine
P06744,Glucose-6-phosphate isomerase,Reactome_R-HSA-1430728,caffeine
P07099,Epoxide hydrolase 1,Reactome_R-HSA-1430728,caffeine
P07101,Tyrosine 3-monooxygenase,Reactome_R-HSA-1430728,caffeine
P07148,"Fatty acid-binding protein, liver",Reactome_R-HSA-1430728,caffeine
P07195,L-lactate dehydrogenase B chain,Reactome_R-HSA-1430728,caffeine
P07202,Thyroid peroxidase,Reactome_R-HSA-1430728,caffeine
P07205,Phosphoglycerate kinase 2,Reactome_R-HSA-1430728,caffeine
P07327,Alcohol dehydrogenase 1A,Reactome_R-HSA-1430728,caffeine
P07451,Carbonic anhydrase 3,Reactome_R-HSA-1430728,caffeine
P07602,Prosaposin,Reactome_R-HSA-1430728,caffeine
P07711,Procathepsin L,Reactome_R-HSA-1430728,caffeine
P07738,Bisphosphoglycerate mutase,Reactome_R-HSA-1430728,caffeine
P07741,Adenine phosphoribosyltransferase,Reactome_R-HSA-1430728,caffeine
P07814,Bifunctional glutamate/proline--tRNA ligase,Reactome_R-HSA-1430728,caffeine
P07864,L-lactate dehydrogenase C chain,Reactome_R-HSA-1430728,caffeine
P07900,Heat shock protein HSP 90-alpha,Reactome_R-HSA-1430728,caffeine
P07902,Galactose-1-phosphate uridylyltransferase,Reactome_R-HSA-1430728,caffeine
P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial",Reactome_R-HSA-1430728,caffeine
P07954,"Fumarate hydratase, mitochondrial",Reactome_R-HSA-1430728,caffeine
P08047,Transcription factor Sp1,Reactome_R-HSA-1430728,caffeine
P08185,Corticosteroid-binding globulin,Reactome_R-HSA-1430728,caffeine
P08195,Amino acid transporter heavy chain SLC3A2,Reactome_R-HSA-1430728,caffeine
P08236,Beta-glucuronidase,Reactome_R-HSA-1430728,caffeine
P08237,"ATP-dependent 6-phosphofructokinase, muscle type",Reactome_R-HSA-1430728,caffeine
P08238,Heat shock protein HSP 90-beta,Reactome_R-HSA-1430728,caffeine
P08243,Asparagine synthetase [glutamine-hydrolyzing],Reactome_R-HSA-1430728,caffeine
P08263,Glutathione S-transferase A1,Reactome_R-HSA-1430728,caffeine
P08319,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Reactome_R-HSA-1430728,caffeine
P08397,Porphobilinogen deaminase,Reactome_R-HSA-1430728,caffeine
P08574,"Cytochrome c1, heme protein, mitochondrial",Reactome_R-HSA-1430728,caffeine
P08684,Cytochrome P450 3A4,Reactome_R-HSA-1430728,caffeine
P08686,Steroid 21-hydroxylase,Reactome_R-HSA-1430728,caffeine
P08842,Steryl-sulfatase,Reactome_R-HSA-1430728,caffeine
P09104,Gamma-enolase,Reactome_R-HSA-1430728,caffeine
P09110,"3-ketoacyl-CoA thiolase, peroxisomal",Reactome_R-HSA-1430728,caffeine
P09172,Dopamine beta-hydroxylase,Reactome_R-HSA-1430728,caffeine
P09210,Glutathione S-transferase A2,Reactome_R-HSA-1430728,caffeine
P09211,Glutathione S-transferase P,Reactome_R-HSA-1430728,caffeine
P09417,Dihydropteridine reductase,Reactome_R-HSA-1430728,caffeine
P09455,Retinol-binding protein 1,Reactome_R-HSA-1430728,caffeine
