superpathway of phospholipid biosynthesis
ester phospholipid biosynthesis
phospholipid biosynthesis CL(15:0cyclo/16:0/15:0cyclo/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:0/15:0cyclo/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/16:0/15:0cyclo/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:0/15:0cyclo/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/16:0/16:0/16:0)
phospholipid biosynthesis CL(15:0cyclo/16:0/17:0cycw7c/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:0/16:0/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:0/16:0/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/16:0/16:0/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:0/16:0/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/16:0/16:1(9Z)/16:0)
phospholipid biosynthesis CL(15:0cyclo/16:0/16:1(9Z)/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:0/16:1(9Z)/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:0/17:0cycw7c/16:0)
phospholipid biosynthesis CL(15:0cyclo/16:0/17:0cycw7c/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/16:0/18:1(9Z)/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:0/18:1(9Z)/16:0)
phospholipid biosynthesis CL(15:0cyclo/16:0/18:1(9Z)/18:1(9Z))
phospholipid biosynthesis (CL(15:0cyclo/16:0/19:0cycv8c/15:0cyclo))
phospholipid biosynthesis CL(15:0cyclo/16:0/19:0cycv8c/16:0)
phospholipid biosynthesis CL(15:0cyclo/16:0/19:0cycv8c/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/14:0/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/14:0/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/15:0cyclo/14:0)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/15:0cyclo/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/15:0cyclo/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/15:0cyclo/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/15:0cyclo/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:0/16:0)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:0/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:1(9Z)/14:0)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:1(9Z)/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:1(9Z)/16:0)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:1(9Z)/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:1(9Z)/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:1(9Z)/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/16:1(9Z)/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/17:0cycw7c/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/17:0cycw7c/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/17:0cycw7c/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/18:1(9Z)/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/18:1(9Z)/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/18:1(9Z)/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/19:0cycv8c/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/19:0cycv8c/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/16:1(9Z)/19:0cycv8c/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/14:0/14:0)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/14:0/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/15:0cyclo/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/16:0/16:0)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/16:0/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/16:1(9Z)/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/16:1(9Z)/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/17:0cycw7c/14:0)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/17:0cycw7c/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/17:0cycw7c)/16:0)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/17:0cycw7c/16:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/17:0cycw7c/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/17:0cycw7c/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/17:0cycw7c/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/18:1(9Z)/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/18:1(9Z)/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/17:0cycw7c/19:0cycv8c/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/18:1(9Z)/14:0/15:0cyclo)
phospholipid biosynthesis CL(15:0cyclo/18:1(9Z)/14:0/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/18:1(9Z)/15:0cyclo/14:0)
phospholipid biosynthesis CL(15:0cyclo/18:1(9Z)/15:0cyclo/17:0cycw7c)
phospholipid biosynthesis CL(15:0cyclo/18:1(9Z)/15:0cyclo/18:1(9Z))
phospholipid biosynthesis CL(15:0cyclo/18:1(9Z)/15:0cyclo/19:0cycv8c)
phospholipid biosynthesis CL(15:0cyclo/18:1(9Z)/16:0/16:0)
