category,cids,citations,core,dois,ecs,externalid,extid,geneids,name,pathwayid,pclids,pmcids,pmids,protacxns,pwacc,pwtype,source,srcid,taxid,taxname,url
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001500,SMP0001500,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis (CL(17:0cycw7c/19:0cycv8c/19:0cycv8c/14:0)),1185799,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001500,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001500
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5283496|5283499|5311263|22833512|52927230|53481808|53481854|131767715|131767780,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001504,SMP0001504,947321|947496|66670939|66671283|66671537|66671928|66672044|66672494|66673525|66674897|66674930|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:0/16:1(9Z)/18:1(9Z)),1185803,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001504,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001504
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5283512|5311263|22833512|52924900|52925991|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001508,SMP0001508,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis (CL(18:1(9Z)/14:0/14:0/14:0)),1185807,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001508,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001508
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52926472|53481807|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001512,SMP0001512,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:0/17:0cycw7c/17:0cycw7c),1185811,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001512,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001512
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|446440|644102|5311263|22833512|49859598|52924918|52926009|53481854|131767725,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001516,SMP0001516,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:0/18:1(9Z)/16:0),1185815,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001516,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001516
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|446440|644102|5311263|22833512|49859598|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001520,SMP0001520,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:0/19:0cycv8c/16:0),1185819,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001520,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001520
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|445757|446440|644102|5311263|22833512|49859598|52926086,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001524,SMP0001524,947321|947496|66671283|66671537|66671928|66672044|66672494|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:0/19:0cycv8c/19:0cycv8c),1185823,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P26647|P75919,PathBank:SMP0001524,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001524
Metabolic,280|668|700|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924945|52927230|53481808|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001528,SMP0001528,947321|947496|66671283|66671537|66671928|66672044|66672494|66673525|66674897|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/14:0/16:1(9Z)),1185827,,,,P0A6A8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001528,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001528
Metabolic,668|700|1038|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924162|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8,SMP0001532,SMP0001532,947321|947496|66671537|66672044|66672494|66673525|67415812|67515820,phospholipid biosynthesis (CL(18:1(9Z)/15:0cyclo/15:0cyclo/19:0cycv8c)),1185831,,,,P0A6A8|P0A6S7|P0A7A7|P0ABF8|P0ABG1|P23830|P26647|P75919,PathBank:SMP0001532,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001532
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924944|52926083|52927230|53481808|53481854|131767780,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001536,SMP0001536,947321|947496|66670939|66671283|66671537|66671928|66672044|66672494|66673525|66674897|66674930|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/14:0/18:1(9Z)),1185835,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001536,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001536
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|52924918|52926009|52927230|53481808|53481854|131767780|131767782,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001540,SMP0001540,947321|947496|66670939|66671283|66671537|66671928|66672044|66672494|66673525|66674897|66674930|67415812|67515820,phospholipid biosynthesis CL(16:1(9Z)/16:1(9Z)/16:1(9Z)/18:1(9Z)),1185839,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001540,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001540
