action,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,113,ADCY7,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,P51828,Adenylate cyclase type 7,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 7,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,114,ADCY8,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,P40145,Adenylate cyclase type 8,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 8,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,115,ADCY9,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,O60503,Adenylate cyclase type 9,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 9,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
,47936,,Forskolin,Drug Gene Interaction database (DGIdb),,,190,NR0B1,,,,,,,COLFORSIN,https://www.dgidb.org/drugs/ncit:C166496,,NR0B1,https://www.dgidb.org/genes/hgnc:7960,9606,Homo sapiens (human)
,47936,,Forskolin,Drug Gene Interaction database (DGIdb),,,196,AHR,,,,,,,COLFORSIN,https://www.dgidb.org/drugs/ncit:C166496,,AHR,https://www.dgidb.org/genes/hgnc:348,9606,Homo sapiens (human)
,47936,,Forskolin,Drug Gene Interaction database (DGIdb),,,367,AR,,,,,,,COLFORSIN,https://www.dgidb.org/drugs/ncit:C166496,,AR,https://www.dgidb.org/genes/hgnc:644,9606,Homo sapiens (human)
,47936,"Sipes NS, Martin MT, Kothiya P, Reif DM, Judson RS, Richard AM, Houck KA, Dix DJ, Kavlock RJ, Knudsen TB: Profiling 976 ToxCast chemicals across 331 enzymatic and receptor signaling assays. Chem Res Toxicol. 2013 Jun 17;26(6):878-95. doi: 10.1021/tx400021f. Epub 2013 May 16.",Forskolin,Toxin and Toxin Target Database (T3DB),PMID:23611293,https://www.ncbi.nlm.nih.gov/pubmed/23611293,367,AR,5929097,PMC3685188,23611293,P10275,Androgen receptor,T3D4827,Forskolin,http://www.t3db.ca/toxins/T3D4827,BE0000132,Androgen receptor,http://www.t3db.ca/biodb/bio_entities/BE0000132,9606,Homo sapiens (human)
Inhibitor,47936,"Ramesh Babu PB, Chidekel A, Utidjian L, Shaffer TH. Regulation of apical surface fluid and protein secretion in human airway epithelial cell line Calu-3. Biochemical and Biophysical Research Communications. 2004 Jul;319(4):1132–7. doi: 10.1016/j.bbrc.2004.05.101.",Forskolin,DrugBank,PMID:15194485,https://www.ncbi.nlm.nih.gov/pubmed/15194485,1080,CFTR,8542861,,15194485,P13569,Cystic fibrosis transmembrane conductance regulator,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0001195,Cystic fibrosis transmembrane conductance regulator,https://www.drugbank.ca/bio_entities/BE0001195,9606,Homo sapiens (human)
Activator,47936,"Hansen TVO, Rehfeld JF, Nielsen FC. KCl and forskolin synergistically up-regulate cholecystokinin gene expression via coordinate activation of CREB and the co-activator CBP. Journal of Neurochemistry. 2004 Mar 10;89(1):15–23. doi: 10.1046/j.1471-4159.2003.02252.x.",Forskolin,DrugBank,PMID:15030385,https://www.ncbi.nlm.nih.gov/pubmed/15030385,1387,CREBBP,1646119,,15030385,Q92793,CREB-binding protein,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0004367,CREB-binding protein,https://www.drugbank.ca/bio_entities/BE0004367,9606,Homo sapiens (human)
,47936,"Sipes NS, Martin MT, Kothiya P, Reif DM, Judson RS, Richard AM, Houck KA, Dix DJ, Kavlock RJ, Knudsen TB: Profiling 976 ToxCast chemicals across 331 enzymatic and receptor signaling assays. Chem Res Toxicol. 2013 Jun 17;26(6):878-95. doi: 10.1021/tx400021f. Epub 2013 May 16.",Forskolin,Toxin and Toxin Target Database (T3DB),PMID:23611293,https://www.ncbi.nlm.nih.gov/pubmed/23611293,1588,CYP19A1,5929097,PMC3685188,23611293,P11511,Aromatase,T3D4827,Forskolin,http://www.t3db.ca/toxins/T3D4827,BE0002090,Cytochrome P450 19A1,http://www.t3db.ca/biodb/bio_entities/BE0002090,9606,Homo sapiens (human)
