action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Partial agonist,pKi,5.1,5910,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Pilocarpine,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1131,CHRM3,5669298|7007058,PMC1510344,7620715|9224827,P20309,Muscarinic acetylcholine receptor M3,305,pilocarpine,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=305,15,M3 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=15,9606,Homo sapiens (human)
Muscarinic acetylcholine receptor M3 agonist,,,5910,"Nickla DL, Zhu X, Wallman J. Effects of muscarinic agents on chick choroids in intact eyes and eyecups: evidence for a muscarinic mechanism in choroidal thinning. Ophthalmic Physiol Opt. 2013 May;33(3):245–56. PMID: 23662958; PMCID: PMC3762223.|Fox RI, Konttinen Y, Fisher A. Use of muscarinic agonists in the treatment of Sjögren's syndrome. Clin Immunol. 2001 Dec;101(3):249–63. doi: 10.1006/clim.2001.5128. PMID: 11726216.|Fraunfelder FT, Shell JW, Herbst SF. Effect of pilocarpine ocular therapeutic systems on diurnal control of intraocular pressure. Ann Ophthalmol. 1976 Sep;8(9):1031–9. PMID: 970853.",Pilocarpine,,ChEMBL,PMID:970853|PMID:23662958|PMID:11726216,https://www.ncbi.nlm.nih.gov/pubmed/970853|https://www.ncbi.nlm.nih.gov/pubmed/23662958|https://www.ncbi.nlm.nih.gov/pubmed/11726216,1131,CHRM3,13180386|17710323|24228657,PMC3762223,970853|23662958|11726216,P20309,Muscarinic acetylcholine receptor M3,CHEMBL550,PILOCARPINE,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL550,CHEMBL245,Muscarinic acetylcholine receptor M3,https://www.ebi.ac.uk/chembl/explore/target/CHEMBL245,9606,Homo sapiens (human)
AGONIST,EC50,6.97,5910,"Šantrucková E, Doležal V, El-Fakahany EE, Jakubík J. Long-Term Activation upon Brief Exposure to Xanomleline Is Unique to M1 and M4 Subtypes of Muscarinic Acetylcholine Receptors. PLoS ONE. 2014 Feb 18;9(2):e88910. doi: 10.1371/journal.pone.0088910.",Pilocarpine,10.1371/journal.pone.0088910,DrugCentral,PMID:24558448|DOI:10.1371/journal.pone.0088910,https://www.ncbi.nlm.nih.gov/pubmed/24558448|https://doi.org/10.1371/journal.pone.0088910,1131,CHRM3,31672617,PMC3928307,24558448,P20309,Muscarinic acetylcholine receptor M3,2166,pilocarpine,https://drugcentral.org/drugcard/2166,115,Muscarinic acetylcholine receptor M3,https://drugcentral.org/target/P20309/view,9606,Homo sapiens (human)
Agonist,,,5910,"Pronin AN, Wang Q, Slepak VZ: Teaching an Old Drug New Tricks: Agonism, Antagonism, and Biased Signaling of Pilocarpine through M3 Muscarinic Acetylcholine Receptor. Mol Pharmacol. 2017 Nov;92(5):601-612. doi: 10.1124/mol.117.109678. Epub 2017 Sep 11.|Wang H, Shi H, Lu Y, Yang B, Wang Z. Pilocarpine modulates the cellular electrical properties of mammalian hearts by activating a cardiac M<sub>3</sub> receptor and a K<sup>+</sup> current. British J Pharmacology. 1999 Apr;126(8):1725–34. doi: 10.1038/sj.bjp.0702486.|Panarese V, Moshirfar M: Pilocarpine. .",Pilocarpine,,DrugBank,PMID:10372814|PMID:28893976|PMID:32310588,https://www.ncbi.nlm.nih.gov/pubmed/10372814|https://www.ncbi.nlm.nih.gov/pubmed/28893976|https://www.ncbi.nlm.nih.gov/pubmed/32310588,1131,CHRM3,4277821|27717746|900336555,PMC1565960|PMC5635516,10372814|28893976|32310588,P20309,Muscarinic acetylcholine receptor M3,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0000045,Muscarinic acetylcholine receptor M3,https://www.drugbank.ca/bio_entities/BE0000045,9606,Homo sapiens (human)
AGONIST,EC50,7.15,5910,"Šantrucková E, Doležal V, El-Fakahany EE, Jakubík J. Long-Term Activation upon Brief Exposure to Xanomleline Is Unique to M1 and M4 Subtypes of Muscarinic Acetylcholine Receptors. PLoS ONE. 2014 Feb 18;9(2):e88910. doi: 10.1371/journal.pone.0088910.",Pilocarpine,10.1371/journal.pone.0088910,DrugCentral,PMID:24558448|DOI:10.1371/journal.pone.0088910,https://www.ncbi.nlm.nih.gov/pubmed/24558448|https://doi.org/10.1371/journal.pone.0088910,1132,CHRM4,31672617,PMC3928307,24558448,P08173,Muscarinic acetylcholine receptor M4,2166,pilocarpine,https://drugcentral.org/drugcard/2166,116,Muscarinic acetylcholine receptor M4,https://drugcentral.org/target/P08173/view,9606,Homo sapiens (human)
,,,5910,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.",Pilocarpine,,Toxin and Toxin Target Database (T3DB),PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/9224827,1132,CHRM4,5669298,,9224827,P08173,Muscarinic acetylcholine receptor M4,T3D2979,Pilocarpine,http://www.t3db.ca/toxins/T3D2979,BE0000405,Muscarinic acetylcholine receptor M4,http://www.t3db.ca/biodb/bio_entities/BE0000405,9606,Homo sapiens (human)
Partial agonist,pKi,5.2,5910,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Pilocarpine,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1132,CHRM4,5669298|7007058,PMC1510344,7620715|9224827,P08173,Muscarinic acetylcholine receptor M4,305,pilocarpine,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=305,16,M4 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=16,9606,Homo sapiens (human)
Partial agonist,,,5910,"Pronin AN, Wang Q, Slepak VZ: Teaching an Old Drug New Tricks: Agonism, Antagonism, and Biased Signaling of Pilocarpine through M3 Muscarinic Acetylcholine Receptor. Mol Pharmacol. 2017 Nov;92(5):601-612. doi: 10.1124/mol.117.109678. Epub 2017 Sep 11.|Panarese V, Moshirfar M: Pilocarpine. .",Pilocarpine,,DrugBank,PMID:28893976|PMID:32310588,https://www.ncbi.nlm.nih.gov/pubmed/28893976|https://www.ncbi.nlm.nih.gov/pubmed/32310588,1132,CHRM4,27717746|900336555,PMC5635516,28893976|32310588,P08173,Muscarinic acetylcholine receptor M4,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0000405,Muscarinic acetylcholine receptor M4,https://www.drugbank.ca/bio_entities/BE0000405,9606,Homo sapiens (human)
Agonist,,,5910,,Pilocarpine,,Therapeutic Target Database (TTD),,,1133,CHRM5,,,,P08912,Muscarinic acetylcholine receptor M5,D06HLY,Pilocarpine,https://ttd.idrblab.cn/data/drug/details/D06HLY,T79961,Muscarinic acetylcholine receptor M5 (CHRM5),https://ttd.idrblab.cn/data/target/details/T79961,9606,Homo sapiens (human)
AGONIST,EC50,7,5910,"Šantrucková E, Doležal V, El-Fakahany EE, Jakubík J. Long-Term Activation upon Brief Exposure to Xanomleline Is Unique to M1 and M4 Subtypes of Muscarinic Acetylcholine Receptors. PLoS ONE. 2014 Feb 18;9(2):e88910. doi: 10.1371/journal.pone.0088910.",Pilocarpine,10.1371/journal.pone.0088910,DrugCentral,PMID:24558448|DOI:10.1371/journal.pone.0088910,https://www.ncbi.nlm.nih.gov/pubmed/24558448|https://doi.org/10.1371/journal.pone.0088910,1133,CHRM5,31672617,PMC3928307,24558448,P08912,Muscarinic acetylcholine receptor M5,2166,pilocarpine,https://drugcentral.org/drugcard/2166,117,Muscarinic acetylcholine receptor M5,https://drugcentral.org/target/P08912/view,9606,Homo sapiens (human)
