action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Antagonist,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,DrugBank,PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1131,CHRM3,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P20309,Muscarinic acetylcholine receptor M3,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000045,Muscarinic acetylcholine receptor M3,https://www.drugbank.ca/bio_entities/BE0000045,9606,Homo sapiens (human)
,Ki,7,4011,,Maprotiline,,DrugCentral,,,1131,CHRM3,,,,P20309,Muscarinic acetylcholine receptor M3,1634,maprotiline,https://drugcentral.org/drugcard/1634,115,Muscarinic acetylcholine receptor M3,https://drugcentral.org/target/P20309/view,9606,Homo sapiens (human)
,Ki,7.237,4011,,Maprotiline,,DrugCentral,,,1132,CHRM4,,,,P08173,Muscarinic acetylcholine receptor M4,1634,maprotiline,https://drugcentral.org/drugcard/1634,116,Muscarinic acetylcholine receptor M4,https://drugcentral.org/target/P08173/view,9606,Homo sapiens (human)
Antagonist,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,DrugBank,PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1132,CHRM4,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P08173,Muscarinic acetylcholine receptor M4,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000405,Muscarinic acetylcholine receptor M4,https://www.drugbank.ca/bio_entities/BE0000405,9606,Homo sapiens (human)
,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1132,CHRM4,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P08173,Muscarinic acetylcholine receptor M4,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000405,Muscarinic acetylcholine receptor M4,http://www.t3db.ca/biodb/bio_entities/BE0000405,9606,Homo sapiens (human)
,Ki,6.939,4011,,Maprotiline,,DrugCentral,,,1133,CHRM5,,,,P08912,Muscarinic acetylcholine receptor M5,1634,maprotiline,https://drugcentral.org/drugcard/1634,117,Muscarinic acetylcholine receptor M5,https://drugcentral.org/target/P08912/view,9606,Homo sapiens (human)
Antagonist,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,DrugBank,PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1133,CHRM5,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P08912,Muscarinic acetylcholine receptor M5,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000247,Muscarinic acetylcholine receptor M5,https://www.drugbank.ca/bio_entities/BE0000247,9606,Homo sapiens (human)
,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1133,CHRM5,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P08912,Muscarinic acetylcholine receptor M5,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000247,Muscarinic acetylcholine receptor M5,http://www.t3db.ca/biodb/bio_entities/BE0000247,9606,Homo sapiens (human)
Substrate,,,4011,"Brachtendorf L, Jetter A, Beckurts KT, Hölscher AH, Fuhr U. Cytochrome P450 enzymes contributing to demethylation of maprotiline in man. Pharmacol Toxicol. 2002 Mar;90(3):144–9. doi: 10.1034/j.1600-0773.2002.900306.x. PMID: 12071336.",Maprotiline,,DrugBank,PMID:12071336,https://www.ncbi.nlm.nih.gov/pubmed/12071336,1544,CYP1A2,21310286,,12071336,P05177,Cytochrome P450 1A2,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0002433,Cytochrome P450 1A2,https://www.drugbank.ca/bio_entities/BE0002433,9606,Homo sapiens (human)
Substrate,,,4011,"Brachtendorf L, Jetter A, Beckurts KT, Hölscher AH, Fuhr U. Cytochrome P450 enzymes contributing to demethylation of maprotiline in man. Pharmacol Toxicol. 2002 Mar;90(3):144–9. doi: 10.1034/j.1600-0773.2002.900306.x. PMID: 12071336.|Firkusny L, Gleiter C. Maprotiline metabolism appears to co-segregate with the genetically- determined CYP2D6 polymorphic hydroxylation of debrisoquine. Brit J Clinical Pharma. 1994 Apr;37(4):383–8. doi: 10.1111/j.1365-2125.1994.tb04293.x.",Maprotiline,,DrugBank,PMID:8018460|PMID:12071336,https://www.ncbi.nlm.nih.gov/pubmed/8018460|https://www.ncbi.nlm.nih.gov/pubmed/12071336,1565,CYP2D6,7717851|21310286,PMC1364740,8018460|12071336,P10635,Cytochrome P450 2D6,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0002363,Cytochrome P450 2D6,https://www.drugbank.ca/bio_entities/BE0002363,9606,Homo sapiens (human)
,IC50,5.364,4011,,Maprotiline,,DrugCentral,,,1576,CYP3A4,,,,P08684,Cytochrome P450 3A4,1634,maprotiline,https://drugcentral.org/drugcard/1634,95,Cytochrome P450 3A4,https://drugcentral.org/target/P08684/view,9606,Homo sapiens (human)
,Ki,6.308,4011,,Maprotiline,,DrugCentral,,,1812,DRD1,,,,P21728,D(1A) dopamine receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,82,D(1A) dopamine receptor,https://drugcentral.org/target/P21728/view,9606,Homo sapiens (human)
,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,1813,DRD2,11731204,,6086881,P14416,D(2) dopamine receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000756,D(2) dopamine receptor,http://www.t3db.ca/biodb/bio_entities/BE0000756,9606,Homo sapiens (human)
Binder,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,DrugBank,PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,1813,DRD2,11731204,,6086881,P14416,D(2) dopamine receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000756,D(2) dopamine receptor,https://www.drugbank.ca/bio_entities/BE0000756,9606,Homo sapiens (human)
,Ki,6.177,4011,,Maprotiline,,DrugCentral,,,1813,DRD2,,,,P14416,D(2) dopamine receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,83,D(2) dopamine receptor,https://drugcentral.org/target/P14416/view,9606,Homo sapiens (human)
,Ki,6.298,4011,,Maprotiline,,DrugCentral,,,1814,DRD3,,,,P35462,D(3) dopamine receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,108,D(3) dopamine receptor,https://drugcentral.org/target/P35462/view,9606,Homo sapiens (human)
,Ki,6.367,4011,,Maprotiline,,DrugCentral,,,1816,DRD5,,,,P21918,D(1B) dopamine receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,109,D(1B) dopamine receptor,https://drugcentral.org/target/P21918/view,9606,Homo sapiens (human)
"Maprotiline exerts its antidepressant action by inhibition of presynaptic uptake of catecholamines, thereby increasing their concentration at the synaptic clefts of the brain. in single doses, the effect of maprotiline on the EEG revealed a rise in the alpha-wave density, a reduction of the alpha-wave frequency and an increase in the alpha-wave amplitude. however, as with other tricyclic antidepressants, maprotiline lowers the convulsive threshold. maprotiline acts as an antagonist at central presynaptic α2 adrenergic inhibitory autoreceptors and hetero-receptors, an action that is postulated to result in an increase in central noradrenergic and serotonergic activity. maprotiline is also a moderate peripheral α1 adrenergic antagonist, which may explain the occasional orthostatic hypotension reported in association with its use. maprotiline also inhibits the amine transporter, delaying the reuptake of noradrenaline and norepinephrine. lastly, maprotiline is a strong inhibitor of the histamine H1 receptor, which explains its sedative actions.",,,4011,"von Coburg Y, Kottke T, Weizel L, Ligneau X, Stark H: Potential utility of histamine H3 receptor antagonist pharmacophore in antipsychotics. Bioorg Med Chem Lett. 2009 Jan 15;19(2):538-42. doi: 10.1016/j.bmcl.2008.09.012.  Epub 2008 Sep 7.|Noguchi S, Inukai T, Kuno T, Tanaka C. The suppression of olfactory bulbectomy-induced muricide by antidepressants and antihistamines via histamine H1 receptor blocking. Physiol Behav. 1992 Jun;51(6):1123–7. doi: 10.1016/0031-9384(92)90297-f. PMID: 1353628.|Kanba S, Richelson E. Histamine H1 receptors in human brain labelled with [3H]doxepin. Brain Res. 1984 Jun 18;304(1):1–7. doi: 10.1016/0006-8993(84)90856-4. PMID: 6146381.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:1353628|PMID:19091563|PMID:6146381,https://www.ncbi.nlm.nih.gov/pubmed/1353628|https://www.ncbi.nlm.nih.gov/pubmed/19091563|https://www.ncbi.nlm.nih.gov/pubmed/6146381,3269,HRH1,7003302|8934521|27518208,,1353628|19091563|6146381,P35367,Histamine H1 receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000442,Histamine H1 receptor,http://www.t3db.ca/biodb/bio_entities/BE0000442,9606,Homo sapiens (human)
Antagonist,,,4011,"Liu T, Hwang L, Burley SK, Nitsche CI, Southan C, Walters WP, Gilson MK. BindingDB in 2024: a FAIR knowledgebase of protein-small molecule binding data. Nucleic Acids Res. 2025 Jan 06;53(D1):D1633–44. PMID: 39574417; PMCID: PMC11701568.|Noguchi S, Inukai T, Kuno T, Tanaka C. The suppression of olfactory bulbectomy-induced muricide by antidepressants and antihistamines via histamine H1 receptor blocking. Physiol Behav. 1992 Jun;51(6):1123–7. doi: 10.1016/0031-9384(92)90297-f. PMID: 1353628.|Kanba S, Richelson E. Histamine H1 receptors in human brain labelled with [3H]doxepin. Brain Res. 1984 Jun 18;304(1):1–7. doi: 10.1016/0006-8993(84)90856-4. PMID: 6146381.|CAVERO I, LEFÈVRE-BORG F, ROACH AG. EFFECTS OF MIANSERIN, DESIPRAMINE AND MAPROTILINE ON BLOOD PRESSURE RESPONSES EVOKED BY ACETYLCHOLINE, HISTAMINE AND 5-HYDROXYTRYPTAMINE IN RATS. British J Pharmacology. 1981 Sep;74(1):143–8. doi: 10.1111/j.1476-5381.1981.tb09966.x.",Maprotiline,,DrugBank,PMID:6115693|PMID:39574417|PMID:1353628|PMID:6146381,https://www.ncbi.nlm.nih.gov/pubmed/6115693|https://www.ncbi.nlm.nih.gov/pubmed/39574417|https://www.ncbi.nlm.nih.gov/pubmed/1353628|https://www.ncbi.nlm.nih.gov/pubmed/6146381,3269,HRH1,6312329|7003302|8934521|38017294,PMC11701568|PMC2071890,6115693|39574417|1353628|6146381,P35367,Histamine H1 receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000442,Histamine H1 receptor,https://www.drugbank.ca/bio_entities/BE0000442,9606,Homo sapiens (human)
,Ki,8.777,4011,,Maprotiline,,DrugCentral,,,3269,HRH1,,,,P35367,Histamine H1 receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,110,Histamine H1 receptor,https://drugcentral.org/target/P35367/view,9606,Homo sapiens (human)
,Ki,6.406,4011,,Maprotiline,,DrugCentral,,,3274,HRH2,,,,P25021,Histamine H2 receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,111,Histamine H2 receptor,https://drugcentral.org/target/P25021/view,9606,Homo sapiens (human)
,Ki,6.921,4011,,Maprotiline,,DrugCentral,,,3356,HTR2A,,,,P28223,5-hydroxytryptamine receptor 2A,1634,maprotiline,https://drugcentral.org/drugcard/1634,101,5-hydroxytryptamine receptor 2A,https://drugcentral.org/target/P28223/view,9606,Homo sapiens (human)
,,,4011,"Peroutka SJ, Lebovitz RM, Snyder SH. Two distinct central serotonin receptors with different physiological functions. Science. 1981 May 15;212(4496):827–9. doi: 10.1126/science.7221567. PMID: 7221567.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:7221567,https://www.ncbi.nlm.nih.gov/pubmed/7221567,3356,HTR2A,30674428,,7221567,P28223,5-hydroxytryptamine receptor 2A,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000451,5-hydroxytryptamine receptor 2A,http://www.t3db.ca/biodb/bio_entities/BE0000451,9606,Homo sapiens (human)
Binder,,,4011,"Peroutka SJ, Lebovitz RM, Snyder SH. Two distinct central serotonin receptors with different physiological functions. Science. 1981 May 15;212(4496):827–9. doi: 10.1126/science.7221567. PMID: 7221567.",Maprotiline,,DrugBank,PMID:7221567,https://www.ncbi.nlm.nih.gov/pubmed/7221567,3356,HTR2A,30674428,,7221567,P28223,5-hydroxytryptamine receptor 2A,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000451,5-hydroxytryptamine receptor 2A,https://www.drugbank.ca/bio_entities/BE0000451,9606,Homo sapiens (human)
,Ki,6.67,4011,,Maprotiline,,DrugCentral,,,3357,HTR2B,,,,P41595,5-hydroxytryptamine receptor 2B,1634,maprotiline,https://drugcentral.org/drugcard/1634,102,5-hydroxytryptamine receptor 2B,https://drugcentral.org/target/P41595/view,9606,Homo sapiens (human)
,Ki,7.387,4011,,Maprotiline,,DrugCentral,,,3358,HTR2C,,,,P28335,5-hydroxytryptamine receptor 2C,1634,maprotiline,https://drugcentral.org/drugcard/1634,103,5-hydroxytryptamine receptor 2C,https://drugcentral.org/target/P28335/view,9606,Homo sapiens (human)
,,,4011,"Peroutka SJ, Lebovitz RM, Snyder SH. Two distinct central serotonin receptors with different physiological functions. Science. 1981 May 15;212(4496):827–9. doi: 10.1126/science.7221567. PMID: 7221567.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:7221567,https://www.ncbi.nlm.nih.gov/pubmed/7221567,3358,HTR2C,30674428,,7221567,P28335,5-hydroxytryptamine receptor 2C,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000533,5-hydroxytryptamine receptor 2C,http://www.t3db.ca/biodb/bio_entities/BE0000533,9606,Homo sapiens (human)
Binder,,,4011,"Peroutka SJ, Lebovitz RM, Snyder SH. Two distinct central serotonin receptors with different physiological functions. Science. 1981 May 15;212(4496):827–9. doi: 10.1126/science.7221567. PMID: 7221567.",Maprotiline,,DrugBank,PMID:7221567,https://www.ncbi.nlm.nih.gov/pubmed/7221567,3358,HTR2C,30674428,,7221567,P28335,5-hydroxytryptamine receptor 2C,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000533,5-hydroxytryptamine receptor 2C,https://www.drugbank.ca/bio_entities/BE0000533,9606,Homo sapiens (human)
,Ki,6.383,4011,,Maprotiline,,DrugCentral,,,3362,HTR6,,,,P50406,5-hydroxytryptamine receptor 6,1634,maprotiline,https://drugcentral.org/drugcard/1634,104,5-hydroxytryptamine receptor 6,https://drugcentral.org/target/P50406/view,9606,Homo sapiens (human)
Antagonist,,,4011,"Lucchelli A, Santagostino-Barbone MG, D'Agostino G, Masoero E, Tonini M. The interaction of antidepressant drugs with enteric 5-HT7 receptors. Naunyn Schmiedebergs Arch Pharmacol. 2000 Sep;362(3):284–9. doi: 10.1007/s002100000295. PMID: 10997731.",Maprotiline,,DrugBank,PMID:10997731,https://www.ncbi.nlm.nih.gov/pubmed/10997731,3363,HTR7,21965675,,10997731,P34969,5-hydroxytryptamine receptor 7,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000650,5-hydroxytryptamine receptor 7,https://www.drugbank.ca/bio_entities/BE0000650,9606,Homo sapiens (human)
,,,4011,"Lucchelli A, Santagostino-Barbone MG, D'Agostino G, Masoero E, Tonini M. The interaction of antidepressant drugs with enteric 5-HT7 receptors. Naunyn Schmiedebergs Arch Pharmacol. 2000 Sep;362(3):284–9. doi: 10.1007/s002100000295. PMID: 10997731.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:10997731,https://www.ncbi.nlm.nih.gov/pubmed/10997731,3363,HTR7,21965675,,10997731,P34969,5-hydroxytryptamine receptor 7,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000650,5-hydroxytryptamine receptor 7,http://www.t3db.ca/biodb/bio_entities/BE0000650,9606,Homo sapiens (human)
"Maprotiline exerts its antidepressant action by inhibition of presynaptic uptake of catecholamines, thereby increasing their concentration at the synaptic clefts of the brain. in single doses, the effect of maprotiline on the EEG revealed a rise in the alpha-wave density, a reduction of the alpha-wave frequency and an increase in the alpha-wave amplitude. however, as with other tricyclic antidepressants, maprotiline lowers the convulsive threshold. maprotiline acts as an antagonist at central presynaptic α2 adrenergic inhibitory autoreceptors and hetero-receptors, an action that is postulated to result in an increase in central noradrenergic and serotonergic activity. maprotiline is also a moderate peripheral α1 adrenergic antagonist, which may explain the occasional orthostatic hypotension reported in association with its use. maprotiline also inhibits the amine transporter, delaying the reuptake of noradrenaline and norepinephrine. lastly, maprotiline is a strong inhibitor of the histamine H1 receptor, which explains its sedative actions.",,,4011,,Maprotiline,,Toxin and Toxin Target Database (T3DB),,,4129,MAOB,,,,P27338,Amine oxidase [flavin-containing] B,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0002196,Amine oxidase [flavin-containing] B,http://www.t3db.ca/biodb/bio_entities/BE0002196,9606,Homo sapiens (human)
,,,4011,"Eap CB, Cuendet C, Baumann P. Selectivity in the binding of psychotropic drugs to the variants of alpha-1 acid glycoprotein. Naunyn Schmiedebergs Arch Pharmacol. 1988 Feb;337(2):220–4. doi: 10.1007/bf00169251. PMID: 3368020.|Ferry DG, Caplan NB, Cubeddu LX. Interaction Between Antidepressants and Alpha1-Adrenergic Receptor Antagonists on the Binding to Alpha1-Acid Glycoprotein. Journal of Pharmaceutical Sciences. 1986 Feb;75(2):146–9. doi: 10.1002/jps.2600750208.|Lynn K, Braithwaite R, Dawling S, Rosser R. Comparison of the serum protein binding of maprotiline and phenytoin in uraemic patients on haemodialysis. European Journal of Clinical Pharmacology. 1981 Jan;19(1):73–7. doi: 10.1007/bf00558388.",Maprotiline,,DrugBank,PMID:2870173|PMID:7461027|PMID:3368020,https://www.ncbi.nlm.nih.gov/pubmed/2870173|https://www.ncbi.nlm.nih.gov/pubmed/7461027|https://www.ncbi.nlm.nih.gov/pubmed/3368020,5004,ORM1,8980299|15032924|21214961,,2870173|7461027|3368020,P02763,Alpha-1-acid glycoprotein 1,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000925,Alpha-1-acid glycoprotein 1,https://www.drugbank.ca/bio_entities/BE0000925,9606,Homo sapiens (human)
"Maprotiline exerts its antidepressant action by inhibition of presynaptic uptake of catecholamines, thereby increasing their concentration at the synaptic clefts of the brain. in single doses, the effect of maprotiline on the EEG revealed a rise in the alpha-wave density, a reduction of the alpha-wave frequency and an increase in the alpha-wave amplitude. however, as with other tricyclic antidepressants, maprotiline lowers the convulsive threshold. maprotiline acts as an antagonist at central presynaptic α2 adrenergic inhibitory autoreceptors and hetero-receptors, an action that is postulated to result in an increase in central noradrenergic and serotonergic activity. maprotiline is also a moderate peripheral α1 adrenergic antagonist, which may explain the occasional orthostatic hypotension reported in association with its use. maprotiline also inhibits the amine transporter, delaying the reuptake of noradrenaline and norepinephrine. lastly, maprotiline is a strong inhibitor of the histamine H1 receptor, which explains its sedative actions.",,,4011,"Heffernan GD, Coghlan RD, Manas ES, McDevitt RE, Li Y, Mahaney PE, Robichaud AJ, Huselton C, Alfinito P, Bray JA, Cosmi SA, Johnston GH, Kenney T, Koury E, Winneker RC, Deecher DC, Trybulski EJ: Dual acting norepinephrine reuptake inhibitors and 5-HT(2A) receptor antagonists: Identification, synthesis and activity of novel 4-aminoethyl-3-(phenylsulfonyl)-1H-indoles. Bioorg Med Chem. 2009 Nov 15;17(22):7802-15. doi: 10.1016/j.bmc.2009.09.023. Epub 2009 Sep 18.|Saba W, Valette H, Schöllhorn-Peyronneau MA, Coulon C, Ottaviani M, Chalon S, Dolle F, Emond P, Halldin C, Helfenbein J, Madelmont JC, Deloye JB, Guilloteau D, Bottlaender M. [11C]LBT-999: a suitable radioligand for investigation of extra-striatal dopamine transporter with PET. Synapse. 2007 Jan;61(1):17–23. doi: 10.1002/syn.20337. PMID: 17068778.|Arai S, Morita K, Kitayama S, Kumagai K, Kumagai M, Kihira K, Dohi T. Chronic inhibition of the norepinephrine transporter in the brain participates in seizure sensitization to cocaine and local anesthetics. Brain Res. 2003 Feb 21;964(1):83–90. doi: 10.1016/s0006-8993(02)04068-4. PMID: 12573515.|Tatsumi M, Groshan K, Blakely RD, Richelson E. Pharmacological profile of antidepressants and related compounds at human monoamine transporters. Eur J Pharmacol. 1997 Dec 11;340(2-3):249–58. doi: 10.1016/s0014-2999(97)01393-9. PMID: 9537821.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:17068778|PMID:12573515|PMID:9537821|PMID:19836247,https://www.ncbi.nlm.nih.gov/pubmed/17068778|https://www.ncbi.nlm.nih.gov/pubmed/12573515|https://www.ncbi.nlm.nih.gov/pubmed/9537821|https://www.ncbi.nlm.nih.gov/pubmed/19836247,6530,SLC6A2,205046|7209314|15210122|30920659,,17068778|12573515|9537821|19836247,P23975,Sodium-dependent noradrenaline transporter,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000486,Sodium-dependent noradrenaline transporter,http://www.t3db.ca/biodb/bio_entities/BE0000486,9606,Homo sapiens (human)
