action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Antagonist,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,DrugBank,PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,150,ADRA2A,11731204,,6086881,P08913,Alpha-2A adrenergic receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0004864,Alpha-2A adrenergic receptor,https://www.drugbank.ca/bio_entities/BE0004864,9606,Homo sapiens (human)
,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,150,ADRA2A,11731204,,6086881,P08913,Alpha-2A adrenergic receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0004864,Alpha-2 adrenergic receptor,http://www.t3db.ca/biodb/bio_entities/BE0004864,9606,Homo sapiens (human)
,Ki,6.876,4011,,Maprotiline,,DrugCentral,,,151,ADRA2B,,,,P18089,Alpha-2B adrenergic receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,107,Alpha-2B adrenergic receptor,https://drugcentral.org/target/P18089/view,9606,Homo sapiens (human)
,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,151,ADRA2B,11731204,,6086881,P18089,Alpha-2B adrenergic receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0004864,Alpha-2 adrenergic receptor,http://www.t3db.ca/biodb/bio_entities/BE0004864,9606,Homo sapiens (human)
Antagonist,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,DrugBank,PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,151,ADRA2B,11731204,,6086881,P18089,Alpha-2B adrenergic receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0004864,Alpha-2B adrenergic receptor,https://www.drugbank.ca/bio_entities/BE0004864,9606,Homo sapiens (human)
,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,152,ADRA2C,11731204,,6086881,P18825,Alpha-2C adrenergic receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0004864,Alpha-2 adrenergic receptor,http://www.t3db.ca/biodb/bio_entities/BE0004864,9606,Homo sapiens (human)
Antagonist,,,4011,"Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,DrugBank,PMID:6086881,https://www.ncbi.nlm.nih.gov/pubmed/6086881,152,ADRA2C,11731204,,6086881,P18825,Alpha-2C adrenergic receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0004864,Alpha-2C adrenergic receptor,https://www.drugbank.ca/bio_entities/BE0004864,9606,Homo sapiens (human)
,Ki,6.355,4011,,Maprotiline,,DrugCentral,,,152,ADRA2C,,,,P18825,Alpha-2C adrenergic receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,132,Alpha-2C adrenergic receptor,https://drugcentral.org/target/P18825/view,9606,Homo sapiens (human)
,IC50,5.854,4011,,Maprotiline,,DrugCentral,,,316,AOX1,,,,Q06278,Aldehyde oxidase,1634,maprotiline,https://drugcentral.org/drugcard/1634,118,Aldehyde oxidase,https://drugcentral.org/target/Q06278/view,9606,Homo sapiens (human)
,IC50,5,4011,,Maprotiline,,DrugCentral,,,774,CACNA1B,,,,Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B,1634,maprotiline,https://drugcentral.org/drugcard/1634,843,Voltage-dependent N-type calcium channel subunit alpha-1B,https://drugcentral.org/target/Q00975/view,9606,Homo sapiens (human)
,Ki,6.845,4011,,Maprotiline,,DrugCentral,,,1128,CHRM1,,,,P11229,Muscarinic acetylcholine receptor M1,1634,maprotiline,https://drugcentral.org/drugcard/1634,113,Muscarinic acetylcholine receptor M1,https://drugcentral.org/target/P11229/view,9606,Homo sapiens (human)
Antagonist,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,DrugBank,PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1128,CHRM1,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P11229,Muscarinic acetylcholine receptor M1,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000092,Muscarinic acetylcholine receptor M1,https://www.drugbank.ca/bio_entities/BE0000092,9606,Homo sapiens (human)
,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1128,CHRM1,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P11229,Muscarinic acetylcholine receptor M1,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000092,Muscarinic acetylcholine receptor M1,http://www.t3db.ca/biodb/bio_entities/BE0000092,9606,Homo sapiens (human)
,Ki,6.164,4011,,Maprotiline,,DrugCentral,,,1129,CHRM2,,,,P08172,Muscarinic acetylcholine receptor M2,1634,maprotiline,https://drugcentral.org/drugcard/1634,114,Muscarinic acetylcholine receptor M2,https://drugcentral.org/target/P08172/view,9606,Homo sapiens (human)
,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1129,CHRM2,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P08172,Muscarinic acetylcholine receptor M2,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000560,Muscarinic acetylcholine receptor M2,http://www.t3db.ca/biodb/bio_entities/BE0000560,9606,Homo sapiens (human)
Antagonist,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,DrugBank,PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1129,CHRM2,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P08172,Muscarinic acetylcholine receptor M2,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0000560,Muscarinic acetylcholine receptor M2,https://www.drugbank.ca/bio_entities/BE0000560,9606,Homo sapiens (human)
,,,4011,"El-Fakahany E, Richelson E. Antagonism by antidepressants of muscarinic acetylcholine receptors of human brain. Br J Pharmacol. 1983 Jan;78(1):97–102. PMID: 6297650; PMCID: PMC2044798.|Doggrell SA, Vincent L. The postsynaptic effects of antidepressant drugs in the rat anococcygeus muscle. J Pharm Pharmacol. 1981 Nov;33(11):720–4. doi: 10.1111/j.2042-7158.1981.tb13912.x. PMID: 6118411.|GOLDS PR, PRZYSLO FR, STRANGE PG. THE BINDING OF SOME ANTIDEPRESSANT DRUGS TO BRAIN MUSCARINIC ACETYLCHOLINE RECEPTORS. British J Pharmacology. 1980 Mar;68(3):541–9. doi: 10.1111/j.1476-5381.1980.tb14570.x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:7052344|PMID:6297650|PMID:6118411,https://www.ncbi.nlm.nih.gov/pubmed/7052344|https://www.ncbi.nlm.nih.gov/pubmed/6297650|https://www.ncbi.nlm.nih.gov/pubmed/6118411,1131,CHRM3,4919338|6315046|31318230,PMC2044199|PMC2044798,7052344|6297650|6118411,P20309,Muscarinic acetylcholine receptor M3,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000045,Muscarinic acetylcholine receptor M3,http://www.t3db.ca/biodb/bio_entities/BE0000045,9606,Homo sapiens (human)
