action,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Muscarinic acetylcholine receptor M3 agonist,5831,"Duncan G, Collison DJ. Role of the non-neuronal cholinergic system in the eye: a review. Life Sci. 2003 Mar 28;72(18-19):2013–9. doi: 10.1016/s0024-3205(03)00064-x. PMID: 12628451.|Hung PT, Hsieh JW, Chiou GC. Ocular hypotensive effects of N-demethylated carbachol on open angle glaucoma. Arch Ophthalmol. 1982 Feb;100(2):262–4. doi: 10.1001/archopht.1982.01030030264005. PMID: 7065943.",Carbachol,ChEMBL,PMID:7065943|12628451,https://www.ncbi.nlm.nih.gov/pubmed/7065943|12628451,1131,CHRM3,21975032|31331815,7065943|12628451,P20309,Muscarinic acetylcholine receptor M3,CHEMBL14,CARBACHOL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL14,CHEMBL245,Muscarinic acetylcholine receptor M3,https://www.ebi.ac.uk/chembl/explore/target/CHEMBL245,9606,Homo sapiens (human)
Antagonist,5831,,Carbachol,Therapeutic Target Database (TTD),,,1135,CHRNA2,,,Q15822,Neuronal acetylcholine receptor subunit alpha-2,D0U7BW,Carbachol,https://ttd.idrblab.cn/data/drug/details/D0U7BW,T55815,Neuronal acetylcholine receptor alpha-2 (CHRNA2),https://ttd.idrblab.cn/data/target/details/T55815,9606,Homo sapiens (human)
