action,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Ginsenoside rb1 inhibits the reaction [TNFSF11 protein results in increased expression of TNF mrna],9898279,"Cheng B, Li J, Du J, Lv X, Weng L, Ling C. Ginsenoside Rb1 inhibits osteoclastogenesis by modulating NF-?B and MAPKs pathways. Food Chem Toxicol. 2012 May;50(5):1610–5. doi: 10.1016/j.fct.2012.02.019. PMID: 22386813.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:22386813,https://www.ncbi.nlm.nih.gov/pubmed/22386813,7124,TNF,24902658,,22386813,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,7124,TNF,https://ctdbase.org/detail.go?type=gene&acc=7124,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of and affects the localization of TFEB protein]|tfeb protein promotes the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PARK protein]]|tfeb protein promotes the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PINK1 protein]]|tfeb protein promotes the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of SQSTM1 protein]],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,7942,TFEB,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,7942,TFEB,https://ctdbase.org/detail.go?type=gene&acc=7942,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of TFEB mrna]|[ginsenoside rb1 co-treated with alpha-chlorohydrin] affects the localization of TFEB protein,9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,7942,TFEB,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,7942,TFEB,https://ctdbase.org/detail.go?type=gene&acc=7942,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [TNFSF11 protein affects the localization of RELA protein]|ginsenoside rb1 inhibits the reaction [TNFSF11 protein results in increased expression of NFATC1 mrna]|ginsenoside rb1 results in decreased susceptibility to TNFSF11 protein|ginsenoside rb1 inhibits the reaction [TNFSF11 protein results in increased expression of TNF mrna]|ginsenoside rb1 inhibits the reaction [TNFSF11 protein results in increased expression of FOS mrna],9898279,"Cheng B, Li J, Du J, Lv X, Weng L, Ling C. Ginsenoside Rb1 inhibits osteoclastogenesis by modulating NF-?B and MAPKs pathways. Food Chem Toxicol. 2012 May;50(5):1610–5. doi: 10.1016/j.fct.2012.02.019. PMID: 22386813.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:22386813,https://www.ncbi.nlm.nih.gov/pubmed/22386813,8600,TNFSF11,24902658,,22386813,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,8600,TNFSF11,https://ctdbase.org/detail.go?type=gene&acc=8600,10090,Mus musculus (house mouse)
TFEB protein promotes the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of SQSTM1 protein]]|cyclosporine inhibits the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of SQSTM1 protein]]|ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of SQSTM1 protein],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,8878,SQSTM1,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,8878,SQSTM1,https://ctdbase.org/detail.go?type=gene&acc=8878,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 results in decreased expression of SQSTM1 protein|ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of SQSTM1 protein],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,8878,SQSTM1,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,8878,SQSTM1,https://ctdbase.org/detail.go?type=gene&acc=8878,9606,Homo sapiens (human)
Inhibitor,9898279,"Jiang R, Dong J, Li X, Du F, Jia W, Xu F, Wang F, Yang J, Niu W, Li C. Molecular mechanisms governing different pharmacokinetics of ginsenosides and potential for ginsenoside-perpetrated herb–drug interactions on <scp>OATP</scp>1<scp>B</scp>3. British J Pharmacology. 2015 Jan 20;172(4):1059–73. doi: 10.1111/bph.12971.",Ginsenoside Rb1,DrugBank,PMID:25297453,https://www.ncbi.nlm.nih.gov/pubmed/25297453,28234,SLCO1B3,24278804,PMC4314195,25297453,Q9NPD5,Solute carrier organic anion transporter family member 1B3,DB06749,Ginsenoside Rb1,https://www.drugbank.ca/drugs/DB06749,BE0003659,Solute carrier organic anion transporter family member 1B3,https://www.drugbank.ca/bio_entities/BE0003659,9606,Homo sapiens (human)
Ginsenoside rb1 binds to and results in decreased activity of SLCO1B3 protein,9898279,"Jiang R, Dong J, Li X, Du F, Jia W, Xu F, Wang F, Yang J, Niu W, Li C. Molecular mechanisms governing different pharmacokinetics of ginsenosides and potential for ginsenoside-perpetrated herb–drug interactions on <scp>OATP</scp>1<scp>B</scp>3. British J Pharmacology. 2015 Jan 20;172(4):1059–73. doi: 10.1111/bph.12971.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:25297453,https://www.ncbi.nlm.nih.gov/pubmed/25297453,28234,SLCO1B3,24278804,PMC4314195,25297453,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,28234,SLCO1B3,https://ctdbase.org/detail.go?type=gene&acc=28234,9606,Homo sapiens (human)
TFEB protein promotes the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PARK protein]]|ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PARK protein]|cyclosporine inhibits the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PARK protein]],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,40336,park,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,40336,PARK,https://ctdbase.org/detail.go?type=gene&acc=40336,10090,Mus musculus (house mouse)
Ginsenoside rb1 results in increased activity of CAMKII protein,9898279,"Park JK, Namgung U, Lee CJ, Park JO, Jin SH, Kwon OB, Ko SR, Kim SW, Kang EJ, Ko JH, Lee SM, Kim DH, Won MH. Calcium-independent CaMKII activity is involved in ginsenoside Rb1-mediated neuronal recovery after hypoxic damage. Life Sci. 2005 Jan 14;76(9):1013–25. doi: 10.1016/j.lfs.2004.10.011. PMID: 15607330.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:15607330,https://www.ncbi.nlm.nih.gov/pubmed/15607330,43828,CaMKII,5089858,,15607330,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,43828,CAMKII,https://ctdbase.org/detail.go?type=gene&acc=43828,10116,Rattus norvegicus (Norway rat)
Cyclosporine inhibits the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PINK1 protein]]|tfeb protein promotes the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PINK1 protein]]|ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of PINK1 protein],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,65018,PINK1,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,65018,PINK1,https://ctdbase.org/detail.go?type=gene&acc=65018,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased cleavage of GSDMD protein]|cyclosporine inhibits the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased cleavage of GSDMD protein]],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,79792,GSDMD,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,79792,GSDMD,https://ctdbase.org/detail.go?type=gene&acc=79792,10090,Mus musculus (house mouse)
Ginsenoside rb1 promotes the reaction [alpha-chlorohydrin results in increased lipidation of and results in increased localization of MAP1LC3B protein]|cyclosporine inhibits the reaction [ginsenoside rb1 promotes the reaction [alpha-chlorohydrin results in increased lipidation of and results in increased localization of MAP1LC3B protein]],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,81631,MAP1LC3B,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,81631,MAP1LC3B,https://ctdbase.org/detail.go?type=gene&acc=81631,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of NLRP3 protein]|cyclosporine inhibits the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of NLRP3 protein]],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,114548,NLRP3,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,114548,NLRP3,https://ctdbase.org/detail.go?type=gene&acc=114548,10090,Mus musculus (house mouse)
