action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
Inhibitor,,,446157,"Zhou Y, Zhang Y, Zhao D, Yu X, Shen X, Zhou Y, Wang S, Qiu Y, Chen Y, Zhu F. TTD: Therapeutic Target Database describing target druggability information. Nucleic Acids Res. 2024 Jan 05;52(D1):D1465–77. PMID: 37713619; PMCID: PMC10767903.|Carbonell T, Freire E. Binding thermodynamics of statins to HMG-CoA reductase. Biochemistry. 2005 Sep 06;44(35):11741–8. doi: 10.1021/bi050905v. PMID: 16128575.|Holdgate GA, Ward WH, McTaggart F. Molecular mechanism for inhibition of 3-hydroxy-3-methylglutaryl CoA (HMG-CoA) reductase by rosuvastatin. Biochem Soc Trans. 2003 Jun;31(Pt 3):528–31. doi: 10.1042/bst0310528. PMID: 12773150.|Chapman MJ, Caslake M, Packard C, McTaggart F. New dimension of statin action on ApoB atherogenicity. Clin Cardiol. 2003 Jan;26(1 Suppl 1):I7–10. PMID: 12539816; PMCID: PMC6653840.|Olsson AG, McTaggart F, Raza A. Rosuvastatin: a highly effective new HMG-CoA reductase inhibitor. Cardiovasc Drug Rev. 2002;20(4):303–28. doi: 10.1111/j.1527-3466.2002.tb00099.x. PMID: 12481202.|Chen X, Ji ZL, Chen YZ. TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 01;30(1):412–5. PMID: 11752352; PMCID: PMC99057.|Davidson MH. Rosuvastatin: a highly efficacious statin for the treatment of dyslipidaemia. Expert Opin Investig Drugs. 2002 Jan;11(1):125–41. doi: 10.1517/13543784.11.1.125 . PMID: 11772327.|Hanefeld M. CLINICAL RATIONALE FOR ROSUVASTATIN, A POTENT NEW HMG-COA REDUCTASE INHIBITOR. Int J Clinical Practice. 2001 Jul;55(6):399–405. doi: 10.1111/j.1742-1241.2001.tb11071.x.|McTaggart F, Buckett L, Davidson R, Holdgate G, McCormick A, Schneck D, Smith G, Warwick M. Preclinical and clinical pharmacology of rosuvastatin, a new 3-hydroxy- 3-methylglutaryl coenzyme A reductase inhibitor11CRESTOR is a trademark, the property of AstraZeneca PLC. Research discussed in this article was supported by AstraZeneca. The American Journal of Cardiology. 2001 Mar;87(5):28–32. doi: 10.1016/s0002-9149(01)01454-0.",Rosuvastatin,,DrugBank,PMID:11256847|PMID:11501230|PMID:11752352|PMID:11772327|PMID:12481202|PMID:12539816|PMID:12773150|PMID:16128575|PMID:37713619,https://www.ncbi.nlm.nih.gov/pubmed/11256847|https://www.ncbi.nlm.nih.gov/pubmed/11501230|https://www.ncbi.nlm.nih.gov/pubmed/11752352|https://www.ncbi.nlm.nih.gov/pubmed/11772327|https://www.ncbi.nlm.nih.gov/pubmed/12481202|https://www.ncbi.nlm.nih.gov/pubmed/12539816|https://www.ncbi.nlm.nih.gov/pubmed/12773150|https://www.ncbi.nlm.nih.gov/pubmed/16128575|https://www.ncbi.nlm.nih.gov/pubmed/37713619,3156,HMGCR,3644371|5026441|13204825|14620794|19957892|22600408|27411130|27414993|36526393,PMC10767903|PMC6653840|PMC99057,37713619|11772327|12481202|12539816|16128575|11501230|12773150|11752352|11256847,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0000574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://www.drugbank.ca/bio_entities/BE0000574,Rosuvastatin,9606,Homo sapiens (human)
Competitive,pIC50,8.27,446157,"McTaggart F, Buckett L, Davidson R, Holdgate G, McCormick A, Schneck D, Smith G, Warwick M. Preclinical and clinical pharmacology of rosuvastatin, a new 3-hydroxy- 3-methylglutaryl coenzyme A reductase inhibitor11CRESTOR is a trademark, the property of AstraZeneca PLC. Research discussed in this article was supported by AstraZeneca. The American Journal of Cardiology. 2001 Mar;87(5):28–32. doi: 10.1016/s0002-9149(01)01454-0.",Rosuvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:11256847,https://www.ncbi.nlm.nih.gov/pubmed/11256847,3156,HMGCR,22600408,,11256847,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,2954,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2954,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,rosuvastatin,9606,Homo sapiens (human)
Competitive,pIC50,8.3,446157,"Istvan ES, Deisenhofer J. Structural mechanism for statin inhibition of HMG-CoA reductase. Science. 2001 May 11;292(5519):1160–4. doi: 10.1126/science.1059344. PMID: 11349148.",Rosuvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:11349148,https://www.ncbi.nlm.nih.gov/pubmed/11349148,3156,HMGCR,30064490,,11349148,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,2954,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2954,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,rosuvastatin,9606,Homo sapiens (human)
Competitive,pKi,8.64,446157,"Carbonell T, Freire E. Binding thermodynamics of statins to HMG-CoA reductase. Biochemistry. 2005 Sep 06;44(35):11741–8. doi: 10.1021/bi050905v. PMID: 16128575.",Rosuvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:16128575,https://www.ncbi.nlm.nih.gov/pubmed/16128575,3156,HMGCR,14620794,,16128575,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,2954,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2954,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,3156,HMGCR,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,HMGCR,https://www.dgidb.org/genes/hgnc:5006,ROSUVASTATIN,9606,Homo sapiens (human)
Inhibitor,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,3156,HMGCR,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,HMGCR,https://www.dgidb.org/genes/hgnc:5006,ROSUVASTATIN,9606,Homo sapiens (human)
Competitive,pIC50,8.51,446157,"Pfefferkorn JA, Song Y, Sun KL, Miller SR, Trivedi BK, Choi C, Sorenson RJ, Bratton LD, Unangst PC, Larsen SD, Poel TJ, Cheng XM, Lee C, Erasga N, Auerbach B, Askew V, Dillon L, Hanselman JC, Lin Z, Lu G, Robertson A, Olsen K, Mertz T, Sekerke C, Pavlovsky A, Harris MS, Bainbridge G, Caspers N, Chen H, Eberstadt M. Design and synthesis of hepatoselective, pyrrole-based HMG-CoA reductase inhibitors. Bioorg Med Chem Lett. 2007 Aug 15;17(16):4538–44. doi: 10.1016/j.bmcl.2007.05.096. PMID: 17574412.",Rosuvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:17574412,https://www.ncbi.nlm.nih.gov/pubmed/17574412,3156,HMGCR,15987633,,17574412,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,2954,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2954,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,rosuvastatin,9606,Homo sapiens (human)
"Rosuvastatin selectively and competitively inhibits the hepatic enzyme hydroxymethylglutaryl-coenzyme A (HMG-coa) reductase. as HMG-coa reductase is responsible for converting HMG-coa to mevalonate, this results in a decrease in mevalonate, a precursor of cholesterol, and a subsequent decrease in hepatic cholesterol levels and increase in uptake of LDL cholesterol.",,,446157,"Pfefferkorn JA, Song Y, Sun KL, Miller SR, Trivedi BK, Choi C, Sorenson RJ, Bratton LD, Unangst PC, Larsen SD, Poel TJ, Cheng XM, Lee C, Erasga N, Auerbach B, Askew V, Dillon L, Hanselman JC, Lin Z, Lu G, Robertson A, Olsen K, Mertz T, Sekerke C, Pavlovsky A, Harris MS, Bainbridge G, Caspers N, Chen H, Eberstadt M. Design and synthesis of hepatoselective, pyrrole-based HMG-CoA reductase inhibitors. Bioorg Med Chem Lett. 2007 Aug 15;17(16):4538–44. doi: 10.1016/j.bmcl.2007.05.096. PMID: 17574412.|Medina-Franco JL, López-Vallejo F, Rodríguez-Morales S, Castillo R, Chamorro G, Tamariz J. Molecular docking of the highly hypolipidemic agent alpha-asarone with the catalytic portion of HMG-CoA reductase. Bioorg Med Chem Lett. 2005 Feb 15;15(4):989–94. doi: 10.1016/j.bmcl.2004.12.046. PMID: 15686898.|Thilagavathi R, Kumar R, Aparna V, Sobhia ME, Gopalakrishnan B, Chakraborti AK. Three-dimensional quantitative structure (3-D QSAR) activity relationship studies on imidazolyl and N-pyrrolyl heptenoates as 3-hydroxy-3-methylglutaryl-CoA reductase (HMGR) inhibitors by comparative molecular similarity indices analysis (CoMSIA). Bioorganic & Medicinal Chemistry Letters. 2005 Feb;15(4):1027–32. doi: 10.1016/j.bmcl.2004.12.042.|Chapman MJ, Caslake M, Packard C, McTaggart F. New dimension of statin action on ApoB atherogenicity. Clin Cardiol. 2003 Jan;26(1 Suppl 1):I7–10. PMID: 12539816; PMCID: PMC6653840.|Olsson AG, McTaggart F, Raza A. Rosuvastatin: a highly effective new HMG-CoA reductase inhibitor. Cardiovasc Drug Rev. 2002;20(4):303–28. doi: 10.1111/j.1527-3466.2002.tb00099.x. PMID: 12481202.|Chen X, Ji ZL, Chen YZ. TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 01;30(1):412–5. PMID: 11752352; PMCID: PMC99057.|Davidson MH. Rosuvastatin: a highly efficacious statin for the treatment of dyslipidaemia. Expert Opin Investig Drugs. 2002 Jan;11(1):125–41. doi: 10.1517/13543784.11.1.125 . PMID: 11772327.|Hanefeld M. CLINICAL RATIONALE FOR ROSUVASTATIN, A POTENT NEW HMG-COA REDUCTASE INHIBITOR. Int J Clinical Practice. 2001 Jul;55(6):399–405. doi: 10.1111/j.1742-1241.2001.tb11071.x.|McTaggart F, Buckett L, Davidson R, Holdgate G, McCormick A, Schneck D, Smith G, Warwick M. Preclinical and clinical pharmacology of rosuvastatin, a new 3-hydroxy- 3-methylglutaryl coenzyme A reductase inhibitor11CRESTOR is a trademark, the property of AstraZeneca PLC. Research discussed in this article was supported by AstraZeneca. The American Journal of Cardiology. 2001 Mar;87(5):28–32. doi: 10.1016/s0002-9149(01)01454-0.",Rosuvastatin,,Toxin and Toxin Target Database (T3DB),PMID:11256847|PMID:11501230|PMID:11752352|PMID:11772327|PMID:12481202|PMID:12539816|PMID:15686898|PMID:15686906|PMID:17574412,https://www.ncbi.nlm.nih.gov/pubmed/11256847|https://www.ncbi.nlm.nih.gov/pubmed/11501230|https://www.ncbi.nlm.nih.gov/pubmed/11752352|https://www.ncbi.nlm.nih.gov/pubmed/11772327|https://www.ncbi.nlm.nih.gov/pubmed/12481202|https://www.ncbi.nlm.nih.gov/pubmed/12539816|https://www.ncbi.nlm.nih.gov/pubmed/15686898|https://www.ncbi.nlm.nih.gov/pubmed/15686906|https://www.ncbi.nlm.nih.gov/pubmed/17574412,3156,HMGCR,3644371|5026441|13204825|15262595|15262603|15987633|19957892|22600408|27411130,PMC6653840|PMC99057,11752352|11256847|11501230|11772327|12481202|12539816|15686898|17574412|15686906,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,T3D2680,http://www.t3db.ca/toxins/T3D2680,BE0000574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,http://www.t3db.ca/biodb/bio_entities/BE0000574,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,3156,HMGCR,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,HMGCR,https://www.dgidb.org/genes/hgnc:5006,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,3171,FOXA3,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,FOXA3,https://www.dgidb.org/genes/hgnc:5023,ROSUVASTATIN,9606,Homo sapiens (human)
