action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,6927,HNF1A,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,HNF1A,https://www.dgidb.org/genes/hgnc:11621,ROSUVASTATIN,9606,Homo sapiens (human)
Substrate,,,446157,"Jemnitz K, Veres Z, Tugyi R, Vereczkey L: Biliary efflux transporters involved in the clearance of rosuvastatin in sandwich culture of primary rat hepatocytes. Toxicol In Vitro. 2010 Mar;24(2):605-10. doi: 10.1016/j.tiv.2009.10.009. Epub 2009 Oct 21.",Rosuvastatin,,DrugBank,PMID:19853032,https://www.ncbi.nlm.nih.gov/pubmed/19853032,8647,ABCB11,1730718,,19853032,O95342,Bile salt export pump,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0000703,Bile salt export pump,https://www.drugbank.ca/bio_entities/BE0000703,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,8647,ABCB11,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,ABCB11,https://www.dgidb.org/genes/hgnc:42,ROSUVASTATIN,9606,Homo sapiens (human)
Substrate|Inhibitor,,,446157,"VanWert AL, Gionfriddo MR, Sweet DH. Organic anion transporters: discovery, pharmacology, regulation and roles in pathophysiology. Biopharm Drug Dispos. 2010 Jan;31(1):1–71. doi: 10.1002/bdd.693. PMID: 19953504.|Windass AS, Lowes S, Wang Y, Brown CDA. The Contribution of Organic Anion Transporters OAT1 and OAT3 to the Renal Uptake of Rosuvastatin. The Journal of Pharmacology and Experimental Therapeutics. 2007 Sep;322(3):1221–7. doi: 10.1124/jpet.107.125831.",Rosuvastatin,,DrugBank,PMID:17585018|PMID:19953504,https://www.ncbi.nlm.nih.gov/pubmed/17585018|https://www.ncbi.nlm.nih.gov/pubmed/19953504,9376,SLC22A8,4462428|15997655,,17585018|19953504,Q8TCC7,Organic anion transporter 3,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0003645,Organic anion transporter 3,https://www.drugbank.ca/bio_entities/BE0003645,Rosuvastatin,9606,Homo sapiens (human)
Substrate,,,446157,"Elsby R, Hilgendorf C, Fenner K. Understanding the Critical Disposition Pathways of Statins to Assess Drug–Drug Interaction Risk During Drug Development: It's Not Just About OATP1B1. Clinical Pharmacology & Therapeutics. 2012 Oct 10;92(5):584–98. doi: 10.1038/clpt.2012.163.|Keskitalo JE, Zolk O, Fromm MF, Kurkinen KJ, Neuvonen PJ, Niemi M: ABCG2 polymorphism markedly affects the pharmacokinetics of atorvastatin and rosuvastatin. Clin Pharmacol Ther. 2009 Aug;86(2):197-203. doi: 10.1038/clpt.2009.79. Epub 2009 May 27.|Lee E, Ryan S, Birmingham B, Zalikowski J, March R, Ambrose H, Moore R, Lee C, Chen Y, Schneck D. Rosuvastatin pharmacokinetics and pharmacogenetics in white and Asian subjects residing in the same environment. Clinical Pharmacology & Therapeutics. 2005 Oct 05;78(4):330–41. doi: 10.1016/j.clpt.2005.06.013.",Rosuvastatin,,DrugBank,PMID:16198652|PMID:19474787|PMID:23047648,https://www.ncbi.nlm.nih.gov/pubmed/16198652|https://www.ncbi.nlm.nih.gov/pubmed/19474787|https://www.ncbi.nlm.nih.gov/pubmed/23047648,9429,ABCG2,11234254|20081076|28920910,,16198652|23047648|19474787,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,https://www.drugbank.ca/bio_entities/BE0001067,Rosuvastatin,9606,Homo sapiens (human)
"Rosuvastatin selectively and competitively inhibits the hepatic enzyme hydroxymethylglutaryl-coenzyme A (HMG-coa) reductase. as HMG-coa reductase is responsible for converting HMG-coa to mevalonate, this results in a decrease in mevalonate, a precursor of cholesterol, and a subsequent decrease in hepatic cholesterol levels and increase in uptake of LDL cholesterol.",,,446157,"Zhang W, Yu BN, He YJ, Fan L, Li Q, Liu ZQ, Wang A, Liu YL, Tan ZR, Fen-Jiang, Huang YF, Zhou HH. Role of BCRP 421C>A polymorphism on rosuvastatin pharmacokinetics in healthy Chinese males. Clin Chim Acta. 2006 Nov;373(1-2):99–103. doi: 10.1016/j.cca.2006.05.010. PMID: 16784736.|Huang L, Wang Y, Grimm S. ATP-dependent transport of rosuvastatin in membrane vesicles expressing breast cancer resistance protein. Drug Metab Dispos. 2006 May;34(5):738–42. doi: 10.1124/dmd.105.007534. PMID: 16415124.",Rosuvastatin,,Toxin and Toxin Target Database (T3DB),PMID:16415124|PMID:16784736,https://www.ncbi.nlm.nih.gov/pubmed/16415124|https://www.ncbi.nlm.nih.gov/pubmed/16784736,9429,ABCG2,9252116|10565210,,16415124|16784736,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2,6205,481107545,T3D2680,http://www.t3db.ca/toxins/T3D2680,BE0001067,ATP-binding cassette sub-family G member 2,http://www.t3db.ca/biodb/bio_entities/BE0001067,Rosuvastatin,9606,Homo sapiens (human)
Substrate,,,446157,"Knauer MJ, Urquhart BL, Meyer zu Schwabedissen HE, Schwarz UI, Lemke CJ, Leake BF, Kim RB, Tirona RG: Human skeletal muscle drug transporters determine local exposure and toxicity of statins. Circ Res. 2010 Feb 5;106(2):297-306. doi: 10.1161/CIRCRESAHA.109.203596. Epub 2009 Nov 25.",Rosuvastatin,,DrugBank,PMID:19940267,https://www.ncbi.nlm.nih.gov/pubmed/19940267,10257,ABCC4,4449964,,19940267,O15439,ATP-binding cassette sub-family C member 4,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0001188,ATP-binding cassette sub-family C member 4,https://www.drugbank.ca/bio_entities/BE0001188,Rosuvastatin,9606,Homo sapiens (human)
Substrate|Inhibitor,,,446157,"van de Steeg E, Greupink R, Schreurs M, Nooijen IH, Verhoeckx KC, Hanemaaijer R, Ripken D, Monshouwer M, Vlaming ML, DeGroot J, Verwei M, Russel FG, Huisman MT, Wortelboer HM: Drug-drug interactions between rosuvastatin and oral antidiabetic drugs occurring at the level of OATP1B1. Drug Metab Dispos. 2013 Mar;41(3):592-601. doi: 10.1124/dmd.112.049023. Epub 2012 Dec 17.|Elsby R, Hilgendorf C, Fenner K. Understanding the Critical Disposition Pathways of Statins to Assess Drug–Drug Interaction Risk During Drug Development: It's Not Just About OATP1B1. Clinical Pharmacology & Therapeutics. 2012 Oct 10;92(5):584–98. doi: 10.1038/clpt.2012.163.|Karlgren M, Ahlin G, Bergstrom CA, Svensson R, Palm J, Artursson P: In vitro and in silico strategies to identify OATP1B1 inhibitors and predict clinical drug-drug interactions. Pharm Res. 2012 Feb;29(2):411-26. doi: 10.1007/s11095-011-0564-9. Epub 2011 Aug 23.",Rosuvastatin,,DrugBank,PMID:21861202|PMID:23047648|PMID:23248200,https://www.ncbi.nlm.nih.gov/pubmed/21861202|https://www.ncbi.nlm.nih.gov/pubmed/23047648|https://www.ncbi.nlm.nih.gov/pubmed/23248200,10599,SLCO1B1,6602107|9349255|28920910,PMC3264873,21861202|23047648|23248200,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0001004,Solute carrier organic anion transporter family member 1B1,https://www.drugbank.ca/bio_entities/BE0001004,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,10599,SLCO1B1,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,SLCO1B1,https://www.dgidb.org/genes/hgnc:10959,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,"Ho RH, Tirona RG, Leake BF, Glaeser H, Lee W, Lemke CJ, Wang Y, Kim RB. Drug and bile acid transporters in rosuvastatin hepatic uptake: function, expression, and pharmacogenetics. Gastroenterology. 2006 May;130(6):1793–806. doi: 10.1053/j.gastro.2006.02.034. PMID: 16697742.",Rosuvastatin,,DrugBank,PMID:16697742,https://www.ncbi.nlm.nih.gov/pubmed/16697742,11309,SLCO2B1,13951719,,16697742,O94956,Solute carrier organic anion transporter family member 2B1,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0001042,Solute carrier organic anion transporter family member 2B1,https://www.drugbank.ca/bio_entities/BE0001042,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,22937,SCAP,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,SCAP,https://www.dgidb.org/genes/hgnc:30634,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,23358,USP24,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,USP24,https://www.dgidb.org/genes/hgnc:12623,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,"Ho RH, Tirona RG, Leake BF, Glaeser H, Lee W, Lemke CJ, Wang Y, Kim RB. Drug and bile acid transporters in rosuvastatin hepatic uptake: function, expression, and pharmacogenetics. Gastroenterology. 2006 May;130(6):1793–806. doi: 10.1053/j.gastro.2006.02.034. PMID: 16697742.",Rosuvastatin,,DrugBank,PMID:16697742,https://www.ncbi.nlm.nih.gov/pubmed/16697742,23657,SLC7A11,13951719,,16697742,Q9UPY5,Cystine/glutamate transporter,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0000030,Cystine/glutamate transporter,https://www.drugbank.ca/bio_entities/BE0000030,Rosuvastatin,9606,Homo sapiens (human)
,IC50,8.68,446157,,Rosuvastatin,,DrugCentral,,,25675,Hmgcr,,,,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,2406,https://drugcentral.org/drugcard/2406,1796,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://drugcentral.org/target/P51639/view,rosuvastatin,10116,Rattus norvegicus (Norway rat)
Competitive,pIC50,9.8,446157,"McTaggart F, Buckett L, Davidson R, Holdgate G, McCormick A, Schneck D, Smith G, Warwick M. Preclinical and clinical pharmacology of rosuvastatin, a new 3-hydroxy- 3-methylglutaryl coenzyme A reductase inhibitor11CRESTOR is a trademark, the property of AstraZeneca PLC. Research discussed in this article was supported by AstraZeneca. The American Journal of Cardiology. 2001 Mar;87(5):28–32. doi: 10.1016/s0002-9149(01)01454-0.",Rosuvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:11256847,https://www.ncbi.nlm.nih.gov/pubmed/11256847,25675,Hmgcr,22600408,,11256847,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6205,481107545,2954,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2954,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,rosuvastatin,10116,Rattus norvegicus (Norway rat)
,IC50 (nM),3.1,446157,"Ahmad S, Madsen CS, Stein PD, Janovitz E, Huang C, Ngu K, Bisaha S, Kennedy LJ, Chen B, Zhao R, Sitkoff D, Monshizadegan H, Yin X, Ryan CS, Zhang R, Giancarli M, Bird E, Chang M, Chen X, Setters R, Search D, Zhuang S, Nguyen-Tran V, Cuff CA, Harrity T, Darienzo CJ, Li T, Reeves RA, Blanar MA, Barrish JC, Zahler R, Robl JA. (3<i>R,</i>5<i>S,E</i>)-7-(4-(4-Fluorophenyl)-6-isopropyl-2-(methyl(1-methyl-1<i>H</i>-1,2,4-triazol-5-yl)amino)pyrimidin-5-yl)-3,5-dihydroxyhept-6-enoic Acid (BMS-644950): A Rationally Designed Orally Efficacious 3-Hydroxy-3-methylglutaryl Coenzyme-A Reductase Inhibitor with Reduced Myotoxicity Potential. J. Med. Chem. 2008 Apr 15;51(9):2722–33. doi: 10.1021/jm800001n.",Rosuvastatin,10.1021/jm800001n,BindingDB,PMID:18412317|DOI:10.1021/jm800001n,https://www.ncbi.nlm.nih.gov/pubmed/18412317|https://doi.org/10.1021/jm800001n,25675,Hmgcr,32197538,,18412317,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,,,18372,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=18372,2085,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=2085,CHEMBL1496,10116,Rattus norvegicus (Norway rat)
,IC50 (nM),3.1,446157,"Pfefferkorn JA, Choi C, Larsen SD, Auerbach B, Hutchings R, Park W, Askew V, Dillon L, Hanselman JC, Lin Z, Lu GH, Robertson A, Sekerke C, Harris MS, Pavlovsky A, Bainbridge G, Caspers N, Kowala M, Tait BD. Substituted Pyrazoles as Hepatoselective HMG-CoA Reductase Inhibitors: Discovery of (3<i>R</i>,5<i>R</i>)-7-[2-(4-Fluoro-phenyl)-4-isopropyl-5-(4-methyl-benzylcarbamoyl)-2<i>H</i>-pyrazol-3-yl]-3,5-dihydroxyheptanoic Acid (PF-3052334) as a Candidate for the Treatment of Hypercholesterolemia. J. Med. Chem. 2007 Dec 12;51(1):31–45. doi: 10.1021/jm070849r.",Rosuvastatin,10.1021/jm070849r,BindingDB,PMID:18072721|DOI:10.1021/jm070849r,https://www.ncbi.nlm.nih.gov/pubmed/18072721|https://doi.org/10.1021/jm070849r,25675,Hmgcr,26162826,,18072721,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,,,18372,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=18372,2085,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=2085,CHEMBL1496,10116,Rattus norvegicus (Norway rat)
,IC50 (nM),3.6,446157,"Bratton LD, Auerbach B, Choi C, Dillon L, Hanselman JC, Larsen SD, Lu G, Olsen K, Pfefferkorn JA, Robertson A, Sekerke C, Trivedi BK, Unangst PC. Discovery of pyrrole-based hepatoselective ligands as potent inhibitors of HMG-CoA reductase. Bioorg Med Chem. 2007 Aug 15;15(16):5576–89. doi: 10.1016/j.bmc.2007.05.031. PMID: 17560788.",Rosuvastatin,10.1016/j.bmc.2007.05.031,BindingDB,PMID:17560788|DOI:10.1016/j.bmc.2007.05.031,https://www.ncbi.nlm.nih.gov/pubmed/17560788|https://doi.org/10.1016/j.bmc.2007.05.031,25675,Hmgcr,24815911,,17560788,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,,,18372,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=18372,2085,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=2085,CHEMBL1496,10116,Rattus norvegicus (Norway rat)
,IC50 (nM),2.1,446157,"Larsen SD, Poel T, Filipski KJ, Kohrt JT, Pfefferkorn JA, Sorenson RJ, Tait BD, Askew V, Dillon L, Hanselman JC, Lu GH, Robertson A, Sekerke C, Kowala MC, Auerbach BJ. Pyrazole inhibitors of HMG-CoA reductase: An attempt to dramatically reduce synthetic complexity through minimal analog re-design. Bioorganic & Medicinal Chemistry Letters. 2007 Oct;17(20):5567–72. doi: 10.1016/j.bmcl.2007.08.004.",Rosuvastatin,10.1016/j.bmcl.2007.08.004,BindingDB,PMID:17764936|DOI:10.1016/j.bmcl.2007.08.004,https://www.ncbi.nlm.nih.gov/pubmed/17764936|https://doi.org/10.1016/j.bmcl.2007.08.004,25675,Hmgcr,30196516,,17764936,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,,,18372,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=18372,2085,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=2085,CHEMBL1496,10116,Rattus norvegicus (Norway rat)
,,,446157,"Ho RH, Tirona RG, Leake BF, Glaeser H, Lee W, Lemke CJ, Wang Y, Kim RB. Drug and bile acid transporters in rosuvastatin hepatic uptake: function, expression, and pharmacogenetics. Gastroenterology. 2006 May;130(6):1793–806. doi: 10.1053/j.gastro.2006.02.034. PMID: 16697742.",Rosuvastatin,,DrugBank,PMID:16697742,https://www.ncbi.nlm.nih.gov/pubmed/16697742,28234,SLCO1B3,13951719,,16697742,Q9NPD5,Solute carrier organic anion transporter family member 1B3,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0003659,Solute carrier organic anion transporter family member 1B3,https://www.drugbank.ca/bio_entities/BE0003659,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,116519,APOA5,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,APOA5,https://www.dgidb.org/genes/hgnc:17288,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,221458,KIF6,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,KIF6,https://www.dgidb.org/genes/hgnc:21202,ROSUVASTATIN,9606,Homo sapiens (human)
