action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
,IC50,5.29,60823,,Atorvastatin,,DrugCentral,,,1576,CYP3A4,,,,P08684,Cytochrome P450 3A4,6384,481107724,257,https://drugcentral.org/drugcard/257,95,Cytochrome P450 3A4,https://drugcentral.org/target/P08684/view,atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Zhou SF, Zhou ZW, Yang LP, Cai JP. Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Curr Med Chem. 2009;16(27):3480–675. doi: 10.2174/092986709789057635. PMID: 19515014.|Neuvonen PJ, Niemi M, Backman JT. Drug interactions with lipid-lowering drugs: Mechanisms and clinical relevance. Clinical Pharmacology & Therapeutics. 2006 Dec 15;80(6):565–81. doi: 10.1016/j.clpt.2006.09.003.|Cohen LH, van Leeuwen RE, van Thiel GC, van Pelt JF, Yap SH. Equally potent inhibitors of cholesterol synthesis in human hepatocytes have distinguishable effects on different cytochrome P450 enzymes. Biopharm Drug Dispos. 2000 Dec;21(9):353–64. doi: 10.1002/bdd.249. PMID: 11523064.|Jacobsen W, Kuhn B, Soldner A, Kirchner G, Sewing K, Kollman PA, Benet LZ, Christians U. Lactonization Is the Critical First Step in the Disposition of the 3-Hydroxy-3-Methylglutaryl-Coa Reductase Inhibitor Atorvastatin. Drug Metabolism and Disposition. 2000 Nov;28(11):1369–78. doi: 10.1016/s0090-9556(24)15086-6.",Atorvastatin,,DrugBank,PMID:11038166|PMID:11523064|PMID:17178259|PMID:19515014,https://www.ncbi.nlm.nih.gov/pubmed/11038166|https://www.ncbi.nlm.nih.gov/pubmed/11523064|https://www.ncbi.nlm.nih.gov/pubmed/17178259|https://www.ncbi.nlm.nih.gov/pubmed/19515014,1576,CYP3A4,212854|912271|1049177|24112241,,17178259|11523064|11038166|19515014,P08684,Cytochrome P450 3A4,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0002638,Cytochrome P450 3A4,https://www.drugbank.ca/bio_entities/BE0002638,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Jacobsen W, Kuhn B, Soldner A, Kirchner G, Sewing K, Kollman PA, Benet LZ, Christians U. Lactonization Is the Critical First Step in the Disposition of the 3-Hydroxy-3-Methylglutaryl-Coa Reductase Inhibitor Atorvastatin. Drug Metabolism and Disposition. 2000 Nov;28(11):1369–78. doi: 10.1016/s0090-9556(24)15086-6.",Atorvastatin,,DrugBank,PMID:11038166,https://www.ncbi.nlm.nih.gov/pubmed/11038166,1577,CYP3A5,212854,,11038166,P20815,Cytochrome P450 3A5,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0002362,Cytochrome P450 3A5,https://www.drugbank.ca/bio_entities/BE0002362,Atorvastatin,9606,Homo sapiens (human)
,,,60823,"Taldone T, Zito SW, Talele TT. Inhibition of dipeptidyl peptidase-IV (DPP-IV) by atorvastatin. Bioorganic & Medicinal Chemistry Letters. 2008 Jan;18(2):479–84. doi: 10.1016/j.bmcl.2007.11.107.",Atorvastatin,,Toxin and Toxin Target Database (T3DB),PMID:18068977,https://www.ncbi.nlm.nih.gov/pubmed/18068977,1803,DPP4,26159232,,18068977,P27487,Dipeptidyl peptidase 4,6384,481107724,T3D4980,http://www.t3db.ca/toxins/T3D4980,BE0000854,Dipeptidyl peptidase 4,http://www.t3db.ca/biodb/bio_entities/BE0000854,Atorvastatin,9606,Homo sapiens (human)
Inhibitor,,,60823,"Taldone T, Zito SW, Talele TT. Inhibition of dipeptidyl peptidase-IV (DPP-IV) by atorvastatin. Bioorganic & Medicinal Chemistry Letters. 2008 Jan;18(2):479–84. doi: 10.1016/j.bmcl.2007.11.107.",Atorvastatin,,DrugBank,PMID:18068977,https://www.ncbi.nlm.nih.gov/pubmed/18068977,1803,DPP4,26159232,,18068977,P27487,Dipeptidyl peptidase 4,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0000854,Dipeptidyl peptidase 4,https://www.drugbank.ca/bio_entities/BE0000854,Atorvastatin,9606,Homo sapiens (human)
,IC50,4.93,60823,,Atorvastatin,,DrugCentral,,,3065,HDAC1,,,,Q13547,Histone deacetylase 1,6384,481107724,257,https://drugcentral.org/drugcard/257,606,Histone deacetylase 1,https://drugcentral.org/target/Q13547/view,atorvastatin,9606,Homo sapiens (human)
Inhibitor,,,60823,"Lin YC, Lin JH, Chou CW, Chang YF, Yeh SH, Chen CC. Statins increase p21 through inhibition of histone deacetylase activity and release of promoter-associated HDAC1/2. Cancer Res. 2008 Apr 01;68(7):2375–83. doi: 10.1158/0008-5472.can-07-5807. PMID: 18381445.",Atorvastatin,,DrugBank,PMID:18381445,https://www.ncbi.nlm.nih.gov/pubmed/18381445,3066,HDAC2,8582620,,18381445,Q92769,Histone deacetylase 2,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0002366,Histone deacetylase 2,https://www.drugbank.ca/bio_entities/BE0002366,Atorvastatin,9606,Homo sapiens (human)
,IC50,4.65,60823,,Atorvastatin,,DrugCentral,,,3066,HDAC2,,,,Q92769,Histone deacetylase 2,6384,481107724,257,https://drugcentral.org/drugcard/257,598,Histone deacetylase 2,https://drugcentral.org/target/Q92769/view,atorvastatin,9606,Homo sapiens (human)
"Inhibitor, prodrug",,"8 nM, 6.2 nM",60823,"Higgins JW, Bao JQ, Ke AB, Manro JR, Fallon JK, Smith PC, Zamek-Gliszczynski MJ. Utility of Oatp1a/1b-Knockout and OATP1B1/3-Humanized Mice in the Study of OATP-Mediated Pharmacokinetics and Tissue Distribution: Case Studies with Pravastatin, Atorvastatin, Simvastatin, and Carboxydichlorofluorescein. Drug Metabolism and Disposition. 2014 Jan;42(1):182–92. doi: 10.1124/dmd.113.054783.",Atorvastatin,,Chemical Probes Portal,PMID:18412317|PMID:24194513|DOI:10.1021/jm800001n|DOI:10.1124/dmd.113.054783,https://www.ncbi.nlm.nih.gov/pubmed/18412317|https://www.ncbi.nlm.nih.gov/pubmed/24194513|https://doi.org/10.1021/jm800001n|https://doi.org/10.1124/dmd.113.054783,3156,HMGCR,18806991,PMC11918263,24194513,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,Atorvastatin,https://www.chemicalprobes.org/atorvastatin,,HMGCR,,Atorvastatin,9606,Homo sapiens (human)
INHIBITOR,IC50,8,60823,,Atorvastatin,,DrugCentral,,,3156,HMGCR,,,,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,257,https://drugcentral.org/drugcard/257,238,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://drugcentral.org/target/P04035/view,atorvastatin,9606,Homo sapiens (human)
Competitive,pIC50,8.1,60823,"Istvan ES, Deisenhofer J. Structural mechanism for statin inhibition of HMG-CoA reductase. Science. 2001 May 11;292(5519):1160–4. doi: 10.1126/science.1059344. PMID: 11349148.",Atorvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:11349148,https://www.ncbi.nlm.nih.gov/pubmed/11349148,3156,HMGCR,30064490,,11349148,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,2949,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2949,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,atorvastatin,9606,Homo sapiens (human)
Competitive,pKi,7.85,60823,"Carbonell T, Freire E. Binding thermodynamics of statins to HMG-CoA reductase. Biochemistry. 2005 Sep 06;44(35):11741–8. doi: 10.1021/bi050905v. PMID: 16128575.",Atorvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:16128575,https://www.ncbi.nlm.nih.gov/pubmed/16128575,3156,HMGCR,14620794,,16128575,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,2949,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2949,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,atorvastatin,9606,Homo sapiens (human)
Inhibitor,,,60823,"Zhou Y, Zhang Y, Zhao D, Yu X, Shen X, Zhou Y, Wang S, Qiu Y, Chen Y, Zhu F. TTD: Therapeutic Target Database describing target druggability information. Nucleic Acids Res. 2024 Jan 05;52(D1):D1465–77. PMID: 37713619; PMCID: PMC10767903.|Bösel J, Gandor F, Harms C, Synowitz M, Harms U, Djoufack PC, Megow D, Dirnagl U, Hörtnagl H, Fink KB, Endres M. Neuroprotective effects of atorvastatin against glutamate-induced excitotoxicity in primary cortical neurones. Journal of Neurochemistry. 2005 Feb 17;92(6):1386–98. doi: 10.1111/j.1471-4159.2004.02980.x.|Maejima T, Yamazaki H, Aoki T, Tamaki T, Sato F, Kitahara M, Saito Y. Effect of pitavastatin on apolipoprotein A-I production in HepG2 cell. Biochemical and Biophysical Research Communications. 2004 Nov;324(2):835–9. doi: 10.1016/j.bbrc.2004.09.122.|Baxter JD, Webb P, Grover G, Scanlan TS. Selective activation of thyroid hormone signaling pathways by GC-1: a new approach to controlling cholesterol and body weight. Trends Endocrinol Metab. 2004 May;15(4):154–7. doi: 10.1016/j.tem.2004.03.008. PMID: 15109613.|Jafari M, Ebrahimi R, Ahmadi-Kashani M, Balian H, Bashir M. Efficacy of alternate-day dosing versus daily dosing of atorvastatin. J Cardiovasc Pharmacol Ther. 2003 Jun;8(2):123–6. doi: 10.1177/107424840300800205. PMID: 12808485.|Chen X, Ji ZL, Chen YZ. TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 01;30(1):412–5. PMID: 11752352; PMCID: PMC99057.",Atorvastatin,,DrugBank,PMID:11752352|PMID:12769127|PMID:12808485|PMID:15109613|PMID:15474503|PMID:15748157|PMID:37713619,https://www.ncbi.nlm.nih.gov/pubmed/11752352|https://www.ncbi.nlm.nih.gov/pubmed/12769127|https://www.ncbi.nlm.nih.gov/pubmed/12808485|https://www.ncbi.nlm.nih.gov/pubmed/15109613|https://www.ncbi.nlm.nih.gov/pubmed/15474503|https://www.ncbi.nlm.nih.gov/pubmed/15748157|https://www.ncbi.nlm.nih.gov/pubmed/37713619,3156,HMGCR,4356768|13204825|22033323|23395897|24719754|36526393,PMC10767903|PMC99057,15109613|12769127|37713619|15474503|12808485|15748157|11752352,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0000574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://www.drugbank.ca/bio_entities/BE0000574,Atorvastatin,9606,Homo sapiens (human)
,,,60823,"Bösel J, Gandor F, Harms C, Synowitz M, Harms U, Djoufack PC, Megow D, Dirnagl U, Hörtnagl H, Fink KB, Endres M. Neuroprotective effects of atorvastatin against glutamate-induced excitotoxicity in primary cortical neurones. Journal of Neurochemistry. 2005 Feb 17;92(6):1386–98. doi: 10.1111/j.1471-4159.2004.02980.x.|Maejima T, Yamazaki H, Aoki T, Tamaki T, Sato F, Kitahara M, Saito Y. Effect of pitavastatin on apolipoprotein A-I production in HepG2 cell. Biochemical and Biophysical Research Communications. 2004 Nov;324(2):835–9. doi: 10.1016/j.bbrc.2004.09.122.|Baxter JD, Webb P, Grover G, Scanlan TS. Selective activation of thyroid hormone signaling pathways by GC-1: a new approach to controlling cholesterol and body weight. Trends Endocrinol Metab. 2004 May;15(4):154–7. doi: 10.1016/j.tem.2004.03.008. PMID: 15109613.|Jafari M, Ebrahimi R, Ahmadi-Kashani M, Balian H, Bashir M. Efficacy of alternate-day dosing versus daily dosing of atorvastatin. J Cardiovasc Pharmacol Ther. 2003 Jun;8(2):123–6. doi: 10.1177/107424840300800205. PMID: 12808485.|Chen X, Ji ZL, Chen YZ. TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 01;30(1):412–5. PMID: 11752352; PMCID: PMC99057.",Atorvastatin,,Toxin and Toxin Target Database (T3DB),PMID:11752352|PMID:12769127|PMID:12808485|PMID:15109613|PMID:15474503|PMID:15748157,https://www.ncbi.nlm.nih.gov/pubmed/11752352|https://www.ncbi.nlm.nih.gov/pubmed/12769127|https://www.ncbi.nlm.nih.gov/pubmed/12808485|https://www.ncbi.nlm.nih.gov/pubmed/15109613|https://www.ncbi.nlm.nih.gov/pubmed/15474503|https://www.ncbi.nlm.nih.gov/pubmed/15748157,3156,HMGCR,4356768|13204825|22033323|23395897|24719754,PMC99057,11752352|12769127|12808485|15109613|15474503|15748157,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,T3D4980,http://www.t3db.ca/toxins/T3D4980,BE0000574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,http://www.t3db.ca/biodb/bio_entities/BE0000574,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Knauer MJ, Urquhart BL, Meyer zu Schwabedissen HE, Schwarz UI, Lemke CJ, Leake BF, Kim RB, Tirona RG: Human skeletal muscle drug transporters determine local exposure and toxicity of statins. Circ Res. 2010 Feb 5;106(2):297-306. doi: 10.1161/CIRCRESAHA.109.203596. Epub 2009 Nov 25.",Atorvastatin,,DrugBank,PMID:19940267,https://www.ncbi.nlm.nih.gov/pubmed/19940267,4363,ABCC1,4449964,,19940267,P33527,Multidrug resistance-associated protein 1,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0000785,Multidrug resistance-associated protein 1,https://www.drugbank.ca/bio_entities/BE0000785,Atorvastatin,9606,Homo sapiens (human)
Substrate|Inhibitor,,,60823,"Sieczkowski E, Lehner C, Ambros PF, Hohenegger M. Double impact on p-glycoprotein by statins enhances doxorubicin cytotoxicity in human neuroblastoma cells. Int J Cancer. 2010 May 01;126(9):2025–35. doi: 10.1002/ijc.24885. PMID: 19739078.|Lennernäs H. Clinical pharmacokinetics of atorvastatin. Clin Pharmacokinet. 2003;42(13):1141–60. doi: 10.2165/00003088-200342130-00005. PMID: 14531725.|Wang E, Casciano CN, Clement RP, Johnson WW. HMG-CoA reductase inhibitors (statins) characterized as direct inhibitors of P-glycoprotein. Pharm Res. 2001 Jun;18(6):800–6. doi: 10.1023/a:1011036428972. PMID: 11474784.",Atorvastatin,,DrugBank,PMID:11474784|PMID:14531725|PMID:19739078,https://www.ncbi.nlm.nih.gov/pubmed/11474784|https://www.ncbi.nlm.nih.gov/pubmed/14531725|https://www.ncbi.nlm.nih.gov/pubmed/19739078,5243,ABCB1,19933793|30133936|32922113,,14531725|19739078|11474784,P08183,ATP-dependent translocase ABCB1,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0001032,ATP-dependent translocase ABCB1,https://www.drugbank.ca/bio_entities/BE0001032,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Mandery K, Bujok K, Schmidt I, Keiser M, Siegmund W, Balk B, Konig J, Fromm MF, Glaeser H: Influence of the flavonoids apigenin, kaempferol, and quercetin on the function of organic anion transporting polypeptides 1A2 and 2B1. Biochem Pharmacol. 2010 Dec 1;80(11):1746-53. doi: 10.1016/j.bcp.2010.08.008. Epub 2010 Aug 24.|Hsiang B, Zhu Y, Wang Z, Wu Y, Sasseville V, Yang WP, Kirchgessner TG. A novel human hepatic organic anion transporting polypeptide (OATP2). Identification of a liver-specific human organic anion transporting polypeptide and identification of rat and human hydroxymethylglutaryl-CoA reductase inhibitor transporters. J Biol Chem. 1999 Dec 24;274(52):37161–8. doi: 10.1074/jbc.274.52.37161. PMID: 10601278.",Atorvastatin,,DrugBank,PMID:10601278|PMID:20797388,https://www.ncbi.nlm.nih.gov/pubmed/10601278|https://www.ncbi.nlm.nih.gov/pubmed/20797388,6579,SLCO1A2,2412923|12508085,,20797388|10601278,P46721,Solute carrier organic anion transporter family member 1A2,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003642,Solute carrier organic anion transporter family member 1A2,https://www.drugbank.ca/bio_entities/BE0003642,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Pedersen JM, Matsson P, Bergstrom CA, Hoogstraate J, Noren A, LeCluyse EL, Artursson P: Early identification of clinically relevant drug interactions with the human bile salt export pump (BSEP/ABCB11). Toxicol Sci. 2013 Dec;136(2):328-43. doi: 10.1093/toxsci/kft197. Epub 2013 Sep 6.",Atorvastatin,,DrugBank,PMID:24014644,https://www.ncbi.nlm.nih.gov/pubmed/24014644,8647,ABCB11,24907937,PMC3858191,24014644,O95342,Bile salt export pump,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0000703,Bile salt export pump,https://www.drugbank.ca/bio_entities/BE0000703,Atorvastatin,9606,Homo sapiens (human)
,IC50,5.37,60823,,Atorvastatin,,DrugCentral,,,9429,ABCG2,,,,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2,6384,481107724,257,https://drugcentral.org/drugcard/257,191,ATP-binding cassette sub-family G member 2,https://drugcentral.org/target/Q9UNQ0/view,atorvastatin,9606,Homo sapiens (human)
Ligand,,,60823,"Rezen T, Hafner M, Kortagere S, Ekins S, Hodnik V, Rozman D: Rosuvastatin and Atorvastatin Are Ligands of the Human Constitutive Androstane Receptor/Retinoid X Receptor alpha Complex. Drug Metab Dispos. 2017 Aug;45(8):974-976. doi: 10.1124/dmd.117.075523. Epub 2017 May 23.",Atorvastatin,,DrugBank,PMID:28536098,https://www.ncbi.nlm.nih.gov/pubmed/28536098,9970,NR1I3,19579884,,28536098,Q14994,Nuclear receptor subfamily 1 group I member 3,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003848,Nuclear receptor subfamily 1 group I member 3,https://www.drugbank.ca/bio_entities/BE0003848,Atorvastatin,9606,Homo sapiens (human)
,,,60823,,Atorvastatin,,DrugCentral,,,9970,NR1I3,,,,Q14994,Nuclear receptor subfamily 1 group I member 3,6384,481107724,257,https://drugcentral.org/drugcard/257,60,Nuclear receptor subfamily 1 group I member 3,https://drugcentral.org/target/Q14994/view,atorvastatin,9606,Homo sapiens (human)
,IC50,4.84,60823,,Atorvastatin,,DrugCentral,,,10013,HDAC6,,,,Q9UBN7,Protein deacetylase HDAC6,6384,481107724,257,https://drugcentral.org/drugcard/257,630,Histone deacetylase 6,https://drugcentral.org/target/Q9UBN7/view,atorvastatin,9606,Homo sapiens (human)
