action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
Substrate,,,60823,"Knauer MJ, Urquhart BL, Meyer zu Schwabedissen HE, Schwarz UI, Lemke CJ, Leake BF, Kim RB, Tirona RG: Human skeletal muscle drug transporters determine local exposure and toxicity of statins. Circ Res. 2010 Feb 5;106(2):297-306. doi: 10.1161/CIRCRESAHA.109.203596. Epub 2009 Nov 25.",Atorvastatin,,DrugBank,PMID:19940267,https://www.ncbi.nlm.nih.gov/pubmed/19940267,10057,ABCC5,4449964,,19940267,O15440,ATP-binding cassette sub-family C member 5,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003639,ATP-binding cassette sub-family C member 5,https://www.drugbank.ca/bio_entities/BE0003639,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Knauer MJ, Urquhart BL, Meyer zu Schwabedissen HE, Schwarz UI, Lemke CJ, Leake BF, Kim RB, Tirona RG: Human skeletal muscle drug transporters determine local exposure and toxicity of statins. Circ Res. 2010 Feb 5;106(2):297-306. doi: 10.1161/CIRCRESAHA.109.203596. Epub 2009 Nov 25.",Atorvastatin,,DrugBank,PMID:19940267,https://www.ncbi.nlm.nih.gov/pubmed/19940267,10257,ABCC4,4449964,,19940267,O15439,ATP-binding cassette sub-family C member 4,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0001188,ATP-binding cassette sub-family C member 4,https://www.drugbank.ca/bio_entities/BE0001188,Atorvastatin,9606,Homo sapiens (human)
Substrate|Inhibitor,,,60823,"Kameyama Y, Yamashita K, Kobayashi K, Hosokawa M, Chiba K. Functional characterization of SLCO1B1 (OATP-C) variants, SLCO1B1*5, SLCO1B1*15 and SLCO1B1*15+C1007G, by using transient expression systems of HeLa and HEK293 cells. Pharmacogenet Genomics. 2005 Jul;15(7):513–22. doi: 10.1097/01.fpc.0000170913.73780.5f. PMID: 15970799.|Lennernäs H. Clinical pharmacokinetics of atorvastatin. Clin Pharmacokinet. 2003;42(13):1141–60. doi: 10.2165/00003088-200342130-00005. PMID: 14531725.|Hsiang B, Zhu Y, Wang Z, Wu Y, Sasseville V, Yang WP, Kirchgessner TG. A novel human hepatic organic anion transporting polypeptide (OATP2). Identification of a liver-specific human organic anion transporting polypeptide and identification of rat and human hydroxymethylglutaryl-CoA reductase inhibitor transporters. J Biol Chem. 1999 Dec 24;274(52):37161–8. doi: 10.1074/jbc.274.52.37161. PMID: 10601278.",Atorvastatin,,DrugBank,PMID:10601278|PMID:14531725|PMID:15970799,https://www.ncbi.nlm.nih.gov/pubmed/10601278|https://www.ncbi.nlm.nih.gov/pubmed/14531725|https://www.ncbi.nlm.nih.gov/pubmed/15970799,10599,SLCO1B1,12508085|15974574|30133936,,14531725|15970799|10601278,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0001004,Solute carrier organic anion transporter family member 1B1,https://www.drugbank.ca/bio_entities/BE0001004,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Knauer MJ, Urquhart BL, Meyer zu Schwabedissen HE, Schwarz UI, Lemke CJ, Leake BF, Kim RB, Tirona RG: Human skeletal muscle drug transporters determine local exposure and toxicity of statins. Circ Res. 2010 Feb 5;106(2):297-306. doi: 10.1161/CIRCRESAHA.109.203596. Epub 2009 Nov 25.|Grube M, Köck K, Oswald S, Draber K, Meissner K, Eckel L, Böhm M, Felix SB, Vogelgesang S, Jedlitschky G, Siegmund W, Warzok R, Kroemer HK. Organic anion transporting polypeptide 2B1 is a high-affinity transporter for atorvastatin and is expressed in the human heart. Clinical Pharmacology & Therapeutics. 2006 Dec 15;80(6):607–20. doi: 10.1016/j.clpt.2006.09.010.",Atorvastatin,,DrugBank,PMID:17178262|PMID:19940267,https://www.ncbi.nlm.nih.gov/pubmed/17178262|https://www.ncbi.nlm.nih.gov/pubmed/19940267,11309,SLCO2B1,4449964|24112244,,17178262|19940267,O94956,Solute carrier organic anion transporter family member 2B1,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0001042,Solute carrier organic anion transporter family member 2B1,https://www.drugbank.ca/bio_entities/BE0001042,Atorvastatin,9606,Homo sapiens (human)
,IC50 (nM),6.2,60823,"Ahmad S, Madsen CS, Stein PD, Janovitz E, Huang C, Ngu K, Bisaha S, Kennedy LJ, Chen B, Zhao R, Sitkoff D, Monshizadegan H, Yin X, Ryan CS, Zhang R, Giancarli M, Bird E, Chang M, Chen X, Setters R, Search D, Zhuang S, Nguyen-Tran V, Cuff CA, Harrity T, Darienzo CJ, Li T, Reeves RA, Blanar MA, Barrish JC, Zahler R, Robl JA. (3<i>R,</i>5<i>S,E</i>)-7-(4-(4-Fluorophenyl)-6-isopropyl-2-(methyl(1-methyl-1<i>H</i>-1,2,4-triazol-5-yl)amino)pyrimidin-5-yl)-3,5-dihydroxyhept-6-enoic Acid (BMS-644950): A Rationally Designed Orally Efficacious 3-Hydroxy-3-methylglutaryl Coenzyme-A Reductase Inhibitor with Reduced Myotoxicity Potential. J. Med. Chem. 2008 Apr 15;51(9):2722–33. doi: 10.1021/jm800001n.",Atorvastatin,10.1021/jm800001n,BindingDB,PMID:18412317|DOI:10.1021/jm800001n,https://www.ncbi.nlm.nih.gov/pubmed/18412317|https://doi.org/10.1021/jm800001n,25675,Hmgcr,32197538,,18412317,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,,,22164,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=22164,2085,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=2085,CI 981,10116,Rattus norvegicus (Norway rat)
,IC50,8.42,60823,,Atorvastatin,,DrugCentral,,,25675,Hmgcr,,,,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,257,https://drugcentral.org/drugcard/257,1796,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://drugcentral.org/target/P51639/view,atorvastatin,10116,Rattus norvegicus (Norway rat)
Competitive,pIC50,8.94,60823,"McTaggart F, Buckett L, Davidson R, Holdgate G, McCormick A, Schneck D, Smith G, Warwick M. Preclinical and clinical pharmacology of rosuvastatin, a new 3-hydroxy- 3-methylglutaryl coenzyme A reductase inhibitor11CRESTOR is a trademark, the property of AstraZeneca PLC. Research discussed in this article was supported by AstraZeneca. The American Journal of Cardiology. 2001 Mar;87(5):28–32. doi: 10.1016/s0002-9149(01)01454-0.",Atorvastatin,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:11256847,https://www.ncbi.nlm.nih.gov/pubmed/11256847,25675,Hmgcr,22600408,,11256847,P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,2949,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2949,639,hydroxymethylglutaryl-CoA reductase,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=639,atorvastatin,10116,Rattus norvegicus (Norway rat)
Substrate,,,60823,"Klatt S, Fromm MF, Konig J: The influence of oral antidiabetic drugs on cellular drug uptake mediated by hepatic OATP family members. Basic Clin Pharmacol Toxicol. 2013 Apr;112(4):244-50. doi: 10.1111/bcpt.12031. Epub 2012 Dec 6.|Lennernäs H. Clinical pharmacokinetics of atorvastatin. Clin Pharmacokinet. 2003;42(13):1141–60. doi: 10.2165/00003088-200342130-00005. PMID: 14531725.",Atorvastatin,,DrugBank,PMID:14531725|PMID:23121773,https://www.ncbi.nlm.nih.gov/pubmed/14531725|https://www.ncbi.nlm.nih.gov/pubmed/23121773,28234,SLCO1B3,1785134|30133936,,23121773|14531725,Q9NPD5,Solute carrier organic anion transporter family member 1B3,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003659,Solute carrier organic anion transporter family member 1B3,https://www.drugbank.ca/bio_entities/BE0003659,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Stormo C, Bogsrud MP, Hermann M, Åsberg A, Piehler AP, Retterstøl K, Kringen MK. UGT1A1*28 is Associated with Decreased Systemic Exposure of Atorvastatin Lactone. Molecular Diagnosis & Therapy. 2013 Apr 12;17(4):233–7. doi: 10.1007/s40291-013-0031-x.|Lennernäs H. Clinical pharmacokinetics of atorvastatin. Clin Pharmacokinet. 2003;42(13):1141–60. doi: 10.2165/00003088-200342130-00005. PMID: 14531725.",Atorvastatin,,DrugBank,PMID:14531725|PMID:23580084,https://www.ncbi.nlm.nih.gov/pubmed/14531725|https://www.ncbi.nlm.nih.gov/pubmed/23580084,54658,UGT1A1,23545359|30133936,,14531725|23580084,P22309,UDP-glucuronosyltransferase 1A1,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003541,UDP-glucuronosyltransferase 1A1,https://www.drugbank.ca/bio_entities/BE0003541,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Stormo C, Bogsrud MP, Hermann M, Åsberg A, Piehler AP, Retterstøl K, Kringen MK. UGT1A1*28 is Associated with Decreased Systemic Exposure of Atorvastatin Lactone. Molecular Diagnosis & Therapy. 2013 Apr 12;17(4):233–7. doi: 10.1007/s40291-013-0031-x.|Lennernäs H. Clinical pharmacokinetics of atorvastatin. Clin Pharmacokinet. 2003;42(13):1141–60. doi: 10.2165/00003088-200342130-00005. PMID: 14531725.",Atorvastatin,,DrugBank,PMID:14531725|PMID:23580084,https://www.ncbi.nlm.nih.gov/pubmed/14531725|https://www.ncbi.nlm.nih.gov/pubmed/23580084,54659,UGT1A3,23545359|30133936,,14531725|23580084,P35503,UDP-glucuronosyltransferase 1A3,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003677,UDP-glucuronosyltransferase 1A3,https://www.drugbank.ca/bio_entities/BE0003677,Atorvastatin,9606,Homo sapiens (human)
,IC50,4.49,60823,,Atorvastatin,,DrugCentral,,,100144446,HMGCR,,,,Q1W675,3-hydroxy-3-methylglutaryl-coenzyme A reductase,6384,481107724,257,https://drugcentral.org/drugcard/257,3874,3-hydroxy-3-methylglutaryl-coenzyme A reductase,https://drugcentral.org/target/Q1W675/view,atorvastatin,9823,Sus scrofa (pig)
