action,actname,actvalue,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Agonist,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,13,AADAC,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,AADAC,https://www.dgidb.org/genes/hgnc:17,9606,Homo sapiens (human)
,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,1133,CHRM5,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,CHRM5,https://www.dgidb.org/genes/hgnc:1954,9606,Homo sapiens (human)
Full agonist,pKi,4,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Bethanechol,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1132,CHRM4,5669298|7007058,PMC1510344,7620715|9224827,P08173,Muscarinic acetylcholine receptor M4,297,bethanechol,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=297,16,M4 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=16,9606,Homo sapiens (human)
Full agonist,pKi,4,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Bethanechol,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1129,CHRM2,5669298|7007058,PMC1510344,7620715|9224827,P08172,Muscarinic acetylcholine receptor M2,297,bethanechol,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=297,14,M2 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=14,9606,Homo sapiens (human)
AGONIST,Ki,4.2,2370,,Bethanechol,DrugCentral,,,1131,CHRM3,,,,P20309,Muscarinic acetylcholine receptor M3,358,bethanechol,https://drugcentral.org/drugcard/358,115,Muscarinic acetylcholine receptor M3,https://drugcentral.org/target/P20309/view,9606,Homo sapiens (human)
AGONIST,Ki,4,2370,,Bethanechol,DrugCentral,,,1128,CHRM1,,,,P11229,Muscarinic acetylcholine receptor M1,358,bethanechol,https://drugcentral.org/drugcard/358,113,Muscarinic acetylcholine receptor M1,https://drugcentral.org/target/P11229/view,9606,Homo sapiens (human)
,Kd,4.9,2370,,Bethanechol,DrugCentral,,,,,,,,Q8VH26,Muscarinic acetylcholine receptor,358,bethanechol,https://drugcentral.org/drugcard/358,2290,Muscarinic acetylcholine receptor,https://drugcentral.org/target/Q8VH26/view,10141,Cavia porcellus (domestic guinea pig)
Full agonist,pKi,4.2,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Bethanechol,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1131,CHRM3,5669298|7007058,PMC1510344,7620715|9224827,P20309,Muscarinic acetylcholine receptor M3,297,bethanechol,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=297,15,M3 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=15,9606,Homo sapiens (human)
Agonist,,,2370,,Bethanechol,Therapeutic Target Database (TTD),,,1133,CHRM5,,,,P08912,Muscarinic acetylcholine receptor M5,D07ZTO,Bethanechol,https://ttd.idrblab.cn/data/drug/details/D07ZTO,T79961,Muscarinic acetylcholine receptor M5 (CHRM5),https://ttd.idrblab.cn/data/target/details/T79961,9606,Homo sapiens (human)
AGONIST,Ki,4,2370,,Bethanechol,DrugCentral,,,1132,CHRM4,,,,P08173,Muscarinic acetylcholine receptor M4,358,bethanechol,https://drugcentral.org/drugcard/358,116,Muscarinic acetylcholine receptor M4,https://drugcentral.org/target/P08173/view,9606,Homo sapiens (human)
